,Indicator,Window,Value
5,RSI,2,0.0480897071747
6,RSI,3,0.0483541064896
11,RSI,4,0.0486837872603
12,RSI,5,0.0489004539638
9,RSI,6,0.0492192241609
10,RSI,7,0.0493867339667
14,RSI,8,0.0498034264179
15,RSI,9,0.0501344409641
13,RSI,10,0.0502644539315
18,RSI,11,0.0505608561388
1,RSI,12,0.0505689771967
4,RSI,13,0.0508882911407
0,RSI,14,0.0512293106497
2,RSI,15,0.0513908253013
7,RSI,16,0.05165540229
8,RSI,17,0.0517530996902
16,RSI,18,0.0518546181012
3,RSI,20,0.0519840791356
17,RSI,19,0.0520139927394
