,Indicator,Window,Value
10,SMA,2,0.048009743377
9,SMA,3,0.0482135712525
4,SMA,4,0.0484941342948
3,SMA,5,0.0486805141747
6,SMA,6,0.0489850829099
5,SMA,7,0.0491034018651
2,SMA,8,0.0494291175786
1,SMA,9,0.0497526244128
8,SMA,10,0.0499084140871
7,SMA,11,0.0502623077433
16,SMA,12,0.0504152050387
13,SMA,13,0.0507806288468
14,SMA,14,0.051126352631
11,SMA,15,0.0514388245469
0,SMA,16,0.0518201676939
17,SMA,17,0.0520686021192
18,SMA,18,0.0524081631676
15,SMA,19,0.0527730464014
12,SMA,20,0.0531543537212
