Date,Symbol,Order,Shares
2015-11-02,EBAY,BUY,0.0
2015-11-02,EBAY,BUY,10.0
2015-11-09,EBAY,SELL,10.0
2015-11-09,EBAY,BUY,10.0
2015-11-16,EBAY,SELL,10.0
2015-11-19,EBAY,BUY,10.0
2015-11-20,EBAY,SELL,10.0
2015-11-23,EBAY,BUY,10.0
2015-11-24,EBAY,SELL,10.0
2015-11-27,EBAY,SELL,10.0
2015-11-30,EBAY,BUY,10.0
2015-11-30,EBAY,BUY,10.0
2015-12-01,EBAY,SELL,10.0
2015-12-01,EBAY,BUY,10.0
2015-12-02,EBAY,BUY,10.0
2015-12-07,EBAY,SELL,10.0
2015-12-08,EBAY,SELL,10.0
2015-12-08,EBAY,BUY,20.0
2015-12-09,EBAY,BUY,10.0
2015-12-14,EBAY,SELL,10.0
2015-12-15,EBAY,SELL,10.0
2015-12-15,EBAY,SELL,20.0
2015-12-16,EBAY,SELL,10.0
2015-12-18,EBAY,BUY,10.0
2015-12-21,EBAY,BUY,10.0
2015-12-22,EBAY,BUY,10.0
2015-12-23,EBAY,BUY,10.0
2015-12-28,EBAY,SELL,10.0
2015-12-28,EBAY,BUY,10.0
2015-12-31,EBAY,BUY,10.0
2015-12-31,EBAY,SELL,10.0
2016-01-04,EBAY,BUY,10.0
2016-01-05,EBAY,BUY,10.0
2016-01-05,EBAY,SELL,10.0
2016-01-08,EBAY,SELL,10.0
2016-01-11,EBAY,SELL,10.0
2016-01-12,EBAY,SELL,10.0
2016-01-13,EBAY,BUY,10.0
2016-01-19,EBAY,BUY,10.0
2016-01-21,EBAY,SELL,10.0
2016-01-21,EBAY,BUY,10.0
2016-01-26,EBAY,SELL,10.0
2016-01-27,EBAY,BUY,10.0
2016-01-28,EBAY,SELL,10.0
2016-01-28,EBAY,BUY,10.0
2016-02-01,EBAY,BUY,10.0
2016-02-03,EBAY,SELL,10.0
2016-02-04,EBAY,SELL,10.0
2016-02-08,EBAY,SELL,10.0
2016-02-08,EBAY,BUY,10.0
2016-02-16,EBAY,SELL,10.0
2016-02-16,EBAY,BUY,10.0
2016-02-17,EBAY,SELL,10.0
2016-02-23,EBAY,SELL,10.0
2016-02-23,EBAY,SELL,10.0
2016-02-24,EBAY,BUY,10.0
2016-02-24,EBAY,BUY,10.0
2016-02-26,EBAY,BUY,10.0
2016-03-01,EBAY,BUY,10.0
2016-03-01,EBAY,BUY,10.0
2016-03-02,EBAY,SELL,10.0
2016-03-04,EBAY,SELL,10.0
2016-03-04,EBAY,BUY,10.0
2016-03-07,EBAY,BUY,10.0
2016-03-08,EBAY,SELL,10.0
2016-03-08,EBAY,BUY,10.0
2016-03-10,EBAY,BUY,10.0
2016-03-11,EBAY,SELL,10.0
2016-03-14,EBAY,SELL,10.0
2016-03-14,EBAY,SELL,10.0
2016-03-15,EBAY,SELL,10.0
2016-03-17,EBAY,SELL,10.0
2016-03-18,EBAY,BUY,10.0
2016-03-21,EBAY,BUY,10.0
2016-03-28,EBAY,SELL,10.0
2016-03-29,EBAY,BUY,10.0
2016-03-31,EBAY,BUY,10.0
2016-04-05,EBAY,SELL,10.0
2016-04-07,EBAY,SELL,10.0
2016-04-12,EBAY,BUY,10.0
2016-04-13,EBAY,BUY,10.0
2016-04-19,EBAY,BUY,10.0
2016-04-19,EBAY,SELL,10.0
2016-04-20,EBAY,SELL,10.0
2016-04-22,EBAY,BUY,10.0
2016-04-25,EBAY,BUY,10.0
2016-04-26,EBAY,SELL,10.0
2016-04-27,EBAY,BUY,10.0
2016-04-29,EBAY,SELL,10.0
2016-04-29,EBAY,BUY,10.0
2016-05-02,EBAY,SELL,10.0
2016-05-04,EBAY,SELL,10.0
2016-05-06,EBAY,SELL,10.0
2016-05-09,EBAY,SELL,10.0
2016-05-11,EBAY,SELL,10.0
2016-05-12,EBAY,BUY,10.0
2016-05-16,EBAY,BUY,10.0
2016-05-16,EBAY,BUY,10.0
2016-05-18,EBAY,BUY,10.0
2016-05-18,EBAY,BUY,10.0
2016-05-19,EBAY,SELL,10.0
2016-05-23,EBAY,SELL,10.0
2016-05-24,EBAY,BUY,10.0
2016-05-25,EBAY,SELL,10.0
2016-05-26,EBAY,BUY,10.0
2016-06-01,EBAY,SELL,10.0
2016-06-03,EBAY,SELL,10.0
