,Date,Return_Date,Symbol,Return(%),Test_Error(RMSE),Bench_0(RMSE),Test_Corr
418,2016-06-13,2016-06-20,TE,0.00205914245539,0.00346492901425,0.00290028095084,-0.0693601248648
4,2016-06-13,2016-06-20,GAS,0.00157458882376,0.00786194977354,0.00478724730574,0.173005109708
83,2016-06-13,2016-06-20,CVC,0.0066902080889,0.0133475126118,0.0116740868878,0.239180716118
1,2016-06-13,2016-06-20,MMM,-0.0126103589134,0.0147885810828,0.0123445321926,0.267724608265
358,2016-06-13,2016-06-20,PG,0.00425829152833,0.0155819651134,0.0160281649294,0.282982261843
52,2016-06-13,2016-06-20,ADP,0.00161671782098,0.0162747647621,0.0152262178278,0.332831240515
50,2016-06-13,2016-06-20,AZO,-0.00388663950199,0.0163894619967,0.0165128353591,0.161336242746
173,2016-06-13,2016-06-20,XOM,0.0198687048746,0.0164745365164,0.0166714873123,0.163050300244
222,2016-06-13,2016-06-20,HD,-0.00298880742954,0.0165439685623,0.0171021588336,0.303522163864
450,2016-06-13,2016-06-20,UPS,-0.00455961029558,0.0165524730411,0.0167339711157,0.44020875684
23,2016-06-13,2016-06-20,ALL,-0.000749675809121,0.016933436116,0.0166660722347,0.166554183919
103,2016-06-13,2016-06-20,CINF,0.00315886031837,0.0170773730635,0.0158494493553,0.355684655683
104,2016-06-13,2016-06-20,CTAS,0.00280461161506,0.0172496945567,0.0176046907333,0.35777790748
346,2016-06-13,2016-06-20,PEP,0.00721740204688,0.017911522515,0.0173872940995,0.0622257180369
26,2016-06-13,2016-06-20,MO,0.00883058046122,0.018440286769,0.0186270488297,0.0221015515604
100,2016-06-13,2016-06-20,CHD,0.00461726576906,0.0186515369232,0.0154380932307,-0.100528411225
269,2016-06-13,2016-06-20,LMT,0.00207500647752,0.0186541073465,0.0155674123514,0.0654946287708
290,2016-06-13,2016-06-20,MRK,0.010840582411,0.0187312211003,0.0200932736134,0.357809919993
196,2016-06-13,2016-06-20,GD,-0.0119524527452,0.0187532665547,0.0191318412425,0.254491964385
150,2016-06-13,2016-06-20,EMC,0.0129222293043,0.0187820915359,0.0196801488436,0.38331669358
245,2016-06-13,2016-06-20,JNJ,0.00928901683452,0.0190279464973,0.013522487119,0.148586017379
109,2016-06-13,2016-06-20,CLX,0.0148981649968,0.0191118743245,0.0191301651307,0.124991582214
280,2016-06-13,2016-06-20,MMC,0.00451258451963,0.019140310669,0.0157946465286,0.100083420246
218,2016-06-13,2016-06-20,HSY,0.0150161865957,0.0192851901537,0.0204380482503,0.319558204279
239,2016-06-13,2016-06-20,INTU,0.0035691449063,0.0194622808394,0.0183302122343,0.27065962593
379,2016-06-13,2016-06-20,COL,-0.0260586362294,0.0195616435167,0.0189675925898,-0.00207056559031
343,2016-06-13,2016-06-20,PAYX,0.00216054574597,0.0198361466172,0.017609528541,0.121517479041
328,2016-06-13,2016-06-20,ORLY,-0.00429979664635,0.0199174430167,0.0205244708456,0.24641097825
420,2016-06-13,2016-06-20,TJX,-0.00448910697961,0.020040419957,0.0186624193799,0.385749838838
400,2016-06-13,2016-06-20,SO,0.00972559634978,0.020172583797,0.0202676658891,0.165251242739
32,2016-06-13,2016-06-20,AIG,-0.0126417450924,0.0201770316735,0.02125753519,0.277380287564
116,2016-06-13,2016-06-20,CMCSA,0.00513837910762,0.0202083425456,0.0181210389266,0.427099242586
388,2016-06-13,2016-06-20,HSIC,0.00417613992981,0.0202258479819,0.0168777111593,0.116368977018
115,2016-06-13,2016-06-20,CPGX,0.0160588536088,0.0203151203547,0.00155005770579,-0.402840012089
114,2016-06-13,2016-06-20,CL,0.00334963200009,0.0204513941574,0.0174666545893,0.364212082151
438,2016-06-13,2016-06-20,TRV,-0.00583206974578,0.020470865643,0.0207497625822,0.369383476336
411,2016-06-13,2016-06-20,SYK,0.0104000204929,0.0204879464447,0.0163071956603,0.135465982494
145,2016-06-13,2016-06-20,DPS,0.000120090075496,0.0205101304772,0.0207561378669,0.152402205506
181,2016-06-13,2016-06-20,FRT,0.0094088886388,0.0205210100528,0.0201661364227,0.0696337307968
215,2016-06-13,2016-06-20,HIG,0.01173047891,0.020556279819,0.0211093889481,0.420564247598
286,2016-06-13,2016-06-20,MCD,0.00329957540216,0.0208399185104,0.0195204319739,0.199950427196
283,2016-06-13,2016-06-20,MA,-0.018277103818,0.0208498334302,0.0214188721591,0.141846846851
250,2016-06-13,2016-06-20,K,-0.0026631104349,0.0209001121366,0.0182306284828,0.295190405003
375,2016-06-13,2016-06-20,RSG,0.0102072504126,0.0209188992698,0.0188137469442,0.0468781510823
155,2016-06-13,2016-06-20,ECL,0.000348853539023,0.0209818691435,0.0214070439772,0.360962555562
495,2016-06-13,2016-06-20,EBAY,-0.00462527873117,0.0210018333386,0.0212090057441,0.325191856191
142,2016-06-13,2016-06-20,D,0.00863165811004,0.0210570261986,0.0217465570097,0.448091637738
459,2016-06-13,2016-06-20,VAR,-0.00414185144144,0.0210699325793,0.0218959582262,0.242871205034
289,2016-06-13,2016-06-20,MDT,0.0266259960629,0.0211707783174,0.0194101712412,-0.129600678217
393,2016-06-13,2016-06-20,SRE,0.0173370538464,0.0211902226041,0.0212482413224,0.20303621659
376,2016-06-13,2016-06-20,RAI,0.00267273468329,0.0212698733609,0.0201423130709,-0.0236815842847
367,2016-06-13,2016-06-20,DGX,-0.00265064351465,0.0212940427188,0.0173510742528,0.174428404405
20,2016-06-13,2016-06-20,ALLE,0.00694689004547,0.0213879684252,0.0161127769668,-0.127648481957
266,2016-06-13,2016-06-20,LLY,-0.0043918334414,0.0214766990083,0.0221020827538,0.278233713671
325,2016-06-13,2016-06-20,NOC,0.00595388661371,0.0214909681323,0.0195042122247,-0.116489905485
270,2016-06-13,2016-06-20,L,0.00721651588099,0.0214911933222,0.0219358473058,0.243701439019
441,2016-06-13,2016-06-20,FOX,0.0114647751423,0.0215643284062,0.0230453713152,0.352247340962
82,2016-06-13,2016-06-20,CVS,-0.00900063010822,0.0216712546093,0.0212244174979,-0.0367923016093
206,2016-06-13,2016-06-20,GWW,-0.015259277642,0.0217078630106,0.0221710531137,0.161736930401
262,2016-06-13,2016-06-20,LEG,2.50014767351e-05,0.0217489313332,0.0217732506843,0.179793767895
99,2016-06-13,2016-06-20,CB,0.00105550621542,0.021854981808,0.0191321088468,0.325369663337
60,2016-06-13,2016-06-20,BAX,0.00923150359805,0.0218675460569,0.0227638176084,-0.138129841787
248,2016-06-13,2016-06-20,KLAC,0.00496727437277,0.0219104363559,0.0223733669038,0.379178808749
370,2016-06-13,2016-06-20,RTN,0.0212277362369,0.0219175229713,0.0180248480256,-0.115112870995
399,2016-06-13,2016-06-20,SNA,-0.0149853697829,0.0219512783793,0.0220094766768,0.425973786516
268,2016-06-13,2016-06-20,LLTC,0.0203433835065,0.0220201764302,0.0221889968883,0.154668063867
380,2016-06-13,2016-06-20,ROP,-0.0250412671351,0.0220224729801,0.0218331727146,0.0223133243951
271,2016-06-13,2016-06-20,LOW,8.66941410984e-05,0.02202786387,0.0222112250718,0.375802951667
309,2016-06-13,2016-06-20,NDAQ,-0.00132203764963,0.0220353199789,0.020995482104,0.201362732605
461,2016-06-13,2016-06-20,VRSN,-0.0141757993134,0.0220509414147,0.0212453306403,0.00916636270493
452,2016-06-13,2016-06-20,UTX,-0.00202573320909,0.0220952998908,0.0228684792615,0.121594302775
16,2016-06-13,2016-06-20,APD,-0.0110821808178,0.0221363666358,0.0203509423358,0.178060710745
77,2016-06-13,2016-06-20,CHRW,-0.000741626316279,0.0221969166641,0.0214850019706,0.298498517184
130,2016-06-13,2016-06-20,DRI,0.0166143050072,0.0222078557011,0.021858003425,0.122314991208
