Date,Open_AA,High_AA,Low_AA,Close_AA,Volume_AA,AdjClose_AA
2015-06-08,12.4,12.42,12.24,12.25,17656200,12.085644
2015-06-09,12.27,12.34,12.15,12.19,15033700,12.026448
2015-06-10,12.28,12.32,12.14,12.17,16315600,12.006717
2015-06-11,12.17,12.19,12.03,12.09,15411500,11.927791
2015-06-12,12.07,12.16,12.02,12.06,14542300,11.898193
2015-06-15,11.97,12.11,11.92,12.0,12755200,11.838998
2015-06-16,11.97,12.05,11.92,12.02,12010800,11.85873
2015-06-17,12.03,12.04,11.85,11.96,14743000,11.799535
2015-06-18,12.0,12.07,11.87,11.92,13423800,11.760072
2015-06-19,11.9,12.0,11.86,11.93,19106600,11.769938
2015-06-22,11.9,11.9,11.69,11.76,24095500,11.602218
2015-06-23,11.79,11.83,11.71,11.74,16465700,11.582486
2015-06-24,11.71,11.85,11.69,11.74,18029900,11.582486
2015-06-25,11.76,11.77,11.55,11.57,15529600,11.414767
2015-06-26,11.58,11.76,11.56,11.69,16253300,11.533157
2015-06-29,11.48,11.61,11.34,11.35,19926700,11.197719
2015-06-30,11.45,11.5,11.15,11.15,22622900,11.000402
2015-07-01,11.2,11.23,10.94,11.07,28330900,10.921475
2015-07-02,11.09,11.23,11.04,11.1,14451000,10.951074
2015-07-06,10.95,11.13,10.92,11.03,18040300,10.882012
2015-07-07,10.96,11.11,10.58,11.06,31468600,10.91161
2015-07-08,10.95,11.0,10.39,10.5,45976600,10.359123
2015-07-09,10.74,10.97,10.57,10.59,40237700,10.447916
2015-07-10,10.77,10.87,10.61,10.63,23818300,10.487379
2015-07-13,10.77,10.84,10.69,10.82,19075700,10.67483
2015-07-14,10.77,10.86,10.65,10.77,17365100,10.625501
2015-07-15,10.77,10.79,10.52,10.57,19278600,10.428184
2015-07-16,10.65,10.65,10.43,10.51,16344600,10.368989
2015-07-17,10.49,10.55,10.36,10.49,16003600,10.349257
2015-07-20,10.45,10.47,10.18,10.2,22766800,10.063148
2015-07-21,10.2,10.44,10.16,10.23,24257300,10.092745
2015-07-22,10.16,10.16,9.96,9.99,40629000,9.855966
2015-07-23,10.09,10.19,9.9,9.96,21993800,9.826368
2015-07-24,9.91,9.91,9.65,9.81,27614400,9.678381
2015-07-27,9.71,9.99,9.59,9.62,27877700,9.49093
2015-07-28,9.75,9.93,9.61,9.87,27138600,9.737576
2015-07-29,9.92,10.22,9.89,10.16,31605600,10.023685
2015-07-30,10.19,10.25,9.88,9.98,19834700,9.8461
2015-07-31,10.09,10.14,9.86,9.87,18334500,9.737576
2015-08-03,9.82,9.82,9.58,9.64,21546200,9.510662
2015-08-04,9.94,10.07,9.68,9.73,24551600,9.599454
2015-08-05,9.91,10.15,9.75,9.76,24967600,9.658832
2015-08-06,9.76,9.96,9.64,9.91,22662000,9.807277
2015-08-07,9.82,10.06,9.36,9.41,33244900,9.31246
2015-08-10,9.53,10.09,9.41,10.08,27951600,9.975515
2015-08-11,9.7,9.74,9.42,9.48,39791600,9.381734
2015-08-12,9.39,9.56,9.28,9.51,28685600,9.411424
2015-08-13,9.52,9.52,9.3,9.31,14475800,9.213497
2015-08-14,9.32,9.43,9.28,9.41,13248100,9.31246
2015-08-17,9.31,9.49,9.26,9.43,10932100,9.332253
2015-08-18,9.3,9.36,9.24,9.27,16228000,9.173912
2015-08-19,9.18,9.29,9.1,9.11,18602800,9.01557
2015-08-20,9.19,9.22,8.98,9.03,17703300,8.936399
2015-08-21,8.97,8.98,8.73,8.73,25195100,8.639508
2015-08-24,8.2,8.54,7.97,8.2,41143100,8.115002
2015-08-25,8.63,8.66,8.11,8.11,26304900,8.025935
2015-08-26,8.26,8.29,8.02,8.26,27813900,8.174381
2015-08-27,8.4,8.92,8.38,8.86,27421600,8.768161
2015-08-28,8.88,9.42,8.8,9.41,42079000,9.31246
2015-08-31,9.27,9.53,9.22,9.45,30466400,9.352045
2015-09-01,9.15,9.32,9.07,9.22,32623900,9.12443
2015-09-02,9.39,9.39,9.01,9.32,40482700,9.223393
2015-09-03,9.4,9.75,9.35,9.57,28212600,9.470801
2015-09-04,9.39,9.64,9.3,9.49,48097800,9.391631
