Date,Open_AAP,High_AAP,Low_AAP,Close_AAP,Volume_AAP,AdjClose_AAP
2013-06-14,82.610001,83.639999,81.639999,82.480003,521900,82.011648
2013-06-17,82.580002,83.449997,82.110001,82.480003,521000,82.011648
2013-06-18,82.5,83.709999,82.139999,83.690002,345100,83.214776
2013-06-19,83.300003,84.480003,82.440002,84.07,1079300,83.652592
2013-06-20,83.690002,83.800003,82.730003,82.879997,704100,82.468497
2013-06-21,83.019997,83.080002,80.57,80.739998,966500,80.339123
2013-06-24,79.849998,80.870003,79.489998,80.220001,706000,79.821708
2013-06-25,80.709999,81.57,80.709999,81.389999,501700,80.985897
2013-06-26,80.779999,81.050003,79.470001,79.75,1178600,79.354041
2013-06-27,80.220001,80.75,79.860001,80.019997,672900,79.622697
2013-06-28,80.010002,81.75,79.699997,81.169998,831400,80.766989
2013-07-01,81.720001,82.699997,81.459999,81.889999,721300,81.483415
2013-07-02,82.0,82.660004,81.040001,81.470001,456300,81.065502
2013-07-03,81.220001,82.199997,81.029999,81.989998,262900,81.582917
2013-07-05,82.620003,82.900002,81.449997,82.580002,272100,82.169992
2013-07-08,83.099998,84.010002,82.940002,83.720001,616000,83.304331
2013-07-09,84.019997,84.160004,83.139999,83.199997,376600,82.786908
2013-07-10,83.25,83.309998,82.599998,82.75,829100,82.339146
2013-07-11,83.5,83.720001,82.709999,82.760002,787900,82.349098
2013-07-12,82.93,83.32,82.330002,82.669998,505600,82.259541
2013-07-15,82.900002,83.480003,82.129997,83.379997,461200,82.966015
2013-07-16,83.290001,83.650002,81.849998,82.379997,450300,81.97098
2013-07-17,82.550003,82.889999,81.440002,81.489998,460800,81.085399
2013-07-18,81.5,82.660004,81.400002,82.5,1014800,82.090387
2013-07-19,82.150002,82.739998,82.010002,82.209999,355900,81.801826
2013-07-22,82.050003,82.989998,81.580002,82.75,548300,82.339146
2013-07-23,82.989998,83.589996,82.459999,82.699997,583200,82.289391
2013-07-24,82.82,82.949997,81.269997,81.529999,518000,81.125202
2013-07-25,81.900002,82.459999,81.050003,82.220001,925300,81.811778
2013-07-26,82.93,83.43,82.379997,82.639999,620100,82.229691
2013-07-29,82.610001,82.879997,81.93,82.330002,332100,81.921233
2013-07-30,82.529999,82.800003,82.150002,82.190002,482700,81.781928
2013-07-31,82.25,83.07,82.010002,82.489998,521400,82.080434
2013-08-01,83.169998,83.720001,82.470001,83.43,912800,83.01577
2013-08-02,83.290001,83.519997,82.830002,83.470001,412700,83.055572
2013-08-05,83.190002,83.800003,82.900002,83.410004,445700,82.995872
2013-08-06,83.419998,83.419998,82.5,83.18,637600,82.767011
2013-08-07,82.82,82.93,81.82,82.290001,996400,81.88143
2013-08-08,83.0,83.139999,79.330002,81.650002,2492100,81.244609
2013-08-09,81.339996,83.239998,81.059998,83.169998,1403600,82.757059
2013-08-12,83.139999,83.5,82.410004,82.449997,687100,82.040632
2013-08-13,82.730003,84.93,82.410004,84.489998,1200800,84.070504
2013-08-14,84.279999,84.669998,83.510002,83.550003,405500,83.135177
2013-08-15,82.940002,83.269997,81.870003,81.879997,717700,81.473462
2013-08-16,81.660004,81.860001,80.720001,80.800003,640900,80.39883
2013-08-19,80.75,81.43,80.269997,80.349998,680900,79.95106
2013-08-20,80.529999,82.089996,80.32,81.660004,602800,81.254561
2013-08-21,81.580002,82.220001,81.199997,81.730003,685600,81.324213
2013-08-22,81.669998,82.25,81.529999,81.800003,382200,81.393865
2013-08-23,82.040001,83.169998,81.769997,83.010002,479100,82.597857
