Date,Open_ABBV,High_ABBV,Low_ABBV,Close_ABBV,Volume_ABBV,AdjClose_ABBV
2015-06-08,67.860001,68.199997,67.529999,67.790001,10276700,65.354259
2015-06-09,67.519997,68.080002,67.510002,67.669998,8132800,65.238568
2015-06-10,67.660004,68.440002,67.540001,68.239998,7349300,65.788087
2015-06-11,68.669998,68.669998,67.650002,68.040001,7552200,65.595277
2015-06-12,67.889999,67.93,66.589996,67.050003,8249900,64.64085
2015-06-15,66.660004,67.050003,66.099998,66.910004,7028400,64.505881
2015-06-16,66.720001,67.400002,66.620003,66.769997,5200700,64.370904
2015-06-17,66.970001,67.989998,66.879997,67.769997,7377100,65.334974
2015-06-18,67.790001,69.07,67.790001,68.980003,9079000,66.501504
2015-06-19,68.5,69.75,68.5,69.480003,9979500,66.983539
2015-06-22,69.849998,70.599998,69.730003,70.120003,10124900,67.600542
2015-06-23,70.010002,70.489998,69.57,70.019997,8720000,67.50413
2015-06-24,70.519997,70.75,69.029999,69.220001,9308200,66.732879
2015-06-25,69.669998,70.379997,69.290001,69.82,6191200,67.311319
2015-06-26,69.949997,70.599998,69.68,70.459999,9669500,67.928322
2015-06-29,69.269997,70.019997,67.080002,67.18,12057200,64.766176
2015-06-30,68.0,68.220001,66.660004,67.190002,11625900,64.775819
2015-07-01,67.900002,68.599998,67.68,68.510002,7694900,66.04839
2015-07-02,68.68,68.900002,67.790001,68.209999,6245700,65.759167
2015-07-06,67.529999,69.0,67.489998,68.220001,17029100,65.768809
2015-07-07,68.419998,68.790001,67.32,68.559998,7821600,66.096589
2015-07-08,67.790001,68.440002,67.580002,67.660004,5027200,65.228933
2015-07-09,68.480003,68.919998,67.800003,67.970001,6516800,65.527792
2015-07-10,68.940002,69.5,68.529999,69.230003,6891400,66.742521
2015-07-13,69.419998,69.699997,69.169998,69.57,5507000,67.568058
2015-07-14,69.709999,70.519997,69.400002,69.800003,6628300,67.791443
2015-07-15,69.809998,70.040001,69.309998,69.75,16761400,67.742879
2015-07-16,70.139999,70.300003,69.830002,69.989998,6843800,67.975971
2015-07-17,69.989998,70.129997,69.699997,69.989998,6141200,67.975971
