Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2013-06-14,54.439999,55.209999,54.400002,54.93,1985300,52.746603
2013-06-17,55.130001,55.68,55.049999,55.66,2929400,53.447586
2013-06-18,55.68,55.98,55.389999,55.860001,1805600,53.639637
2013-06-19,55.779999,56.389999,55.389999,55.560001,2227200,53.351562
2013-06-20,55.470001,55.610001,54.009998,54.139999,3015200,51.988003
2013-06-21,54.240002,54.93,54.150002,54.34,2668500,52.180054
2013-06-24,54.02,54.310001,53.25,53.610001,2936800,51.479071
2013-06-25,53.740002,53.77,53.060001,53.549999,2846600,51.421455
2013-06-26,53.779999,55.290001,53.779999,55.040001,2503200,52.852231
2013-06-27,55.369999,55.759998,55.099998,55.310001,2446300,53.111499
2013-06-28,55.5,56.330002,55.029999,55.830002,3350300,53.61083
2013-07-01,56.110001,56.23,54.970001,55.009998,2845300,52.823421
2013-07-02,55.040001,55.32,54.66,54.830002,2008500,52.650579
2013-07-03,54.5,55.240002,54.400002,55.09,1157000,52.900243
2013-07-05,55.509998,55.66,54.900002,55.560001,1629300,53.351562
2013-07-08,55.830002,56.299999,55.59,56.279999,1481200,54.04294
2013-07-09,56.470001,56.84,55.810001,55.91,2101000,53.687648
2013-07-10,55.950001,56.599998,55.91,56.549999,1551500,54.302209
2013-07-11,57.080002,58.150002,57.080002,58.099998,2337200,55.790597
2013-07-12,58.02,58.419998,57.68,58.389999,1359100,56.069071
2013-07-15,58.57,58.82,58.07,58.240002,1693300,55.925036
2013-07-16,58.330002,58.610001,58.139999,58.279999,2045900,55.963443
2013-07-17,58.380001,58.68,58.169998,58.470001,1137300,56.145893
2013-07-18,58.580002,58.950001,58.040001,58.310001,2058500,55.992253
2013-07-19,58.25,58.900002,58.130001,58.810001,1552000,56.472379
2013-07-22,58.740002,59.099998,58.599998,58.990002,1237800,56.645224
2013-07-23,58.970001,59.0,57.599998,57.630001,4014200,55.339282
2013-07-24,58.32,59.299999,56.580002,56.77,3089500,54.513465
2013-07-25,56.200001,57.689999,55.799999,57.610001,2869300,55.320076
2013-07-26,57.41,58.580002,57.279999,58.470001,1714300,56.145893
2013-07-29,58.369999,58.779999,58.169998,58.389999,1440900,56.069071
2013-07-30,58.84,58.889999,58.09,58.23,2487500,55.915431
2013-07-31,58.540001,58.970001,58.0,58.27,1848600,55.953842
2013-08-01,58.389999,59.119999,58.369999,58.799999,1746200,56.462774
2013-08-02,58.75,58.799999,58.25,58.48,1560100,56.155494
2013-08-05,58.380001,59.09,58.290001,59.029999,1129300,56.683631
2013-08-06,59.029999,59.029999,58.360001,58.66,1060800,56.328339
2013-08-07,58.310001,59.169998,58.209999,58.740002,1414300,56.405161
2013-08-08,59.360001,59.669998,58.889999,59.610001,1578900,57.240579
2013-08-09,59.459999,59.75,59.240002,59.490002,1223200,57.12535
2013-08-12,58.900002,59.240002,58.450001,58.669998,1544100,56.33794
