Date,Open_ABT,High_ABT,Low_ABT,Close_ABT,Volume_ABT,AdjClose_ABT
2013-06-14,36.68,37.099998,36.59,36.810001,4817800,34.535398
2013-06-17,37.07,37.330002,36.720001,36.889999,6356000,34.610452
2013-06-18,36.98,37.639999,36.869999,37.509998,5541500,35.19214
2013-06-19,37.27,37.27,36.209999,36.209999,6741400,33.972471
2013-06-20,36.07,36.09,35.07,35.169998,8336800,32.996735
2013-06-21,35.400002,35.860001,35.310001,35.580002,10122700,33.381404
2013-06-24,35.290001,35.380001,34.689999,34.970001,7535800,32.809097
2013-06-25,35.279999,35.380001,34.869999,35.110001,6003700,32.940445
2013-06-26,35.41,35.790001,35.139999,35.599998,6877400,33.400165
2013-06-27,35.77,35.779999,35.220001,35.360001,5625400,33.174997
2013-06-28,35.299999,35.82,34.869999,34.880001,20356100,32.724658
2013-07-01,34.970001,35.470001,34.900002,35.029999,6346900,32.865387
2013-07-02,34.970001,35.310001,34.650002,34.860001,5793200,32.705893
2013-07-03,34.720001,34.720001,33.720001,34.25,8381100,32.133587
2013-07-05,34.580002,34.93,34.490002,34.919998,4664300,32.762184
2013-07-08,34.950001,35.470001,34.939999,35.41,7545600,33.221907
2013-07-09,35.459999,35.560001,34.73,34.740002,10291400,32.59331
2013-07-10,34.799999,35.209999,34.709999,34.740002,9108500,32.59331
2013-07-11,35.02,35.540001,34.77,35.369999,9019200,33.31865
2013-07-12,35.450001,35.57,35.110001,35.32,6218100,33.27155
2013-07-15,35.23,35.52,35.150002,35.48,6487200,33.422271
2013-07-16,35.43,35.709999,35.330002,35.700001,8492000,33.629512
2013-07-17,35.880001,36.48,35.73,35.82,7979400,33.742552
2013-07-18,35.919998,36.029999,35.599998,35.700001,6896400,33.629512
2013-07-19,35.73,35.889999,35.52,35.869999,7137500,33.789651
2013-07-22,35.759998,35.939999,35.580002,35.799999,4782400,33.723711
2013-07-23,35.93,36.799999,35.900002,36.68,9104400,34.552675
2013-07-24,36.700001,36.700001,36.200001,36.450001,6060600,34.336015
2013-07-25,36.419998,36.599998,36.240002,36.580002,7492500,34.458476
2013-07-26,36.59,36.849998,36.150002,36.779999,5387400,34.646874
2013-07-29,36.619999,36.950001,36.5,36.740002,5587300,34.609197
2013-07-30,36.98,37.110001,36.66,36.880001,6193400,34.741076
2013-07-31,36.869999,37.16,36.580002,36.630001,7966200,34.505576
2013-08-01,36.889999,37.07,36.68,36.84,7479900,34.703395
2013-08-02,36.790001,36.970001,36.68,36.75,7944100,34.618615
2013-08-05,36.639999,36.779999,36.439999,36.450001,6511300,34.336015
2013-08-06,36.25,36.34,36.009998,36.099998,9510400,34.006312
2013-08-07,36.07,36.290001,35.830002,35.93,7220100,33.846173
2013-08-08,36.200001,36.349998,35.66,35.919998,4804500,33.836751
2013-08-09,35.799999,36.040001,35.75,35.889999,5030400,33.808492
2013-08-12,35.790001,36.029999,35.720001,35.900002,4986900,33.817914
2013-08-13,35.93,36.029999,35.740002,35.939999,4600200,33.855591
2013-08-14,35.91,35.939999,35.52,35.610001,4960600,33.544732
2013-08-15,35.509998,35.57,34.950001,35.029999,6521200,32.998369
2013-08-16,34.919998,35.0,34.549999,34.970001,10522400,32.941851
2013-08-19,34.849998,34.959999,34.700001,34.880001,5603500,32.85707
2013-08-20,34.900002,34.950001,34.689999,34.709999,4494900,32.696928
2013-08-21,34.68,34.860001,34.439999,34.639999,5413200,32.630988
2013-08-22,34.669998,34.75,34.43,34.669998,4197500,32.659247
2013-08-23,34.849998,34.869999,34.43,34.84,4017400,32.819389
