Date,Open_ADT,High_ADT,Low_ADT,Close_ADT,Volume_ADT,AdjClose_ADT
2015-06-08,36.5,36.68,36.490002,36.490002,1874300,35.751296
2015-06-09,36.630001,36.75,36.369999,36.490002,1440200,35.751296
2015-06-10,36.5,36.950001,36.259998,36.830002,1688200,36.084413
2015-06-11,36.889999,37.049999,36.720001,36.900002,1832800,36.152996
2015-06-12,36.790001,36.869999,36.52,36.68,1278300,35.937448
2015-06-15,36.34,36.610001,36.259998,36.470001,1615400,35.7317
2015-06-16,36.439999,36.57,36.220001,36.43,1489100,35.692509
2015-06-17,36.490002,36.84,36.360001,36.669998,976100,35.927648
2015-06-18,36.75,37.450001,36.75,37.290001,1883700,36.5351
2015-06-19,37.169998,37.400002,37.080002,37.09,1155200,36.339148
2015-06-22,37.330002,37.389999,36.900002,36.919998,1606200,36.172587
2015-06-23,36.880001,36.91,34.880001,35.110001,6774700,34.399232
2015-06-24,35.150002,35.240002,34.02,34.41,4256800,33.713402
2015-06-25,34.41,34.450001,33.669998,34.009998,3015300,33.321498
2015-06-26,34.09,34.18,33.779999,33.970001,1967800,33.28231
2015-06-29,33.77,34.099998,33.450001,33.790001,3152500,33.105954
2015-06-30,34.09,34.369999,33.459999,33.57,2146800,32.890407
2015-07-01,33.75,33.84,33.279999,33.59,2034900,32.910002
2015-07-02,33.639999,33.650002,32.990002,33.200001,1296600,32.527898
2015-07-06,33.029999,33.619999,32.950001,33.25,1960800,32.576885
2015-07-07,33.32,34.299999,32.970001,34.119999,3520800,33.429272
2015-07-08,33.860001,33.869999,33.299999,33.389999,2366200,32.71405
2015-07-09,33.57,33.950001,32.43,32.43,2348200,31.773485
2015-07-10,32.82,32.990002,32.41,32.639999,2374400,31.979233
2015-07-13,33.060001,33.09,32.799999,32.900002,1154900,32.233972
2015-07-14,32.93,33.060001,32.790001,32.959999,1210400,32.292755
2015-07-15,32.790001,32.869999,32.43,32.66,1846900,31.998829
2015-07-16,32.830002,32.98,32.59,32.610001,1511600,31.949842
2015-07-17,32.580002,32.700001,32.419998,32.529999,952600,31.871459
2015-07-20,32.900002,33.369999,32.790001,33.02,2036500,32.351542
2015-07-21,33.02,33.18,32.360001,32.389999,1607900,31.734294
2015-07-22,32.360001,32.59,32.169998,32.290001,1328000,31.63632
2015-07-23,32.290001,32.790001,32.25,32.369999,1039600,31.714699
2015-07-24,32.349998,32.380001,31.52,31.59,1269700,30.95049
2015-07-27,31.59,32.639999,31.48,31.969999,4545300,31.532414
2015-07-28,32.18,33.049999,31.92,32.91,2872100,32.459548
2015-07-29,31.58,34.580002,30.700001,34.48,4812600,34.008059
2015-07-30,34.23,34.369999,33.830002,34.009998,2436500,33.544491
2015-07-31,34.200001,34.990002,34.040001,34.529999,2721100,34.057374
2015-08-03,34.48,34.639999,33.599998,33.700001,1608400,33.238736
2015-08-04,33.779999,34.23,33.619999,33.810001,1376200,33.347231
2015-08-05,34.009998,34.16,33.279999,33.459999,1457100,33.00202
2015-08-06,33.439999,33.68,33.23,33.509998,1406900,33.051335
2015-08-07,33.41,33.610001,33.060001,33.18,1167200,32.725853
2015-08-10,33.389999,34.139999,33.23,34.119999,1107200,33.652986
2015-08-11,33.75,33.759998,33.23,33.450001,1257100,32.992158
2015-08-12,33.18,33.880001,33.119999,33.77,1516500,33.307778
2015-08-13,33.709999,33.880001,32.779999,32.950001,1658300,32.499002
2015-08-14,32.900002,33.360001,32.900002,33.25,1124000,32.794895
2015-08-17,33.119999,33.490002,32.799999,33.48,859000,33.021746
2015-08-18,33.439999,33.619999,33.200001,33.279999,1221800,32.824483
2015-08-19,33.099998,33.330002,32.419998,32.73,1564400,32.282012
2015-08-20,32.439999,32.740002,31.870001,31.889999,2194000,31.453509
2015-08-21,31.620001,32.099998,31.42,31.58,2147300,31.147753
2015-08-24,29.93,31.42,29.610001,30.440001,5783000,30.023357
2015-08-25,31.280001,32.419998,31.110001,31.26,4156400,30.832133
2015-08-26,32.02,32.259998,31.129999,32.169998,2533500,31.729675
2015-08-27,32.450001,33.41,32.380001,33.209999,1630300,32.755441
2015-08-28,33.150002,33.41,32.389999,32.759998,2103600,32.3116
2015-08-31,32.470001,32.950001,32.32,32.779999,1896500,32.331327
2015-09-01,32.099998,32.169998,31.48,31.870001,2133200,31.433784
2015-09-02,32.259998,32.290001,31.58,32.130001,1054200,31.690226
2015-09-03,32.189999,32.849998,32.040001,32.25,1549200,31.808582
2015-09-04,31.889999,32.09,31.35,31.43,1608800,30.999806
2015-09-08,32.049999,32.450001,31.889999,32.049999,1782300,31.611319
2015-09-09,32.240002,32.490002,31.68,31.73,1078500,31.295699
2015-09-10,31.459999,32.189999,31.450001,31.98,1652800,31.542277
2015-09-11,31.83,31.969999,31.34,31.690001,926200,31.256248
2015-09-14,31.690001,31.85,31.440001,31.57,902700,31.137889
2015-09-15,31.610001,31.969999,31.549999,31.92,1049700,31.483099
2015-09-16,31.950001,32.529999,31.91,32.439999,881600,31.99598
2015-09-17,32.48,32.75,32.080002,32.169998,896100,31.729675
2015-09-18,31.74,31.91,31.24,31.309999,2125300,30.881448
2015-09-21,31.469999,32.110001,31.440001,31.610001,754400,31.177343
2015-09-22,31.190001,31.309999,30.379999,30.540001,1568500,30.121989
2015-09-23,30.65,30.799999,29.950001,30.25,1222200,29.835957
2015-09-24,29.959999,30.790001,29.76,30.719999,1563100,30.299523
2015-09-25,30.92,30.959999,30.469999,30.700001,1069500,30.279798
2015-09-28,30.469999,30.74,30.1,30.15,1257600,29.737325
2015-09-29,30.1,30.32,29.84,30.07,1180100,29.65842
2015-09-30,30.219999,30.389999,29.549999,29.9,2151300,29.490747
2015-10-01,29.92,30.17,29.59,30.01,1968800,29.599242
2015-10-02,29.68,31.129999,29.34,31.129999,1580800,30.703911
