Date,Open_AEP,High_AEP,Low_AEP,Close_AEP,Volume_AEP,AdjClose_AEP
2013-06-14,45.799999,46.18,45.459999,45.509998,3946000,40.552597
2013-06-17,45.75,46.0,45.41,45.57,3553500,40.606063
2013-06-18,45.610001,46.110001,45.490002,45.900002,2853400,40.900117
2013-06-19,45.810001,45.93,44.779999,44.790001,4245600,39.911029
2013-06-20,44.549999,44.549999,43.099998,43.189999,5732500,38.485315
2013-06-21,43.5,44.040001,42.830002,43.779999,5149500,39.011046
2013-06-24,43.459999,43.959999,42.950001,43.57,2795600,38.823923
2013-06-25,43.830002,44.290001,43.41,43.91,3178000,39.126887
2013-06-26,44.189999,44.709999,44.16,44.599998,2735300,39.741724
2013-06-27,44.709999,45.240002,44.389999,44.48,2815700,39.634796
2013-06-28,44.529999,45.049999,44.34,44.779999,3285000,39.902117
2013-07-01,44.98,45.110001,44.220001,44.470001,3251100,39.625887
2013-07-02,44.349998,44.779999,44.27,44.48,4815400,39.634796
2013-07-03,44.299999,44.630001,44.169998,44.459999,1147700,39.616974
2013-07-05,44.52,44.610001,43.75,44.279999,1870500,39.456582
2013-07-08,44.299999,44.93,44.169998,44.57,4108200,39.714993
2013-07-09,44.75,44.880001,44.5,44.57,4151500,39.714993
2013-07-10,44.610001,45.490002,44.52,45.419998,3457800,40.472401
2013-07-11,45.82,46.290001,45.59,46.240002,3857300,41.203081
2013-07-12,46.27,46.619999,45.970001,46.549999,3187400,41.479311
2013-07-15,46.450001,47.580002,46.369999,47.5,3096200,42.325828
2013-07-16,47.580002,47.580002,46.919998,47.23,2637600,42.085239
2013-07-17,47.560001,47.59,46.779999,47.09,2040600,41.96049
2013-07-18,47.16,47.450001,47.049999,47.220001,2457100,42.07633
2013-07-19,47.23,47.43,47.060001,47.139999,2695500,42.005042
2013-07-22,47.060001,47.27,47.049999,47.09,1334800,41.96049
2013-07-23,47.110001,47.389999,47.009998,47.099998,1702100,41.969399
2013-07-24,47.02,47.110001,46.189999,46.380001,2503000,41.327831
2013-07-25,46.080002,46.439999,45.759998,45.810001,12943700,40.819921
2013-07-26,45.740002,46.470001,45.580002,46.470001,11332000,41.408027
2013-07-29,46.18,47.02,46.18,46.700001,10545700,41.612973
2013-07-30,46.880001,47.139999,46.529999,46.549999,2368000,41.479311
2013-07-31,46.549999,46.650002,46.0,46.349998,3230500,41.301096
2013-08-01,46.48,46.650002,45.939999,46.549999,2974400,41.479311
2013-08-02,46.439999,46.599998,46.27,46.580002,1887100,41.506045
2013-08-05,46.5,46.529999,46.220001,46.389999,1623600,41.33674
2013-08-06,46.380001,46.380001,45.650002,45.790001,3404600,40.802099
2013-08-07,45.18,45.650002,45.110001,45.470001,3127500,40.955219
2013-08-08,45.52,45.650002,45.259998,45.52,2114400,41.000254
2013-08-09,45.439999,45.630001,44.970001,45.0,2556100,40.531885
2013-08-12,44.869999,44.889999,44.459999,44.689999,2688400,40.252664
2013-08-13,44.709999,44.740002,44.25,44.310001,2176500,39.910397
2013-08-14,44.200001,44.389999,43.830002,44.369999,2791500,39.964438
2013-08-15,44.150002,44.299999,43.700001,43.779999,2388600,39.433019
2013-08-16,43.630001,43.689999,42.939999,43.310001,3008100,39.009689
2013-08-19,43.23,43.470001,42.650002,42.68,2644200,38.442241
2013-08-20,42.66,43.459999,42.650002,42.82,4807800,38.56834
2013-08-21,42.77,42.830002,42.279999,42.369999,3476600,38.163021
2013-08-22,42.400002,42.77,42.330002,42.689999,3055800,38.451247
2013-08-23,42.810001,43.349998,42.709999,43.16,4322400,38.874581
2013-08-26,43.200001,43.220001,42.59,42.650002,2297300,38.415221
2013-08-27,42.279999,43.0,42.259998,42.77,3319700,38.523305
2013-08-28,42.84,43.18,42.529999,43.009998,2068400,38.739473
2013-08-29,42.860001,43.02,42.549999,42.689999,1719200,38.451247
2013-08-30,42.709999,43.029999,42.599998,42.799999,1940600,38.550326
2013-09-03,43.029999,43.130001,42.07,42.16,2556800,37.973873
2013-09-04,42.16,42.34,41.830002,42.209999,2316400,38.018907
