Date,Open_AES,High_AES,Low_AES,Close_AES,Volume_AES,AdjClose_AES
2015-06-08,13.12,13.16,13.02,13.08,4516900,12.584068
2015-06-09,13.07,13.51,13.06,13.51,9146200,12.997765
2015-06-10,13.64,13.65,13.3,13.32,5886500,12.814968
2015-06-11,13.4,13.58,13.32,13.52,4962400,13.007386
2015-06-12,13.48,13.52,13.31,13.35,3640200,12.843831
2015-06-15,13.33,13.48,13.28,13.44,5385800,12.930418
2015-06-16,13.47,13.6,13.33,13.58,3959700,13.06511
2015-06-17,13.61,13.73,13.52,13.67,5207500,13.151698
2015-06-18,13.67,13.88,13.61,13.85,5044800,13.324874
2015-06-19,13.87,13.97,13.77,13.85,6009000,13.324874
2015-06-22,13.89,14.02,13.77,13.94,4468300,13.41146
2015-06-23,13.94,13.97,13.67,13.71,5309400,13.190181
2015-06-24,13.72,13.8,13.54,13.64,5063500,13.122836
2015-06-25,13.64,13.66,13.47,13.53,4029100,13.017006
2015-06-26,13.49,13.53,13.33,13.46,5044700,12.94966
2015-06-29,13.41,13.52,13.15,13.16,4530100,12.661035
2015-06-30,13.21,13.3,13.05,13.26,6799700,12.757243
2015-07-01,13.3,13.36,13.15,13.19,4997500,12.689897
2015-07-02,13.27,13.4,13.16,13.3,3617500,12.795727
2015-07-06,13.24,13.3,13.11,13.2,3919700,12.699518
2015-07-07,13.22,13.34,13.17,13.24,8859100,12.738001
2015-07-08,13.19,13.34,12.78,12.91,7149300,12.420513
2015-07-09,12.99,13.13,12.99,13.01,6932200,12.516722
2015-07-10,13.04,13.16,13.03,13.1,6068600,12.60331
2015-07-13,13.17,13.19,13.02,13.05,4851900,12.555206
2015-07-14,13.05,13.25,13.05,13.12,6135600,12.622551
2015-07-15,13.1,13.19,13.05,13.18,6103400,12.680277
2015-07-16,13.2,13.38,13.14,13.35,4576000,12.843831
2015-07-17,13.35,13.38,13.14,13.21,4233400,12.709139
2015-07-20,13.17,13.17,12.94,13.08,5091500,12.584068
2015-07-21,13.02,13.02,12.87,12.94,3617400,12.449376
2015-07-22,12.9,13.22,12.9,13.17,5692200,12.670656
2015-07-23,13.14,13.2,12.88,12.94,4408000,12.449376
2015-07-24,12.92,12.92,12.68,12.79,3495300,12.305063
2015-07-27,12.73,12.99,12.69,12.93,5414800,12.439756
2015-07-28,12.93,13.01,12.71,12.77,5980600,12.285822
2015-07-29,12.8,12.84,12.7,12.83,6472300,12.343547
2015-07-30,12.75,12.85,12.66,12.69,4720300,12.304761
2015-07-31,12.81,12.96,12.76,12.8,4256500,12.411422
2015-08-03,12.82,12.94,12.66,12.73,3023700,12.343547
2015-08-04,12.71,12.83,12.53,12.56,2903500,12.178708
2015-08-05,12.61,12.78,12.56,12.59,2677200,12.207797
2015-08-06,12.58,12.63,12.34,12.6,5253400,12.217494
2015-08-07,12.64,12.79,12.58,12.64,4149100,12.25628
2015-08-10,12.58,12.78,12.51,12.68,3423100,12.295065
2015-08-11,12.65,12.8,12.27,12.35,5916000,11.975083
2015-08-12,12.33,13.1,12.33,13.06,7759600,12.663529
2015-08-13,13.01,13.21,12.63,12.66,5960000,12.275672
2015-08-14,12.62,12.86,12.6,12.81,3262300,12.421119
2015-08-17,12.8,12.99,12.67,12.87,4593400,12.479297
2015-08-18,12.85,12.87,12.75,12.82,3080100,12.430815
2015-08-19,12.73,12.75,12.45,12.54,4928900,12.159315
2015-08-20,12.41,12.61,12.29,12.31,5791500,11.936298
2015-08-21,12.16,12.33,11.92,12.0,5420800,11.635708
2015-08-24,11.27,11.73,11.15,11.53,16765000,11.179976
2015-08-25,11.79,11.9,11.33,11.34,9287700,10.995744
