Date,Open_AME,High_AME,Low_AME,Close_AME,Volume_AME,AdjClose_AME
2013-06-14,42.599998,42.779999,42.240002,42.759998,1042300,42.023844
2013-06-17,43.209999,43.209999,41.68,41.900002,1895200,41.178652
2013-06-18,41.990002,42.450001,41.84,42.360001,1347600,41.630732
2013-06-19,42.25,42.650002,41.82,41.830002,956300,41.109858
2013-06-20,41.439999,41.439999,40.619999,40.66,758100,39.959999
2013-06-21,40.700001,40.869999,40.07,40.380001,1243000,39.68482
2013-06-24,39.810001,40.720001,39.459999,40.419998,1427300,39.724129
2013-06-25,40.740002,41.080002,40.389999,40.880001,1126800,40.176212
2013-06-26,41.18,41.360001,40.939999,41.07,1204500,40.36294
2013-06-27,41.439999,42.060001,41.330002,42.0,707900,41.276929
2013-06-28,42.0,42.490002,41.700001,42.299999,1932700,41.571764
2013-07-01,42.439999,43.459999,42.439999,43.220001,1449700,42.475927
2013-07-02,43.240002,43.91,43.169998,43.259998,1774200,42.515236
2013-07-03,43.130001,43.669998,43.0,43.450001,761000,42.701967
2013-07-05,43.650002,44.169998,43.599998,44.150002,878800,43.389917
2013-07-08,44.32,44.610001,44.099998,44.23,908200,43.468537
2013-07-09,44.5,44.68,44.259998,44.540001,814800,43.773202
2013-07-10,44.459999,44.799999,44.279999,44.540001,928000,43.773202
2013-07-11,44.849998,45.150002,44.720001,44.91,1185200,44.136831
2013-07-12,44.939999,45.360001,44.75,45.330002,731500,44.549602
2013-07-15,45.299999,45.560001,45.189999,45.41,729000,44.628223
2013-07-16,45.490002,45.549999,45.02,45.130001,640900,44.353044
2013-07-17,45.34,45.59,45.189999,45.27,756000,44.490634
2013-07-18,45.349998,45.779999,45.330002,45.75,481300,44.96237
2013-07-19,45.73,45.950001,45.610001,45.810001,467000,45.021338
2013-07-22,45.799999,46.32,45.740002,46.049999,552100,45.257204
2013-07-23,46.139999,46.27,45.91,45.939999,625600,45.149097
2013-07-24,46.189999,46.279999,45.599998,45.779999,498100,44.991852
2013-07-25,45.669998,45.82,45.490002,45.639999,829900,44.854263
2013-07-26,45.380001,46.0,45.380001,45.759998,1128100,44.972196
2013-07-29,45.68,45.959999,45.540001,45.73,598300,44.942713
2013-07-30,45.959999,46.169998,45.75,46.049999,526800,45.257204
2013-07-31,46.189999,46.77,46.189999,46.279999,1101600,45.483244
2013-08-01,46.740002,47.849998,46.709999,47.700001,1962200,46.878799
2013-08-02,47.380001,47.84,47.279999,47.779999,880400,46.95742
2013-08-05,47.599998,48.009998,47.540001,47.799999,981200,46.977076
2013-08-06,47.650002,47.970001,46.990002,47.150002,1718900,46.338269
2013-08-07,45.639999,46.380001,43.869999,45.549999,2996800,44.765812
2013-08-08,45.5,46.009998,45.349998,45.740002,727300,44.952543
2013-08-09,45.759998,45.91,45.34,45.419998,995800,44.638049
2013-08-12,45.169998,46.040001,45.169998,45.759998,576500,44.972196
2013-08-13,45.900002,45.900002,45.41,45.73,527500,44.942713
2013-08-14,45.759998,45.830002,44.959999,44.98,954000,44.205625
2013-08-15,44.59,44.599998,43.599998,43.700001,1460500,42.947663
2013-08-16,43.700001,44.139999,43.310001,43.43,1671400,42.682311
2013-08-19,43.459999,44.040001,43.439999,43.790001,1031600,43.036114
2013-08-20,43.849998,44.290001,43.639999,44.130001,771900,43.37026
2013-08-21,43.93,44.240002,43.740002,43.779999,796700,43.026284
2013-08-22,43.950001,44.330002,43.77,44.23,457800,43.468537
2013-08-23,44.380001,44.450001,44.110001,44.25,882000,43.488193
2013-08-26,44.389999,44.66,44.220001,44.369999,588300,43.606126
2013-08-27,44.130001,44.150002,43.27,43.27,989600,42.525066
2013-08-28,43.279999,43.610001,43.099998,43.450001,538900,42.701967
2013-08-29,43.32,43.66,43.32,43.48,844700,42.731449
2013-08-30,43.490002,43.52,42.84,42.919998,1185200,42.181089
2013-09-03,43.509998,43.619999,42.23,42.599998,2121000,41.866598
2013-09-04,42.650002,43.48,42.48,43.369999,1503700,42.623342
2013-09-05,43.470001,44.029999,43.34,43.860001,669900,43.104908
2013-09-06,43.880001,44.279999,43.389999,43.98,884100,43.222841
2013-09-09,44.18,44.310001,43.869999,43.900002,1683600,43.144221
2013-09-10,44.23,44.43,44.060001,44.310001,1587300,43.547162
2013-09-11,44.32,44.490002,44.09,44.490002,1178100,43.724063
2013-09-12,45.599998,47.0,45.169998,45.57,4202000,44.845949
2013-09-13,45.889999,45.93,44.880001,45.139999,2075700,44.422781
2013-09-16,45.619999,45.889999,45.130001,45.32,1073200,44.599922
2013-09-17,45.259998,45.470001,45.110001,45.470001,1703700,44.74754
2013-09-18,45.360001,45.950001,45.189999,45.779999,1469100,45.052612
2013-09-19,45.939999,46.490002,45.830002,46.02,1729300,45.2888
2013-09-20,46.27,46.52,45.459999,46.0,27213500,45.269117
2013-09-23,45.849998,46.189999,45.810001,46.029999,3233500,45.29864
2013-09-24,45.970001,46.41,45.889999,46.220001,2640200,45.485623
2013-09-25,46.25,46.610001,46.02,46.169998,2892900,45.436415
2013-09-26,46.209999,46.349998,45.82,46.209999,1758400,45.47578
2013-09-27,45.880001,45.990002,45.59,45.639999,1384600,44.914837
2013-09-30,45.150002,46.099998,45.150002,46.02,1671500,45.2888
2013-10-01,46.130001,46.380001,45.43,45.689999,1806800,44.964042
2013-10-02,45.580002,45.580002,44.970001,45.439999,1169000,44.718014
2013-10-03,45.200001,45.419998,44.439999,44.830002,1570900,44.117709
2013-10-04,44.84,45.23,44.669998,44.98,1329000,44.265324
