Date,Open_ANTM,High_ANTM,Low_ANTM,Close_ANTM,Volume_ANTM,AdjClose_ANTM
2015-06-08,162.539993,163.899994,161.710007,161.889999,1097400,159.653105
2015-06-09,162.339996,162.940002,161.589996,162.589996,1080900,160.34343
2015-06-10,163.130005,164.559998,162.429993,164.369995,1145800,162.098834
2015-06-11,164.529999,165.330002,163.740005,163.970001,1200800,161.704367
2015-06-12,163.309998,163.800003,160.649994,160.710007,1567500,158.489417
2015-06-15,161.449997,167.199997,160.360001,164.460007,3500500,162.187602
2015-06-16,164.309998,167.850006,164.259995,166.850006,1505200,164.544578
2015-06-17,167.5,167.979996,164.600006,165.160004,1170000,162.877927
2015-06-18,165.490005,167.059998,164.949997,165.240005,1275200,162.956823
2015-06-19,165.100006,165.860001,164.449997,165.059998,1326900,162.779303
2015-06-22,170.5,173.589996,168.720001,171.039993,5006000,168.67667
2015-06-23,170.740005,170.740005,162.020004,170.0,3526700,167.651047
2015-06-24,170.059998,170.910004,167.470001,167.970001,1915600,165.649098
2015-06-25,167.729996,170.580002,165.899994,170.339996,2724700,167.986346
2015-06-26,170.529999,171.0,164.679993,164.679993,4343200,162.404548
2015-06-29,165.25,165.380005,162.440002,163.059998,2083700,160.806937
2015-06-30,163.800003,165.850006,163.690002,164.139999,1790500,161.872016
2015-07-01,165.619995,165.929993,164.020004,165.220001,1140600,162.937095
2015-07-02,165.789993,165.789993,162.619995,163.139999,1559200,160.885834
2015-07-06,160.820007,162.429993,157.369995,161.600006,2772800,159.367119
2015-07-07,162.490005,162.660004,158.089996,160.330002,2611100,158.114663
2015-07-08,159.5,160.550003,159.0,159.389999,1312500,157.187649
2015-07-09,161.289993,161.979996,158.580002,158.580002,1675200,156.388843
2015-07-10,159.669998,161.009995,159.300003,159.729996,1539100,157.522947
2015-07-13,160.199997,160.820007,155.070007,156.449997,2716200,154.288269
2015-07-14,156.570007,160.809998,156.410004,159.970001,1823300,157.759637
2015-07-15,160.100006,161.800003,158.820007,159.600006,1292600,157.394754
2015-07-16,159.429993,160.059998,157.009995,157.600006,1551200,155.422389
2015-07-17,157.669998,158.610001,157.050003,158.589996,1469600,156.3987
2015-07-20,158.559998,158.839996,154.5,156.589996,2109700,154.426334
2015-07-21,156.350006,157.0,154.389999,155.779999,1448600,153.627529
2015-07-22,155.610001,156.789993,154.770004,155.100006,1102700,152.956932
2015-07-23,156.600006,157.119995,154.009995,155.210007,2284400,153.065413
2015-07-24,152.309998,154.149994,148.779999,150.860001,4747600,148.775512
2015-07-27,150.800003,152.029999,149.889999,151.5,2481100,149.406668
2015-07-28,152.429993,155.0,151.0,154.199997,3245700,152.069359
2015-07-29,155.850006,157.0,151.729996,155.270004,3495200,153.124581
2015-07-30,156.029999,157.050003,152.619995,154.889999,3408100,152.749827
2015-07-31,155.860001,156.119995,153.639999,154.270004,2616000,152.138399
2015-08-03,154.279999,155.270004,152.050003,152.779999,1868100,150.668981
2015-08-04,153.800003,154.0,151.770004,152.5,1449100,150.392851
2015-08-05,153.440002,155.009995,152.380005,154.949997,2222900,152.808996
2015-08-06,154.720001,155.949997,152.179993,152.440002,1423200,150.333683
2015-08-07,152.289993,153.0,151.889999,152.630005,1864600,150.52106
2015-08-10,152.600006,153.770004,152.199997,152.330002,996700,150.225202
2015-08-11,152.0,152.759995,151.429993,152.419998,1153500,150.313955
2015-08-12,151.580002,152.0,148.800003,149.470001,1842300,147.404719
2015-08-13,149.970001,150.610001,148.449997,149.690002,1548100,147.62168
2015-08-14,149.690002,150.449997,148.440002,149.300003,1687600,147.23707
2015-08-17,149.389999,152.25,149.270004,151.899994,1860200,149.801135
2015-08-18,152.179993,154.5,151.869995,153.300003,1996900,151.1818
2015-08-19,152.429993,152.869995,150.779999,151.949997,1354900,149.850448
2015-08-20,150.539993,151.630005,147.720001,147.860001,1939700,145.816964
2015-08-21,145.669998,147.5,144.770004,146.619995,3783600,144.594092
2015-08-24,138.889999,143.820007,136.039993,140.679993,4219200,138.736165
2015-08-25,142.509995,143.860001,137.940002,138.139999,2623500,136.231268
2015-08-26,140.259995,142.309998,138.320007,142.160004,2606100,140.195726
