Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2013-06-14,65.540001,65.699997,64.830002,64.889999,1113200,62.687442
2013-06-17,65.190002,65.730003,64.919998,65.379997,1377900,63.160808
2013-06-18,65.540001,65.699997,65.050003,65.629997,1238400,63.402322
2013-06-19,65.449997,65.68,63.849998,63.889999,1433400,61.721385
2013-06-20,63.389999,63.82,62.700001,62.860001,1356400,60.726348
2013-06-21,63.25,63.580002,62.790001,63.259998,1434400,61.112768
2013-06-24,62.869999,63.220001,62.189999,62.84,920200,60.707026
2013-06-25,63.27,63.900002,63.209999,63.689999,1534000,61.528173
2013-06-26,64.18,64.540001,63.759998,64.440002,1137100,62.252719
2013-06-27,64.739998,65.0,64.610001,64.959999,764000,62.755066
2013-06-28,64.57,64.739998,63.950001,64.349998,3201800,62.16577
2013-07-01,64.870003,65.610001,64.550003,65.360001,1097000,63.14149
2013-07-02,65.190002,65.919998,64.709999,65.089996,1248100,62.880651
2013-07-03,64.639999,64.940002,64.199997,64.610001,457000,62.416947
2013-07-05,65.029999,65.660004,64.889999,65.660004,532100,63.43131
2013-07-08,65.760002,66.339996,65.059998,65.43,1195300,63.209114
2013-07-09,65.879997,66.489998,65.139999,65.370003,1265200,63.151153
2013-07-10,65.279999,65.720001,65.040001,65.300003,1201400,63.083529
2013-07-11,66.190002,67.25,66.099998,67.160004,735200,64.880396
2013-07-12,67.110001,67.25,66.410004,67.019997,837600,64.745141
2013-07-15,66.940002,67.870003,66.779999,67.419998,1056100,65.131565
2013-07-16,67.5,67.690002,66.730003,67.160004,1439200,64.880396
2013-07-17,67.449997,67.760002,66.900002,67.379997,649300,65.092922
2013-07-18,67.5,67.949997,67.169998,67.510002,1127600,65.218514
2013-07-19,67.5,67.599998,67.050003,67.480003,1248600,65.189534
2013-07-22,67.5,67.739998,67.379997,67.510002,809700,65.218514
2013-07-23,67.480003,67.629997,66.970001,67.059998,831700,64.783784
2013-07-24,67.150002,67.220001,66.720001,66.879997,1130700,64.609894
2013-07-25,66.449997,67.589996,66.410004,67.550003,1252400,65.257157
2013-07-26,67.089996,67.529999,66.120003,67.529999,1128300,65.237832
2013-07-29,67.470001,67.470001,66.339996,66.529999,901700,64.271775
2013-07-30,66.800003,67.68,66.669998,67.419998,1315600,65.303338
2013-07-31,67.650002,68.279999,67.400002,67.5,1713400,65.380828
2013-08-01,67.870003,69.589996,67.870003,68.650002,2535400,66.494725
2013-08-02,68.629997,69.150002,68.230003,69.080002,1489100,66.911226
2013-08-05,68.849998,69.080002,68.550003,68.93,1090500,66.765933
2013-08-06,68.690002,69.230003,68.449997,68.970001,1901200,66.804679
2013-08-07,68.720001,68.949997,68.349998,68.639999,1071000,66.485037
2013-08-08,68.949997,69.300003,68.779999,69.019997,1400100,66.853104
2013-08-09,68.32,69.309998,68.32,69.080002,1300600,66.911226
2013-08-12,68.699997,69.160004,68.0,68.150002,1496700,66.010423
