Date,Open_APC,High_APC,Low_APC,Close_APC,Volume_APC,AdjClose_APC
2015-06-08,83.779999,84.699997,82.690002,82.959999,3846800,82.154145
2015-06-09,83.839996,84.699997,83.099998,83.220001,4515600,82.411621
2015-06-10,84.550003,84.790001,83.809998,84.610001,2120100,83.788119
2015-06-11,84.550003,84.949997,83.720001,83.93,1845100,83.114724
2015-06-12,83.43,83.5,82.75,83.120003,3578600,82.312594
2015-06-15,82.449997,83.360001,82.360001,82.669998,1892500,81.866961
2015-06-16,82.519997,83.839996,82.519997,83.610001,1515200,82.797832
2015-06-17,84.419998,84.709999,82.639999,83.029999,2008800,82.223465
2015-06-18,83.580002,83.690002,82.730003,82.889999,2408400,82.084825
2015-06-19,82.110001,83.07,81.669998,81.82,4028900,81.025219
2015-06-22,82.419998,82.440002,81.269997,81.970001,2007300,81.173764
2015-06-23,82.239998,82.690002,81.660004,82.220001,1941000,81.421335
2015-06-24,82.059998,82.629997,81.260002,81.449997,3847400,80.65881
2015-06-25,81.699997,81.82,80.68,80.730003,3039700,79.945811
2015-06-26,80.669998,81.389999,79.82,81.360001,3973800,80.569688
2015-06-29,80.089996,80.790001,78.5,78.589996,3931900,77.826591
2015-06-30,79.110001,79.300003,77.75,78.059998,4270800,77.301741
2015-07-01,78.260002,78.699997,76.559998,77.18,5155200,76.430292
2015-07-02,77.379997,77.989998,76.720001,76.779999,3474400,76.034176
2015-07-06,75.599998,77.449997,75.169998,76.379997,3967700,75.63806
2015-07-07,76.650002,78.330002,75.290001,77.919998,5979100,77.163101
2015-07-08,77.529999,77.620003,75.110001,75.470001,3653100,74.736903
2015-07-09,76.839996,77.32,76.0,76.080002,3703200,75.340978
2015-07-10,76.75,77.389999,75.389999,75.709999,3381000,74.97457
2015-07-13,75.629997,76.489998,75.379997,75.699997,3480900,74.964665
2015-07-14,75.5,76.639999,75.339996,76.370003,5639100,75.628162
2015-07-15,75.620003,76.709999,74.839996,75.199997,4723600,74.469522
2015-07-16,76.150002,76.150002,74.330002,74.690002,4296600,73.964481
2015-07-17,74.529999,74.629997,73.349998,73.879997,4012800,73.162344
2015-07-20,73.610001,73.650002,72.290001,72.620003,4795600,71.914589
2015-07-21,73.150002,74.120003,72.879997,73.370003,4907600,72.657303
2015-07-22,72.830002,73.610001,72.349998,72.660004,5267000,71.954201
2015-07-23,72.800003,73.07,71.650002,72.540001,3054200,71.835364
2015-07-24,72.400002,72.540001,71.029999,71.610001,3418800,70.914398
2015-07-27,70.559998,71.510002,69.720001,69.989998,4734200,69.310131
2015-07-28,70.209999,73.400002,69.400002,72.849998,6230000,72.14235
2015-07-29,74.949997,77.5,73.75,76.279999,7818100,75.539032
2015-07-30,76.199997,77.269997,75.519997,76.629997,3999800,75.885631
2015-07-31,76.099998,76.160004,74.099998,74.349998,4025800,73.62778
2015-08-03,73.610001,74.639999,72.800003,73.220001,3829000,72.508759
2015-08-04,73.940002,74.57,73.629997,74.300003,4208700,73.57827
2015-08-05,75.400002,76.290001,73.910004,74.010002,3898500,73.291086
2015-08-06,73.669998,76.389999,73.150002,76.150002,5069400,75.410298
2015-08-07,75.849998,76.760002,72.650002,73.050003,4695100,72.340412
2015-08-10,73.32,75.730003,73.029999,75.699997,3446800,74.964665
2015-08-11,74.110001,75.669998,73.360001,75.470001,3653900,74.736903
2015-08-12,75.330002,78.589996,74.440002,78.099998,6121400,77.341353
2015-08-13,77.190002,77.75,76.089996,76.239998,4298700,75.49942
2015-08-14,76.260002,77.25,75.93,76.25,4219100,75.509325
2015-08-17,76.0,77.150002,75.620003,76.540001,2399800,75.796509
2015-08-18,75.989998,77.260002,75.970001,76.639999,2545000,75.895536
2015-08-19,75.870003,76.489998,71.959999,72.379997,7351800,71.676915
2015-08-20,72.419998,73.139999,70.730003,71.050003,6733200,70.35984
2015-08-21,70.459999,71.230003,68.779999,68.779999,6927000,68.111886
2015-08-24,60.400002,67.940002,58.099998,65.550003,11059400,64.913265
2015-08-25,67.980003,68.239998,63.970001,63.990002,5022600,63.368418
2015-08-26,65.510002,65.93,63.59,65.160004,6274900,64.527054
2015-08-27,66.879997,70.199997,66.5,69.010002,9018000,68.339655
2015-08-28,68.660004,72.309998,68.519997,70.940002,6647100,70.250908
2015-08-31,69.639999,72.25,67.849998,71.580002,7077100,70.88469
2015-09-01,69.639999,70.300003,67.650002,68.290001,5283600,67.626648
2015-09-02,69.290001,69.580002,67.07,69.529999,4221800,68.8546
2015-09-03,69.849998,71.32,68.739998,69.510002,4016700,68.834798
2015-09-04,68.349998,69.07,67.610001,68.339996,3386000,67.94006
2015-09-08,69.120003,69.790001,67.690002,69.699997,3565600,69.292101
2015-09-09,69.699997,70.730003,67.059998,67.199997,4004500,66.806732
2015-09-10,67.330002,67.75,66.059998,67.209999,4137500,66.816675
2015-09-11,66.199997,66.389999,64.760002,65.650002,4574500,65.265807
2015-09-14,65.599998,65.639999,64.480003,65.0,3587800,64.619609
2015-09-15,65.349998,66.489998,65.209999,65.720001,2571400,65.335397
2015-09-16,66.43,69.260002,66.400002,69.139999,4678700,68.735381
2015-09-17,69.07,70.040001,68.199997,68.57,6232900,68.168717
2015-09-18,67.370003,67.699997,65.0,65.470001,6832600,65.08686
2015-09-21,66.269997,66.730003,65.059998,65.860001,2564600,65.474577
2015-09-22,64.510002,66.379997,64.330002,64.809998,2781100,64.430719
2015-09-23,65.07,65.480003,63.18,63.18,4733300,62.810261
2015-09-24,63.099998,64.239998,62.509998,63.700001,3459600,63.327218
2015-09-25,64.440002,64.739998,62.029999,62.669998,4251900,62.303243
2015-09-28,61.869999,61.970001,59.310001,59.43,6347200,59.082206
2015-09-29,59.040001,59.84,58.290001,59.040001,4435900,58.694489
2015-09-30,59.740002,60.48,59.07,60.389999,3989000,60.036587
2015-10-01,61.34,62.330002,59.75,60.950001,4083500,60.593311
2015-10-02,60.34,64.269997,60.099998,64.110001,5264100,63.734818
2015-10-05,65.080002,66.989998,64.440002,66.489998,5365100,66.100888
2015-10-06,66.720001,68.779999,66.290001,68.650002,4978500,68.248251
2015-10-07,70.0,70.5,67.449997,69.139999,5285300,68.735381
2015-10-08,69.010002,72.730003,68.760002,72.330002,7105000,71.906715
2015-10-09,72.470001,72.849998,70.910004,72.400002,5410000,71.976305
2015-10-12,72.459999,72.739998,69.970001,71.089996,4138000,70.673966
2015-10-13,70.529999,72.120003,69.779999,70.580002,2961200,70.166956
2015-10-14,70.639999,72.260002,70.489998,71.57,4428100,71.15116
2015-10-15,71.419998,72.989998,70.779999,72.959999,4103900,72.533025
2015-10-16,73.559998,73.870003,71.720001,73.389999,4377600,72.960509
2015-10-19,72.440002,72.940002,71.709999,72.309998,4051100,71.886828
2015-10-20,72.120003,73.769997,71.809998,73.290001,2910500,72.861096
2015-10-21,72.769997,73.199997,71.43,71.550003,2723400,71.131281
2015-10-22,72.050003,73.239998,71.510002,73.0,3318700,72.572792
2015-10-23,72.32,73.080002,71.300003,72.029999,4558000,71.608467
2015-10-26,71.660004,71.889999,68.739998,69.0,4821000,68.596201
2015-10-27,67.5,67.809998,65.0,65.290001,8163400,64.907913
2015-10-28,65.290001,67.050003,63.650002,65.550003,7213300,65.166394
2015-10-29,65.269997,68.169998,64.830002,67.580002,6892000,67.184513
2015-10-30,67.779999,67.919998,65.620003,66.879997,5663900,66.488605
2015-11-02,65.839996,67.720001,65.620003,67.379997,4522100,66.985679
2015-11-03,67.800003,71.739998,67.769997,70.839996,6343900,70.425429
2015-11-04,70.849998,72.099998,68.860001,70.220001,4940100,69.809062
2015-11-05,69.709999,71.739998,69.419998,70.099998,3208400,69.689762
2015-11-06,69.5,70.029999,67.900002,68.599998,3723500,68.19854
2015-11-09,68.93,69.919998,67.400002,67.900002,3369600,67.50264
2015-11-10,67.470001,72.239998,63.0,63.419998,17835800,63.048854
2015-11-11,64.480003,64.75,60.220001,61.009998,13250400,60.652958
2015-11-12,59.880001,60.860001,58.349998,58.5,9300000,58.157648
2015-11-13,58.490002,61.09,57.860001,60.049999,9381700,59.698577
2015-11-16,60.119999,62.52,59.540001,62.110001,7089700,61.746523
2015-11-17,61.84,61.860001,60.16,61.119999,7130000,60.762315
2015-11-18,61.689999,62.560001,60.549999,61.740002,4020700,61.378689
2015-11-19,61.150002,61.34,58.849998,59.639999,5114300,59.290976
2015-11-20,59.849998,59.849998,58.490002,58.740002,4338000,58.396246
2015-11-23,58.75,60.84,58.349998,60.349998,6585400,59.99682
2015-11-24,60.900002,62.490002,60.849998,62.02,5438300,61.657049
2015-11-25,61.299999,62.240002,61.029999,61.130001,2784900,60.772258
2015-11-27,60.52,61.02,60.130001,60.709999,2304900,60.354714
2015-11-30,60.880001,62.0,59.799999,59.900002,5533100,59.549457
2015-12-01,60.09,61.189999,59.75,60.5,5338800,60.145944
2015-12-02,59.889999,60.849998,58.25,58.77,6525600,58.426069
2015-12-03,59.450001,59.880001,57.790001,58.139999,6107900,57.799755
2015-12-04,57.41,57.950001,55.869999,56.810001,8315600,56.47754
2015-12-07,54.779999,54.91,52.77,53.68,11092700,53.620699
2015-12-08,52.43,53.150002,51.220001,51.82,9576500,51.762753
2015-12-09,51.98,53.52,50.349998,50.830002,8609600,50.773849
2015-12-10,50.57,52.400002,49.889999,51.23,8363900,51.173405
2015-12-11,50.009998,50.23,48.709999,49.549999,9869800,49.495261
2015-12-14,49.119999,49.59,47.349998,47.59,11824800,47.537427
2015-12-15,48.23,49.200001,47.720001,48.799999,7056200,48.746089
2015-12-16,48.740002,49.23,47.299999,47.669998,7657600,47.617337
2015-12-17,48.639999,48.990002,45.91,46.73,13563500,46.678376
2015-12-18,46.470001,47.389999,45.669998,45.669998,8659200,45.619546
2015-12-21,45.869999,47.720001,44.5,46.549999,13333200,46.498575
2015-12-22,46.599998,48.84,46.360001,48.549999,11511400,48.496365
2015-12-23,49.549999,51.560001,48.75,51.5,8278800,51.443107
2015-12-24,51.400002,51.740002,50.639999,51.220001,2691600,51.163418
2015-12-28,50.220001,50.57,49.049999,49.689999,4945200,49.635105
2015-12-29,50.57,50.880001,49.259998,49.73,3188000,49.675062
2015-12-30,48.790001,49.93,48.330002,48.380001,3534800,48.326555
2015-12-31,48.220001,49.049999,47.970001,48.580002,3672300,48.526335
2016-01-04,48.509998,50.0,48.060001,49.130001,5909300,49.075727
2016-01-05,49.43,49.490002,47.75,48.52,4130000,48.4664
2016-01-06,46.73,47.099998,43.720001,43.77,10750100,43.721647
2016-01-07,41.950001,42.900002,39.799999,40.110001,13733200,40.065691
2016-01-08,40.610001,41.900002,39.799999,40.560001,11345600,40.515194
2016-01-11,40.560001,40.619999,37.52,37.75,10090900,37.708297
2016-01-12,38.57,38.68,36.16,37.330002,25166300,37.288763
2016-01-13,38.060001,38.310001,34.0,34.860001,15524700,34.82149
2016-01-14,35.130001,35.68,33.66,35.0,15146700,34.961335
2016-01-15,32.959999,33.93,31.85,32.02,15072200,31.984628
2016-01-19,32.049999,32.84,30.450001,30.85,13316100,30.81592
2016-01-20,30.24,31.18,28.16,30.540001,16346400,30.506263
2016-01-21,30.360001,33.810001,30.030001,33.549999,11363200,33.512936
2016-01-22,35.25,36.400002,34.52,35.48,13440800,35.440804
2016-01-25,34.599998,35.650002,32.25,32.310001,9761600,32.274308
2016-01-26,33.23,34.709999,32.470001,34.59,10236900,34.551788
2016-01-27,34.009998,36.639999,33.52,35.529999,10505500,35.490748
2016-01-28,37.849998,38.77,36.5,37.25,12159700,37.208849
2016-01-29,37.66,39.32,37.27,39.09,9588400,39.046817
2016-02-01,38.540001,38.68,36.759998,38.25,9735200,38.207745
2016-02-02,37.650002,40.610001,37.630001,39.259998,16811900,39.216627
2016-02-03,39.939999,42.52,39.150002,42.490002,14322900,42.443062
2016-02-04,42.52,44.060001,40.599998,41.360001,13684700,41.31431
2016-02-05,40.380001,41.720001,39.459999,40.77,8553000,40.724961
2016-02-08,37.889999,40.349998,37.540001,40.049999,8300500,40.005756
2016-02-09,38.900002,39.59,37.049999,37.240002,12085700,37.198862
2016-02-10,37.150002,38.080002,36.040001,37.389999,10903100,37.348694
2016-02-11,35.950001,36.540001,34.669998,35.68,16470300,35.640584
2016-02-12,36.490002,38.259998,35.790001,37.810001,7517000,37.768232
2016-02-16,38.919998,39.200001,37.709999,39.09,6102300,39.046817
2016-02-17,39.799999,41.830002,39.560001,40.5,10239500,40.455259
2016-02-18,40.849998,41.16,36.93,37.029999,11708000,36.989091
2016-02-19,36.0,36.0,34.240002,35.349998,12915000,35.310947
2016-02-22,35.349998,37.43,35.349998,37.349998,7094600,37.308737
2016-02-23,36.75,37.049999,35.150002,35.299999,6104400,35.261003
2016-02-24,34.400002,36.369999,33.849998,36.209999,8671600,36.169997
2016-02-25,37.16,38.610001,36.93,37.639999,8422900,37.598418
2016-02-26,38.689999,39.470001,37.970001,38.02,7059700,37.977999
2016-02-29,38.07,38.389999,36.860001,37.950001,7924200,37.908077
2016-03-01,39.16,40.639999,37.650002,40.110001,10922100,40.065691
2016-03-02,39.84,42.689999,39.73,42.650002,9839700,42.602886
2016-03-03,42.240002,43.450001,41.759998,42.98,9478100,42.932519
2016-03-04,43.439999,45.900002,42.200001,45.259998,13165300,45.209999
2016-03-07,44.98,45.810001,44.200001,45.099998,9934600,45.099998
2016-03-08,44.549999,44.639999,41.0,41.139999,7708100,41.139999
2016-03-09,42.009998,43.490002,40.630001,42.32,7702700,42.32
2016-03-10,41.799999,42.57,40.02,42.5,7024300,42.5
2016-03-11,44.349998,47.130001,44.099998,46.290001,14784100,46.290001
2016-03-14,45.25,47.150002,45.049999,46.310001,6247200,46.310001
2016-03-15,45.59,47.080002,44.810001,47.02,5479000,47.02
2016-03-16,47.32,49.080002,46.5,48.709999,9003100,48.709999
2016-03-17,49.509998,50.389999,48.959999,49.259998,6748300,49.259998
2016-03-18,49.689999,49.939999,47.84,48.759998,9998000,48.759998
2016-03-21,48.830002,49.139999,47.080002,48.610001,5314400,48.610001
2016-03-22,48.049999,49.169998,47.860001,48.009998,4656100,48.009998
2016-03-23,47.470001,48.310001,46.16,46.290001,6228800,46.290001
2016-03-24,44.880001,46.5,44.34,46.27,8722800,46.27
2016-03-28,46.610001,46.709999,45.209999,45.630001,6175400,45.630001
2016-03-29,44.669998,46.380001,44.400002,46.23,5252800,46.23
2016-03-30,46.970001,47.43,45.48,46.389999,5334900,46.389999
2016-03-31,46.130001,47.369999,45.860001,46.57,5172400,46.57
2016-04-01,45.07,46.139999,45.009998,45.810001,3373400,45.810001
2016-04-04,45.919998,46.639999,44.380001,44.59,4418000,44.59
2016-04-05,44.0,44.990002,43.779999,44.099998,4378100,44.099998
2016-04-06,44.040001,46.009998,43.52,45.709999,9740000,45.709999
2016-04-07,45.419998,46.27,45.09,45.75,4384700,45.75
2016-04-08,47.490002,48.52,47.099998,48.290001,5921100,48.290001
2016-04-11,48.77,49.150002,47.470001,47.529999,3956100,47.529999
2016-04-12,47.889999,50.540001,47.549999,50.110001,5868600,50.110001
2016-04-13,49.75,50.470001,48.700001,49.32,4392700,49.32
2016-04-14,49.669998,49.880001,48.599998,49.459999,4230200,49.459999
2016-04-15,49.25,49.849998,48.279999,48.91,4383800,48.91
2016-04-18,46.970001,50.619999,46.75,50.130001,4657800,50.130001
2016-04-19,50.740002,51.880001,50.119999,50.529999,6727000,50.529999
2016-04-20,50.439999,51.619999,49.73,50.66,6906100,50.66
2016-04-21,50.619999,50.919998,49.110001,50.029999,7743500,50.029999
2016-04-22,50.139999,52.73,50.049999,52.549999,6226100,52.549999
2016-04-25,52.130001,52.380001,50.400002,51.09,5111600,51.09
2016-04-26,51.439999,52.66,50.75,52.360001,5337900,52.360001
2016-04-27,53.029999,55.459999,53.029999,54.779999,7517000,54.779999
2016-04-28,54.360001,55.439999,53.029999,53.200001,4038100,53.200001
2016-04-29,53.830002,54.59,51.630001,52.759998,5034800,52.759998
2016-05-02,52.619999,52.700001,50.900002,51.950001,5013300,51.950001
2016-05-03,50.669998,52.150002,49.110001,50.099998,9297900,50.099998
2016-05-04,49.099998,50.400002,46.93,47.02,9123400,47.02
2016-05-05,48.259998,48.34,45.869999,46.099998,9377500,46.099998
2016-05-06,45.639999,47.68,45.220001,46.560001,5660300,46.560001
2016-05-09,46.07,46.490002,44.810001,44.990002,4113500,44.990002
2016-05-10,45.290001,47.049999,45.169998,47.009998,3926200,47.009998
2016-05-11,46.610001,48.799999,46.380001,47.919998,4894000,47.919998
2016-05-12,48.599998,49.669998,47.43,48.25,6732200,48.25
2016-05-13,47.349998,49.110001,47.349998,47.720001,6032500,47.720001
2016-05-16,48.509998,49.84,48.48,49.169998,7020300,49.169998
2016-05-17,49.299999,50.43,48.950001,49.740002,4179600,49.740002
2016-05-18,49.669998,50.23,48.509998,48.939999,3608600,48.939999
2016-05-19,48.02,49.52,47.509998,49.220001,3682900,49.220001
2016-05-20,49.599998,49.830002,48.720001,49.299999,2844200,49.299999
2016-05-23,48.889999,49.48,48.290001,49.200001,4003000,49.200001
2016-05-24,49.549999,50.439999,48.950001,50.240002,3537500,50.240002
2016-05-25,50.77,52.279999,50.77,52.09,6274400,52.09
2016-05-26,53.0,53.0,52.009998,52.279999,3943300,52.279999
2016-05-27,51.91,51.98,51.009998,51.529999,3876400,51.529999
2016-05-31,51.950001,53.0,51.540001,51.860001,4143000,51.860001
2016-06-01,51.860001,52.509998,50.720001,52.400002,4003400,52.400002
2016-06-02,51.529999,51.84,50.599998,51.689999,3681200,51.689999
2016-06-03,51.82,52.209999,50.759998,51.439999,3136200,51.439999
