Date,Open_APH,High_APH,Low_APH,Close_APH,Volume_APH,AdjClose_APH
2013-06-14,77.199997,77.300003,76.18,76.199997,733600,37.027653
2013-06-17,76.760002,79.68,76.699997,79.0,1912600,38.388251
2013-06-18,79.160004,79.660004,78.919998,79.279999,1077400,38.52431
2013-06-19,79.089996,79.470001,78.269997,78.269997,743800,38.033522
2013-06-20,77.190002,77.730003,75.449997,75.610001,1142000,36.740958
2013-06-21,76.290001,76.839996,75.800003,76.389999,1896000,37.11998
2013-06-24,75.470001,76.230003,74.879997,74.959999,1227600,36.425104
2013-06-25,75.870003,76.720001,75.639999,76.389999,985600,37.11998
2013-06-26,77.160004,77.660004,76.459999,77.519997,935000,37.669077
2013-06-27,77.959999,79.519997,77.870003,79.419998,1899800,38.592339
2013-06-28,79.389999,79.389999,77.940002,77.940002,2676600,37.873169
2013-07-01,78.589996,78.93,78.099998,78.5,3136000,38.145287
2013-07-02,78.5,78.860001,77.949997,78.470001,1205600,38.13071
2013-07-03,77.860001,79.129997,77.620003,78.900002,982000,38.339659
2013-07-05,79.419998,80.260002,79.169998,80.25,1023600,38.99566
2013-07-08,80.410004,80.860001,79.830002,80.480003,876600,39.107425
2013-07-09,81.110001,81.779999,80.870003,81.75,1001400,39.724551
2013-07-10,81.730003,82.779999,81.68,82.730003,1095000,40.200761
2013-07-11,83.300003,85.230003,82.919998,85.129997,1995800,41.366983
2013-07-12,85.089996,85.589996,84.940002,85.379997,1423600,41.488465
2013-07-15,85.410004,85.660004,84.870003,84.919998,780800,41.264939
2013-07-16,85.07,85.43,84.07,84.279999,1109800,40.953946
2013-07-17,84.769997,85.139999,84.089996,84.57,1031400,41.094865
2013-07-18,78.470001,79.0,76.0,76.349998,6433400,37.100543
2013-07-19,76.18,76.860001,75.080002,76.779999,2912200,37.309492
2013-07-22,77.029999,78.519997,76.699997,78.510002,1958800,38.150147
2013-07-23,78.550003,78.800003,77.400002,77.919998,2054600,37.863448
2013-07-24,78.230003,78.669998,77.550003,77.910004,1846200,37.858592
2013-07-25,77.639999,77.879997,77.110001,77.529999,1678400,37.673937
2013-07-26,76.68,77.599998,76.529999,77.510002,1506200,37.66422
2013-07-29,77.139999,77.720001,76.830002,77.370003,1205600,37.596191
2013-07-30,77.660004,78.279999,77.449997,77.970001,1935200,37.887746
2013-07-31,78.239998,79.199997,78.190002,78.559998,1568000,38.174442
2013-08-01,79.279999,79.970001,78.900002,79.870003,1283600,38.811009
2013-08-02,79.449997,79.800003,78.660004,79.089996,1092000,38.431982
2013-08-05,79.150002,80.779999,79.059998,79.370003,1190200,38.568045
2013-08-06,79.07,79.419998,78.669998,78.75,1460000,38.266769
2013-08-07,78.099998,78.5,77.309998,77.449997,1190400,37.635062
2013-08-08,77.879997,78.050003,77.370003,77.459999,1296400,37.639922
2013-08-09,77.440002,77.690002,76.870003,77.57,1476800,37.693375
2013-08-12,77.470001,77.779999,77.279999,77.489998,762800,37.6545
2013-08-13,77.949997,78.150002,77.190002,77.389999,998600,37.605908
2013-08-14,77.269997,77.489998,76.57,76.800003,782000,37.319212
2013-08-15,75.870003,75.940002,75.040001,75.089996,828000,36.488273
2013-08-16,74.860001,75.519997,74.650002,74.790001,1074200,36.342498
2013-08-19,74.699997,74.699997,74.110001,74.120003,1016200,36.016927
2013-08-20,74.169998,75.699997,74.059998,75.529999,1021000,36.702083
2013-08-21,75.239998,76.059998,74.970001,75.57,1361600,36.72152
2013-08-22,75.870003,77.879997,75.610001,77.82,1570600,37.814856
2013-08-23,77.959999,78.349998,77.470001,77.800003,1006200,37.80514
2013-08-26,77.790001,78.040001,77.019997,77.040001,555400,37.435834
2013-08-27,76.010002,76.580002,75.089996,75.169998,717800,36.527149
2013-08-28,75.25,76.410004,75.25,76.089996,760600,36.974201
2013-08-29,75.830002,76.800003,75.82,76.349998,391400,37.100543
2013-08-30,76.389999,76.610001,75.389999,75.769997,661800,36.818704
2013-09-03,76.25,76.650002,74.940002,75.349998,1606800,36.614616
2013-09-04,75.309998,76.580002,75.190002,76.360001,877600,37.105403
2013-09-05,76.279999,76.68,75.589996,75.629997,884600,36.750675
2013-09-06,75.690002,75.910004,74.739998,75.150002,1460600,36.517432
2013-09-09,75.790001,77.32,75.790001,76.199997,1989200,37.126459
2013-09-10,76.82,78.019997,76.720001,78.019997,1498000,38.013207
2013-09-11,77.709999,78.349998,77.459999,78.110001,774400,38.057059
2013-09-12,78.110001,78.199997,77.559998,77.730003,735800,37.871915
2013-09-13,78.019997,78.190002,76.830002,77.290001,890000,37.657535
2013-09-16,78.419998,78.480003,77.690002,78.080002,1078200,38.042442
2013-09-17,78.040001,78.379997,77.720001,78.120003,742600,38.061932
2013-09-18,78.0,78.389999,77.400002,78.339996,882800,38.169118
2013-09-19,78.379997,78.790001,78.300003,78.68,932400,38.334776
2013-09-20,78.010002,78.389999,76.610001,76.760002,1706600,37.399307
2013-09-23,77.010002,77.68,76.68,77.400002,1161200,37.71113
2013-09-24,77.419998,77.970001,76.580002,77.330002,805600,37.677025
2013-09-25,77.400002,78.029999,76.849998,77.790001,946200,37.901147
2013-09-26,77.779999,78.260002,77.510002,77.980003,632600,37.993721
2013-09-27,77.449997,77.620003,77.040001,77.540001,620000,37.779341
2013-09-30,76.790001,77.68,76.699997,77.379997,905200,37.701384
2013-10-01,77.389999,77.919998,77.050003,77.620003,916000,37.81832
2013-10-02,77.010002,77.550003,76.550003,77.550003,829600,37.784214
2013-10-03,77.190002,77.459999,75.730003,76.25,765200,37.150822
2013-10-04,76.470001,76.550003,76.169998,76.489998,1215600,37.267755
2013-10-07,75.889999,76.379997,75.580002,75.809998,659200,36.936442
2013-10-08,75.690002,76.209999,74.790001,74.830002,1434600,36.458965
2013-10-09,74.93,75.900002,74.169998,75.690002,1511200,36.877978
2013-10-10,76.480003,76.93,76.110001,76.18,1605400,37.116716
2013-10-11,75.860001,77.110001,75.860001,77.050003,1241600,37.540602
2013-10-14,76.610001,77.57,76.32,77.099998,1011800,37.564961
2013-10-15,76.730003,78.0,76.540001,77.449997,1854000,37.735489
2013-10-16,77.959999,79.25,77.809998,79.050003,2737000,38.51505
2013-10-17,79.080002,81.949997,78.309998,81.120003,2489200,39.523604
2013-10-18,81.910004,82.519997,81.699997,82.330002,2257200,40.113144
2013-10-21,82.43,82.690002,82.120003,82.339996,841600,40.118014
2013-10-22,82.349998,82.949997,81.93,81.989998,1367200,39.947486
2013-10-23,81.769997,81.949997,81.300003,81.559998,984600,39.73798
2013-10-24,81.339996,81.779999,81.199997,81.290001,1020800,39.606431
2013-10-25,81.440002,81.5,80.75,81.269997,1277200,39.596684
2013-10-28,81.389999,81.400002,80.370003,80.730003,1146800,39.333587
2013-10-29,80.919998,81.32,80.720001,80.940002,1303200,39.435903
2013-10-30,81.139999,81.220001,80.290001,80.419998,1230000,39.182545
2013-10-31,80.290001,81.230003,80.050003,80.290001,798200,39.119207
2013-11-01,80.580002,80.849998,79.669998,79.93,648200,38.943806
2013-11-04,80.160004,80.5,79.900002,80.290001,639800,39.119207
2013-11-05,79.949997,80.300003,79.459999,79.800003,596200,38.880468
2013-11-06,80.099998,80.900002,80.099998,80.879997,676800,39.406667
2013-11-07,81.040001,81.260002,79.980003,80.269997,1364600,39.10946
2013-11-08,80.290001,81.379997,80.18,81.339996,723000,39.63079
2013-11-11,81.129997,81.489998,80.82,81.089996,455200,39.508984
2013-11-12,80.900002,81.529999,80.620003,81.370003,716400,39.64541
2013-11-13,80.860001,81.720001,80.529999,81.690002,1393600,39.801321
2013-11-14,81.790001,82.75,81.660004,82.720001,1051800,40.303161
