Date,Open_AVY,High_AVY,Low_AVY,Close_AVY,Volume_AVY,AdjClose_AVY
2015-06-08,60.82,60.970001,60.610001,60.689999,659800,59.313037
2015-06-09,60.810001,61.369999,60.599998,61.23,692700,59.840786
2015-06-10,61.360001,62.290001,61.34,62.049999,1042700,60.642181
2015-06-11,61.950001,62.77,61.900002,62.169998,1141900,60.759457
2015-06-12,61.990002,62.73,61.959999,62.09,738600,60.681274
2015-06-15,61.73,61.75,60.98,61.07,949700,59.684416
2015-06-16,61.189999,61.810001,60.98,61.799999,542500,60.397853
2015-06-17,61.790001,62.639999,61.689999,62.450001,567800,61.033107
2015-06-18,62.59,63.150002,62.200001,62.619999,1107600,61.199248
2015-06-19,62.57,62.709999,62.200001,62.23,1258200,60.818097
2015-06-22,62.450001,62.5,61.869999,62.360001,1131900,60.945149
2015-06-23,62.509998,62.84,61.93,62.150002,1098300,60.739914
2015-06-24,62.18,62.259998,61.560001,61.650002,454800,60.251259
2015-06-25,61.880001,61.880001,61.34,61.400002,470300,60.006931
2015-06-26,61.599998,62.23,61.380001,62.200001,1853000,60.788779
2015-06-29,61.700001,61.889999,60.970001,61.02,557500,59.635551
2015-06-30,61.540001,61.599998,60.900002,60.939999,712000,59.557365
2015-07-01,61.380001,62.459999,61.150002,62.209999,941000,60.798551
2015-07-02,62.389999,62.599998,61.830002,62.169998,481000,60.759457
2015-07-06,61.5,62.25,61.32,61.580002,821400,60.182847
2015-07-07,61.57,61.959999,61.0,61.950001,851200,60.544451
2015-07-08,61.450001,61.709999,60.669998,60.689999,570400,59.313037
2015-07-09,61.400002,61.41,60.610001,60.630001,559900,59.2544
2015-07-10,61.299999,61.720001,61.209999,61.599998,389300,60.20239
2015-07-13,62.119999,62.540001,62.040001,62.380001,528100,60.964696
2015-07-14,62.32,63.279999,62.32,63.07,734500,61.639039
2015-07-15,63.189999,63.959999,63.040001,63.52,970300,62.07883
2015-07-16,63.740002,64.040001,62.849998,62.959999,872700,61.531534
2015-07-17,62.959999,62.959999,61.360001,61.82,1053100,60.4174
2015-07-20,61.84,62.349998,61.799999,62.029999,621000,60.622634
2015-07-21,62.099998,62.209999,61.360001,61.560001,495100,60.1633
2015-07-22,61.490002,62.02,61.349998,61.900002,656000,60.495587
2015-07-23,61.98,62.16,61.099998,61.220001,559200,59.831014
2015-07-24,61.080002,61.43,59.93,60.110001,506200,58.746198
2015-07-27,59.740002,60.009998,59.380001,59.790001,447400,58.433459
2015-07-28,60.0,61.259998,59.810001,61.130001,1089800,59.743056
2015-07-29,61.509998,63.939999,59.880001,60.860001,1496200,59.479182
2015-07-30,60.5,61.830002,60.34,61.599998,649300,60.20239
2015-07-31,61.959999,62.220001,60.540001,60.849998,724900,59.469406
2015-08-03,61.0,61.0,59.860001,60.540001,1008500,59.166442
2015-08-04,60.59,60.98,60.220001,60.310001,818000,58.941661
2015-08-05,60.98,61.950001,60.73,61.369999,816200,59.977609
2015-08-06,61.470001,62.310001,61.259998,61.869999,777000,60.466265
2015-08-07,61.950001,63.07,61.490002,63.040001,830700,61.609721
2015-08-10,63.290001,64.809998,63.290001,64.650002,1386800,63.183193
2015-08-11,64.160004,64.370003,63.82,64.290001,668400,62.831361
2015-08-12,63.560001,64.010002,62.799999,63.68,571400,62.2352
2015-08-13,63.57,64.019997,63.07,63.689999,537600,62.244971
2015-08-14,63.650002,64.290001,63.48,63.970001,573500,62.518621
2015-08-17,63.610001,64.760002,63.41,64.489998,383600,63.02682
2015-08-18,64.230003,64.43,63.68,63.779999,495800,62.33293
2015-08-19,63.220001,63.84,62.950001,63.529999,644100,62.088602
2015-08-20,63.09,63.189999,62.0,62.0,722800,60.593316
2015-08-21,61.619999,61.98,60.25,60.25,681400,58.883021
2015-08-24,55.110001,59.52,53.560001,57.23,1374500,55.93154
2015-08-25,58.75,58.889999,55.84,55.91,977000,54.641489
2015-08-26,57.139999,58.139999,55.990002,58.02,1039400,56.703617
2015-08-27,58.73,59.529999,58.040001,59.110001,682100,57.768886
2015-08-28,58.950001,59.669998,58.580002,59.57,929800,58.218449
2015-08-31,59.130001,59.630001,57.91,58.080002,681100,57.117022
2015-09-01,57.0,57.360001,55.91,56.299999,975000,55.366533
2015-09-02,56.860001,57.48,56.330002,57.48,657500,56.526968
2015-09-03,57.669998,58.619999,57.529999,58.0,845000,57.038347
2015-09-04,57.119999,58.099998,57.060001,57.439999,758600,56.487631
2015-09-08,58.5,59.209999,58.310001,59.110001,623500,58.129944
2015-09-09,59.549999,59.630001,58.450001,58.529999,838600,57.559558
2015-09-10,58.360001,59.540001,58.360001,58.889999,710200,57.91359
2015-09-11,58.549999,58.830002,58.0,58.709999,380300,57.736574
2015-09-14,58.709999,59.009998,58.130001,58.68,530300,57.707073
2015-09-15,58.509998,59.459999,58.23,59.23,684900,58.247953
2015-09-16,58.849998,60.349998,58.849998,60.209999,783000,59.211704
2015-09-17,60.240002,61.060001,59.990002,60.290001,701600,59.290379
2015-09-18,59.529999,60.029999,59.009998,59.16,844700,58.179114
2015-09-21,59.470001,59.830002,58.48,58.73,581300,57.756243
2015-09-22,57.860001,58.299999,57.119999,57.290001,926800,56.34012
2015-09-23,57.509998,57.779999,56.759998,57.259998,775600,56.310615
2015-09-24,56.73,56.990002,55.939999,56.82,869200,55.877911
2015-09-25,57.66,57.68,55.900002,56.73,680900,55.789403
2015-09-28,56.439999,56.68,55.509998,55.669998,797100,54.746977
2015-09-29,55.779999,56.0,55.290001,55.59,540500,54.668305
2015-09-30,56.290001,56.619999,55.57,56.57,997400,55.632056
2015-10-01,56.490002,58.209999,56.439999,58.150002,1317900,57.185861
