Date,Open_BK,High_BK,Low_BK,Close_BK,Volume_BK,AdjClose_BK
2013-06-14,29.48,29.59,29.059999,29.129999,2798600,27.608413
2013-06-17,29.370001,29.610001,29.139999,29.370001,5411800,27.835878
2013-06-18,29.469999,29.879999,29.309999,29.77,5058500,28.214984
2013-06-19,29.76,30.209999,29.459999,29.65,8815200,28.101251
2013-06-20,29.379999,29.379999,28.860001,28.969999,7825000,27.45677
2013-06-21,29.26,29.290001,28.1,28.450001,10809300,26.963933
2013-06-24,28.139999,28.23,27.540001,27.860001,10502400,26.404752
2013-06-25,28.200001,28.379999,27.98,28.27,5108300,26.793335
2013-06-26,28.52,28.639999,28.290001,28.33,6629700,26.850201
2013-06-27,28.58,28.799999,28.389999,28.719999,5526900,27.219829
2013-06-28,28.58,28.610001,27.91,28.049999,10586300,26.584826
2013-07-01,28.219999,28.99,28.209999,28.469999,7807800,26.982887
2013-07-02,28.48,29.09,28.190001,28.42,5977700,26.9355
2013-07-03,28.18,28.639999,28.01,28.530001,2845400,27.039755
2013-07-05,28.790001,29.32,28.790001,29.26,5315400,27.731623
2013-07-08,29.450001,29.52,28.950001,29.120001,7956900,27.598936
2013-07-09,29.459999,29.459999,28.91,29.34,6710000,27.807444
2013-07-10,29.34,29.549999,29.07,29.33,5102600,27.797966
2013-07-11,29.82,29.879999,29.43,29.77,5688300,28.214984
2013-07-12,29.77,30.09,29.639999,30.059999,5864400,28.489835
2013-07-15,30.389999,30.719999,30.18,30.690001,6847800,29.086928
2013-07-16,30.68,30.74,30.209999,30.35,8113700,28.764688
2013-07-17,31.049999,31.780001,30.77,30.92,10179700,29.304914
2013-07-18,31.01,31.82,30.92,31.469999,7810000,29.826184
2013-07-19,31.48,31.799999,31.17,31.77,5227200,30.110515
2013-07-22,31.68,32.189999,31.610001,32.07,4549200,30.394844
2013-07-23,32.099998,32.360001,32.029999,32.209999,4242600,30.527531
2013-07-24,32.279999,32.299999,31.77,31.92,5295400,30.25268
2013-07-25,31.68,31.950001,31.49,31.85,4268600,30.328859
2013-07-26,31.549999,31.77,31.35,31.76,4078700,30.243157
2013-07-29,31.67,31.870001,31.51,31.530001,4282300,30.024143
2013-07-30,31.700001,31.950001,31.459999,31.549999,4292600,30.043186
2013-07-31,31.629999,31.98,31.41,31.450001,5202400,29.947963
2013-08-01,31.83,32.25,31.82,32.0,4996500,30.471695
2013-08-02,31.93,31.950001,31.700001,31.799999,3128100,30.281246
2013-08-05,31.74,31.83,31.530001,31.68,3203100,30.166978
2013-08-06,31.66,31.77,31.440001,31.52,3137700,30.01462
