Date,Open_BLL,High_BLL,Low_BLL,Close_BLL,Volume_BLL,AdjClose_BLL
2013-06-14,43.41,43.59,43.189999,43.34,942000,42.257155
2013-06-17,43.580002,43.689999,43.099998,43.27,749700,42.188904
2013-06-18,43.259998,43.400002,43.029999,43.189999,598100,42.110901
2013-06-19,43.32,43.889999,43.130001,43.220001,1019000,42.140154
2013-06-20,42.889999,42.889999,42.369999,42.630001,1093500,41.564895
2013-06-21,42.91,42.990002,42.279999,42.549999,1367100,41.486892
2013-06-24,42.060001,42.25,41.540001,42.029999,922300,40.979884
2013-06-25,42.290001,42.330002,41.709999,42.130001,971500,41.077387
2013-06-26,42.27,42.450001,41.740002,42.029999,598800,40.979884
2013-06-27,42.299999,42.349998,42.02,42.139999,971700,41.087136
2013-06-28,42.02,42.25,41.52,41.540001,2010600,40.502128
2013-07-01,41.700001,42.400002,41.68,41.849998,786200,40.804381
2013-07-02,41.830002,42.310001,41.610001,42.18,1003200,41.126137
2013-07-03,42.049999,42.279999,41.93,42.080002,547800,41.028637
2013-07-05,42.16,42.630001,42.150002,42.540001,543200,41.477143
2013-07-08,42.630001,43.0,42.57,42.849998,905300,41.779396
2013-07-09,43.009998,43.75,42.970001,43.68,1129100,42.58866
2013-07-10,43.689999,44.200001,43.540001,44.150002,1129500,43.046918
2013-07-11,44.790001,45.27,44.689999,45.209999,1130900,44.080432
2013-07-12,45.139999,45.48,45.02,45.380001,813600,44.246186
2013-07-15,45.34,45.369999,45.0,45.110001,571900,43.982932
2013-07-16,45.099998,45.220001,44.720001,44.779999,660400,43.661175
2013-07-17,44.849998,44.959999,44.43,44.459999,702000,43.349171
2013-07-18,44.720001,45.32,44.619999,45.169998,1378400,44.04143
2013-07-19,45.360001,45.369999,44.889999,45.169998,623600,44.04143
2013-07-22,45.18,45.810001,45.07,45.66,1022100,44.519189
2013-07-23,45.740002,45.869999,45.529999,45.650002,1221200,44.509441
2013-07-24,45.689999,45.779999,45.32,45.490002,1140300,44.353439
2013-07-25,45.34,45.849998,44.93,45.23,864400,44.099933
2013-07-26,45.18,45.279999,44.59,44.950001,733200,43.82693
2013-07-29,44.93,45.060001,44.669998,44.869999,452500,43.748927
2013-07-30,44.82,45.110001,44.740002,44.950001,881300,43.82693
2013-07-31,44.990002,45.209999,44.689999,44.790001,718900,43.670927
2013-08-01,45.040001,45.75,44.880001,45.57,950400,44.431438
2013-08-02,45.450001,45.93,45.450001,45.849998,632500,44.704441
2013-08-05,45.740002,45.900002,45.119999,45.279999,709000,44.148683
2013-08-06,45.25,45.369999,44.189999,44.279999,1554500,43.173668
2013-08-07,44.23,44.59,43.950001,44.389999,926900,43.28092
2013-08-08,44.509998,45.029999,44.439999,44.560001,777800,43.446674
2013-08-09,44.57,44.939999,44.380001,44.669998,768500,43.553923
2013-08-12,44.540001,45.189999,44.540001,44.959999,679600,43.836678
2013-08-13,45.029999,45.330002,44.889999,45.290001,663100,44.158435
2013-08-14,45.189999,45.509998,45.119999,45.400002,692100,44.265687
2013-08-15,45.16,45.25,44.509998,44.650002,896800,43.534426
2013-08-16,44.889999,45.310001,44.709999,45.009998,3722000,43.885428
2013-08-19,44.880001,45.540001,44.75,45.540001,1206500,44.402189
2013-08-20,45.529999,46.490002,45.43,46.18,1657500,45.026198
2013-08-21,45.919998,46.029999,45.450001,45.450001,1045100,44.314437
2013-08-22,45.389999,46.080002,45.389999,46.029999,563000,44.879944
2013-08-23,45.84,46.130001,45.41,45.700001,574000,44.558191
2013-08-26,45.68,45.849998,45.380001,45.509998,620600,44.372936
2013-08-27,45.02,45.299999,44.98,45.07,672700,43.94393
2013-08-28,45.060001,45.16,44.48,44.52,610800,43.407673
2013-08-29,44.310001,45.099998,44.23,44.810001,693200,43.81838
2013-08-30,44.810001,44.919998,44.299999,44.419998,668500,43.437007
2013-09-03,44.950001,45.169998,43.939999,44.290001,629500,43.309886
2013-09-04,44.220001,44.580002,43.98,44.52,472500,43.534796
2013-09-05,44.48,44.599998,44.279999,44.419998,616400,43.437007
