Date,Open_BSX,High_BSX,Low_BSX,Close_BSX,Volume_BSX,AdjClose_BSX
2015-06-08,17.82,17.85,17.530001,17.700001,13034200,17.700001
2015-06-09,17.690001,17.76,17.360001,17.389999,11875700,17.389999
2015-06-10,17.5,17.76,17.379999,17.74,11729700,17.74
2015-06-11,17.74,17.92,17.639999,17.809999,7874200,17.809999
2015-06-12,17.74,17.790001,17.530001,17.559999,5390700,17.559999
2015-06-15,17.42,17.450001,17.209999,17.370001,8346500,17.370001
2015-06-16,17.34,17.629999,17.309999,17.58,7131200,17.58
2015-06-17,17.629999,17.77,17.559999,17.610001,6413100,17.610001
2015-06-18,17.65,18.040001,17.65,18.02,9627500,18.02
2015-06-19,18.0,18.09,17.82,17.84,25850700,17.84
2015-06-22,17.93,18.07,17.889999,17.889999,6729500,17.889999
2015-06-23,17.93,18.059999,17.91,17.950001,8247500,17.950001
2015-06-24,18.01,18.049999,17.85,17.940001,7616900,17.940001
2015-06-25,17.969999,18.280001,17.93,18.23,9633300,18.23
2015-06-26,18.290001,18.35,18.01,18.09,10722800,18.09
2015-06-29,17.91,18.25,17.780001,17.809999,11824100,17.809999
2015-06-30,17.99,18.0,17.620001,17.700001,13621700,17.700001
2015-07-01,17.82,17.959999,17.700001,17.799999,8344500,17.799999
2015-07-02,17.799999,17.799999,17.48,17.57,7220500,17.57
2015-07-06,17.42,17.68,17.42,17.549999,11220600,17.549999
2015-07-07,17.66,17.83,17.389999,17.790001,9335300,17.790001
2015-07-08,17.68,17.74,17.450001,17.450001,9052400,17.450001
2015-07-09,17.67,17.68,17.450001,17.450001,6763300,17.450001
2015-07-10,17.66,17.73,17.51,17.6,7325200,17.6
2015-07-13,17.790001,17.889999,17.57,17.67,8891700,17.67
2015-07-14,17.700001,17.950001,17.68,17.889999,8237500,17.889999
2015-07-15,17.870001,17.870001,17.57,17.73,4523000,17.73
2015-07-16,17.870001,17.950001,17.77,17.950001,4125900,17.950001
2015-07-17,17.92,17.99,17.809999,17.940001,5926800,17.940001
2015-07-20,17.92,17.98,17.84,17.879999,4135900,17.879999
2015-07-21,17.85,17.889999,17.620001,17.76,5299800,17.76
2015-07-22,17.780001,18.110001,17.77,18.02,11203500,18.02
2015-07-23,17.780001,17.860001,17.25,17.610001,18670600,17.610001
2015-07-24,17.469999,17.719999,17.309999,17.360001,8270700,17.360001
2015-07-27,17.34,17.4,17.040001,17.110001,8747900,17.110001
2015-07-28,17.200001,17.51,16.959999,17.51,10517600,17.51
2015-07-29,17.52,17.57,17.25,17.32,7823600,17.32
2015-07-30,17.26,17.370001,17.139999,17.25,5797700,17.25
2015-07-31,17.34,17.469999,17.24,17.34,6842400,17.34
2015-08-03,17.379999,17.4,16.99,17.110001,8510000,17.110001
2015-08-04,17.190001,17.24,17.049999,17.09,5972500,17.09
2015-08-05,17.200001,17.690001,17.18,17.67,11585100,17.67
2015-08-06,17.620001,17.75,17.33,17.42,8602600,17.42
2015-08-07,17.42,17.450001,17.049999,17.290001,6834300,17.290001
2015-08-10,17.41,17.48,17.23,17.33,5290400,17.33
2015-08-11,17.25,17.379999,17.07,17.139999,4035200,17.139999
2015-08-12,17.02,17.309999,16.75,17.309999,9497200,17.309999
2015-08-13,17.33,17.559999,17.219999,17.25,5680000,17.25
2015-08-14,17.200001,17.43,17.120001,17.43,7934400,17.43
2015-08-17,17.32,17.59,17.190001,17.57,5539500,17.57
2015-08-18,17.5,17.629999,17.42,17.559999,6309400,17.559999
2015-08-19,17.48,17.57,17.24,17.360001,6310600,17.360001
2015-08-20,17.27,17.309999,16.860001,16.870001,8041300,16.870001
2015-08-21,16.709999,16.75,16.32,16.35,11847300,16.35
2015-08-24,15.38,16.0,14.18,15.85,11303800,15.85
2015-08-25,16.02,16.459999,15.78,15.78,11695700,15.78
2015-08-26,16.129999,16.379999,15.68,16.370001,11469000,16.370001
2015-08-27,17.049999,17.15,16.57,16.940001,11911000,16.940001
2015-08-28,16.889999,17.07,16.85,17.07,8056200,17.07
2015-08-31,17.040001,17.129999,16.709999,16.74,5975700,16.74
2015-09-01,16.35,16.41,15.96,16.09,10265300,16.09
2015-09-02,16.299999,16.51,16.16,16.51,7199000,16.51
2015-09-03,16.549999,16.780001,16.450001,16.530001,6513900,16.530001
2015-09-04,16.299999,16.43,16.0,16.24,5427900,16.24
2015-09-08,16.540001,16.959999,16.450001,16.950001,10884400,16.950001
2015-09-09,17.120001,17.120001,16.58,16.629999,7073600,16.629999
2015-09-10,16.6,16.91,16.58,16.780001,7546500,16.780001
2015-09-11,16.73,17.030001,16.629999,16.889999,5114600,16.889999
2015-09-14,16.870001,16.940001,16.66,16.73,4588400,16.73
2015-09-15,16.83,17.18,16.719999,17.08,10293000,17.08
2015-09-16,17.059999,17.190001,16.93,17.110001,5215400,17.110001
2015-09-17,17.219999,17.43,17.08,17.200001,8475400,17.200001
2015-09-18,16.940001,17.139999,16.73,16.75,11096900,16.75
2015-09-21,16.879999,16.959999,16.549999,16.719999,8365000,16.719999
2015-09-22,16.559999,16.690001,16.4,16.549999,5103600,16.549999
2015-09-23,16.58,16.889999,16.5,16.75,6697800,16.75
2015-09-24,16.629999,16.9,16.610001,16.790001,8841000,16.790001
2015-09-25,16.950001,17.030001,16.26,16.309999,8928200,16.309999
2015-09-28,16.370001,16.450001,15.83,15.88,12272500,15.88
2015-09-29,15.88,16.190001,15.73,16.0,9296600,16.0
2015-09-30,16.190001,16.459999,16.110001,16.41,14058400,16.41
2015-10-01,16.5,16.709999,16.33,16.690001,9982700,16.690001
2015-10-02,16.43,16.93,16.25,16.92,12171000,16.92
2015-10-05,17.379999,17.48,16.950001,17.07,11321700,17.07
2015-10-06,17.049999,17.129999,16.42,16.57,14237700,16.57
2015-10-07,16.66,16.85,16.530001,16.82,11441300,16.82
2015-10-08,16.84,16.879999,16.43,16.790001,8714500,16.790001
2015-10-09,16.780001,16.940001,16.67,16.879999,8346800,16.879999
2015-10-12,16.84,16.98,16.620001,16.940001,8284200,16.940001
2015-10-13,16.84,16.93,16.690001,16.73,6035900,16.73
2015-10-14,16.74,17.0,16.610001,16.66,7783800,16.66
2015-10-15,16.68,16.889999,16.540001,16.85,7456700,16.85
2015-10-16,16.959999,17.190001,16.84,17.07,5755300,17.07
2015-10-19,17.07,17.200001,16.879999,17.08,6423800,17.08
2015-10-20,17.059999,17.24,16.950001,17.190001,8056600,17.190001
2015-10-21,17.26,17.299999,16.940001,17.190001,10734700,17.190001
2015-10-22,17.209999,17.25,16.27,16.42,16967800,16.42
2015-10-23,16.49,16.860001,16.49,16.73,8740300,16.73
2015-10-26,16.73,16.93,16.610001,16.700001,7441900,16.700001
2015-10-27,16.68,16.870001,16.639999,16.82,9835800,16.82
2015-10-28,17.299999,18.41,17.290001,18.4,27839900,18.4
2015-10-29,18.379999,18.41,17.940001,18.18,13897300,18.18
2015-10-30,18.190001,18.4,18.129999,18.280001,10157300,18.280001
2015-11-02,18.280001,18.92,18.23,18.860001,13118600,18.860001
