Date,Open_BWA,High_BWA,Low_BWA,Close_BWA,Volume_BWA,AdjClose_BWA
2015-06-08,60.0,60.630001,59.880001,59.889999,1077100,59.064819
2015-06-09,59.950001,60.240002,59.389999,59.990002,864500,59.163443
2015-06-10,60.490002,61.09,60.150002,60.959999,1229700,60.120076
2015-06-11,60.990002,61.41,60.689999,60.799999,962900,59.96228
2015-06-12,60.380001,60.689999,60.220001,60.5,943600,59.666415
2015-06-15,59.869999,60.32,59.549999,60.049999,1077800,59.222614
2015-06-16,60.09,60.380001,59.82,60.189999,676800,59.360685
2015-06-17,60.209999,60.66,60.0,60.5,1294500,59.666415
2015-06-18,60.619999,61.110001,60.34,60.91,779700,60.070765
2015-06-19,60.59,60.790001,59.880001,60.369999,2530400,59.538205
2015-06-22,60.84,61.080002,60.529999,60.779999,980100,59.942556
2015-06-23,60.849998,61.040001,60.18,60.419998,1290100,59.587515
2015-06-24,60.299999,60.43,59.470001,59.73,2278900,58.907024
2015-06-25,59.880001,60.400002,59.369999,59.439999,1604400,58.621018
2015-06-26,59.68,59.77,59.02,59.490002,1426800,58.670332
2015-06-29,58.709999,58.869999,57.189999,57.459999,2259100,56.6683
2015-06-30,57.970001,57.970001,56.669998,56.84,2368800,56.056843
2015-07-01,57.490002,57.66,57.0,57.419998,1748800,56.62885
2015-07-02,57.490002,57.709999,57.279999,57.650002,1556900,56.855684
2015-07-06,56.889999,57.450001,56.529999,56.799999,1969400,56.017394
2015-07-07,56.799999,56.830002,55.349998,56.619999,1396300,55.839873
2015-07-08,55.439999,55.59,53.34,53.459999,3025600,52.723413
2015-07-09,54.139999,54.73,53.07,53.279999,3520600,52.545893
2015-07-10,54.400002,54.400002,53.580002,53.630001,2542600,52.891072
2015-07-13,54.439999,54.91,53.630001,54.790001,3019000,54.03509
2015-07-14,54.57,54.709999,54.09,54.549999,1839800,53.798395
2015-07-15,54.470001,54.59,53.720001,53.830002,1249700,53.088318
2015-07-16,52.880001,53.470001,51.720001,51.799999,3951900,51.086285
2015-07-17,51.880001,52.75,51.209999,52.220001,3084800,51.5005
2015-07-20,52.32,52.470001,51.599998,52.040001,1935200,51.32298
2015-07-21,52.060001,52.560001,51.900002,52.299999,1612200,51.579396
2015-07-22,52.099998,52.299999,51.400002,51.549999,1538900,50.839729
2015-07-23,51.779999,52.549999,51.630001,51.709999,2291100,50.997525
2015-07-24,52.48,52.48,50.77,50.860001,1745300,50.159238
2015-07-27,50.459999,50.799999,50.029999,50.380001,1582200,49.685852
2015-07-28,50.630001,51.630001,50.220001,51.400002,1761300,50.691798
2015-07-29,51.470001,52.470001,51.43,52.43,2454400,51.707606
2015-07-30,47.75,49.98,46.5,49.849998,7329900,49.163152
2015-07-31,49.950001,50.509998,49.209999,49.709999,3452700,49.025081
2015-08-03,49.759998,49.84,48.610001,48.98,2029100,48.30514
2015-08-04,48.939999,49.43,48.349998,48.439999,1824900,47.772579
2015-08-05,48.790001,49.0,47.619999,47.759998,2662900,47.101948
2015-08-06,47.810001,48.310001,47.310001,47.68,3265700,47.023052
2015-08-07,47.84,48.59,47.540001,47.860001,1580300,47.200573
2015-08-10,48.400002,48.700001,47.98,48.389999,2334600,47.723269
2015-08-11,47.48,47.48,46.240002,46.599998,2419700,45.957931
2015-08-12,45.799999,46.970001,45.09,46.779999,3522000,46.135451
2015-08-13,46.970001,47.040001,46.139999,46.380001,2500100,45.740965
2015-08-14,46.389999,46.549999,46.130001,46.369999,2015600,45.731101
2015-08-17,46.290001,46.790001,46.049999,46.790001,1187800,46.145316
2015-08-18,47.450001,47.650002,46.889999,47.150002,2354300,46.500356
2015-08-19,47.0,47.689999,46.259998,46.490002,2578000,45.84945
2015-08-20,45.990002,46.200001,45.279999,45.299999,3230400,44.675844
2015-08-21,44.84,45.189999,44.07,44.220001,3721900,43.610726
2015-08-24,41.77,44.669998,41.740002,43.369999,4659700,42.772435
2015-08-25,44.98,45.380001,43.119999,43.139999,3544000,42.545605
2015-08-26,44.389999,44.450001,42.939999,44.060001,2063700,43.452931
2015-08-27,44.360001,44.950001,43.41,44.220001,3088700,43.610726
2015-08-28,43.5,44.330002,43.380001,44.310001,2695500,43.828334
2015-08-31,44.02,44.439999,43.59,43.639999,2386500,43.165615
2015-09-01,42.779999,43.200001,42.290001,42.470001,3059900,42.008335
2015-09-02,42.950001,43.310001,42.400002,42.919998,2041900,42.453441
2015-09-03,42.919998,43.66,42.549999,42.959999,1700400,42.493007
2015-09-04,42.119999,42.709999,42.080002,42.560001,2462500,42.097357
2015-09-08,43.459999,44.0,43.299999,43.93,1941700,43.452464
2015-09-09,44.5,45.169998,43.849998,43.98,3292100,43.501919
2015-09-10,43.790001,43.91,43.310001,43.740002,2051700,43.26453
2015-09-11,43.119999,43.259998,42.450001,43.169998,1949900,42.700723
2015-09-14,43.169998,43.32,42.77,43.099998,1272500,42.631484
2015-09-15,43.220001,43.639999,43.009998,43.5,1063100,43.027138
2015-09-16,43.57,44.73,43.48,44.630001,1599000,44.144855
2015-09-17,44.459999,45.279999,44.23,44.400002,1716000,43.917356
2015-09-18,43.790001,43.84,42.82,42.950001,2654000,42.483117
2015-09-21,41.73,42.810001,40.900002,42.610001,5128900,42.146813
2015-09-22,41.150002,41.380001,38.950001,39.369999,8470500,38.942031
2015-09-23,39.369999,39.720001,38.610001,38.98,3855100,38.556271
2015-09-24,38.150002,39.07,37.330002,38.889999,4483400,38.46725
2015-09-25,39.369999,40.060001,39.139999,40.0,3871300,39.565184
2015-09-28,39.639999,39.98,39.279999,39.82,3970000,39.38714
2015-09-29,40.0,40.470001,39.41,40.419998,3832300,39.980617
2015-09-30,41.200001,42.16,41.0,41.59,3039800,41.1379
2015-10-01,41.779999,42.310001,40.75,41.73,2648100,41.276378
2015-10-02,40.970001,42.279999,40.959999,42.240002,1929200,41.780836
2015-10-05,42.419998,43.389999,42.419998,43.209999,1685800,42.740289
2015-10-06,43.150002,43.66,42.889999,43.5,1828900,43.027138
2015-10-07,43.799999,45.049999,43.779999,44.799999,2909600,44.313005
2015-10-08,44.509998,45.080002,44.330002,44.939999,2102400,44.451483
2015-10-09,45.240002,45.849998,45.119999,45.189999,2644800,44.698765
2015-10-12,45.169998,45.400002,44.549999,44.84,1519000,44.352572
2015-10-13,44.580002,44.580002,43.470001,43.490002,2190200,43.017248
2015-10-14,43.509998,43.509998,42.630001,43.389999,2461500,42.918333
2015-10-15,44.220001,44.220001,43.119999,44.02,1138600,43.541486
2015-10-16,44.049999,44.049999,43.189999,43.639999,1858500,43.165615
2015-10-19,42.290001,42.91,41.779999,42.790001,2936700,42.324857
2015-10-20,42.790001,43.779999,42.459999,43.110001,1666100,42.641378
2015-10-21,43.470001,43.779999,42.799999,42.880001,918000,42.413878
2015-10-22,42.34,42.669998,41.919998,42.259998,5330500,41.800615
2015-10-23,42.599998,43.970001,42.41,43.66,3919900,43.185398
2015-10-26,43.52,44.84,43.41,44.610001,3272900,44.125072
2015-10-27,44.139999,44.470001,43.290001,43.68,2369900,43.205181
2015-10-28,43.959999,45.790001,43.68,45.529999,3601800,45.03507
2015-10-29,46.810001,48.639999,41.490002,41.57,6577200,41.118117
2015-10-30,41.220001,42.98,39.799999,42.82,6035000,42.354529
2015-11-02,42.779999,43.07,42.189999,42.799999,2194700,42.334746
2015-11-03,42.73,43.130001,42.310001,42.810001,4459000,42.34464
2015-11-04,42.919998,43.0,42.07,42.5,2290400,42.038008
2015-11-05,42.330002,42.900002,41.950001,42.299999,1807000,41.840181
2015-11-06,42.049999,42.369999,41.139999,41.689999,2412500,41.236812
2015-11-09,41.57,42.34,41.310001,42.27,2426600,41.810509
2015-11-10,42.049999,42.48,41.830002,42.049999,1948100,41.592899
2015-11-11,42.200001,42.279999,41.43,41.470001,1775600,41.019206
2015-11-12,41.259998,41.459999,40.830002,40.860001,2235700,40.415836
2015-11-13,40.709999,40.900002,39.740002,39.869999,1982400,39.436596
2015-11-16,39.799999,40.599998,39.709999,40.560001,2463500,40.119098
2015-11-17,40.57,41.189999,40.32,40.639999,2007500,40.198226
2015-11-18,41.740002,42.98,41.610001,42.630001,3557500,42.166596
2015-11-19,42.720001,42.889999,42.119999,42.380001,1840300,41.919314
2015-11-20,42.610001,43.470001,42.610001,43.220001,2404500,42.750183
2015-11-23,43.119999,43.48,42.880001,43.049999,1579700,42.582029
2015-11-24,42.720001,43.27,42.709999,43.080002,2020700,42.611705
2015-11-25,43.07,43.450001,42.880001,42.990002,896500,42.522683
2015-11-27,42.950001,43.200001,42.560001,42.779999,622500,42.443309
2015-11-30,43.0,43.049999,42.209999,42.689999,1662700,42.354017
2015-12-01,42.810001,43.48,42.279999,43.419998,2506600,43.078272
2015-12-02,43.419998,43.580002,42.709999,42.779999,2076900,42.443309
2015-12-03,42.900002,43.0,41.970001,42.23,1607300,41.897639
2015-12-04,42.32,43.560001,42.169998,43.299999,1883100,42.959217
2015-12-07,43.139999,43.139999,42.290001,42.759998,2175400,42.423466
2015-12-08,42.299999,42.299999,41.220001,41.290001,1639900,40.965038
