Date,Open_CA,High_CA,Low_CA,Close_CA,Volume_CA,AdjClose_CA
2013-06-14,28.469999,28.65,28.15,28.26,2067900,25.540004
2013-06-17,28.389999,28.73,28.35,28.59,3121000,25.838242
2013-06-18,28.57,28.709999,28.370001,28.639999,2405600,25.883429
2013-06-19,28.690001,28.690001,28.17,28.209999,3358300,25.494815
2013-06-20,27.98,28.049999,27.610001,27.629999,3301400,24.97064
2013-06-21,27.74,27.77,27.24,27.52,5625100,24.871228
2013-06-24,27.379999,27.639999,27.209999,27.24,4943200,24.618177
2013-06-25,27.559999,27.57,27.139999,27.290001,3602100,24.663366
2013-06-26,27.389999,27.690001,27.389999,27.530001,2660800,24.880266
2013-06-27,27.690001,28.92,27.620001,28.799999,5844200,26.028029
2013-06-28,28.559999,28.76,28.389999,28.620001,8120200,25.865355
2013-07-01,29.0,29.0,28.190001,28.23,3584500,25.512891
2013-07-02,28.17,28.42,27.76,27.98,2864100,25.286953
2013-07-03,27.75,28.209999,27.75,28.049999,1295100,25.350215
2013-07-05,28.27,28.280001,28.02,28.26,2263000,25.540004
2013-07-08,28.6,28.84,28.49,28.74,3078300,25.973804
2013-07-09,29.0,29.17,28.73,29.07,2178500,26.272042
2013-07-10,29.1,29.280001,29.02,29.24,2973400,26.425679
2013-07-11,29.379999,29.799999,29.1,29.76,2877100,26.89563
2013-07-12,29.889999,29.969999,29.74,29.92,2596100,27.04023
2013-07-15,29.9,30.0,29.549999,29.58,3987800,26.732955
2013-07-16,29.65,29.709999,29.35,29.370001,3491400,26.543168
2013-07-17,29.43,29.52,29.27,29.43,3395900,26.597393
2013-07-18,29.459999,29.82,29.370001,29.74,2439800,26.877555
2013-07-19,29.93,29.93,29.49,29.65,2256400,26.796217
2013-07-22,29.92,29.959999,29.58,29.889999,2795200,27.013117
2013-07-23,29.959999,29.98,29.709999,29.76,2676100,26.89563
2013-07-24,29.9,30.299999,29.799999,29.879999,6210900,27.00408
2013-07-25,29.969999,30.15,29.309999,29.719999,2994500,26.85948
2013-07-26,29.58,29.719999,29.26,29.68,2400700,26.82333
2013-07-29,29.639999,29.83,29.540001,29.74,1592800,26.877555
2013-07-30,29.98,29.98,29.639999,29.77,2490100,26.904668
2013-07-31,29.969999,30.02,29.67,29.74,3504500,26.877555
2013-08-01,30.1,30.200001,29.799999,30.120001,3050100,27.220981
2013-08-02,30.16,30.440001,30.1,30.389999,2602800,27.464993
2013-08-05,30.42,30.65,30.23,30.610001,1968100,27.663819
2013-08-06,30.57,30.790001,30.43,30.73,3353900,27.772268
2013-08-07,30.73,30.889999,30.450001,30.6,2503200,27.654781
2013-08-08,30.870001,31.040001,30.59,30.870001,2872500,27.898795
2013-08-09,30.75,31.07,30.719999,30.98,2056300,27.998206
2013-08-12,30.879999,31.299999,30.780001,31.120001,1866500,28.124732
2013-08-13,31.280001,31.43,31.0,31.24,2119700,28.233182
2013-08-14,31.24,31.43,31.040001,31.26,2297700,28.251257
2013-08-15,31.07,31.17,30.82,30.99,3114700,28.007244
2013-08-16,30.93,31.0,30.540001,30.549999,3736000,27.609593
2013-08-19,30.450001,30.620001,30.200001,30.27,3562700,27.356544
2013-08-20,30.110001,30.209999,29.93,30.1,2733500,27.429445
2013-08-21,30.07,30.18,29.68,29.790001,2622300,27.14695
2013-08-22,29.75,30.16,29.719999,30.120001,2073700,27.447671
2013-08-23,30.17,30.42,30.09,30.24,2692900,27.557023
2013-08-26,30.16,30.25,30.0,30.02,1296500,27.356543
2013-08-27,29.59,29.85,29.370001,29.4,3932600,26.79155
2013-08-28,29.51,29.73,29.41,29.41,2234200,26.800663
2013-08-29,29.24,29.780001,29.209999,29.639999,2298800,27.010257
2013-08-30,29.73,29.74,29.190001,29.25,1659300,26.654859
2013-09-03,29.709999,29.74,29.16,29.389999,2527400,26.782437
2013-09-04,29.379999,29.52,29.15,29.48,2199600,26.864452
2013-09-05,29.549999,29.57,29.389999,29.440001,1416200,26.828002
2013-09-06,29.49,29.700001,29.030001,29.6,2432500,26.973806
2013-09-09,29.65,30.01,29.65,29.85,1989000,27.201626
2013-09-10,30.08,30.59,30.0,30.58,3249300,27.866858
2013-09-11,30.610001,30.98,30.58,30.709999,4517100,27.985323
2013-09-12,30.77,30.799999,30.299999,30.469999,2728700,27.766617
2013-09-13,30.5,30.549999,30.09,30.389999,1959800,27.693715
2013-09-16,30.67,30.76,30.440001,30.51,1859200,27.803069
2013-09-17,30.52,30.75,30.450001,30.6,2149900,27.885084
2013-09-18,30.629999,30.77,30.370001,30.709999,1954700,27.985323
2013-09-19,30.77,30.809999,30.52,30.719999,2529600,27.994436
2013-09-20,30.790001,31.0,30.66,30.719999,4094800,27.994436
2013-09-23,30.52,30.790001,30.35,30.48,1482000,27.77573
2013-09-24,30.58,30.610001,30.110001,30.26,2588500,27.575249
2013-09-25,30.42,30.440001,30.059999,30.34,2505700,27.648151
2013-09-26,30.690001,30.690001,30.129999,30.25,1497500,27.566136
2013-09-27,30.040001,30.299999,29.940001,30.059999,2134900,27.392993
2013-09-30,29.83,29.940001,29.610001,29.67,2784400,27.037596
2013-10-01,29.639999,30.01,29.52,29.93,2322500,27.274528
2013-10-02,29.809999,29.84,29.549999,29.75,3099500,27.110498
2013-10-03,29.75,29.75,29.08,29.23,2854200,26.636633
2013-10-04,29.24,29.66,29.139999,29.57,1682200,26.946468
2013-10-07,29.26,29.559999,29.209999,29.27,1616200,26.673085
2013-10-08,29.110001,29.33,28.74,28.82,2595300,26.26301
2013-10-09,28.969999,29.0,28.559999,28.700001,2574400,26.153657
2013-10-10,29.01,29.26,28.700001,29.25,1743800,26.654859
2013-10-11,29.25,29.620001,29.190001,29.52,1510600,26.900904
2013-10-14,29.34,29.780001,28.790001,29.77,1528400,27.128724
2013-10-15,29.76,29.85,29.42,29.49,3778900,26.873565
2013-10-16,29.68,29.93,29.49,29.76,2382900,27.119611
