Date,Open_CCE,High_CCE,Low_CCE,Close_CCE,Volume_CCE,AdjClose_CCE
2015-06-08,43.080002,43.349998,42.84,42.939999,886100,30.162656
2015-06-09,43.0,43.169998,42.720001,42.93,1100500,30.155633
2015-06-10,43.060001,43.48,43.009998,43.290001,761600,30.408511
2015-06-11,43.290001,43.490002,43.150002,43.220001,1275700,30.35934
2015-06-12,42.990002,43.75,42.990002,43.650002,5909200,30.661388
2015-06-15,43.369999,43.560001,43.099998,43.200001,2036300,30.345291
2015-06-16,43.240002,43.84,43.049999,43.790001,2285800,30.759729
2015-06-17,43.810001,44.34,43.599998,44.32,2644100,31.13202
2015-06-18,44.41,45.130001,44.290001,45.02,3259600,31.623727
2015-06-19,45.049999,45.080002,44.669998,44.740002,2706400,31.427045
2015-06-22,44.950001,45.150002,44.700001,44.790001,1160300,31.462166
2015-06-23,44.869999,44.93,44.330002,44.549999,1205400,31.29358
2015-06-24,44.419998,44.720001,44.369999,44.5,1023300,31.258459
2015-06-25,44.540001,44.66,44.349998,44.470001,1571200,31.237387
2015-06-26,44.66,44.939999,44.330002,44.91,1989800,31.546458
2015-06-29,44.450001,44.610001,43.619999,43.639999,2357400,30.654363
2015-06-30,43.950001,44.080002,43.169998,43.439999,1825400,30.513875
2015-07-01,43.889999,43.889999,43.27,43.470001,1947900,30.534949
2015-07-02,43.48,43.740002,42.93,43.16,1425700,30.317193
2015-07-06,42.75,42.98,42.130001,42.470001,2898000,29.832512
2015-07-07,42.639999,44.060001,42.529999,43.990002,2499300,30.900217
2015-07-08,43.66,43.990002,43.380001,43.41,1897900,30.492802
2015-07-09,44.110001,44.240002,43.830002,43.93,2256800,30.85807
2015-07-10,44.490002,44.810001,44.189999,44.43,2628500,31.209289
2015-07-13,44.849998,45.509998,44.68,45.419998,1732800,31.9047
2015-07-14,45.52,45.82,45.34,45.709999,1784000,32.108407
2015-07-15,45.610001,45.68,45.130001,45.209999,1276900,31.757189
2015-07-16,45.639999,45.73,45.439999,45.599998,1269600,32.031139
2015-07-17,45.52,45.740002,45.209999,45.490002,1117100,31.953873
2015-07-20,45.560001,45.580002,45.27,45.529999,911300,31.981969
2015-07-21,45.48,45.75,45.200001,45.34,842600,31.848506
2015-07-22,45.080002,45.720001,45.080002,45.369999,1083700,31.869579
2015-07-23,45.310001,45.59,45.18,45.41,958500,31.897677
2015-07-24,45.290001,45.509998,44.77,44.869999,1118300,31.51836
2015-07-27,44.68,45.009998,44.560001,44.689999,1831500,31.391921
2015-07-28,44.970001,45.369999,44.75,45.34,1383900,31.848506
2015-07-29,45.389999,46.209999,45.259998,46.200001,2408700,32.452603
2015-07-30,45.889999,46.27,45.060001,45.439999,2757000,31.918749
2015-07-31,49.18,52.299999,49.110001,51.080002,13330400,35.880498
2015-08-03,50.880001,50.959999,48.48,48.849998,8431600,34.31406
2015-08-04,48.810001,50.77,48.66,50.52,8799300,35.487132
2015-08-05,51.290001,52.02,50.869999,51.84,4887700,36.414349
2015-08-06,51.779999,53.790001,51.5,53.389999,9458700,37.503126
2015-08-07,53.25,53.25,51.200001,51.709999,6214300,36.323031
2015-08-10,52.27,52.540001,51.860001,52.290001,4162500,36.730446
2015-08-11,51.73,52.299999,51.299999,52.189999,3052200,36.660201
2015-08-12,51.360001,52.959999,51.060001,52.82,2590400,37.102737
2015-08-13,53.369999,53.450001,52.16,52.459999,2311200,36.849859
2015-08-14,52.540001,52.68,52.139999,52.490002,2441800,36.870934
2015-08-17,52.040001,53.060001,51.869999,53.0,6473600,37.229176
2015-08-18,53.0,53.080002,52.5,52.650002,5426100,36.983324
2015-08-19,52.380001,52.860001,52.029999,52.540001,3509900,36.906055
2015-08-20,52.029999,52.490002,51.93,52.240002,3520500,36.695325
