Date,Open_CMA,High_CMA,Low_CMA,Close_CMA,Volume_CMA,AdjClose_CMA
2013-06-14,37.939999,38.02,37.18,37.349998,1455800,35.419569
2013-06-17,37.669998,37.77,37.34,37.59,1582900,35.647166
2013-06-18,37.310001,37.84,37.310001,37.759998,1776200,35.808378
2013-06-19,37.689999,37.889999,37.330002,37.419998,2131900,35.485951
2013-06-20,37.119999,38.0,37.0,37.459999,4263100,35.523884
2013-06-21,37.68,38.84,37.509998,38.639999,4855300,36.642897
2013-06-24,38.220001,38.650002,37.740002,38.439999,2475100,36.453233
2013-06-25,38.860001,39.84,38.5,39.669998,3167500,37.61966
2013-06-26,40.0,40.279999,39.380001,39.82,2367700,37.761909
2013-06-27,40.049999,40.200001,39.709999,40.029999,2011100,37.961054
2013-06-28,39.98,39.98,39.290001,39.830002,2393900,37.771394
2013-07-01,40.040001,40.599998,39.98,40.23,1739700,38.150718
2013-07-02,40.169998,40.939999,40.139999,40.73,2338500,38.624875
2013-07-03,40.93,41.119999,40.490002,40.93,1493400,38.814539
2013-07-05,41.299999,42.57,41.130001,42.57,2419200,40.369775
2013-07-08,42.709999,43.0,42.09,42.450001,2533100,40.255979
2013-07-09,42.68,42.82,41.98,42.540001,2544000,40.341327
2013-07-10,42.459999,42.549999,41.189999,41.630001,3577500,39.47836
2013-07-11,42.060001,42.169998,40.439999,40.939999,2821700,38.824021
2013-07-12,41.040001,41.810001,40.869999,41.689999,2264700,39.535257
2013-07-15,41.810001,41.990002,41.5,41.560001,1658000,39.411979
2013-07-16,41.490002,41.549999,40.209999,40.860001,2950200,38.748157
2013-07-17,40.799999,41.060001,40.549999,41.049999,1504500,38.928336
2013-07-18,41.049999,42.27,41.049999,42.150002,1862200,39.971485
2013-07-19,42.25,42.299999,41.91,42.18,1496500,39.999933
2013-07-22,42.209999,42.740002,42.110001,42.700001,1446100,40.493057
2013-07-23,42.73,42.900002,42.290001,42.880001,1602700,40.663754
2013-07-24,42.889999,43.189999,42.790001,42.860001,1805800,40.644788
2013-07-25,42.630001,42.830002,42.419998,42.700001,1334500,40.493057
2013-07-26,42.389999,42.580002,41.970001,42.380001,1111800,40.189597
2013-07-29,42.310001,42.490002,41.84,42.02,742900,39.848203
2013-07-30,42.209999,42.52,42.040001,42.110001,1164900,39.933551
2013-07-31,42.27,43.130001,42.23,42.540001,1897900,40.341327
2013-08-01,42.939999,43.490002,42.830002,43.400002,1445600,41.156879
2013-08-02,43.200001,43.360001,42.91,43.119999,1007500,40.891348
2013-08-05,43.029999,43.34,42.82,43.189999,998100,40.95773
2013-08-06,43.130001,43.130001,42.439999,42.66,982100,40.455124
2013-08-07,42.450001,42.599998,42.09,42.419998,1122500,40.227527
2013-08-08,42.549999,43.040001,42.150002,42.439999,956900,40.246493
2013-08-09,42.360001,42.709999,42.200001,42.32,795700,40.132697
2013-08-12,42.09,42.41,41.889999,42.060001,811400,39.886136
2013-08-13,42.09,42.450001,41.849998,42.310001,1037200,40.123215
2013-08-14,42.259998,42.689999,42.16,42.200001,745600,40.0189
2013-08-15,42.09,42.299999,41.77,41.900002,1156200,39.734406
2013-08-16,42.07,42.889999,41.959999,42.57,1470500,40.369775
2013-08-19,42.369999,42.41,41.900002,41.919998,907700,39.753369
2013-08-20,41.91,42.599998,41.869999,42.439999,823000,40.246493
2013-08-21,42.279999,42.66,41.919998,42.310001,891800,40.123215
2013-08-22,42.360001,43.200001,42.360001,43.040001,740500,40.815485
2013-08-23,43.27,43.439999,42.540001,42.830002,717800,40.616339
2013-08-26,42.779999,42.950001,42.5,42.52,1089100,40.32236
2013-08-27,42.080002,42.110001,40.619999,40.860001,2011500,38.748157
2013-08-28,40.860001,41.299999,40.610001,40.959999,1110500,38.842987
2013-08-29,40.82,41.360001,40.759998,41.119999,964800,38.994718
2013-08-30,41.220001,41.349998,40.450001,40.84,1044300,38.729191
2013-09-03,41.330002,41.689999,40.380001,40.73,996200,38.624875
2013-09-04,40.810001,41.25,40.720001,41.040001,1486100,38.918854
2013-09-05,41.040001,41.73,41.040001,41.689999,1727100,39.535257
2013-09-06,41.790001,41.790001,40.529999,41.25,2884100,39.118
2013-09-09,40.689999,41.389999,39.950001,41.27,3412300,39.136966
2013-09-10,41.52,41.580002,40.98,41.18,1606400,39.051618
2013-09-11,40.709999,41.240002,40.619999,40.790001,1162900,38.842123
2013-09-12,40.849998,40.880001,40.27,40.349998,1026900,38.423132
2013-09-13,40.360001,40.580002,40.130001,40.509998,1336200,38.575492
2013-09-16,40.970001,41.099998,40.560001,40.830002,1343500,38.880214
2013-09-17,40.939999,41.25,40.650002,41.150002,1772600,39.184932
2013-09-18,41.18,41.639999,40.419998,40.490002,3146500,38.55645
2013-09-19,40.400002,40.52,38.990002,39.68,5121700,37.785129
2013-09-20,39.779999,40.23,39.700001,39.73,2429200,37.832741
2013-09-23,39.610001,39.700001,39.130001,39.41,1925600,37.528022
2013-09-24,39.459999,39.75,38.98,39.439999,1562000,37.556588
2013-09-25,39.540001,39.919998,39.09,39.59,1012800,37.699427
2013-09-26,39.580002,39.84,39.09,39.27,1005600,37.394708
2013-09-27,38.98,39.529999,38.869999,39.189999,824200,37.318527
2013-09-30,38.810001,39.400002,38.560001,39.310001,1555300,37.432799
2013-10-01,39.43,39.889999,39.25,39.689999,1493700,37.79465
2013-10-02,39.400002,39.52,39.130001,39.299999,1410300,37.423275
2013-10-03,39.200001,39.330002,38.900002,39.060001,1611200,37.194737
2013-10-04,39.060001,39.759998,39.060001,39.619999,1361700,37.727993
2013-10-07,39.299999,39.400002,38.75,38.759998,1227300,36.909061
2013-10-08,39.110001,39.139999,38.639999,38.650002,1732400,36.804317
2013-10-09,38.830002,39.099998,38.689999,38.950001,1806700,37.08999
2013-10-10,39.43,40.349998,39.41,40.279999,1923100,38.356475
2013-10-11,40.139999,40.740002,39.889999,40.630001,1697400,38.689764
2013-10-14,40.360001,40.880001,40.310001,40.790001,1086700,38.842123
2013-10-15,40.700001,40.93,40.48,40.57,1756400,38.632628
2013-10-16,40.529999,41.950001,40.299999,41.580002,1932200,39.594398
2013-10-17,41.369999,41.84,41.200001,41.77,1724400,39.775324
2013-10-18,41.849998,42.189999,41.43,42.060001,1539200,40.051476
2013-10-21,42.099998,42.34,41.799999,42.279999,1396700,40.260968
2013-10-22,42.27,42.740002,42.07,42.59,1915300,40.556165
