Date,Open_CME,High_CME,Low_CME,Close_CME,Volume_CME,AdjClose_CME
2013-06-14,74.379997,74.769997,73.970001,74.290001,2456800,63.652334
2013-06-17,74.769997,76.68,74.459999,76.389999,3260200,65.451631
2013-06-18,76.5,77.709999,76.050003,77.279999,2798400,66.214191
2013-06-19,77.25,77.279999,75.540001,75.959999,3626400,65.083203
2013-06-20,75.199997,79.449997,75.139999,77.089996,4894100,66.051395
2013-06-21,77.690002,77.760002,75.150002,76.790001,4624400,65.794356
2013-06-24,77.150002,77.150002,75.760002,76.059998,3469900,65.168883
2013-06-25,77.5,77.879997,75.900002,76.379997,2461000,65.443061
2013-06-26,76.550003,77.370003,75.25,76.309998,3090700,65.383085
2013-06-27,76.599998,77.050003,76.18,76.519997,1955500,65.563014
2013-06-28,76.660004,76.769997,75.910004,75.949997,3248100,65.074633
2013-07-01,76.010002,77.150002,75.860001,76.510002,1727400,65.554451
2013-07-02,75.43,76.349998,74.949997,75.199997,2108500,64.432027
2013-07-03,74.730003,76.18,74.599998,75.709999,1288900,64.869001
2013-07-05,76.25,77.629997,76.139999,77.610001,1592200,66.496939
2013-07-08,78.120003,78.120003,77.120003,77.290001,1199200,66.222761
2013-07-09,77.699997,77.919998,76.489998,76.699997,2002100,65.71724
2013-07-10,76.290001,76.75,75.93,76.449997,1103400,65.503038
2013-07-11,77.480003,77.480003,76.120003,76.75,2828100,65.760083
2013-07-12,77.040001,77.449997,76.050003,77.339996,3042700,66.265597
2013-07-15,77.239998,77.400002,76.309998,77.120003,2002800,66.077105
2013-07-16,77.239998,77.379997,75.940002,76.290001,2157600,65.365952
2013-07-17,76.370003,76.889999,75.709999,76.029999,1640500,65.14318
2013-07-18,76.269997,76.860001,75.720001,76.400002,1798200,65.460201
2013-07-19,76.550003,76.550003,73.779999,74.75,2838700,64.046465
2013-07-22,75.300003,75.300003,73.089996,73.720001,2640800,63.163953
2013-07-23,73.949997,74.720001,73.629997,73.68,1300300,63.12968
2013-07-24,73.779999,75.089996,73.449997,73.629997,1679300,63.086837
2013-07-25,73.779999,74.120003,73.18,73.839996,1930400,63.266766
2013-07-26,73.139999,73.849998,73.07,73.800003,1660500,63.232499
2013-07-29,74.0,75.139999,73.860001,74.349998,1397100,63.70374
2013-07-30,74.650002,74.75,74.059998,74.139999,1362200,63.523811
2013-07-31,75.0,75.410004,73.629997,74.059998,2702200,63.455265
2013-08-01,74.839996,74.839996,71.019997,72.169998,4743600,61.835897
2013-08-02,72.0,72.370003,71.410004,72.300003,2747300,61.947286
2013-08-05,71.980003,72.529999,71.440002,72.059998,1173200,61.741647
2013-08-06,72.080002,72.519997,71.449997,72.389999,1567100,62.024396
2013-08-07,72.300003,72.300003,70.849998,71.879997,1277800,61.587421
2013-08-08,71.93,72.599998,71.690002,72.220001,1299700,61.87874
2013-08-09,72.220001,72.75,72.019997,72.160004,808300,61.827333
2013-08-12,71.800003,71.919998,71.150002,71.550003,984400,61.304679
2013-08-13,71.5,74.720001,71.339996,74.440002,3005400,63.780857
2013-08-14,74.349998,74.580002,73.230003,73.949997,2060700,63.361016
2013-08-15,73.610001,75.370003,73.32,74.830002,2823500,64.115012
2013-08-16,74.639999,74.889999,73.199997,73.349998,2246200,62.846932
2013-08-19,72.830002,73.330002,72.260002,72.300003,2482900,61.947286
2013-08-20,72.349998,72.669998,71.800003,72.389999,2072700,62.024396
2013-08-21,72.480003,72.800003,71.93,72.290001,1410600,61.938716
2013-08-22,72.419998,72.800003,72.190002,72.660004,963900,62.255738
2013-08-23,72.870003,73.139999,71.769997,72.580002,1087300,62.187192
2013-08-26,72.529999,73.050003,71.919998,71.940002,1116100,61.638834
2013-08-27,71.599998,71.620003,70.309998,70.5,1585800,60.405028
2013-08-28,70.610001,71.410004,70.610001,70.769997,1400600,60.636363
2013-08-29,70.330002,71.209999,70.309998,70.470001,1361000,60.379324
2013-08-30,70.43,71.290001,70.309998,71.110001,1189000,60.927681
2013-09-03,71.940002,72.720001,71.660004,72.330002,1295700,61.972989
2013-09-04,72.610001,73.849998,72.110001,73.650002,1842200,63.103977
2013-09-05,73.82,73.889999,73.040001,73.370003,1384700,62.864071
2013-09-06,73.169998,73.18,72.0,72.43,1838600,62.441645
2013-09-09,72.57,72.870003,72.25,72.529999,1311000,62.527853
2013-09-10,72.830002,73.739998,72.730003,73.230003,1818000,63.131324
2013-09-11,73.18,73.660004,72.599998,72.690002,1773300,62.665792
2013-09-12,72.57,73.5,72.25,72.720001,1828700,62.691653
2013-09-13,72.760002,73.110001,72.110001,72.349998,1168700,62.372675
2013-09-16,72.470001,72.879997,71.470001,71.730003,1916500,61.83818
2013-09-17,71.730003,72.010002,71.510002,71.949997,1488500,62.027835
2013-09-18,71.720001,72.580002,70.279999,70.879997,3324800,61.105393
2013-09-19,70.839996,74.169998,70.730003,73.860001,3700800,63.674443
2013-09-20,73.93,75.339996,73.790001,74.550003,4513500,64.269291
2013-09-23,74.32,74.540001,73.32,73.610001,1351400,63.458919
2013-09-24,73.529999,73.830002,72.849998,73.029999,1058200,62.958901
2013-09-25,73.919998,74.849998,73.510002,74.559998,1952300,64.277908
2013-09-26,74.730003,75.5,74.5,75.309998,1889800,64.92448
2013-09-27,74.790001,75.059998,74.050003,74.830002,1050700,64.510677
2013-09-30,74.220001,74.379997,73.489998,73.879997,1394200,63.691682
2013-10-01,73.800003,74.830002,73.540001,74.800003,1033100,64.484816
2013-10-02,74.059998,74.300003,72.709999,73.970001,1613300,63.769274
2013-10-03,73.599998,74.25,73.029999,73.93,1408900,63.734789
2013-10-04,74.25,75.43,73.830002,75.0,1877000,64.657232
2013-10-07,74.730003,75.43,74.169998,74.389999,1548300,64.131353
2013-10-08,74.419998,74.559998,72.349998,72.440002,1228800,62.450267
2013-10-09,72.57,72.779999,71.580002,72.040001,910600,62.105428
2013-10-10,72.699997,74.510002,72.290001,74.5,1219300,64.226184
2013-10-11,74.110001,75.870003,74.110001,74.75,1272100,64.441708
2013-10-14,74.629997,75.510002,73.980003,75.349998,638700,64.958965
2013-10-15,74.970001,76.050003,74.889999,75.169998,1060900,64.803787
2013-10-16,75.5,77.239998,75.169998,76.489998,1402700,65.941754
2013-10-17,76.010002,76.989998,75.800003,76.760002,1067900,66.174524
2013-10-18,77.019997,77.019997,75.550003,76.830002,1505000,66.23487
2013-10-21,76.699997,77.260002,76.169998,76.639999,1305400,66.07107
2013-10-22,76.870003,78.019997,76.360001,77.730003,2435500,67.010758
2013-10-23,77.379997,77.919998,76.860001,77.220001,1742000,66.571087
2013-10-24,77.480003,77.919998,76.599998,76.970001,1244700,66.355563
2013-10-25,76.860001,77.029999,76.110001,76.5,1181000,65.950377
2013-10-28,76.459999,76.5,75.099998,75.169998,1400200,64.803787
2013-10-29,75.269997,75.580002,74.82,75.010002,1323800,64.665855
2013-10-30,75.0,75.489998,74.480003,74.949997,1221500,64.614125
2013-10-31,75.059998,75.18,74.169998,74.209999,1504600,63.976175
2013-11-01,74.199997,75.190002,74.199997,74.699997,1372400,64.398601
2013-11-04,73.93,74.330002,72.169998,73.82,2151300,63.639958
2013-11-05,73.910004,75.029999,73.660004,73.660004,1408300,63.502026
2013-11-06,73.660004,74.800003,73.550003,74.730003,1053000,64.424469
2013-11-07,74.75,75.849998,74.610001,74.660004,1647000,64.364123
2013-11-08,74.830002,78.029999,74.650002,77.809998,2152600,67.079721
2013-11-11,77.279999,78.849998,77.25,77.940002,1462600,67.191798
2013-11-12,77.900002,78.699997,77.620003,78.57,1901600,67.734916
2013-11-13,78.459999,78.68,77.580002,78.629997,1345000,67.78664
2013-11-14,78.690002,79.050003,77.800003,78.839996,1022800,67.967679
2013-11-15,78.709999,79.690002,78.709999,79.559998,1531000,68.58839
2013-11-18,79.589996,80.779999,79.150002,79.769997,1984300,68.769429
2013-11-19,79.93,81.260002,79.309998,81.139999,1776300,69.950504
2013-11-20,81.260002,82.5,80.919998,81.419998,2050400,70.19189
2013-11-21,81.529999,83.82,81.480003,83.580002,1979300,72.054021
2013-11-22,83.339996,84.349998,83.339996,83.849998,1756400,72.286784
2013-11-25,83.989998,84.0,82.139999,82.290001,1305600,70.941916
2013-11-26,82.169998,82.860001,81.57,81.949997,1940500,70.6488
2013-11-27,82.440002,82.529999,81.75,82.309998,1020200,70.959155
2013-11-29,82.080002,82.449997,81.760002,81.949997,667000,70.6488
2013-12-02,82.019997,82.309998,81.330002,81.389999,1364900,70.166028
2013-12-03,81.18,81.580002,80.400002,80.970001,1319000,69.803949
2013-12-04,80.589996,81.18,79.32,80.059998,2536700,69.019438
2013-12-05,79.800003,80.339996,77.93,79.110001,2882200,68.200449
2013-12-06,79.440002,80.059998,78.480003,79.970001,2648900,69.336254
2013-12-09,79.970001,81.830002,79.959999,81.029999,1846200,70.255302
2013-12-10,80.660004,80.949997,78.959999,79.739998,1615700,69.136834
2013-12-11,79.690002,80.239998,78.790001,78.93,1351900,68.434544
2013-12-12,79.050003,80.129997,78.510002,80.110001,1519900,69.457637
2013-12-13,80.139999,81.860001,80.110001,81.510002,1792000,70.671478
2013-12-16,82.0,82.959999,81.849998,82.360001,1968200,71.408451
2013-12-17,82.209999,83.059998,82.099998,82.889999,2430700,71.867975
2013-12-18,83.199997,84.709999,82.419998,84.639999,2379700,73.385274
2013-12-19,84.160004,84.699997,83.589996,83.68,2118300,72.552928
2013-12-20,83.599998,84.410004,83.300003,83.790001,2693400,72.648302
2013-12-23,84.360001,84.43,82.330002,83.120003,1962700,72.067394
2013-12-24,80.379997,80.459999,78.68,80.029999,1715300,71.628832
2013-12-26,80.370003,80.779999,79.550003,79.879997,2441800,71.494577
2013-12-27,80.209999,80.209999,78.830002,78.910004,1438400,70.626408
2013-12-30,79.110001,79.18,77.589996,78.440002,2752800,70.205746
2013-12-31,78.93,79.459999,78.129997,78.459999,1307600,70.223643
2014-01-02,77.959999,78.75,77.32,77.959999,2070900,69.776131
2014-01-03,78.120003,79.550003,77.809998,79.199997,1343300,70.88596
2014-01-06,79.0,79.970001,78.389999,78.400002,1961200,70.169944
2014-01-07,78.550003,79.080002,77.290001,77.82,1598100,69.650828
2014-01-08,76.82,78.040001,76.589996,77.059998,2578400,68.970607
2014-01-09,77.339996,77.800003,76.919998,77.099998,1577700,69.006409
2014-01-10,77.199997,77.480003,75.900002,76.489998,1727400,68.460443
2014-01-13,76.389999,76.410004,73.849998,74.019997,2558300,66.249731
2014-01-14,74.57,75.449997,74.190002,75.290001,1706000,67.386416
2014-01-15,75.379997,76.699997,75.220001,75.760002,3598300,67.807079
2014-01-16,75.32,75.900002,75.120003,75.5,1246700,67.574371
2014-01-17,75.260002,75.82,75.050003,75.489998,1690400,67.565418
2014-01-21,75.75,76.099998,75.57,75.730003,1223500,67.780229
2014-01-22,75.75,76.379997,75.68,75.849998,1145900,67.887628
2014-01-23,75.370003,75.720001,75.190002,75.510002,2061600,67.583323
2014-01-24,75.010002,75.309998,74.199997,74.419998,2508600,66.607742
2014-01-27,74.43,75.050003,72.889999,72.93,3849800,65.274157
2014-01-28,73.18,73.410004,72.779999,73.199997,4170300,65.515811
2014-01-29,72.709999,73.419998,72.110001,72.339996,2589600,64.746089
2014-01-30,73.129997,74.800003,72.629997,74.32,4651700,66.518241
2014-01-31,73.5,75.349998,73.230003,74.760002,4281100,66.912054
2014-02-03,74.480003,75.209999,72.980003,73.18,2735400,65.497913
2014-02-04,70.699997,74.199997,70.519997,73.610001,2456900,65.882774
2014-02-05,74.050003,74.160004,72.400002,73.559998,2180900,65.83802
2014-02-06,73.980003,76.139999,73.540001,75.980003,1902300,68.003986
2014-02-07,76.709999,78.0,75.57,75.690002,1852000,67.744428
2014-02-10,75.650002,76.32,75.029999,75.559998,1259400,67.62807
2014-02-11,75.639999,77.050003,75.5,76.550003,1258500,68.514149
