Date,Open_CMG,High_CMG,Low_CMG,Close_CMG,Volume_CMG,AdjClose_CMG
2013-06-14,369.440002,372.540009,365.25,368.119995,304500,368.119995
2013-06-17,370.5,372.109985,365.0,367.679993,257200,367.679993
2013-06-18,369.019989,372.660004,368.790009,372.660004,266600,372.660004
2013-06-19,371.790009,372.5,366.0,366.869995,282500,366.869995
2013-06-20,363.619995,368.140015,360.070007,360.859985,438000,360.859985
2013-06-21,363.26001,363.26001,355.920013,361.640015,691200,361.640015
2013-06-24,357.720001,360.75,352.269989,358.160004,452500,358.160004
2013-06-25,361.059998,363.980011,357.059998,358.959991,294800,358.959991
2013-06-26,364.0,365.690002,362.269989,363.670013,346400,363.670013
2013-06-27,364.950012,366.959991,361.190002,364.149994,336600,364.149994
2013-06-28,363.160004,368.390015,360.98999,364.350006,460300,364.350006
2013-07-01,366.450012,369.23999,362.299988,363.73999,355000,363.73999
2013-07-02,364.670013,371.769989,364.670013,371.529999,444400,371.529999
2013-07-03,374.98999,386.809998,374.75,384.470001,692000,384.470001
2013-07-05,386.0,386.779999,383.01001,386.329987,379000,386.329987
2013-07-08,387.390015,388.209991,383.920013,386.029999,345400,386.029999
2013-07-09,387.850006,389.839996,385.670013,386.329987,294900,386.329987
2013-07-10,385.73999,385.73999,379.880005,382.029999,378500,382.029999
2013-07-11,382.5,386.5,380.5,383.130005,282300,383.130005
2013-07-12,384.209991,387.48999,383.290009,386.269989,340400,386.269989
2013-07-15,385.420013,386.579987,383.140015,384.190002,337700,384.190002
2013-07-16,383.0,383.299988,374.440002,379.130005,560000,379.130005
2013-07-17,379.790009,379.970001,372.130005,375.769989,478100,375.769989
2013-07-18,375.98999,377.399994,372.75,376.75,971600,376.75
2013-07-19,399.049988,410.119995,395.019989,408.970001,2270100,408.970001
2013-07-22,405.320007,407.98999,400.799988,401.799988,577700,401.799988
2013-07-23,401.339996,404.839996,396.48999,397.410004,392200,397.410004
2013-07-24,396.75,402.890015,396.75,400.119995,452100,400.119995
2013-07-25,400.410004,404.720001,395.869995,404.25,533000,404.25
2013-07-26,402.829987,407.690002,402.829987,405.869995,339400,405.869995
2013-07-29,404.459991,408.350006,402.049988,404.440002,193300,404.440002
2013-07-30,406.290009,409.73999,405.269989,407.380005,257200,407.380005
2013-07-31,407.890015,414.899994,406.700012,412.269989,483000,412.269989
2013-08-01,414.899994,418.230011,412.630005,413.809998,274700,413.809998
2013-08-02,414.600006,414.73999,411.01001,412.089996,246200,412.089996
2013-08-05,411.48999,413.019989,410.440002,412.299988,199200,412.299988
2013-08-06,411.609985,412.890015,405.26001,405.890015,320100,405.890015
2013-08-07,404.649994,407.890015,403.779999,404.48999,208500,404.48999
2013-08-08,404.920013,411.279999,404.920013,407.899994,196100,407.899994
2013-08-09,405.790009,409.25,405.470001,405.73999,231500,405.73999
