Date,Open_CMS,High_CMS,Low_CMS,Close_CMS,Volume_CMS,AdjClose_CMS
2013-06-14,27.190001,27.459999,27.16,27.4,2088800,24.722704
2013-06-17,27.559999,27.709999,27.280001,27.4,2012200,24.722704
2013-06-18,27.469999,27.6,27.280001,27.57,1734800,24.876094
2013-06-19,27.530001,27.6,26.85,26.85,1584700,24.226446
2013-06-20,26.690001,26.74,25.879999,25.950001,3000100,23.414387
2013-06-21,26.1,26.48,25.76,26.4,2888000,23.820416
2013-06-24,26.139999,26.76,25.809999,26.6,3354400,24.000874
2013-06-25,26.74,27.110001,26.52,27.0,2415400,24.361789
2013-06-26,27.190001,27.5,27.040001,27.43,1962200,24.749774
2013-06-27,27.5,27.719999,27.450001,27.52,2085500,24.83098
2013-06-28,26.43,27.459999,26.25,27.17,9299600,24.515179
2013-07-01,26.959999,27.459999,26.559999,26.629999,4383300,24.027942
2013-07-02,26.559999,26.940001,26.540001,26.690001,2899800,24.08208
2013-07-03,26.530001,26.77,26.469999,26.610001,1287400,24.009897
2013-07-05,26.66,26.719999,26.290001,26.700001,1761300,24.091104
2013-07-08,26.790001,27.24,26.75,27.16,2451900,24.506155
2013-07-09,27.24,27.459999,27.120001,27.450001,2280600,24.76782
2013-07-10,27.41,27.719999,27.280001,27.540001,3521800,24.849026
2013-07-11,27.870001,27.92,27.68,27.780001,4010300,25.065575
2013-07-12,27.73,27.940001,27.620001,27.92,3237400,25.191895
2013-07-15,27.92,28.299999,27.84,28.23,4472100,25.471604
2013-07-16,28.26,28.4,27.969999,28.120001,2823800,25.372353
2013-07-17,28.26,28.34,27.99,28.110001,1657500,25.36333
2013-07-18,28.190001,28.459999,28.16,28.459999,2218800,25.67913
2013-07-19,28.469999,28.58,28.32,28.48,2089400,25.697176
2013-07-22,28.5,28.58,28.34,28.360001,1975700,25.588902
2013-07-23,28.459999,28.52,28.290001,28.389999,1195400,25.61597
2013-07-24,28.389999,28.389999,27.73,27.98,3057700,25.246032
2013-07-25,28.379999,28.82,27.73,28.209999,8993700,25.453558
2013-07-26,28.02,28.25,27.940001,28.200001,7209100,25.444536
2013-07-29,28.120001,28.370001,28.120001,28.280001,5359700,25.516719
2013-07-30,28.43,28.68,28.41,28.469999,2037300,25.688153
2013-07-31,28.299999,28.299999,27.75,27.99,3521600,25.483305
2013-08-01,28.17,28.540001,28.139999,28.459999,2977700,25.911212
2013-08-02,28.49,28.620001,28.34,28.52,1814800,25.96584
2013-08-05,28.450001,28.450001,28.120001,28.139999,1081100,25.619871
2013-08-06,28.15,28.17,27.84,27.889999,1749000,25.39226
2013-08-07,27.75,28.120001,27.68,28.02,1612800,25.510619
2013-08-08,28.08,28.32,27.91,28.219999,1674400,25.692706
2013-08-09,28.190001,28.25,27.959999,27.959999,1104000,25.455991
2013-08-12,27.809999,27.969999,27.690001,27.9,1603700,25.401365
2013-08-13,27.9,27.969999,27.6,27.6,1880800,25.128232
2013-08-14,27.559999,27.610001,27.190001,27.360001,1955400,24.909726
2013-08-15,27.139999,27.26,26.889999,26.92,1413800,24.509131
2013-08-16,26.889999,26.889999,26.65,26.870001,2698300,24.463609
2013-08-19,26.85,27.02,26.709999,26.75,3549900,24.354355
2013-08-20,26.77,27.17,26.74,27.0,2809500,24.581966
2013-08-21,26.9,26.940001,26.540001,26.639999,2525200,24.254206
2013-08-22,26.620001,26.82,26.58,26.75,1753500,24.354355
2013-08-23,26.780001,26.99,26.639999,26.940001,1385400,24.52734
2013-08-26,26.93,26.98,26.639999,26.67,1223200,24.28152
2013-08-27,26.43,26.799999,26.4,26.6,1666900,24.217789
2013-08-28,26.620001,26.84,26.52,26.68,1097500,24.290625
2013-08-29,26.6,26.75,26.42,26.540001,1993000,24.163163
2013-08-30,26.540001,26.75,26.41,26.530001,2004300,24.154058
2013-09-03,26.700001,26.83,26.139999,26.16,2506300,23.817194
2013-09-04,26.120001,26.16,25.879999,26.0,4157700,23.671523
2013-09-05,26.02,26.120001,25.74,25.860001,2996600,23.544061
2013-09-06,25.940001,26.209999,25.92,25.98,2173700,23.653314
2013-09-09,25.99,26.139999,25.84,25.940001,1491700,23.616897
2013-09-10,26.0,26.120001,25.91,26.110001,2023900,23.771672
2013-09-11,26.139999,26.139999,25.82,25.99,2774300,23.662418
2013-09-12,26.030001,26.24,25.889999,25.91,2177600,23.589583
2013-09-13,26.02,26.209999,25.950001,26.190001,3604900,23.844508
2013-09-16,26.52,26.65,26.040001,26.120001,4038600,23.780777
2013-09-17,26.18,26.33,26.0,26.110001,2061400,23.771672
2013-09-18,26.129999,26.98,26.0,26.92,2216400,24.509131
2013-09-19,26.9,27.040001,26.77,26.82,2531700,24.418086
2013-09-20,26.82,26.879999,26.48,26.59,2441600,24.208684
2013-09-23,26.49,27.059999,26.389999,26.950001,2286800,24.536445
2013-09-24,26.940001,27.02,26.780001,26.799999,5824200,24.399877
2013-09-25,26.780001,26.83,26.360001,26.370001,5781400,24.008388
2013-09-26,26.42,26.540001,26.299999,26.35,5527000,23.990178
2013-09-27,26.24,26.35,26.110001,26.209999,2688700,23.862715
2013-09-30,26.1,26.32,26.040001,26.32,4204900,23.962864
2013-10-01,26.34,26.48,26.219999,26.379999,2295700,24.017491
2013-10-02,26.27,26.52,26.209999,26.450001,2698700,24.081223
2013-10-03,26.34,26.34,25.93,25.99,3037400,23.662418
2013-10-04,26.0,26.110001,25.92,26.030001,2227300,23.698837
2013-10-07,25.889999,26.110001,25.809999,25.9,2642700,23.580478
2013-10-08,25.9,26.15,25.870001,25.959999,3997800,23.635104
2013-10-09,26.059999,26.34,25.889999,26.120001,4169600,23.780777
2013-10-10,26.280001,26.59,26.02,26.530001,1925000,24.154058
2013-10-11,26.49,27.08,26.469999,27.059999,3936700,24.636592
2013-10-14,27.02,27.059999,26.610001,26.940001,4399400,24.52734
2013-10-15,26.809999,27.059999,26.719999,26.76,5983100,24.36346
2013-10-16,26.860001,26.98,26.67,26.879999,3000200,24.472712
2013-10-17,26.719999,27.33,26.59,27.27,3594500,24.827786
2013-10-18,27.33,27.51,27.27,27.32,1799500,24.873308
2013-10-21,27.299999,27.42,27.040001,27.4,2907000,24.946143
2013-10-22,27.5,27.790001,27.459999,27.620001,3486800,25.146442
2013-10-23,27.639999,28.049999,27.6,27.709999,3569400,25.22838
2013-10-24,27.690001,27.93,27.52,27.84,7867400,25.346738
2013-10-25,27.799999,28.09,27.620001,28.030001,6592400,25.519723
2013-10-28,28.08,28.290001,27.98,28.049999,6991600,25.537931
2013-10-29,28.120001,28.18,27.83,27.959999,3120500,25.455991
2013-10-30,27.76,28.0,27.43,27.440001,3280000,25.212504
2013-10-31,27.42,27.610001,27.059999,27.459999,3201000,25.230879
2013-11-01,27.559999,27.709999,27.49,27.620001,2748000,25.377892
2013-11-04,27.700001,27.74,27.379999,27.629999,2446500,25.387079
2013-11-05,27.5,27.77,27.379999,27.450001,2948500,25.221692
2013-11-06,27.5,27.66,27.450001,27.559999,2481500,25.322761
2013-11-07,27.6,27.809999,27.32,27.370001,2800900,25.148186
2013-11-08,27.24,27.280001,26.799999,27.280001,5037200,25.065492
2013-11-11,27.4,27.540001,27.15,27.360001,1639000,25.138998
2013-11-12,27.24,27.33,26.77,26.91,3742200,24.725527
2013-11-13,26.75,26.959999,26.629999,26.940001,2198400,24.753092
2013-11-14,27.02,27.4,26.99,27.299999,2865700,25.083867
2013-11-15,27.25,27.610001,27.209999,27.610001,2523400,25.368704
2013-11-18,27.68,27.75,27.48,27.66,2562700,25.414644
2013-11-19,27.6,27.68,27.459999,27.57,1998600,25.33195
2013-11-20,27.549999,27.719999,27.200001,27.27,2052100,25.056304
2013-11-21,27.299999,27.43,27.18,27.309999,2624500,25.093056
2013-11-22,27.24,27.34,27.110001,27.309999,2891000,25.093056
2013-11-25,27.309999,27.389999,26.98,27.0,2992600,24.808221
2013-11-26,27.0,27.110001,26.6,26.610001,4393200,24.449881
2013-11-27,26.719999,26.719999,26.469999,26.559999,2994300,24.403938
2013-11-29,26.559999,26.719999,26.49,26.540001,1093800,24.385563
2013-12-02,26.530001,26.629999,26.23,26.459999,2881400,24.312056
