Date,Open_COST,High_COST,Low_COST,Close_COST,Volume_COST,AdjClose_COST
2015-06-08,138.910004,138.910004,138.020004,138.050003,1879700,136.54147
2015-06-09,137.919998,138.759995,137.809998,138.039993,2039100,136.53157
2015-06-10,138.320007,139.940002,138.259995,139.429993,1725600,137.90638
2015-06-11,139.639999,140.470001,139.190002,139.320007,1342300,137.797596
2015-06-12,139.059998,139.300003,138.509995,138.779999,1290700,137.263489
2015-06-15,137.940002,138.320007,137.149994,137.229996,1939500,135.730423
2015-06-16,137.199997,138.240005,137.149994,137.979996,1553600,136.472228
2015-06-17,137.940002,139.320007,137.880005,138.880005,1508100,137.362402
2015-06-18,139.490005,141.100006,139.220001,140.5,2074100,138.964695
2015-06-19,140.589996,141.479996,140.179993,140.300003,2758200,138.766883
2015-06-22,140.839996,141.169998,140.080002,140.190002,1415700,138.658085
2015-06-23,140.440002,140.899994,139.529999,139.649994,1489400,138.123977
2015-06-24,139.339996,139.860001,138.279999,138.339996,1965900,136.828295
2015-06-25,138.449997,139.910004,137.419998,137.449997,1660900,135.948021
2015-06-26,137.940002,138.639999,137.529999,138.059998,2248900,136.551355
2015-06-29,137.009995,137.820007,135.660004,135.690002,1963200,134.207258
2015-06-30,136.380005,136.710007,134.729996,135.059998,2454300,133.584138
2015-07-01,135.789993,136.570007,135.539993,136.490005,1707000,134.998519
2015-07-02,137.0,137.199997,136.279999,136.389999,1148400,134.899606
2015-07-06,135.149994,136.839996,135.059998,135.880005,2450400,134.395184
2015-07-07,136.300003,140.869995,136.029999,140.5,3790000,138.964695
2015-07-08,139.979996,140.529999,139.270004,139.899994,2917100,138.371245
2015-07-09,141.350006,141.5,137.710007,139.449997,3317600,137.926166
2015-07-10,141.710007,143.429993,141.169998,142.720001,2846000,141.160437
2015-07-13,143.860001,145.070007,143.5,144.059998,1847800,142.485791
2015-07-14,143.649994,144.289993,143.160004,143.929993,1512800,142.357206
2015-07-15,143.929993,144.179993,142.919998,143.630005,1306700,142.060497
2015-07-16,144.149994,144.490005,143.440002,144.330002,1148100,142.752845
2015-07-17,144.119995,144.889999,143.160004,144.679993,1842100,143.099011
2015-07-20,144.580002,145.229996,144.020004,145.039993,1243600,143.455078
2015-07-21,145.190002,145.399994,144.429993,144.940002,1587800,143.356179
2015-07-22,145.220001,146.479996,145.020004,146.380005,1612000,144.780446
2015-07-23,146.850006,147.0,145.380005,145.600006,1356100,144.008971
2015-07-24,145.710007,145.929993,144.889999,144.990005,1272700,143.405636
2015-07-27,144.779999,144.889999,143.529999,144.25,1431300,142.673717
2015-07-28,144.529999,144.699997,142.910004,144.550003,1376500,142.970442
2015-07-29,144.800003,146.759995,144.75,145.380005,1840500,143.791374
2015-07-30,145.149994,145.860001,144.020004,145.300003,1392700,143.712246
2015-07-31,146.190002,146.190002,145.009995,145.300003,1386700,143.712246
2015-08-03,145.779999,146.110001,144.649994,145.520004,1328100,143.929843
2015-08-04,145.110001,145.820007,144.190002,144.839996,1315300,143.257266
2015-08-05,145.830002,147.039993,145.649994,146.889999,1687800,145.284868
2015-08-06,147.149994,147.589996,145.979996,146.440002,1948000,144.839788
2015-08-07,146.020004,146.440002,144.350006,145.259995,1228300,143.672675
2015-08-10,146.300003,146.789993,145.679993,146.25,1072600,144.651862
2015-08-11,145.279999,146.289993,145.009995,145.889999,1260700,144.295795
2015-08-12,144.949997,146.720001,143.350006,146.490005,1963800,145.287593
2015-08-13,146.360001,146.979996,145.179993,145.270004,1114000,144.077605
2015-08-14,144.880005,146.419998,144.880005,146.089996,1210400,144.890867
2015-08-17,145.149994,146.240005,144.979996,146.089996,912600,144.890867
2015-08-18,146.160004,146.479996,145.119995,145.630005,1099100,144.434651
2015-08-19,145.389999,145.940002,143.639999,145.169998,1436100,143.97842
2015-08-20,144.289993,144.880005,143.289993,143.710007,1785100,142.530413
2015-08-21,142.220001,143.330002,138.990005,138.990005,3611400,137.849154
2015-08-24,131.970001,137.160004,117.029999,132.970001,5205800,131.878563
2015-08-25,136.779999,138.380005,132.649994,132.710007,4645100,131.620702
2015-08-26,136.110001,138.279999,133.350006,138.160004,3094900,137.025965
2015-08-27,140.470001,140.75,137.589996,140.210007,2603100,139.059141
2015-08-28,139.75,140.300003,138.639999,139.949997,1850900,138.801266
2015-08-31,139.25,140.229996,138.509995,140.050003,3005700,138.900451
2015-09-01,137.580002,139.899994,137.5,138.300003,2968200,137.164815
2015-09-02,139.830002,140.869995,138.419998,140.419998,1809900,139.267409
2015-09-03,140.940002,141.699997,140.100006,140.479996,1615600,139.326914
2015-09-04,138.800003,139.460007,138.179993,138.479996,2124500,137.34333
2015-09-08,140.539993,141.479996,139.119995,141.429993,1638000,140.269113
2015-09-09,142.350006,142.350006,139.389999,139.679993,1390800,138.533478
2015-09-10,139.039993,140.960007,138.990005,140.009995,1350700,138.860771
2015-09-11,139.850006,141.199997,139.279999,141.050003,1452300,139.892243
2015-09-14,141.179993,141.410004,140.240005,141.149994,1123300,139.991413
2015-09-15,141.320007,142.960007,140.240005,142.429993,1349600,141.260905
2015-09-16,142.210007,143.860001,141.75,143.610001,1374300,142.431227
2015-09-17,143.899994,145.039993,143.160004,143.350006,1535300,142.173367
2015-09-18,142.139999,144.339996,141.699997,141.809998,2833900,140.645999
2015-09-21,142.360001,143.779999,142.089996,143.210007,1004800,142.034517
2015-09-22,141.820007,142.949997,140.809998,142.649994,1787200,141.479101
2015-09-23,143.460007,145.630005,142.649994,145.429993,2310200,144.236281
2015-09-24,144.369995,145.419998,143.649994,144.869995,1974900,143.68088
2015-09-25,145.949997,146.899994,145.009995,145.550003,1845700,144.355306
2015-09-28,145.389999,145.800003,143.289993,143.550003,2553500,142.371722
2015-09-29,143.039993,144.139999,142.25,143.720001,2513100,142.540325
2015-09-30,143.539993,144.949997,142.889999,144.570007,2549200,143.383354
2015-10-01,144.850006,144.850006,142.5,144.559998,2657300,143.373427
2015-10-02,143.25,145.910004,142.190002,145.860001,2591500,144.662759
2015-10-05,146.240005,148.220001,146.009995,148.070007,2273000,146.854626
2015-10-06,148.149994,148.699997,147.360001,148.410004,2127800,147.191831
2015-10-07,148.720001,149.320007,147.429993,147.960007,2340800,146.745528
