Date,Open_CRM,High_CRM,Low_CRM,Close_CRM,Volume_CRM,AdjClose_CRM
2013-06-14,37.790001,38.720001,37.5,37.560001,4942800,37.560001
2013-06-17,37.220001,38.82,37.080002,38.220001,6521400,38.220001
2013-06-18,38.25,38.52,38.040001,38.25,3207200,38.25
2013-06-19,38.25,38.5,37.580002,37.650002,4960400,37.650002
2013-06-20,37.360001,37.790001,36.580002,36.75,5537300,36.75
2013-06-21,37.0,38.830002,36.09,38.299999,15540200,38.299999
2013-06-24,37.630001,37.630001,36.130001,36.950001,8583200,36.950001
2013-06-25,37.610001,38.240002,37.34,37.439999,5831200,37.439999
2013-06-26,37.75,38.200001,37.720001,38.0,5046600,38.0
2013-06-27,38.34,38.950001,38.299999,38.84,5187200,38.84
2013-06-28,38.439999,38.57,37.810001,38.18,5064800,38.18
2013-07-01,38.560001,38.720001,37.759998,37.799999,3799100,37.799999
2013-07-02,37.740002,38.400002,37.73,38.169998,4111000,38.169998
2013-07-03,37.889999,38.740002,37.779999,38.549999,2292300,38.549999
2013-07-05,38.959999,39.07,38.330002,38.939999,2824600,38.939999
2013-07-08,39.029999,39.360001,38.330002,38.43,3846100,38.43
2013-07-09,38.490002,38.810001,37.939999,38.720001,3796000,38.720001
2013-07-10,38.77,39.970001,38.580002,39.740002,4668200,39.740002
2013-07-11,40.209999,41.700001,40.16,41.52,6911700,41.52
2013-07-12,41.560001,42.599998,41.330002,42.43,5274600,42.43
2013-07-15,42.27,42.43,41.290001,41.98,4151300,41.98
2013-07-16,41.939999,42.049999,41.400002,41.84,3897400,41.84
2013-07-17,42.0,42.740002,41.73,42.709999,4606300,42.709999
2013-07-18,42.549999,43.0,41.540001,41.900002,5920400,41.900002
2013-07-19,41.849998,42.75,41.700001,42.5,6078500,42.5
2013-07-22,42.5,42.52,41.84,42.040001,3133800,42.040001
2013-07-23,42.130001,43.16,42.009998,42.540001,4638200,42.540001
2013-07-24,43.009998,43.529999,41.950001,42.009998,6022200,42.009998
2013-07-25,42.119999,43.470001,42.060001,43.220001,5236900,43.220001
2013-07-26,42.970001,43.330002,42.279999,43.220001,2733000,43.220001
2013-07-29,43.16,43.43,42.509998,43.310001,3087200,43.310001
2013-07-30,43.59,44.419998,43.52,43.990002,4357900,43.990002
2013-07-31,43.959999,44.290001,43.650002,43.75,3263200,43.75
2013-08-01,44.169998,45.599998,44.150002,45.139999,5479000,45.139999
2013-08-02,44.970001,45.599998,44.93,45.52,3494500,45.52
2013-08-05,45.310001,46.099998,45.25,45.689999,2620900,45.689999
2013-08-06,45.380001,45.650002,44.900002,45.419998,2750300,45.419998
2013-08-07,45.200001,45.200001,44.189999,44.919998,3000300,44.919998
2013-08-08,45.200001,45.689999,44.970001,45.240002,3400700,45.240002
2013-08-09,45.23,45.580002,44.860001,45.209999,2543800,45.209999
2013-08-12,45.139999,45.68,45.060001,45.389999,2862900,45.389999
2013-08-13,45.360001,45.5,44.5,45.07,3644600,45.07
2013-08-14,45.099998,45.25,44.189999,44.66,3741400,44.66
2013-08-15,44.110001,44.18,42.860001,43.599998,5910700,43.599998
2013-08-16,43.529999,44.110001,43.470001,43.830002,4073400,43.830002
2013-08-19,43.799999,44.169998,43.349998,43.439999,3482000,43.439999
2013-08-20,43.43,43.860001,43.02,43.389999,3571400,43.389999
2013-08-21,43.43,44.150002,43.240002,43.5,5379900,43.5
2013-08-22,43.75,43.959999,43.5,43.75,2964900,43.75
2013-08-23,43.150002,43.73,43.0,43.59,4312800,43.59
2013-08-26,43.16,43.84,43.150002,43.400002,5731000,43.400002
2013-08-27,42.919998,42.98,42.330002,42.459999,5589800,42.459999
2013-08-28,42.450001,43.25,42.380001,42.779999,5877500,42.779999
2013-08-29,42.360001,43.98,42.110001,43.650002,13186500,43.650002
2013-08-30,47.669998,49.939999,47.380001,49.130001,31862700,49.130001
2013-09-03,49.459999,50.150002,49.130001,49.580002,10222700,49.580002
2013-09-04,48.810001,49.25,48.299999,48.77,8027400,48.77
2013-09-05,48.459999,49.119999,48.369999,48.599998,5991900,48.599998
2013-09-06,48.689999,49.25,48.02,48.470001,5185300,48.470001
2013-09-09,48.599998,49.200001,48.540001,49.200001,5220300,49.200001
2013-09-10,49.450001,50.080002,49.349998,50.02,5138200,50.02
2013-09-11,49.790001,50.419998,49.490002,49.880001,4309400,49.880001
2013-09-12,49.830002,50.599998,49.400002,49.959999,3839600,49.959999
2013-09-13,49.919998,50.09,49.18,49.639999,3350800,49.639999
2013-09-16,50.200001,50.459999,49.490002,49.650002,3347600,49.650002
2013-09-17,49.849998,50.470001,49.700001,49.900002,3167000,49.900002
2013-09-18,49.93,52.57,49.869999,52.490002,10464300,52.490002
2013-09-19,52.66,54.25,52.66,53.380001,6897600,53.380001
2013-09-20,53.5,54.02,52.75,52.759998,6106400,52.759998
2013-09-23,52.830002,53.650002,51.889999,52.349998,4339300,52.349998
2013-09-24,52.169998,52.73,51.709999,52.139999,2979400,52.139999
2013-09-25,52.049999,53.16,52.0,52.470001,4045800,52.470001
2013-09-26,52.860001,53.939999,52.849998,53.32,4141300,53.32
2013-09-27,53.029999,53.09,52.310001,52.43,3948100,52.43
2013-09-30,51.139999,52.25,50.759998,51.91,5051500,51.91
2013-10-01,52.139999,52.82,51.93,52.630001,3753300,52.630001
2013-10-02,52.25,53.150002,52.040001,53.150002,3207700,53.150002
2013-10-03,53.02,53.34,51.709999,52.0,3089100,52.0
2013-10-04,52.240002,53.369999,52.080002,52.830002,3600800,52.830002
2013-10-07,52.419998,53.200001,52.02,52.16,2974800,52.16
2013-10-08,52.549999,52.82,49.5,50.139999,5746200,50.139999
2013-10-09,50.259998,50.5,48.700001,49.91,4749700,49.91
2013-10-10,50.200001,51.77,50.110001,51.540001,4789800,51.540001
2013-10-11,51.540001,51.880001,50.900002,51.07,2614300,51.07
2013-10-14,50.509998,51.209999,49.970001,51.169998,3866500,51.169998
2013-10-15,51.119999,51.529999,50.599998,50.720001,3661500,50.720001
2013-10-16,50.98,52.93,50.98,52.580002,5546400,52.580002
2013-10-17,52.5,53.099998,52.25,53.009998,3001700,53.009998
2013-10-18,53.509998,54.150002,53.310001,54.099998,4548400,54.099998
2013-10-21,56.150002,56.240002,54.73,55.099998,4200400,55.099998
2013-10-22,55.369999,55.5,53.009998,54.279999,5078500,54.279999
2013-10-23,53.950001,54.040001,52.98,53.34,2532500,53.34
2013-10-24,53.75,54.540001,53.639999,54.380001,3193100,54.380001
2013-10-25,54.549999,54.889999,53.650002,54.560001,2715100,54.560001
