Date,Open_DAL,High_DAL,Low_DAL,Close_DAL,Volume_DAL,AdjClose_DAL
2013-06-14,18.629999,18.959999,18.530001,18.85,10445000,18.30606
2013-06-17,18.969999,19.049999,18.59,18.82,8832100,18.276925
2013-06-18,18.799999,19.049999,18.639999,18.969999,5265200,18.422596
2013-06-19,18.99,19.040001,18.690001,18.690001,4749700,18.150677
2013-06-20,18.469999,18.75,18.23,18.41,11287500,17.878756
2013-06-21,18.540001,18.66,17.82,18.280001,10310600,17.752508
2013-06-24,18.09,18.09,17.290001,17.360001,12095600,16.859056
2013-06-25,17.57,18.23,17.57,18.15,9019300,17.626258
2013-06-26,18.25,18.43,18.09,18.41,4871800,17.878756
2013-06-27,18.48,18.700001,18.25,18.690001,4852600,18.150677
2013-06-28,18.610001,18.870001,18.51,18.709999,7486400,18.170098
2013-07-01,18.799999,19.73,18.799999,19.360001,13262600,18.801343
2013-07-02,19.360001,19.42,18.66,18.99,8702000,18.442019
2013-07-03,18.73,18.9,18.299999,18.41,6578000,17.878756
2013-07-05,18.84,19.18,18.709999,19.0,6658800,18.451731
2013-07-08,19.15,19.25,18.950001,19.030001,4717900,18.480866
2013-07-09,19.17,19.57,19.08,19.33,6139200,18.772208
2013-07-10,19.360001,19.639999,18.52,18.700001,15637600,18.160388
2013-07-11,19.059999,19.110001,18.450001,18.860001,9921800,18.315771
2013-07-12,18.879999,19.389999,18.790001,19.290001,8801100,18.733363
2013-07-15,19.450001,19.68,19.219999,19.440001,6599600,18.879034
2013-07-16,19.5,19.59,19.200001,19.290001,5463500,18.733363
2013-07-17,19.309999,20.190001,19.309999,19.92,11346200,19.345183
2013-07-18,20.0,20.700001,20.0,20.559999,15283100,19.966714
2013-07-19,20.280001,20.42,20.030001,20.290001,7419200,19.704507
2013-07-22,20.209999,20.389999,20.08,20.370001,4967700,19.782198
2013-07-23,20.459999,20.549999,20.059999,20.450001,8767800,19.85989
2013-07-24,21.08,21.639999,20.719999,20.799999,17975400,20.199789
2013-07-25,20.969999,21.5,20.76,21.48,12557300,20.860167
2013-07-26,21.27,21.99,21.15,21.9,8877900,21.268047
2013-07-29,21.82,22.01,21.219999,21.32,7833700,20.704784
2013-07-30,21.48,21.5,20.98,21.190001,7459800,20.578536
2013-07-31,21.33,21.440001,21.129999,21.23,5684600,20.617381
2013-08-01,21.530001,22.049999,21.4,22.049999,9941900,21.413718
2013-08-02,21.969999,22.02,21.74,21.950001,6716700,21.316605
2013-08-05,21.85,21.959999,21.57,21.709999,4653900,21.083529
2013-08-06,21.709999,21.75,20.969999,20.98,6922300,20.374595
2013-08-07,20.950001,21.09,20.51,20.98,5775400,20.433031
2013-08-08,21.24,21.35,20.98,21.059999,6645500,20.510945
2013-08-09,21.09,21.1,20.540001,20.57,6656700,20.03372
2013-08-12,20.51,21.09,20.450001,21.040001,8250000,20.491468
2013-08-13,21.139999,21.309999,18.530001,19.549999,71984800,19.040312
2013-08-14,19.299999,19.43,18.75,19.040001,30584800,18.54361
2013-08-15,19.08,19.75,18.950001,19.530001,17556800,19.020835
2013-08-16,19.6,20.18,19.530001,19.83,11501700,19.313013
2013-08-19,19.77,19.790001,19.01,19.129999,8353200,18.631262
2013-08-20,19.309999,19.48,18.98,19.190001,13639200,18.689699
2013-08-21,19.27,19.77,19.17,19.559999,12699800,19.050052
2013-08-22,19.690001,20.4,19.690001,20.25,13194900,19.722063
2013-08-23,20.280001,20.440001,20.049999,20.120001,6310900,19.595453
2013-08-26,20.139999,20.549999,19.85,20.27,10372200,19.741542
2013-08-27,19.620001,19.66,18.85,19.110001,19939000,18.611785
2013-08-28,19.08,19.219999,18.92,19.129999,10242800,18.631262
2013-08-29,19.620001,20.0,19.33,19.639999,12982100,19.127966
2013-08-30,19.700001,20.15,19.58,19.73,12920000,19.21562
2013-09-03,20.049999,20.450001,19.57,19.84,16288300,19.322752
2013-09-04,20.17,20.440001,20.0,20.309999,12499200,19.780498
2013-09-05,20.33,20.74,20.200001,20.25,9206400,19.722063
2013-09-06,20.51,20.610001,19.75,19.889999,12276100,19.371448
2013-09-09,20.85,21.790001,20.76,21.76,48677200,21.192696
2013-09-10,22.110001,23.129999,21.969999,22.629999,206372300,22.040014
2013-09-11,22.43,22.709999,22.299999,22.42,27856100,21.835489
2013-09-12,22.33,22.440001,22.08,22.17,26098900,21.592007
2013-09-13,22.200001,22.59,22.15,22.469999,15015300,21.884185
2013-09-16,22.98,23.57,22.780001,23.15,21517800,22.546457
2013-09-17,23.66,23.709999,23.07,23.32,14278100,22.712025
2013-09-18,23.0,23.549999,22.91,23.309999,17592100,22.702286
2013-09-19,23.32,23.59,23.08,23.450001,9416200,22.838637
2013-09-20,23.58,23.719999,23.25,23.299999,14547300,22.692546
2013-09-23,23.309999,23.51,23.139999,23.32,9871500,22.712025
2013-09-24,23.25,24.1,23.25,23.76,11199300,23.140554
2013-09-25,23.799999,23.84,23.200001,23.809999,11788300,23.18925
2013-09-26,23.790001,24.02,23.639999,24.01,12969100,23.384037
2013-09-27,23.379999,23.950001,23.1,23.57,16040400,22.955507
2013-09-30,23.16,23.690001,22.709999,23.59,10827400,22.974986
2013-10-01,23.68,24.219999,23.629999,24.209999,15105900,23.578821
2013-10-02,24.549999,24.77,24.110001,24.25,21639200,23.617779
2013-10-03,24.49,24.700001,23.9,24.540001,16929500,23.90022
2013-10-04,24.690001,25.43,24.549999,25.190001,17398300,24.533273
2013-10-07,24.950001,25.09,24.809999,24.85,8462700,24.202137
2013-10-08,24.76,24.82,24.049999,24.23,12505800,23.5983
2013-10-09,24.290001,24.549999,23.719999,24.25,10944400,23.617779
2013-10-10,24.639999,24.940001,24.379999,24.51,12480400,23.871001
2013-10-11,24.58,24.790001,24.17,24.4,12404400,23.763868
2013-10-14,24.200001,24.35,23.77,24.110001,18373500,23.48143
2013-10-15,24.1,24.27,23.83,24.02,11664000,23.393776
2013-10-16,24.18,24.51,23.879999,24.42,10759400,23.783347
2013-10-17,24.379999,24.9,24.379999,24.790001,12646400,24.143702
2013-10-18,24.969999,25.18,24.82,25.01,11466700,24.357966
2013-10-21,25.200001,25.23,24.459999,24.690001,12851900,24.046309
2013-10-22,25.559999,26.24,25.26,25.49,22623200,24.825451
2013-10-23,25.440001,25.950001,25.290001,25.610001,12626900,24.942324
2013-10-24,25.85,26.469999,25.67,26.32,18251900,25.633812
2013-10-25,26.299999,26.68,26.049999,26.309999,13052800,25.624073
2013-10-28,26.42,26.440001,25.98,26.139999,9529800,25.458505
2013-10-29,26.34,26.690001,26.24,26.35,9611200,25.663031
2013-10-30,26.59,26.719999,26.0,26.48,12238300,25.789641
2013-10-31,26.469999,26.620001,26.26,26.379999,10144300,25.692247
2013-11-01,26.459999,26.940001,26.049999,26.700001,13682300,26.003906
2013-11-04,27.129999,27.790001,27.01,27.440001,17463300,26.784804
2013-11-05,27.700001,27.709999,27.120001,27.459999,13766200,26.804325
2013-11-06,27.66,27.700001,26.77,26.879999,13371800,26.238174
2013-11-07,27.01,27.389999,26.6,26.68,13309400,26.04295
2013-11-08,26.639999,27.629999,26.620001,26.889999,17707900,26.247935
2013-11-11,27.190001,27.559999,27.129999,27.469999,7869200,26.814086
2013-11-12,27.440001,28.469999,27.43,28.120001,29670200,27.448567
2013-11-13,28.110001,28.219999,27.58,27.790001,11977300,27.126447
2013-11-14,27.889999,28.190001,27.68,27.940001,10551900,27.272865
2013-11-15,28.01,28.190001,27.790001,28.120001,10508100,27.448567
2013-11-18,28.27,28.700001,28.049999,28.120001,13631800,27.448567
2013-11-19,28.16,28.75,27.83,27.85,13900000,27.185014
2013-11-20,27.99,28.08,27.42,27.709999,12442400,27.048355
2013-11-21,27.85,28.129999,27.719999,28.040001,8489000,27.370477
2013-11-22,28.25,28.9,28.25,28.6,14684400,27.917106
