Date,Open_DHI,High_DHI,Low_DHI,Close_DHI,Volume_DHI,AdjClose_DHI
2013-06-14,23.620001,24.15,23.620001,23.889999,7673300,23.318029
2013-06-17,24.1,24.65,23.98,24.26,6115700,23.679172
2013-06-18,24.24,24.549999,23.879999,24.379999,3677500,23.796298
2013-06-19,24.440001,24.440001,23.389999,23.440001,5123100,22.878804
2013-06-20,23.09,23.09,21.059999,21.309999,17923600,20.799799
2013-06-21,21.52,21.65,19.940001,21.1,16532300,20.594828
2013-06-24,20.5,21.23,20.02,20.92,12263600,20.419137
2013-06-25,21.709999,21.75,20.870001,20.91,10991000,20.409377
2013-06-26,21.049999,21.219999,20.530001,20.92,8803800,20.419137
2013-06-27,21.08,21.77,20.83,21.709999,9363200,21.190222
2013-06-28,21.59,21.73,21.280001,21.280001,7291900,20.770519
2013-07-01,21.379999,21.709999,20.98,21.049999,6231100,20.546024
2013-07-02,21.120001,21.25,20.77,20.860001,7161400,20.360574
2013-07-03,20.77,21.120001,20.719999,20.959999,2599900,20.458179
2013-07-05,21.030001,21.07,19.889999,20.280001,6154400,19.794461
2013-07-08,20.360001,20.48,19.690001,19.73,7582000,19.257628
2013-07-09,19.92,21.370001,19.92,21.219999,12644900,20.711954
2013-07-10,21.25,21.35,20.84,21.049999,5695500,20.546024
2013-07-11,21.92,23.01,21.92,22.98,11785100,22.429817
2013-07-12,22.959999,23.200001,22.610001,22.76,4959000,22.215085
2013-07-15,22.74,22.82,21.65,21.719999,6815300,21.199983
2013-07-16,21.77,22.280001,21.25,21.700001,7968200,21.180463
2013-07-17,21.65,22.25,21.200001,22.190001,9131500,21.658732
2013-07-18,22.280001,22.379999,21.66,21.67,4976500,21.151181
2013-07-19,21.639999,22.200001,21.57,22.07,4929300,21.541604
2013-07-22,22.27,22.34,21.49,21.58,4842400,21.063336
2013-07-23,21.57,21.940001,21.379999,21.799999,4671500,21.278068
2013-07-24,22.139999,22.24,21.08,21.200001,7810600,20.692434
2013-07-25,20.35,20.389999,19.129999,19.379999,22962800,18.916007
2013-07-26,19.4,19.9,19.209999,19.33,10621400,18.867205
2013-07-29,19.48,20.059999,19.379999,19.67,10822400,19.199065
2013-07-30,19.52,19.84,19.48,19.75,7157200,19.277149
2013-07-31,19.700001,20.450001,19.610001,20.1,9662300,19.61877
2013-08-01,20.360001,20.76,19.93,20.110001,7385900,19.628531
2013-08-02,20.200001,20.66,20.16,20.379999,4600900,19.892065
2013-08-05,20.299999,20.33,19.74,19.969999,5916100,19.491881
2013-08-06,19.98,20.0,19.43,19.6,4369500,19.130741
2013-08-07,19.5,19.540001,18.82,18.98,7994500,18.525584
2013-08-08,19.18,19.219999,18.860001,18.91,5454300,18.45726
2013-08-09,18.889999,19.059999,18.58,18.889999,5999600,18.437739
2013-08-12,18.809999,19.27,18.67,18.82,6200100,18.369415
2013-08-13,18.85,18.91,18.190001,18.540001,7386900,18.09612
2013-08-14,18.5,18.5,17.91,18.09,9419500,17.656893
2013-08-15,17.82,19.360001,17.59,19.120001,16214700,18.662233
2013-08-16,19.23,19.870001,18.73,19.0,13307700,18.545106
2013-08-19,18.969999,19.290001,18.209999,18.299999,8805200,17.861864
2013-08-20,18.4,19.02,18.33,18.91,6073800,18.45726
2013-08-21,18.879999,19.209999,18.73,18.85,7442400,18.398697
2013-08-22,18.969999,19.440001,18.860001,19.280001,3760700,18.818402
2013-08-23,19.389999,19.389999,18.469999,18.73,7194900,18.281569
2013-08-26,18.690001,19.030001,18.48,18.690001,6831700,18.242528
2013-08-27,18.290001,18.42,17.889999,17.99,11456900,17.559287
2013-08-28,17.9,17.940001,17.57,17.77,9461800,17.344554
2013-08-29,17.809999,18.530001,17.73,18.4,8412900,17.95947
2013-08-30,18.32,18.32,17.77,17.85,5478600,17.422639
2013-09-03,17.91,18.120001,17.73,17.799999,6962500,17.373835
2013-09-04,17.799999,18.040001,17.75,17.83,5929800,17.403117
2013-09-05,17.82,17.860001,17.52,17.77,5901300,17.344554
2013-09-06,18.110001,18.51,17.870001,18.1,7702200,17.666654
2013-09-09,18.190001,19.34,18.190001,19.280001,10615600,18.818402
2013-09-10,19.200001,19.370001,18.84,18.889999,7595900,18.437739
2013-09-11,18.889999,19.700001,18.879999,19.5,7077500,19.033135
2013-09-12,19.48,20.07,19.299999,19.360001,6758900,18.896487
2013-09-13,19.309999,19.43,18.879999,19.139999,5183800,18.681753
2013-09-16,19.74,20.24,19.610001,19.84,9905600,19.364995
2013-09-17,19.77,20.190001,19.75,19.950001,5018700,19.472362
2013-09-18,19.9,21.4,19.68,21.33,13832400,20.819321
2013-09-19,21.450001,21.6,20.790001,21.01,8474700,20.506983
2013-09-20,21.059999,21.09,20.030001,20.200001,10105700,19.716376
2013-09-23,20.18,20.280001,19.59,19.809999,7440200,19.335712
2013-09-24,19.860001,20.610001,19.67,20.059999,8563600,19.579727
2013-09-25,20.110001,20.530001,19.809999,20.16,4707800,19.677333
