Date,Open_DPS,High_DPS,Low_DPS,Close_DPS,Volume_DPS,AdjClose_DPS
2013-06-14,46.900002,47.41,46.740002,46.93,1037800,43.339427
2013-06-17,47.150002,47.299999,46.860001,47.099998,845900,43.496419
2013-06-18,47.110001,47.450001,46.93,47.43,625100,43.801173
2013-06-19,47.290001,47.650002,46.599998,46.599998,837900,43.034674
2013-06-20,46.34,46.619999,45.360001,45.380001,1484900,41.908017
2013-06-21,45.57,45.73,45.080002,45.540001,2279700,42.055776
2013-06-24,45.130001,45.560001,44.919998,45.189999,1359900,41.732552
2013-06-25,45.439999,45.459999,44.700001,44.98,1682200,41.538619
2013-06-26,45.34,45.900002,45.23,45.639999,823600,42.148123
2013-06-27,45.900002,46.380001,45.73,46.0,1039100,42.480581
2013-06-28,46.0,46.23,45.93,45.93,1911000,42.415936
2013-07-01,46.209999,46.610001,45.990002,46.41,1155300,42.859212
2013-07-02,46.389999,46.720001,46.25,46.599998,1013400,43.034674
2013-07-03,46.360001,46.580002,45.950001,46.580002,787900,43.016207
2013-07-05,46.740002,46.82,45.889999,46.369999,880800,42.822271
2013-07-08,46.509998,46.720001,46.130001,46.389999,735600,42.840741
2013-07-09,46.689999,46.939999,46.380001,46.599998,887200,43.034674
2013-07-10,46.580002,47.029999,46.400002,46.959999,1045300,43.367131
2013-07-11,47.439999,47.73,47.360001,47.57,916400,43.930461
2013-07-12,47.639999,47.790001,47.23,47.459999,828800,43.828876
2013-07-15,47.389999,47.73,47.330002,47.5,531000,43.865817
2013-07-16,47.0,47.48,46.98,47.310001,649400,43.690355
2013-07-17,47.560001,47.73,47.450001,47.700001,615700,44.050516
2013-07-18,47.77,47.98,47.619999,47.91,602600,44.244448
2013-07-19,47.950001,48.310001,47.77,48.290001,1117800,44.595376
2013-07-22,48.029999,48.189999,47.580002,47.82,999300,44.161334
2013-07-23,47.919998,47.950001,47.529999,47.68,1062800,44.032046
2013-07-24,47.639999,47.639999,46.040001,46.32,2311300,42.776097
2013-07-25,46.330002,46.389999,45.849998,46.110001,1540900,42.582165
2013-07-26,46.0,46.650002,45.799999,46.639999,1062100,43.071614
2013-07-29,46.580002,47.009998,46.43,46.799999,978400,43.219373
2013-07-30,46.880001,47.169998,46.41,46.450001,1002000,42.896152
2013-07-31,46.619999,47.02,46.330002,46.740002,1440100,43.163965
2013-08-01,47.049999,47.470001,47.0,47.259998,1443200,43.644178
2013-08-02,47.27,47.610001,47.02,47.41,1138400,43.782703
2013-08-05,47.400002,47.650002,47.110001,47.470001,610900,43.838113
2013-08-06,47.290001,47.439999,46.990002,47.150002,1183400,43.542596
2013-08-07,47.080002,47.32,46.91,47.220001,595800,43.607241
2013-08-08,47.25,47.349998,46.970001,47.040001,921200,43.441012
2013-08-09,46.959999,47.09,46.66,46.849998,818300,43.265546
2013-08-12,46.650002,46.77,46.450001,46.619999,774200,43.053144
2013-08-13,46.689999,46.799999,46.330002,46.459999,649700,42.905386
2013-08-14,46.470001,46.68,45.810001,45.860001,1022200,42.351292
2013-08-15,45.779999,45.939999,45.130001,45.279999,1124800,41.815666
2013-08-16,45.169998,45.240002,44.720001,44.830002,1264700,41.400098
2013-08-19,44.709999,45.25,44.529999,45.200001,1090400,41.741789
2013-08-20,45.27,45.740002,45.139999,45.580002,1385300,42.092716
2013-08-21,45.48,45.509998,45.099998,45.16,1173400,41.704848
2013-08-22,45.209999,45.400002,44.93,45.240002,583500,41.778729
2013-08-23,45.34,45.709999,45.299999,45.619999,909800,42.129653
2013-08-26,45.689999,45.689999,45.18,45.32,872100,41.852606
2013-08-27,45.009998,45.610001,44.889999,45.360001,1129400,41.889547
2013-08-28,45.200001,45.540001,44.669998,44.900002,1818700,41.464742
2013-08-29,44.720001,44.799999,44.48,44.59,1570100,41.178459
2013-08-30,44.619999,44.759998,44.52,44.759998,1520300,41.33545
2013-09-03,45.009998,45.139999,44.529999,44.599998,1833300,41.187692
2013-09-04,44.580002,45.25,44.27,45.25,1323600,41.787962
2013-09-05,45.220001,45.259998,44.490002,44.610001,1039700,41.196929
2013-09-06,44.689999,44.880001,44.169998,44.470001,2002200,41.067641
2013-09-09,44.57,44.650002,44.200001,44.580002,1410300,41.169225
2013-09-10,44.740002,44.900002,44.459999,44.540001,1212300,41.132285
2013-09-11,44.540001,44.599998,44.16,44.310001,1839500,40.919882
2013-09-12,44.029999,44.560001,43.900002,44.560001,1742100,41.506712
2013-09-13,44.700001,45.040001,44.549999,44.91,967000,41.832729
2013-09-16,45.240002,45.5,45.060001,45.130001,1175100,42.037655
2013-09-17,45.150002,45.610001,45.130001,45.52,889300,42.400932
2013-09-18,45.619999,46.110001,45.32,46.09,1130400,42.931874
2013-09-19,45.529999,45.939999,45.169998,45.790001,2026400,42.652431
2013-09-20,45.919998,45.939999,45.560001,45.59,1684000,42.466135
2013-09-23,45.41,45.5,45.080002,45.290001,916800,42.186692
2013-09-24,45.34,45.779999,45.23,45.27,1337800,42.168062
2013-09-25,45.279999,45.459999,44.77,44.950001,1191200,41.869989
2013-09-26,45.060001,45.200001,44.84,45.07,1113200,41.981765
2013-09-27,44.959999,45.049999,44.57,44.98,1138900,41.897932
2013-09-30,44.709999,44.900002,44.450001,44.82,1217600,41.748895
2013-10-01,44.779999,44.900002,44.279999,44.48,1658600,41.432192
2013-10-02,44.330002,44.330002,43.709999,44.0,2008600,40.985083
2013-10-03,44.0,44.09,43.360001,43.41,2088400,40.43551
2013-10-04,43.34,43.540001,43.290001,43.470001,1695300,40.4914
2013-10-07,43.310001,43.610001,43.290001,43.380001,1276100,40.407567
2013-10-08,43.32,43.650002,43.18,43.470001,1729200,40.4914
2013-10-09,43.5,43.810001,43.360001,43.630001,2244400,40.640437
2013-10-10,43.98,44.110001,43.84,44.049999,1369100,41.031656
2013-10-11,43.669998,43.959999,43.450001,43.919998,1355500,40.910563
2013-10-14,43.790001,44.189999,43.549999,44.169998,1045900,41.143433
2013-10-15,44.150002,44.25,43.709999,43.779999,1189600,40.780156
2013-10-16,44.119999,45.049999,44.080002,45.040001,1778000,41.953822
2013-10-17,44.889999,45.169998,44.73,45.029999,1332800,41.944505
2013-10-18,45.02,45.060001,44.889999,45.009998,1575900,41.925875
2013-10-21,44.990002,45.009998,44.549999,44.98,1157600,41.897932
2013-10-22,45.009998,45.709999,45.009998,45.369999,1458800,42.261208
2013-10-23,45.439999,46.82,45.240002,46.490002,2686800,43.304468
2013-10-24,46.740002,46.990002,46.419998,46.490002,1788100,43.304468
2013-10-25,46.459999,47.139999,46.459999,46.669998,1722500,43.472131
2013-10-28,46.720001,47.830002,46.720001,47.509998,1880200,44.254573
2013-10-29,47.68,47.869999,47.439999,47.709999,1869600,44.44087
2013-10-30,47.669998,47.669998,47.349998,47.470001,1774400,44.217317
2013-10-31,47.450001,47.540001,47.240002,47.349998,1434700,44.105537
2013-11-01,47.450001,47.549999,47.150002,47.43,979200,44.180057
2013-11-04,47.34,47.540001,46.98,47.18,848300,43.947187
2013-11-05,47.080002,47.459999,46.98,47.279999,870800,44.040333
2013-11-06,47.290001,47.93,47.18,47.759998,1135200,44.487443
2013-11-07,47.860001,47.939999,47.299999,47.330002,964300,44.08691
2013-11-08,47.360001,47.93,47.0,47.91,1055200,44.627166
2013-11-11,47.830002,47.990002,47.689999,47.91,915800,44.627166
2013-11-12,47.759998,47.990002,47.470001,47.939999,1095400,44.655109
2013-11-13,47.779999,48.200001,47.470001,48.139999,806000,44.841406
2013-11-14,48.23,48.919998,48.130001,48.75,836500,45.409609
2013-11-15,48.740002,48.869999,48.220001,48.560001,891100,45.232629
2013-11-18,48.66,48.849998,48.200001,48.66,1176100,45.325776
2013-11-19,48.52,48.73,48.41,48.450001,1127400,45.130166
2013-11-20,48.540001,49.009998,48.360001,48.41,803500,45.092906
2013-11-21,48.580002,49.220001,48.549999,49.169998,787400,45.800828
2013-11-22,49.139999,49.23,48.869999,48.939999,890400,45.586589
2013-11-25,49.099998,49.110001,48.419998,48.490002,1063400,45.167426
2013-11-26,48.5,48.599998,47.98,48.189999,927900,44.887979
2013-11-27,48.23,48.57,48.080002,48.470001,492900,45.148796
2013-11-29,48.459999,48.790001,48.220001,48.259998,559500,44.953183
2013-12-02,48.470001,48.470001,47.32,47.740002,1420700,44.468816
2013-12-03,47.73,48.130001,47.439999,48.110001,1856500,44.813463
2013-12-04,47.950001,48.669998,47.790001,48.630001,813600,45.297832
2013-12-05,48.5,48.560001,48.16,48.209999,1306300,44.906609
2013-12-06,48.52,49.02,48.52,49.0,705800,45.642479
2013-12-09,48.98,48.990002,48.540001,48.740002,939700,45.400296
2013-12-10,48.599998,48.720001,48.200001,48.389999,879200,45.074276
2013-12-11,48.540001,48.82,48.310001,48.310001,1304800,44.999759
2013-12-12,47.93,48.0,47.169998,47.299999,1656700,44.408275
2013-12-13,47.700001,47.950001,47.549999,47.580002,986200,44.671159
2013-12-16,47.639999,47.950001,47.639999,47.75,1460600,44.830764
2013-12-17,47.66,47.720001,47.060001,47.349998,1045000,44.455217
2013-12-18,47.369999,48.220001,47.16,48.220001,1292000,45.272031
2013-12-19,48.189999,48.259998,47.57,47.799999,940800,44.877707
2013-12-20,47.889999,48.450001,47.889999,48.419998,1509100,45.459801
