Date,Open_DRI,High_DRI,Low_DRI,Close_DRI,Volume_DRI,AdjClose_DRI
2013-06-14,53.209999,53.360001,52.470001,52.540001,874900,46.760027
2013-06-17,52.939999,53.150002,52.470001,52.77,1282800,46.964724
2013-06-18,52.75,53.32,52.619999,53.130001,1574500,47.285121
2013-06-19,53.27,53.650002,52.560001,52.619999,1592500,46.831224
2013-06-20,52.41,52.639999,50.98,51.23,2438700,45.59414
2013-06-21,50.939999,51.0,48.779999,50.119999,5735000,44.606252
2013-06-24,49.48,49.560001,48.43,49.029999,3396800,43.636163
2013-06-25,49.48,49.540001,48.700001,49.07,3022300,43.671764
2013-06-26,49.400002,49.93,49.209999,49.549999,1255300,44.098958
2013-06-27,49.93,50.290001,49.32,49.41,1579400,43.97436
2013-06-28,49.400002,50.73,49.110001,50.48,3477700,44.926648
2013-07-01,50.73,51.279999,50.509998,50.639999,1647000,45.069046
2013-07-02,50.630001,51.189999,50.529999,50.91,1408400,45.309344
2013-07-03,50.630001,51.099998,50.34,50.959999,671800,45.353843
2013-07-05,51.34,51.459999,50.84,51.330002,649100,45.683141
2013-07-08,51.099998,51.900002,51.099998,51.720001,1408800,46.528791
2013-07-09,52.009998,52.240002,51.75,51.889999,825900,46.681726
2013-07-10,51.810001,51.889999,50.529999,50.950001,1604900,45.836077
2013-07-11,51.369999,51.5,50.299999,50.549999,1553300,45.476224
2013-07-12,50.59,50.860001,50.32,50.43,1523200,45.36827
2013-07-15,50.299999,51.18,50.299999,51.150002,1592300,46.016003
2013-07-16,50.75,51.080002,50.080002,50.34,1047200,45.287303
2013-07-17,50.400002,50.580002,49.389999,49.560001,1242700,44.585594
2013-07-18,49.799999,50.110001,49.799999,50.07,1349900,45.044403
2013-07-19,50.150002,50.189999,49.450001,49.490002,1101900,44.52262
2013-07-22,49.459999,49.689999,49.139999,49.220001,1175100,44.27972
2013-07-23,49.439999,49.5,49.060001,49.209999,1148500,44.270722
2013-07-24,49.209999,49.32,48.150002,48.380001,1389000,43.524032
2013-07-25,48.150002,48.41,47.759998,48.389999,1393000,43.533026
2013-07-26,48.189999,48.950001,48.16,48.93,1733500,44.018827
2013-07-29,49.0,49.330002,48.810001,49.02,994600,44.099793
2013-07-30,49.130001,49.34,48.889999,49.02,1027700,44.099793
2013-07-31,49.02,49.619999,48.970001,49.049999,1320100,44.126781
2013-08-01,49.380001,49.939999,49.32,49.560001,1380100,44.585594
2013-08-02,49.700001,49.970001,49.34,49.880001,1067100,44.873475
2013-08-05,49.700001,49.830002,49.110001,49.619999,998100,44.639569
2013-08-06,49.639999,50.150002,49.189999,49.25,1432700,44.306708
2013-08-07,49.23,49.990002,49.150002,49.68,910900,44.693548
2013-08-08,49.860001,49.98,49.470001,49.540001,733100,44.567601
2013-08-09,49.549999,49.970001,49.419998,49.560001,881100,44.585594
2013-08-12,49.380001,49.549999,49.060001,49.259998,1078300,44.315702
2013-08-13,49.18,49.220001,48.709999,49.139999,854500,44.207748
2013-08-14,48.990002,49.049999,48.549999,48.759998,1095500,43.865888
2013-08-15,48.400002,48.48,47.669998,47.84,1531200,43.038231
2013-08-16,47.810001,48.099998,47.599998,47.91,1072400,43.101205
2013-08-19,47.919998,48.049999,47.509998,47.650002,1069100,42.867303
2013-08-20,47.720001,48.470001,47.599998,47.84,2582700,43.038231
2013-08-21,47.5,47.959999,46.689999,46.93,1931300,42.21957
2013-08-22,47.16,47.630001,47.049999,47.27,1272900,42.525443
2013-08-23,47.25,47.48,46.619999,47.009998,1881200,42.291538
2013-08-26,47.16,47.380001,46.860001,46.93,870600,42.21957
2013-08-27,46.57,46.869999,46.310001,46.459999,1391500,41.796743
2013-08-28,46.349998,46.849998,46.110001,46.360001,1075600,41.706782
2013-08-29,46.389999,46.77,46.330002,46.549999,790000,41.87771
2013-08-30,46.259998,46.450001,46.0,46.209999,1073200,41.571836
2013-09-03,46.740002,46.889999,45.709999,46.209999,1516300,41.571836
2013-09-04,46.189999,46.91,46.029999,46.77,1376800,42.075629
2013-09-05,46.720001,47.189999,46.709999,46.860001,1063500,42.156596
2013-09-06,47.380001,47.900002,46.91,47.450001,1720200,42.687377
2013-09-09,47.509998,47.919998,47.509998,47.650002,996900,42.867303
2013-09-10,47.849998,48.080002,47.68,47.860001,835100,43.056224
2013-09-11,47.939999,48.43,47.810001,48.43,666600,43.569012
2013-09-12,48.389999,48.790001,48.049999,48.209999,964400,43.371093
2013-09-13,48.310001,48.549999,47.779999,48.369999,1044400,43.515033
2013-09-16,48.810001,49.259998,48.700001,48.849998,1942300,43.946855
2013-09-17,48.790001,49.849998,48.759998,49.580002,1534500,44.603587
2013-09-18,49.5,49.810001,49.150002,49.810001,1112100,44.810501
2013-09-19,49.779999,49.799999,48.919998,49.299999,1851100,44.351688
2013-09-20,47.470001,47.830002,45.720001,45.779999,6344400,41.184995
2013-09-23,45.810001,46.310001,44.779999,46.259998,3698800,41.616817
2013-09-24,46.360001,46.580002,46.049999,46.419998,2123000,41.760757
2013-09-25,46.41,46.450001,45.98,46.0,1955800,41.382915
2013-09-26,46.099998,46.439999,45.759998,46.439999,1680800,41.77875
2013-09-27,46.209999,46.75,46.169998,46.700001,1407900,42.012655
2013-09-30,46.299999,46.580002,46.049999,46.290001,1335800,41.643808
2013-10-01,46.32,46.900002,46.310001,46.860001,1386400,42.156596
2013-10-02,46.439999,46.619999,46.130001,46.57,1252900,41.895703
2013-10-03,46.389999,46.450001,45.43,45.950001,2134500,41.337934
2013-10-04,46.009998,46.720001,45.93,46.720001,4868900,42.030648
2013-10-07,46.369999,46.490002,45.860001,45.889999,3979400,41.283955
2013-10-08,46.290001,46.900002,45.970001,46.279999,2723500,42.139864
2013-10-09,46.25,51.169998,45.68,49.57,12582800,45.135547
2013-10-10,49.48,49.889999,48.779999,49.779999,3434300,45.326759
2013-10-11,49.59,50.509998,49.259998,50.5,2841800,45.98235
2013-10-14,50.18,51.049999,50.009998,50.959999,2510100,46.401199
2013-10-15,50.779999,51.43,50.580002,51.009998,4721400,46.446725
2013-10-16,51.240002,51.310001,50.470001,50.66,3578900,46.128037
2013-10-17,50.549999,52.740002,49.68,51.799999,5511000,47.166054
2013-10-18,52.07,52.32,51.82,52.07,1806100,47.411901
2013-10-21,51.970001,52.099998,51.779999,52.07,1205900,47.411901
2013-10-22,52.099998,52.23,51.869999,51.950001,1034000,47.302637
2013-10-23,51.669998,51.880001,50.91,51.040001,1728400,46.474044
2013-10-24,51.009998,51.549999,50.849998,51.490002,1169400,46.883788
2013-10-25,51.619999,51.740002,51.150002,51.700001,942800,47.075001
2013-10-28,51.790001,51.790001,51.259998,51.529999,1155800,46.920207
2013-10-29,51.860001,52.630001,51.740002,52.599998,1633600,47.894486
2013-10-30,52.669998,52.700001,52.040001,52.23,738300,47.557587
2013-10-31,52.119999,52.150002,51.389999,51.529999,984900,46.920207
2013-11-01,51.639999,51.740002,51.130001,51.48,931700,46.874681
2013-11-04,51.57,52.02,51.52,51.990002,943900,47.339059
2013-11-05,51.970001,52.970001,51.77,52.959999,1471600,48.222282
2013-11-06,53.0,53.220001,52.689999,53.060001,954100,48.313338
2013-11-07,53.009998,53.130001,52.009998,52.139999,1185000,47.475638
2013-11-08,52.139999,52.32,51.91,52.16,831100,47.493849
2013-11-11,52.119999,52.5,51.84,52.150002,1013500,47.484746
2013-11-12,51.860001,52.150002,51.669998,51.919998,1168300,47.275318
2013-11-13,51.52,52.330002,51.43,52.209999,972300,47.539376
2013-11-14,52.189999,52.759998,52.119999,52.66,718800,47.94912
2013-11-15,52.68,53.880001,52.540001,53.5,1606900,48.713975
2013-11-18,53.52,53.689999,52.900002,53.150002,1066700,48.395287
2013-11-19,52.990002,53.189999,52.389999,52.759998,1423200,48.040173
2013-11-20,52.790001,53.419998,52.709999,52.959999,1287500,48.222282
2013-11-21,53.25,53.790001,52.709999,53.57,1137800,48.777713
2013-11-22,53.5,53.990002,53.32,53.869999,795000,49.050875
2013-11-25,54.060001,54.080002,53.5,53.52,627000,48.732187
2013-11-26,53.419998,53.669998,53.18,53.23,1005300,48.468129
2013-11-27,53.18,53.720001,53.060001,53.490002,1103400,48.704871
2013-11-29,53.57,53.630001,53.080002,53.330002,455900,48.559185
2013-12-02,53.189999,53.419998,52.580002,52.91,1668900,48.176756
2013-12-03,52.560001,52.720001,51.810001,52.200001,1142500,47.530272
2013-12-04,52.09,52.48,51.849998,52.220001,1374100,47.548483
2013-12-05,52.240002,52.490002,51.939999,52.060001,734800,47.402797
2013-12-06,52.450001,52.75,52.380001,52.48,1029400,47.785222
2013-12-09,52.43,52.68,52.080002,52.279999,1119300,47.603113
2013-12-10,52.209999,52.380001,51.720001,51.830002,994400,47.193372
