Date,Open_DUK,High_DUK,Low_DUK,Close_DUK,Volume_DUK,AdjClose_DUK
2015-06-08,72.68,72.849998,72.260002,72.449997,4761700,69.31969
2015-06-09,72.370003,72.93,72.080002,72.129997,3618200,69.013516
2015-06-10,72.580002,73.0,72.010002,72.050003,3512300,68.936978
2015-06-11,72.580002,73.169998,72.559998,72.860001,3427300,69.711978
2015-06-12,72.379997,73.029999,72.339996,72.529999,3788100,69.396235
2015-06-15,72.400002,72.900002,72.169998,72.5,2928200,69.367532
2015-06-16,72.620003,72.709999,72.139999,72.57,3215200,69.434507
2015-06-17,72.519997,73.199997,71.940002,73.080002,3861500,69.922474
2015-06-18,73.209999,74.589996,73.209999,74.540001,4779000,71.319392
2015-06-19,74.349998,74.519997,73.139999,73.199997,7284800,70.037285
2015-06-22,73.459999,73.550003,72.910004,73.07,2246200,69.912904
2015-06-23,72.919998,73.120003,71.769997,71.779999,3937400,68.67864
2015-06-24,72.010002,72.25,70.93,70.93,4908400,67.865367
2015-06-25,71.190002,71.330002,70.68,70.68,2899700,67.626168
2015-06-26,70.589996,71.370003,70.470001,71.0,4537300,67.932342
2015-06-29,71.080002,71.709999,70.82,70.849998,3219700,67.788821
2015-06-30,70.989998,71.040001,70.410004,70.620003,3911300,67.568763
2015-07-01,70.800003,71.120003,70.239998,71.080002,2372500,68.008887
2015-07-02,71.68,72.639999,71.43,72.529999,3377400,69.396235
2015-07-06,72.370003,73.0,72.220001,72.849998,2830200,69.702408
2015-07-07,73.220001,75.709999,73.220001,75.269997,6836500,72.017847
2015-07-08,74.830002,75.57,74.699997,74.790001,2918900,71.55859
2015-07-09,74.949997,75.230003,73.690002,74.07,4500100,70.869698
2015-07-10,74.379997,75.169998,73.980003,74.370003,2381600,71.156739
2015-07-13,74.57,74.940002,73.940002,74.349998,2796000,71.137599
2015-07-14,74.559998,74.809998,73.5,73.800003,3372500,70.611367
2015-07-15,73.699997,74.150002,73.360001,74.019997,2521500,70.821855
2015-07-16,74.110001,74.989998,74.07,74.809998,3137300,71.577723
2015-07-17,74.489998,74.739998,73.5,73.57,3779600,70.391301
2015-07-20,73.599998,73.779999,72.769997,73.269997,2897000,70.10426
2015-07-21,73.199997,73.199997,72.019997,72.419998,2939800,69.290987
2015-07-22,72.459999,73.019997,72.290001,72.370003,3316600,69.243152
2015-07-23,72.260002,72.309998,71.019997,71.559998,3358700,68.468144
2015-07-24,71.57,72.019997,71.25,71.690002,1817700,68.592532
2015-07-27,71.760002,73.309998,71.75,73.0,3104000,69.845929
2015-07-28,72.800003,73.379997,72.68,73.129997,3242800,69.970309
2015-07-29,72.93,73.269997,72.410004,73.110001,2797100,69.951177
2015-07-30,72.75,73.68,72.68,73.449997,2479200,70.276483
2015-07-31,74.199997,74.93,74.029999,74.220001,2761200,71.013218
2015-08-03,74.300003,75.080002,74.290001,74.959999,2754400,71.721243
2015-08-04,74.879997,74.879997,73.769997,73.919998,2413800,70.726177
2015-08-05,74.199997,74.489998,73.660004,73.980003,1979300,70.78359
2015-08-06,73.980003,73.980003,72.650002,73.839996,4098000,70.649632
2015-08-07,73.589996,75.339996,73.139999,75.150002,3637500,71.903036
2015-08-10,75.150002,75.410004,74.589996,74.809998,3594500,71.577723
2015-08-11,75.040001,75.879997,74.57,75.290001,3431800,72.036987
2015-08-12,74.400002,76.050003,74.220001,75.559998,4380600,73.096279
2015-08-13,75.379997,75.830002,74.669998,75.580002,2690600,73.115631
2015-08-14,75.370003,76.480003,75.139999,76.370003,2455800,73.879873
2015-08-17,76.449997,76.940002,76.139999,76.519997,2401600,74.024976
2015-08-18,76.389999,76.489998,76.0,76.239998,2681100,73.754107
2015-08-19,76.099998,77.389999,75.610001,77.209999,4422200,74.69248
2015-08-20,76.779999,77.449997,76.25,76.769997,3740000,74.266825
2015-08-21,76.150002,77.529999,75.870003,76.709999,6031900,74.208783
2015-08-24,74.660004,75.190002,72.029999,72.440002,7492800,70.078015
2015-08-25,73.269997,74.120003,70.150002,70.209999,5583000,67.920723
2015-08-26,71.220001,71.940002,70.529999,71.739998,6795900,69.400835
2015-08-27,72.230003,72.82,71.699997,72.519997,4762900,70.155401
2015-08-28,72.599998,72.599998,71.160004,72.389999,3022400,70.029642
2015-08-31,71.839996,72.349998,70.349998,70.910004,4338400,68.597903
2015-09-01,70.260002,70.290001,68.660004,69.050003,3813100,66.79855
2015-09-02,69.68,69.779999,68.669998,69.160004,3501800,66.904964
2015-09-03,69.540001,69.739998,69.029999,69.279999,2329300,67.021046
2015-09-04,68.699997,68.900002,67.980003,68.260002,3287700,66.034308
2015-09-08,68.800003,69.370003,68.540001,69.360001,2895200,67.09844
2015-09-09,69.629997,69.760002,68.099998,68.209999,3278600,65.985935
2015-09-10,68.199997,68.5,67.489998,67.739998,3225600,65.531259
2015-09-11,67.639999,68.360001,67.269997,68.339996,3046100,66.111694
2015-09-14,68.400002,68.860001,68.110001,68.309998,2126500,66.082673
2015-09-15,68.360001,68.900002,67.690002,68.589996,2996300,66.353542
2015-09-16,68.919998,69.419998,68.629997,69.18,3410400,66.924309
2015-09-17,69.230003,70.980003,69.019997,69.910004,4229200,67.630509
2015-09-18,69.25,70.059998,69.18,69.449997,5328200,67.185502
2015-09-21,69.300003,70.18,69.25,70.050003,2510900,67.765944
2015-09-22,69.580002,70.040001,68.940002,69.150002,3384900,66.895288
2015-09-23,69.18,69.360001,68.459999,69.089996,1923800,66.837239
2015-09-24,68.870003,70.470001,68.650002,70.32,3774200,68.027137
2015-09-25,70.309998,71.419998,69.910004,70.709999,3302500,68.40442
2015-09-28,70.589996,71.260002,70.339996,70.449997,3013900,68.152896
2015-09-29,70.440002,70.900002,70.040001,70.730003,2782500,68.423772
2015-09-30,70.949997,72.019997,70.650002,71.940002,3209800,69.594318
2015-10-01,71.989998,72.129997,70.0,70.669998,3411000,68.365723
2015-10-02,71.32,71.989998,70.540001,71.959999,4122600,69.613662
2015-10-05,72.330002,73.300003,71.779999,73.080002,3157200,70.697146
2015-10-06,72.989998,73.440002,72.339996,73.089996,4497800,70.706815
2015-10-07,73.150002,73.43,72.589996,72.669998,4093600,70.300511
2015-10-08,72.400002,73.220001,72.139999,73.0,2343400,70.619753
2015-10-09,72.93,73.239998,72.019997,72.260002,3071600,69.903883
2015-10-12,72.260002,73.470001,72.25,72.82,2304400,70.445622
2015-10-13,72.75,73.099998,72.25,72.529999,2391100,70.165077
2015-10-14,72.559998,72.940002,72.25,72.339996,2226500,69.981269
2015-10-15,72.690002,73.589996,72.290001,73.480003,2307900,71.084105
2015-10-16,73.830002,74.169998,73.449997,73.589996,2481900,71.190512
2015-10-19,73.489998,73.779999,72.730003,73.580002,2183600,71.180843
2015-10-20,73.489998,74.080002,73.309998,73.699997,2445200,71.296926
2015-10-21,73.959999,74.379997,73.559998,73.860001,2027500,71.451712
2015-10-22,74.019997,75.290001,73.809998,75.059998,2463000,72.612582
2015-10-23,74.870003,75.239998,73.599998,73.739998,2055000,71.335622
2015-10-26,73.940002,73.940002,71.589996,72.25,5127700,69.894207
2015-10-27,72.25,72.870003,72.019997,72.410004,3096000,70.048994
2015-10-28,72.5,72.889999,70.730003,71.550003,2568500,69.217035
2015-10-29,71.190002,71.620003,70.300003,71.57,3941400,69.236379
2015-10-30,71.629997,71.889999,71.269997,71.470001,2918900,69.139641
2015-11-02,71.400002,72.290001,71.089996,72.18,3324400,69.82649
2015-11-03,71.849998,72.370003,71.5,72.239998,2884100,69.884531
2015-11-04,72.07,72.550003,71.699997,71.93,3143800,69.584642
2015-11-05,71.800003,72.18,70.690002,71.449997,4090100,69.120289
2015-11-06,69.989998,70.059998,67.07,67.760002,7414700,65.550611
2015-11-09,67.589996,68.870003,67.330002,67.970001,5404300,65.753763
2015-11-10,67.25,67.790001,67.129997,67.370003,3068000,65.974104
