Date,Open_DVN,High_DVN,Low_DVN,Close_DVN,Volume_DVN,AdjClose_DVN
2013-06-14,55.009998,55.23,54.169998,54.32,2460600,51.418733
2013-06-17,54.830002,55.32,54.630001,55.0,2571100,52.062414
2013-06-18,54.939999,55.580002,54.869999,55.299999,2458600,52.34639
2013-06-19,55.259998,55.470001,54.119999,54.130001,2951100,51.238883
2013-06-20,53.709999,53.790001,52.529999,52.709999,4162300,49.894724
2013-06-21,53.200001,53.549999,52.779999,53.43,5514300,50.576269
2013-06-24,52.830002,52.849998,51.66,52.029999,4363100,49.251043
2013-06-25,52.439999,53.259998,51.950001,53.07,3499200,50.235497
2013-06-26,53.490002,53.5,52.599998,52.990002,2154100,50.159771
2013-06-27,53.299999,53.650002,52.25,52.360001,3876300,49.563419
2013-06-28,52.32,52.450001,51.669998,51.880001,3936700,49.109057
2013-07-01,52.119999,52.75,52.0,52.279999,2865300,49.48769
2013-07-02,52.330002,53.099998,52.290001,53.049999,3261400,50.216564
2013-07-03,52.970001,53.57,52.540001,53.5,1802000,50.64253
2013-07-05,53.73,54.66,53.459999,54.560001,2797800,51.645916
2013-07-08,54.93,55.419998,54.669998,54.82,2888600,51.892028
2013-07-09,55.040001,55.709999,54.900002,55.610001,2736600,52.639834
2013-07-10,55.73,55.889999,55.240002,55.27,2696700,52.317994
2013-07-11,55.799999,56.900002,55.52,55.970001,3077100,52.980607
2013-07-12,56.060001,56.52,55.459999,55.650002,2371100,52.677699
2013-07-15,55.59,56.360001,55.369999,56.099998,2055500,53.103661
2013-07-16,56.110001,56.419998,55.68,56.189999,2035500,53.188854
2013-07-17,56.240002,56.66,56.040001,56.169998,1378600,53.169922
2013-07-18,56.349998,57.110001,56.200001,56.779999,2257000,53.747342
2013-07-19,56.82,57.990002,56.75,57.889999,3073600,54.798057
2013-07-22,57.75,57.849998,57.110001,57.290001,1843700,54.230105
2013-07-23,57.509998,57.84,57.040001,57.400002,2056100,54.33423
2013-07-24,57.400002,57.400002,56.09,56.34,2856400,53.330844
2013-07-25,56.279999,56.799999,56.07,56.5,2892800,53.482298
2013-07-26,56.27,56.43,55.419998,55.84,2728200,52.857549
2013-07-29,55.380001,55.790001,54.490002,54.740002,3070700,51.816303
2013-07-30,54.900002,55.060001,54.080002,54.889999,3562800,51.958289
2013-07-31,55.150002,55.43,54.900002,55.009998,3380000,52.071879
2013-08-01,55.509998,56.540001,55.509998,56.330002,2344900,53.32138
2013-08-02,56.16,56.200001,55.639999,55.959999,2232500,52.971139
2013-08-05,55.830002,56.27,55.709999,56.0,2787800,53.009004
2013-08-06,55.970001,56.040001,55.43,55.799999,2664800,52.819685
2013-08-07,57.5,57.599998,55.150002,56.68,7142800,53.652685
2013-08-08,56.700001,59.400002,56.700001,58.669998,5247500,55.536395
2013-08-09,58.68,58.950001,58.330002,58.5,2604100,55.375477
2013-08-12,58.279999,58.650002,57.860001,57.889999,2278500,54.798057
