Date,Open_EA,High_EA,Low_EA,Close_EA,Volume_EA,AdjClose_EA
2015-06-08,63.07,63.18,61.490002,61.66,1956700,61.66
2015-06-09,61.580002,62.0,61.110001,61.779999,1540400,61.779999
2015-06-10,62.139999,62.68,61.509998,62.529999,1613300,62.529999
2015-06-11,62.48,62.82,62.150002,62.59,1512900,62.59
2015-06-12,62.540001,63.009998,62.040001,62.75,1659200,62.75
2015-06-15,62.060001,62.060001,61.380001,61.57,2074900,61.57
2015-06-16,61.560001,62.93,61.560001,62.860001,2637100,62.860001
2015-06-17,63.07,64.650002,63.040001,64.480003,3290400,64.480003
2015-06-18,64.440002,65.669998,64.150002,65.269997,3939000,65.269997
2015-06-19,65.269997,66.330002,64.660004,65.949997,4141900,65.949997
2015-06-22,66.199997,67.120003,66.010002,66.620003,2591700,66.620003
2015-06-23,66.800003,67.489998,66.150002,66.580002,2514100,66.580002
2015-06-24,67.730003,68.25,67.059998,67.68,3317800,67.68
2015-06-25,67.940002,68.269997,67.43,67.449997,2107800,67.449997
2015-06-26,67.519997,68.0,66.889999,67.629997,4895400,67.629997
2015-06-29,66.769997,67.379997,66.080002,66.220001,1955900,66.220001
2015-06-30,66.599998,66.980003,66.18,66.5,3140100,66.5
2015-07-01,67.370003,68.220001,67.089996,68.0,2618800,68.0
2015-07-02,68.480003,68.480003,67.220001,67.800003,1657900,67.800003
2015-07-06,67.139999,68.300003,67.120003,68.010002,3583100,68.010002
2015-07-07,69.059998,69.949997,67.959999,69.889999,4895500,69.889999
2015-07-08,69.580002,69.940002,68.82,69.0,4506100,69.0
2015-07-09,69.889999,70.940002,69.68,70.5,4400000,70.5
2015-07-10,71.25,72.5,70.809998,72.07,3838700,72.07
2015-07-13,72.410004,73.849998,72.410004,73.540001,3613000,73.540001
2015-07-14,73.559998,73.599998,72.029999,72.25,6261300,72.25
2015-07-15,72.519997,72.989998,72.330002,72.5,4733600,72.5
2015-07-16,72.800003,73.230003,72.400002,72.970001,4419000,72.970001
2015-07-17,72.949997,73.550003,72.389999,73.470001,3745200,73.470001
2015-07-20,74.480003,74.919998,73.610001,74.790001,2703400,74.790001
2015-07-21,75.040001,75.099998,73.339996,73.68,2453700,73.68
2015-07-22,73.639999,73.839996,71.889999,72.919998,5244800,72.919998
2015-07-23,73.32,73.580002,71.760002,71.809998,3533700,71.809998
2015-07-24,71.809998,72.510002,71.239998,72.290001,4286000,72.290001
2015-07-27,72.43,72.839996,70.959999,71.220001,3422600,71.220001
2015-07-28,72.019997,72.489998,71.150002,71.800003,3383700,71.800003
2015-07-29,71.910004,72.5,71.089996,72.18,2676500,72.18
2015-07-30,72.010002,72.650002,71.029999,72.300003,3790100,72.300003
2015-07-31,71.029999,72.730003,70.5,71.550003,5699000,71.550003
2015-08-03,71.279999,71.919998,70.139999,70.970001,3850200,70.970001
2015-08-04,70.699997,71.940002,70.699997,71.800003,2748500,71.800003
2015-08-05,72.370003,75.760002,72.25,75.160004,5833000,75.160004
2015-08-06,75.0,75.650002,73.5,74.010002,4591900,74.010002
2015-08-07,73.760002,73.940002,72.419998,73.360001,3081100,73.360001
2015-08-10,74.199997,74.830002,73.699997,73.970001,2849900,73.970001
2015-08-11,73.489998,73.879997,72.860001,73.82,2459700,73.82
2015-08-12,73.190002,73.93,71.699997,73.720001,2866100,73.720001
2015-08-13,73.550003,74.120003,73.029999,73.379997,1990700,73.379997
2015-08-14,73.419998,73.760002,72.720001,72.82,2181500,72.82
2015-08-17,72.839996,73.900002,72.239998,73.699997,2648900,73.699997
2015-08-18,74.110001,74.5,73.18,73.849998,2816000,73.849998
2015-08-19,73.550003,73.720001,71.410004,71.610001,3176400,71.610001
2015-08-20,70.900002,71.489998,67.610001,67.709999,5037200,67.709999
2015-08-21,65.260002,67.239998,64.010002,65.529999,5396800,65.529999
2015-08-24,60.25,65.440002,59.470001,63.700001,6606300,63.700001
2015-08-25,65.900002,66.279999,63.470001,63.540001,5778700,63.540001
2015-08-26,65.5,66.480003,63.66,66.339996,4342400,66.339996
2015-08-27,67.150002,67.639999,65.5,67.160004,2922100,67.160004
2015-08-28,66.620003,68.470001,66.510002,67.910004,2978400,67.910004
2015-08-31,67.099998,67.900002,65.980003,66.150002,3049500,66.150002
2015-09-01,64.389999,65.739998,63.029999,63.43,5043700,63.43
2015-09-02,64.43,65.120003,63.970001,64.669998,3804900,64.669998
2015-09-03,65.290001,66.5,65.029999,65.790001,3482300,65.790001
2015-09-04,64.839996,66.580002,64.440002,66.370003,3601000,66.370003
2015-09-08,67.550003,68.610001,67.0,68.5,3205700,68.5
2015-09-09,69.540001,70.169998,67.57,67.779999,2357500,67.779999
2015-09-10,67.540001,69.440002,67.540001,68.739998,2087400,68.739998
2015-09-11,68.230003,68.970001,67.830002,68.910004,1681600,68.910004
2015-09-14,68.860001,69.050003,68.129997,68.349998,1682800,68.349998
2015-09-15,68.389999,69.660004,68.309998,69.379997,1729000,69.379997
2015-09-16,69.709999,70.419998,69.089996,70.279999,2184200,70.279999
2015-09-17,70.220001,71.989998,69.870003,71.059998,2263900,71.059998
2015-09-18,70.349998,71.220001,69.75,70.07,3503100,70.07
2015-09-21,70.410004,71.610001,70.059998,70.580002,2078200,70.580002
2015-09-22,69.550003,70.269997,68.220001,68.690002,2412500,68.690002
2015-09-23,68.849998,69.779999,68.589996,69.459999,2862100,69.459999
2015-09-24,68.860001,69.279999,67.669998,68.809998,2113400,68.809998
2015-09-25,69.970001,70.830002,68.970001,69.489998,2800400,69.489998
2015-09-28,68.949997,69.220001,65.949997,66.459999,2622300,66.459999
2015-09-29,67.0,67.360001,65.550003,66.0,2251900,66.0
2015-09-30,66.809998,67.870003,66.489998,67.75,2394000,67.75
2015-10-01,68.040001,68.040001,66.440002,67.199997,2915900,67.199997
2015-10-02,66.360001,66.5,64.839996,66.489998,3047600,66.489998
2015-10-05,67.330002,68.099998,66.970001,67.589996,2736900,67.589996
2015-10-06,67.410004,68.089996,66.339996,66.550003,1805900,66.550003
2015-10-07,66.559998,66.839996,65.190002,66.110001,3694100,66.110001
2015-10-08,65.900002,66.099998,64.699997,65.800003,2459600,65.800003
2015-10-09,65.589996,65.639999,64.540001,65.040001,4272200,65.040001
2015-10-12,65.129997,68.25,64.650002,68.110001,4131800,68.110001
2015-10-13,68.0,69.150002,67.339996,68.419998,3374800,68.419998
2015-10-14,68.379997,71.300003,68.089996,70.57,4007000,70.57
2015-10-15,71.019997,71.489998,70.18,70.970001,2690800,70.970001
2015-10-16,70.779999,71.779999,70.260002,71.709999,2859100,71.709999
2015-10-19,71.900002,73.540001,71.510002,72.290001,3500000,72.290001
2015-10-20,72.599998,73.089996,71.300003,72.300003,2169400,72.300003
2015-10-21,72.68,73.440002,72.0,72.790001,2332400,72.790001
2015-10-22,73.099998,74.849998,73.019997,74.540001,2980900,74.540001
2015-10-23,75.0,75.489998,74.440002,74.919998,3279000,74.919998
2015-10-26,75.0,75.43,73.760002,74.080002,2476000,74.080002
2015-10-27,73.910004,75.580002,73.699997,75.269997,2693600,75.269997
2015-10-28,76.0,76.800003,75.07,76.769997,3323800,76.769997
2015-10-29,76.5,76.919998,75.360001,76.059998,3248000,76.059998
2015-10-30,75.0,75.599998,70.629997,72.07,11133200,72.07
2015-11-02,72.599998,74.889999,71.879997,72.0,4709900,72.0
2015-11-03,71.82,72.739998,70.339996,71.900002,4237400,71.900002
2015-11-04,71.93,74.32,71.730003,74.290001,3574100,74.290001
2015-11-05,74.75,74.93,73.120003,74.059998,2057100,74.059998
2015-11-06,73.830002,74.190002,72.239998,72.379997,3192400,72.379997
2015-11-09,72.370003,72.379997,70.160004,70.940002,3036100,70.940002
2015-11-10,70.599998,70.940002,69.849998,70.830002,2150500,70.830002
2015-11-11,70.790001,71.699997,69.870003,71.300003,2307200,71.300003
2015-11-12,71.360001,72.699997,70.540001,71.660004,3083100,71.660004
2015-11-13,71.309998,72.040001,69.839996,69.889999,3557400,69.889999
2015-11-16,69.980003,70.160004,66.68,67.989998,6314500,67.989998
2015-11-17,65.080002,69.059998,64.910004,68.099998,5890600,68.099998
2015-11-18,68.160004,68.599998,66.839996,68.419998,3259900,68.419998
2015-11-19,68.949997,71.269997,68.239998,71.080002,4413900,71.080002
2015-11-20,71.440002,72.779999,70.139999,72.419998,4295800,72.419998
2015-11-23,72.639999,73.860001,67.599998,68.980003,11898700,68.980003
2015-11-24,68.43,68.690002,66.910004,67.059998,5144400,67.059998
2015-11-25,67.300003,69.800003,66.699997,69.510002,3600700,69.510002
2015-11-27,69.629997,70.550003,68.459999,68.879997,1479500,68.879997
2015-11-30,69.190002,69.639999,67.580002,67.790001,4895100,67.790001
2015-12-01,68.040001,69.290001,67.400002,68.629997,3703000,68.629997
2015-12-02,69.010002,69.550003,68.589996,69.339996,4953200,69.339996
2015-12-03,69.540001,70.449997,66.93,67.220001,3854900,67.220001
2015-12-04,68.379997,70.669998,68.379997,70.379997,3876500,70.379997
2015-12-07,70.739998,71.940002,70.349998,70.790001,3650800,70.790001
2015-12-08,70.400002,71.169998,69.949997,70.989998,4445700,70.989998
2015-12-09,70.75,70.989998,66.620003,67.089996,8270500,67.089996
