Date,Open_ECL,High_ECL,Low_ECL,Close_ECL,Volume_ECL,AdjClose_ECL
2015-06-08,113.989998,114.459999,113.580002,113.599998,660400,112.222272
2015-06-09,113.900002,114.330002,113.230003,113.660004,959200,112.281549
2015-06-10,114.230003,115.790001,114.07,115.610001,810800,114.207897
2015-06-11,115.93,116.279999,115.599998,115.709999,780500,114.306683
2015-06-12,115.279999,115.279999,114.160004,114.260002,687500,113.197099
2015-06-15,114.0,114.139999,113.349998,113.879997,1023600,112.820629
2015-06-16,113.849998,114.620003,113.540001,114.449997,965800,113.385326
2015-06-17,115.0,115.440002,114.029999,115.040001,1024800,113.969842
2015-06-18,115.629997,117.540001,115.379997,117.220001,1263900,116.129563
2015-06-19,117.459999,118.269997,117.050003,117.169998,2385300,116.080025
2015-06-22,117.540001,118.089996,117.239998,117.730003,997300,116.63482
2015-06-23,117.959999,117.959999,116.900002,117.220001,655300,116.129563
2015-06-24,117.019997,117.379997,116.239998,116.260002,683200,115.178494
2015-06-25,116.25,116.959999,115.699997,115.959999,710500,114.881282
2015-06-26,116.449997,116.550003,115.559998,115.730003,771600,114.653425
2015-06-29,114.800003,115.239998,112.889999,112.93,1197600,111.879469
2015-06-30,113.690002,114.0,112.650002,113.07,1608500,112.018166
2015-07-01,113.669998,114.0,112.949997,113.199997,886300,112.146954
2015-07-02,113.779999,113.849998,112.150002,112.809998,816600,111.760583
2015-07-06,111.650002,113.019997,111.309998,111.900002,901600,110.859052
2015-07-07,111.900002,112.379997,110.459999,112.18,945300,111.136446
2015-07-08,111.32,111.510002,110.400002,110.620003,1190200,109.590961
2015-07-09,112.209999,112.209999,110.580002,110.610001,751200,109.581051
2015-07-10,111.769997,112.449997,111.470001,112.279999,543100,111.235514
2015-07-13,113.260002,113.82,112.879997,113.730003,494200,112.67203
2015-07-14,113.610001,114.910004,113.18,114.699997,856500,113.633001
2015-07-15,114.709999,115.480003,114.199997,114.599998,1110400,113.533932
2015-07-16,115.07,115.279999,114.169998,114.699997,825100,113.633001
2015-07-17,114.470001,114.860001,112.080002,112.779999,1532300,111.730863
2015-07-20,112.709999,113.610001,112.379997,112.769997,1178800,111.720954
2015-07-21,112.989998,113.419998,111.889999,112.57,941600,111.522818
2015-07-22,112.440002,112.879997,111.769997,111.849998,924200,110.809514
2015-07-23,111.949997,112.330002,111.18,111.239998,879000,110.205188
2015-07-24,111.239998,111.239998,109.139999,109.529999,999200,108.511096
2015-07-27,109.0,109.099998,107.720001,108.389999,1841900,107.381702
