Date,Open_EIX,High_EIX,Low_EIX,Close_EIX,Volume_EIX,AdjClose_EIX
2013-06-14,47.029999,47.59,46.950001,47.150002,2736800,43.382814
2013-06-17,47.759998,48.049999,47.259998,47.439999,2944200,43.64964
2013-06-18,47.560001,48.0,47.220001,47.709999,1742900,43.898068
2013-06-19,47.540001,47.860001,46.490002,46.490002,2860800,42.775546
2013-06-20,46.110001,46.169998,44.900002,45.0,3021800,41.404593
2013-06-21,45.299999,46.25,44.860001,46.060001,3421600,42.379902
2013-06-24,45.639999,46.59,45.389999,46.18,3189800,42.490313
2013-06-25,46.459999,46.82,46.02,46.59,2582900,42.867555
2013-06-26,46.669998,47.330002,46.41,47.27,1980800,43.811063
2013-06-27,47.349998,48.040001,47.310001,47.52,2651200,44.042769
2013-06-28,47.41,48.400002,47.220001,48.16,2782500,44.635937
2013-07-01,48.23,48.369999,47.02,47.080002,2714300,43.634967
2013-07-02,47.07,47.330002,46.450001,46.799999,1897500,43.375453
2013-07-03,46.52,46.849998,46.099998,46.610001,1142000,43.199358
2013-07-05,46.689999,46.689999,45.619999,46.060001,1490200,42.689604
2013-07-08,46.299999,47.0,46.130001,46.889999,1770100,43.458868
2013-07-09,47.0,47.189999,46.810001,47.130001,2242200,43.681308
2013-07-10,46.93,47.759998,46.610001,47.75,2304400,44.255939
2013-07-11,48.189999,48.52,47.889999,48.5,2404000,44.951058
2013-07-12,48.549999,48.549999,48.040001,48.470001,2057800,44.923254
2013-07-15,48.330002,49.470001,48.259998,49.259998,2192800,45.655444
2013-07-16,49.169998,49.310001,48.73,49.09,1793600,45.497886
2013-07-17,49.34,49.5,48.799999,49.029999,1207900,45.442275
2013-07-18,49.16,49.740002,49.130001,49.5,1816200,45.877884
2013-07-19,49.189999,49.759998,49.09,49.709999,1404500,46.072517
2013-07-22,49.709999,49.900002,49.529999,49.720001,1246600,46.081787
2013-07-23,49.700001,49.990002,49.540001,49.700001,1716500,46.06325
2013-07-24,49.630001,49.630001,49.009998,49.25,1050300,45.646178
2013-07-25,49.130001,49.599998,48.169998,48.700001,3468700,45.136424
2013-07-26,48.48,49.110001,48.18,49.09,1374800,45.497886
2013-07-29,49.029999,49.919998,48.939999,49.779999,1535800,46.137394
2013-07-30,49.98,50.34,49.779999,49.93,1492800,46.276419
2013-07-31,50.060001,50.099998,49.380001,49.849998,1821100,46.202272
2013-08-01,50.0,50.169998,49.509998,49.900002,1922000,46.248616
2013-08-02,49.540001,50.0,49.27,49.369999,2178800,45.757396
2013-08-05,49.299999,49.459999,48.639999,48.75,2497100,45.182765
2013-08-06,48.66,48.689999,48.049999,48.450001,2516100,44.904718
