Date,Open_EXC,High_EXC,Low_EXC,Close_EXC,Volume_EXC,AdjClose_EXC
2013-06-14,30.719999,31.0,30.610001,30.629999,4795200,27.275794
2013-06-17,30.77,30.93,30.59,30.73,5985200,27.364843
2013-06-18,30.74,31.15,30.68,31.15,5715700,27.73885
2013-06-19,31.07,31.26,30.67,30.68,7551900,27.320319
2013-06-20,30.48,30.610001,29.84,29.9,8717500,26.625734
2013-06-21,30.120001,30.58,29.93,30.299999,10979800,26.981931
2013-06-24,30.0,30.950001,29.84,30.620001,10042500,27.26689
2013-06-25,30.780001,31.299999,30.309999,31.08,9471300,27.676516
2013-06-26,31.23,31.5,31.139999,31.35,5649200,27.91695
2013-06-27,31.389999,31.49,31.0,31.09,6104200,27.685421
2013-06-28,31.09,31.25,30.84,30.879999,8028700,27.498417
2013-07-01,30.950001,31.030001,30.190001,30.32,6744700,26.999741
2013-07-02,30.27,30.620001,30.15,30.219999,5380600,26.910692
2013-07-03,30.129999,30.190001,29.9,30.08,2435600,26.786023
2013-07-05,30.0,30.059999,29.440001,29.74,4050000,26.483256
2013-07-08,29.77,30.450001,29.75,30.450001,5742400,27.115506
2013-07-09,30.49,30.9,30.48,30.809999,5535200,27.436083
2013-07-10,30.709999,30.74,30.48,30.57,4193700,27.222365
2013-07-11,30.809999,31.02,30.719999,31.0,4495500,27.605277
2013-07-12,31.0,31.08,30.73,31.040001,4027400,27.640897
2013-07-15,30.959999,31.65,30.9,31.549999,4249600,28.095047
2013-07-16,31.530001,31.57,31.25,31.469999,3232800,28.023808
2013-07-17,31.610001,31.65,31.33,31.43,2700300,27.988189
2013-07-18,31.620001,31.959999,31.6,31.83,4540400,28.344386
2013-07-19,31.84,32.049999,31.719999,32.040001,7718300,28.53139
2013-07-22,32.0,32.330002,31.959999,32.310001,4183700,28.771823
2013-07-23,32.23,32.419998,32.009998,32.099998,4162400,28.584817
2013-07-24,32.02,32.049999,31.08,31.18,5500300,27.765566
2013-07-25,31.110001,31.549999,31.049999,31.51,4371500,28.059428
2013-07-26,31.41,31.66,31.24,31.65,3507600,28.184097
2013-07-29,31.440001,31.92,31.35,31.690001,4472300,28.219717
2013-07-30,31.860001,32.09,31.450001,31.459999,5774800,28.014903
2013-07-31,31.4,31.43,30.33,30.59,8441500,27.240175
2013-08-01,30.58,30.83,30.360001,30.799999,5356500,27.427177
2013-08-02,30.799999,30.91,30.459999,30.620001,6556500,27.26689
2013-08-05,30.59,30.950001,30.42,30.629999,3881300,27.275794
2013-08-06,30.540001,30.620001,30.110001,30.25,4950500,26.937407
2013-08-07,30.17,30.9,30.07,30.84,4575100,27.462798
2013-08-08,30.870001,31.450001,30.77,31.35,22236800,27.91695
2013-08-09,31.26,31.41,31.110001,31.26,15148500,27.836805
2013-08-12,31.15,31.200001,30.940001,31.059999,17857900,27.658706
2013-08-13,30.67,30.85,30.33,30.42,6001500,27.36188
2013-08-14,30.33,30.5,30.01,30.440001,4321300,27.37987
2013-08-15,30.25,30.52,30.18,30.469999,5531700,27.406853
2013-08-16,30.49,30.6,30.030001,30.16,6852200,27.128018
2013-08-19,30.030001,30.280001,29.75,29.860001,6060200,26.858177
2013-08-20,29.85,30.34,29.74,30.120001,7457000,27.09204
2013-08-21,30.049999,30.08,29.67,29.860001,6150900,26.858177
2013-08-22,29.889999,30.870001,29.82,30.719999,6907200,27.631721
2013-08-23,30.84,31.0,30.59,30.959999,4208700,27.847593
2013-08-26,30.9,30.959999,30.690001,30.700001,4960900,27.613732
2013-08-27,30.48,30.790001,30.370001,30.559999,4692900,27.487805
2013-08-28,30.549999,30.83,30.43,30.709999,4248300,27.622726
2013-08-29,30.59,30.73,30.32,30.42,4534500,27.36188
2013-08-30,30.43,30.690001,30.4,30.49,4478200,27.424843
2013-09-03,30.66,30.75,30.030001,30.09,4924600,27.065055
2013-09-04,30.01,30.200001,29.700001,30.09,5969900,27.065055
2013-09-05,30.049999,30.17,29.860001,30.049999,3413700,27.029076
2013-09-06,30.190001,30.629999,30.17,30.309999,5153400,27.262938
2013-09-09,30.34,30.42,30.040001,30.25,4326900,27.20897
2013-09-10,30.43,30.76,30.23,30.73,5382200,27.640715
2013-09-11,30.700001,30.76,29.99,30.120001,6418000,27.09204
2013-09-12,30.08,30.24,29.9,30.02,4263000,27.002093
2013-09-13,30.09,30.209999,30.01,30.17,2911000,27.137013
2013-09-16,30.42,30.67,30.1,30.219999,4790400,27.181986
2013-09-17,30.200001,30.48,30.1,30.34,4998800,27.289923
2013-09-18,30.15,31.190001,30.07,31.02,7667000,27.901563
2013-09-19,31.030001,31.18,30.559999,30.84,4835700,27.739658
2013-09-20,30.85,30.9,30.110001,30.129999,8146500,27.101033
2013-09-23,30.059999,30.690001,29.73,30.42,5134200,27.36188
2013-09-24,30.459999,30.639999,30.25,30.52,4779400,27.451828
2013-09-25,30.450001,30.66,30.209999,30.309999,3999200,27.262938
2013-09-26,30.370001,30.450001,29.84,30.09,3895100,27.065055
2013-09-27,30.02,30.15,29.58,29.74,3696500,26.75024
2013-09-30,29.67,29.870001,29.42,29.639999,5293000,26.660293
2013-10-01,29.67,29.799999,29.459999,29.639999,3800100,26.660293
2013-10-02,29.5,29.889999,29.35,29.709999,4460600,26.723256
2013-10-03,29.549999,29.559999,29.1,29.17,4836600,26.237543
2013-10-04,29.200001,29.34,29.110001,29.23,2668600,26.29151
2013-10-07,29.07,29.440001,29.0,29.08,3547000,26.15659
2013-10-08,29.02,29.58,29.02,29.299999,4835000,26.354473
2013-10-09,29.43,29.99,29.35,29.709999,6397900,26.723256
2013-10-10,29.780001,30.200001,29.43,30.15,4712200,27.119023
2013-10-11,30.18,30.59,30.049999,30.34,4292700,27.289923
2013-10-14,30.18,30.200001,29.6,30.02,4465300,27.002093
2013-10-15,29.91,29.950001,29.450001,29.52,4814900,26.552357
2013-10-16,28.959999,29.26,28.59,28.75,12641000,25.859765
2013-10-17,28.690001,29.4,28.379999,29.040001,8530700,26.120612
2013-10-18,29.059999,29.08,28.709999,28.75,8291100,25.859765
2013-10-21,28.790001,28.950001,28.370001,28.58,8483600,25.706855
