Date,Open_F,High_F,Low_F,Close_F,Volume_F,AdjClose_F
2013-06-14,15.52,15.57,15.35,15.37,27186000,13.532703
2013-06-17,15.53,15.72,15.44,15.55,31340000,13.691186
2013-06-18,15.54,15.71,15.44,15.65,25950200,13.779232
2013-06-19,15.6,15.62,15.31,15.32,35997500,13.488679
2013-06-20,15.19,15.28,14.75,14.82,57313900,13.048448
2013-06-21,15.02,15.06,14.59,15.0,48218100,13.206932
2013-06-24,14.67,14.83,14.3,14.67,58598000,12.916379
2013-06-25,14.85,15.0,14.84,14.97,34031900,13.180518
2013-06-26,15.16,15.31,15.1,15.29,39595100,13.462266
2013-06-27,15.43,15.7,15.39,15.65,35859600,13.779232
2013-06-28,15.56,15.65,15.44,15.47,45034700,13.620749
2013-07-01,15.61,15.79,15.56,15.74,36012200,13.858473
2013-07-02,15.76,16.209999,15.69,16.18,70275900,14.245877
2013-07-03,16.15,16.450001,16.139999,16.43,38114000,14.465993
2013-07-05,16.530001,16.74,16.48,16.700001,44728400,14.703718
2013-07-08,16.85,16.93,16.75,16.809999,42019600,14.800568
2013-07-09,16.860001,16.940001,16.719999,16.84,33762200,14.826982
2013-07-10,16.76,16.879999,16.65,16.719999,38162900,14.721326
2013-07-11,16.950001,16.99,16.860001,16.98,34601800,14.950246
2013-07-12,16.98,17.110001,16.969999,17.110001,27297500,15.064707
2013-07-15,17.24,17.290001,17.1,17.120001,26663500,15.073512
2013-07-16,16.950001,16.950001,16.41,16.6,63282600,14.615671
2013-07-17,16.639999,16.83,16.620001,16.780001,27888100,14.774155
2013-07-18,16.82,16.98,16.780001,16.93,24606400,14.906224
2013-07-19,16.889999,16.889999,16.65,16.76,29592500,14.756545
2013-07-22,16.870001,17.040001,16.83,17.040001,28745600,15.003075
2013-07-23,17.16,17.17,16.82,16.940001,35016900,14.915029
2013-07-24,17.48,17.68,17.25,17.370001,78608500,15.293628
2013-07-25,17.26,17.27,16.879999,16.959999,51510200,14.932637
2013-07-26,16.92,17.129999,16.9,17.02,30356000,14.985466
2013-07-29,17.08,17.190001,17.049999,17.08,27823400,15.038293
2013-07-30,17.190001,17.25,17.059999,17.08,25879200,15.038293
2013-07-31,17.09,17.15,16.84,16.879999,42156300,14.949728
2013-08-01,17.040001,17.209999,16.950001,17.190001,39519600,15.22428
2013-08-02,17.15,17.5,17.120001,17.5,32233600,15.49883
2013-08-05,17.440001,17.5,17.110001,17.190001,53813000,15.22428
2013-08-06,17.18,17.23,17.0,17.030001,29014000,15.082576
2013-08-07,16.950001,16.959999,16.719999,16.77,33058100,14.852308
2013-08-08,16.940001,17.030001,16.870001,16.98,26626200,15.038293
2013-08-09,16.950001,17.110001,16.940001,17.02,25625300,15.073719
2013-08-12,16.91,17.139999,16.889999,17.07,23170600,15.118001
2013-08-13,17.15,17.209999,16.959999,17.059999,22372000,15.109144
2013-08-14,17.040001,17.059999,16.85,16.889999,29255700,14.958584
2013-08-15,16.709999,16.73,16.219999,16.43,55905300,14.551187
2013-08-16,16.450001,16.6,16.219999,16.299999,30477300,14.436052
2013-08-19,16.290001,16.309999,16.110001,16.120001,28013600,14.276637
2013-08-20,16.059999,16.360001,15.82,16.309999,42599300,14.444909
