Date,Open_FIS,High_FIS,Low_FIS,Close_FIS,Volume_FIS,AdjClose_FIS
2013-06-14,44.290001,44.470001,43.459999,43.639999,1586700,41.66737
2013-06-17,43.98,44.470001,43.689999,44.02,1731900,42.030195
2013-06-18,44.110001,44.330002,43.950001,44.330002,1198700,42.326183
2013-06-19,44.380001,44.52,43.759998,43.77,919900,41.791495
2013-06-20,43.43,43.66,42.549999,42.619999,1497600,40.693476
2013-06-21,42.869999,42.900002,42.16,42.639999,1900500,40.712573
2013-06-24,42.369999,42.869999,42.09,42.529999,1949400,40.607544
2013-06-25,42.91,43.07,42.43,43.009998,1538400,41.065847
2013-06-26,43.41,43.41,42.77,42.950001,2113300,41.008561
2013-06-27,43.110001,43.150002,42.889999,43.009998,2139400,41.065847
2013-06-28,42.68,43.27,42.68,42.84,4006700,40.903533
2013-07-01,43.139999,43.650002,43.080002,43.41,1378600,41.447767
2013-07-02,43.450001,43.549999,42.73,42.799999,1873400,40.86534
2013-07-03,42.720001,43.310001,42.610001,43.049999,1421000,41.10404
2013-07-05,43.419998,43.650002,43.130001,43.630001,1156500,41.657824
2013-07-08,44.0,44.709999,43.950001,44.630001,1547000,42.612622
2013-07-09,44.810001,44.93,44.279999,44.43,998800,42.421661
2013-07-10,44.369999,44.919998,44.369999,44.860001,1220300,42.832225
2013-07-11,45.32,45.43,45.009998,45.349998,1097900,43.300074
2013-07-12,45.330002,45.43,44.779999,45.060001,943500,43.023185
2013-07-15,44.990002,45.279999,44.790001,45.049999,591500,43.013635
2013-07-16,45.009998,45.189999,44.580002,44.700001,754600,42.679457
2013-07-17,44.790001,44.939999,44.529999,44.73,552300,42.7081
2013-07-18,44.759998,45.07,44.619999,44.709999,626000,42.689004
2013-07-19,44.869999,44.869999,44.32,44.369999,943200,42.364372
2013-07-22,44.349998,44.48,44.23,44.290001,1227100,42.28799
2013-07-23,44.73,44.759998,44.299999,44.540001,1359500,42.52669
2013-07-24,44.75,44.830002,44.25,44.32,873500,42.316633
2013-07-25,44.349998,44.639999,44.099998,44.549999,910700,42.536236
2013-07-26,44.189999,44.349998,43.860001,44.349998,800000,42.345276
2013-07-29,44.200001,44.41,44.130001,44.279999,909800,42.27844
2013-07-30,44.5,44.549999,42.82,43.060001,2601200,41.11359
2013-07-31,42.950001,43.349998,42.779999,43.16,2495200,41.209068
2013-08-01,43.349998,44.900002,43.259998,44.849998,2093100,42.822675
2013-08-02,44.77,45.419998,44.490002,45.330002,1782500,43.280981
2013-08-05,45.209999,45.630001,45.110001,45.52,1929200,43.462391
2013-08-06,45.419998,46.259998,45.369999,45.939999,1829100,43.863404
2013-08-07,45.84,46.560001,45.66,46.419998,1789400,44.321707
2013-08-08,46.689999,46.98,46.369999,46.529999,1796200,44.426735
2013-08-09,46.459999,47.169998,46.459999,46.950001,1129800,44.827752
2013-08-12,46.77,47.73,46.68,47.41,2137200,45.266958
2013-08-13,47.259998,47.360001,46.5,46.98,2824800,44.856395
2013-08-14,46.869999,47.200001,46.849998,46.959999,988000,44.837298
2013-08-15,46.560001,46.599998,45.93,46.02,1565400,43.93979
2013-08-16,46.0,46.200001,45.91,46.110001,1612900,44.025722
2013-08-19,46.0,46.299999,45.790001,45.830002,840700,43.75838
2013-08-20,45.810001,46.049999,45.740002,45.82,1005600,43.74883
2013-08-21,45.689999,45.950001,45.299999,45.57,1002100,43.51013
2013-08-22,45.700001,45.900002,45.560001,45.799999,649600,43.729733
2013-08-23,45.939999,46.16,45.599998,45.709999,1224900,43.643801
2013-08-26,45.669998,45.869999,45.380001,45.419998,1338500,43.366909
2013-08-27,45.029999,45.16,44.5,44.52,1008500,42.507593
2013-08-28,44.549999,44.68,44.310001,44.310001,1085500,42.307087
2013-08-29,44.200001,44.77,44.060001,44.639999,694200,42.622168
2013-08-30,44.619999,44.830002,44.32,44.459999,1320900,42.450304
2013-09-03,44.91,45.18,44.299999,44.509998,1235500,42.498043
