Date,Open_GD,High_GD,Low_GD,Close_GD,Volume_GD,AdjClose_GD
2013-06-14,78.110001,79.0,77.900002,78.0,1570000,72.990272
2013-06-17,78.629997,79.129997,77.959999,78.379997,1322200,73.345863
2013-06-18,78.580002,79.480003,78.529999,78.849998,1890300,73.785677
2013-06-19,78.940002,78.959999,77.480003,77.5,1735200,72.522386
2013-06-20,76.980003,77.629997,76.129997,76.230003,2246400,71.333957
2013-06-21,76.809998,77.209999,76.199997,76.199997,3264400,71.305878
2013-06-24,76.040001,77.099998,75.629997,76.480003,2283500,71.567901
2013-06-25,76.970001,77.120003,76.099998,76.419998,2067900,71.511749
2013-06-26,77.199997,77.970001,76.690002,77.889999,2217400,72.887336
2013-06-27,78.339996,79.010002,78.029999,78.669998,1848700,73.617238
2013-06-28,78.440002,78.93,78.269997,78.330002,2382600,73.299079
2013-07-01,78.059998,79.370003,77.959999,79.010002,2260700,73.935404
2013-07-02,78.209999,78.730003,77.599998,78.07,2863900,73.57727
2013-07-03,77.910004,78.589996,77.400002,78.339996,885800,73.831729
2013-07-05,79.040001,79.57,78.620003,79.419998,1172000,74.84958
2013-07-08,79.910004,80.150002,79.379997,79.720001,2848800,75.132318
2013-07-09,80.209999,80.540001,79.720001,79.860001,1942800,75.264261
2013-07-10,79.989998,80.959999,79.919998,80.599998,2234500,75.961674
2013-07-11,81.330002,82.720001,81.220001,82.449997,2794200,77.70521
2013-07-12,82.279999,83.059998,82.230003,82.599998,2296900,77.846579
2013-07-15,82.650002,83.580002,82.550003,83.559998,1563800,78.751333
2013-07-16,83.629997,83.879997,82.949997,83.010002,3147300,78.232988
2013-07-17,83.029999,83.440002,82.620003,82.93,1020700,78.15759
2013-07-18,83.25,84.150002,83.089996,83.720001,1553400,78.902129
2013-07-19,83.809998,84.669998,83.540001,84.400002,2955200,79.542997
2013-07-22,84.160004,84.809998,83.93,84.230003,1897500,79.382781
2013-07-23,84.449997,84.559998,83.779999,84.029999,1469800,79.194287
2013-07-24,85.019997,86.599998,84.940002,85.309998,2996300,80.400625
2013-07-25,85.400002,85.919998,84.629997,85.800003,1605500,80.862432
2013-07-26,85.32,85.860001,85.050003,85.860001,1142900,80.918977
2013-07-29,84.800003,85.330002,83.989998,85.019997,2024900,80.127313
2013-07-30,85.169998,86.010002,85.0,85.650002,1496400,80.721062
2013-07-31,85.5,86.169998,85.07,85.339996,2853400,80.428897
2013-08-01,85.800003,86.970001,85.760002,86.809998,1524400,81.814304
2013-08-02,86.68,87.540001,86.440002,87.489998,1761700,82.455172
2013-08-05,87.040001,87.82,86.550003,87.690002,1547900,82.643666
2013-08-06,87.279999,87.849998,87.230003,87.339996,1658600,82.313802
2013-08-07,87.300003,87.540001,86.790001,87.019997,2125300,82.012218
2013-08-08,87.379997,87.800003,86.860001,87.019997,998500,82.012218
2013-08-09,87.029999,87.279999,86.459999,86.919998,1337700,81.917974
2013-08-12,86.629997,86.709999,85.739998,85.769997,1265400,80.834152
2013-08-13,85.809998,86.190002,85.279999,86.0,1266100,81.050919
2013-08-14,86.029999,86.040001,85.160004,85.290001,1384400,80.381779
2013-08-15,84.440002,84.779999,83.720001,83.809998,1171700,78.986946
2013-08-16,83.480003,84.300003,83.410004,83.75,1466300,78.930401
2013-08-19,83.43,84.550003,83.410004,84.150002,1299800,79.307384
2013-08-20,84.139999,84.779999,84.059998,84.110001,882900,79.269685
2013-08-21,84.0,84.269997,83.540001,83.709999,1084600,78.892702
2013-08-22,84.0,84.690002,83.870003,84.5,1022200,79.63724
2013-08-23,84.470001,84.709999,84.190002,84.610001,954500,79.740911
2013-08-26,84.669998,85.199997,84.239998,84.239998,1534100,79.392201
2013-08-27,83.739998,84.349998,82.730003,82.910004,1275400,78.138744
2013-08-28,82.870003,83.360001,82.230003,82.849998,1265600,78.082192
2013-08-29,82.690002,83.769997,82.459999,83.580002,1011300,78.770186
2013-08-30,83.639999,83.709999,83.010002,83.25,1178700,78.459175
2013-09-03,84.32,84.739998,83.970001,84.349998,1239500,79.495871
2013-09-04,84.129997,85.089996,84.019997,84.989998,2013800,80.09904
2013-09-05,84.839996,85.050003,84.330002,84.989998,838500,80.09904
2013-09-06,85.110001,85.169998,83.760002,84.57,973800,79.703212
2013-09-09,84.760002,85.489998,84.760002,85.279999,1101100,80.372352
2013-09-10,85.599998,86.760002,85.519997,86.739998,1348700,81.748332
2013-09-11,86.300003,86.989998,86.110001,86.900002,1072900,81.899128
2013-09-12,87.019997,87.129997,86.389999,86.629997,931400,81.644662
2013-09-13,86.860001,87.279999,86.309998,87.129997,922300,82.115888
2013-09-16,87.57,88.330002,87.43,88.07,1209000,83.001796
2013-09-17,86.650002,89.199997,86.650002,89.139999,1315800,84.01022
2013-09-18,89.0,89.779999,88.089996,89.389999,1319800,84.245833
2013-09-19,89.379997,89.940002,88.900002,89.650002,1279800,84.490873
2013-09-20,89.620003,89.709999,88.099998,88.150002,1688900,83.077194
2013-09-23,88.059998,88.610001,87.610001,87.910004,1293700,82.851007
2013-09-24,87.849998,88.330002,87.769997,87.93,1536000,82.869853
2013-09-25,88.040001,88.160004,87.580002,87.739998,1288100,82.690785
2013-09-26,87.68,88.459999,87.57,88.25,823300,83.171438
2013-09-27,87.900002,88.379997,87.730003,88.290001,1126100,83.209136
2013-09-30,86.25,87.910004,86.169998,87.519997,1695600,82.483444
2013-10-01,87.449997,88.489998,87.440002,88.480003,1127400,83.388205
2013-10-02,88.040001,88.040001,86.669998,87.510002,1303300,82.474025
2013-10-03,87.459999,87.459999,85.190002,85.980003,1472700,81.032073
2013-10-04,85.870003,86.279999,85.410004,85.910004,911400,80.966102
2013-10-07,85.360001,86.809998,85.25,86.169998,1232400,81.211135
2013-10-08,86.309998,86.489998,84.919998,84.970001,1491300,80.080194
2013-10-09,84.519997,84.900002,83.610001,84.279999,1513200,79.956858
2013-10-10,85.029999,87.410004,84.949997,87.410004,1765800,82.926309
2013-10-11,87.410004,87.769997,87.139999,87.760002,963500,83.258354
2013-10-14,87.129997,87.940002,86.790001,87.809998,709500,83.305785
2013-10-15,87.889999,88.0,86.510002,86.849998,787900,82.395029
2013-10-16,87.160004,87.629997,86.940002,87.550003,1025000,83.059127
2013-10-17,87.470001,88.5,87.18,88.379997,801400,83.846547
2013-10-18,88.470001,88.550003,87.919998,88.400002,1360300,83.865525
2013-10-21,88.599998,88.739998,87.93,88.0,1980300,83.486042
2013-10-22,88.449997,88.690002,87.989998,88.160004,2098200,83.637838
2013-10-23,88.889999,88.980003,85.830002,86.230003,2410100,81.806837
2013-10-24,86.199997,87.150002,85.790001,87.120003,2036300,82.651184
2013-10-25,86.919998,88.300003,86.550003,88.260002,1907600,83.732707
2013-10-28,88.110001,88.160004,87.339996,87.650002,1750100,83.153996
2013-10-29,87.82,87.919998,87.099998,87.879997,1762700,83.372194
2013-10-30,88.089996,88.449997,86.349998,86.489998,2055100,82.053495
2013-10-31,86.620003,86.93,86.129997,86.629997,1446800,82.186313
2013-11-01,86.849998,87.730003,86.660004,87.150002,877700,82.679644
2013-11-04,87.459999,87.57,86.959999,87.080002,800900,82.613235
