Date,Open_GGP,High_GGP,Low_GGP,Close_GGP,Volume_GGP,AdjClose_GGP
2013-06-14,20.780001,20.959999,20.639999,20.879999,2335000,19.314838
2013-06-17,20.940001,21.049999,20.620001,20.91,2148100,19.34259
2013-06-18,20.870001,21.219999,20.790001,21.07,2083800,19.490596
2013-06-19,21.08,21.16,20.42,20.559999,4377000,19.018826
2013-06-20,20.35,20.4,19.42,19.59,3670100,18.121537
2013-06-21,19.67,19.9,19.32,19.5,5203900,18.038284
2013-06-24,19.26,19.66,18.84,19.32,3934300,17.871776
2013-06-25,19.450001,19.57,19.309999,19.42,2907900,17.96428
2013-06-26,19.559999,19.83,19.559999,19.709999,2984400,18.232541
2013-06-27,19.860001,20.120001,19.82,20.040001,1833600,18.537806
2013-06-28,20.040001,20.09,19.76,19.870001,5045200,18.380549
2013-07-01,19.99,20.18,19.76,19.84,2488700,18.352797
2013-07-02,19.92,20.049999,19.780001,20.02,3295700,18.519305
2013-07-03,19.98,20.059999,19.84,19.940001,2640500,18.445302
2013-07-05,19.99,20.08,19.66,20.040001,2617500,18.537806
2013-07-08,20.059999,20.32,20.0,20.110001,3083700,18.602559
2013-07-09,20.25,20.559999,20.1,20.389999,2569100,18.861569
2013-07-10,20.379999,20.57,20.25,20.49,2632100,18.954073
2013-07-11,20.780001,21.040001,20.75,21.0,2022600,19.425844
2013-07-12,21.120001,21.15,20.74,21.030001,2391000,19.565398
2013-07-15,21.030001,21.41,20.870001,21.280001,2409100,19.797987
2013-07-16,21.309999,21.35,21.15,21.32,1782500,19.8352
2013-07-17,21.42,21.49,21.16,21.25,2150500,19.770076
2013-07-18,21.25,21.530001,21.17,21.41,2501900,19.918933
2013-07-19,21.33,21.48,21.280001,21.4,1326400,19.909629
2013-07-22,21.370001,21.540001,21.200001,21.440001,2563700,19.946844
2013-07-23,21.51,21.68,21.4,21.639999,1970700,20.132914
2013-07-24,21.719999,21.73,21.299999,21.389999,5845600,19.900325
2013-07-25,21.360001,21.530001,21.34,21.450001,4517000,19.956148
2013-07-26,21.4,21.639999,21.389999,21.629999,5517500,20.12361
2013-07-29,21.57,21.66,21.209999,21.209999,2755500,19.732861
2013-07-30,21.41,21.940001,21.32,21.440001,3429600,19.946844
2013-07-31,21.66,21.66,20.530001,20.74,5361800,19.295594
2013-08-01,20.82,20.93,20.5,20.629999,3589200,19.193254
2013-08-02,20.530001,20.950001,20.51,20.690001,2388700,19.249077
2013-08-05,20.610001,20.709999,20.52,20.68,1654400,19.239773
2013-08-06,20.65,20.790001,20.450001,20.5,1783600,19.072308
2013-08-07,20.459999,20.48,20.26,20.48,1209200,19.053701
2013-08-08,20.51,20.610001,20.379999,20.549999,2376000,19.118825
2013-08-09,20.5,20.870001,20.49,20.82,1860800,19.370022
2013-08-12,20.75,20.93,20.66,20.83,3901600,19.379326
