Date,Open_GILD,High_GILD,Low_GILD,Close_GILD,Volume_GILD,AdjClose_GILD
2015-06-08,113.959999,114.769997,113.529999,113.699997,10742900,111.821223
2015-06-09,113.220001,115.300003,113.150002,114.75,9566700,112.853876
2015-06-10,115.019997,117.93,114.809998,117.669998,11986000,115.725624
2015-06-11,118.080002,119.699997,117.900002,119.129997,14474700,117.161498
2015-06-12,118.589996,118.75,116.760002,117.660004,9266000,116.134988
2015-06-15,116.720001,118.389999,116.400002,118.160004,9605800,116.628507
2015-06-16,118.269997,119.449997,117.419998,119.07,8447800,117.526709
2015-06-17,119.089996,119.449997,117.860001,118.879997,12078300,117.339169
2015-06-18,119.18,121.779999,119.019997,121.209999,13653000,119.638971
2015-06-19,120.470001,121.0,119.550003,119.800003,21020000,118.24725
2015-06-22,120.769997,121.870003,120.559998,121.489998,8040700,119.915341
2015-06-23,121.82,122.400002,121.099998,122.209999,8429200,120.62601
2015-06-24,121.889999,123.370003,121.650002,122.010002,8354800,120.428605
2015-06-25,122.480003,122.610001,119.809998,120.230003,8575000,118.671677
2015-06-26,120.300003,120.610001,118.889999,119.5,9730800,117.951136
2015-06-29,117.879997,119.139999,115.300003,115.459999,12491100,113.963498
2015-06-30,117.290001,118.300003,116.779999,117.080002,11345200,115.562503
2015-07-01,118.110001,118.599998,115.400002,116.010002,10248500,114.506372
2015-07-02,116.330002,116.489998,114.910004,115.040001,8832000,113.548943
2015-07-06,114.459999,116.440002,114.120003,115.660004,13543300,114.16091
2015-07-07,115.949997,116.419998,113.129997,115.129997,10183000,113.637773
2015-07-08,114.25,114.410004,112.410004,112.940002,9238800,111.476163
2015-07-09,114.400002,114.75,113.330002,113.360001,9007800,111.890718
2015-07-10,114.879997,115.0,113.199997,113.739998,9703400,112.26579
2015-07-13,115.0,115.110001,114.309998,114.550003,9632800,113.065297
2015-07-14,115.220001,117.809998,114.870003,117.360001,11295900,115.838873
2015-07-15,119.059998,119.720001,117.209999,117.389999,10479200,115.868483
2015-07-16,118.330002,119.400002,118.059998,118.849998,7514600,117.309559
2015-07-17,118.75,118.849998,117.220001,118.260002,8170100,116.72721
2015-07-20,118.800003,118.949997,117.839996,118.199997,7218700,116.667982
2015-07-21,118.209999,118.980003,116.919998,117.779999,6489100,116.253428
2015-07-22,116.82,118.400002,116.559998,117.440002,6977100,115.917838
2015-07-23,117.860001,118.599998,117.419998,117.660004,6110300,116.134988
2015-07-24,116.139999,117.150002,112.660004,112.830002,15067600,111.367589
2015-07-27,112.629997,112.879997,108.0,110.540001,14883600,109.107269
2015-07-28,112.519997,113.400002,110.739998,113.07,16439700,111.604476
2015-07-29,118.379997,119.459999,115.110001,115.709999,23144800,114.210258
2015-07-30,116.110001,118.25,114.75,117.900002,11977200,116.371875
2015-07-31,118.970001,119.0,117.120003,117.860001,9217900,116.332393
2015-08-03,118.5,120.169998,118.18,119.599998,11660000,118.049838
2015-08-04,119.599998,120.370003,118.559998,118.870003,7876400,117.329304
2015-08-05,119.699997,120.07,118.379997,118.660004,8071000,117.122027
2015-08-06,119.449997,119.489998,114.809998,115.300003,10755300,113.805576
2015-08-07,115.279999,115.300003,113.129997,114.440002,9670200,112.956722
2015-08-10,115.730003,117.120003,115.510002,116.580002,7776200,115.068984
2015-08-11,115.120003,116.849998,114.68,115.610001,6567700,114.111555
2015-08-12,114.849998,116.459999,113.550003,116.25,6999600,114.743259
2015-08-13,116.25,116.709999,115.18,115.199997,6337400,113.706866
2015-08-14,114.660004,115.870003,114.550003,115.599998,5533400,114.101683
2015-08-17,115.080002,116.889999,115.010002,116.419998,7126700,114.911054
2015-08-18,116.529999,117.699997,115.989998,117.059998,5934000,115.542758
2015-08-19,116.650002,117.199997,115.400002,116.209999,7504800,114.703777
2015-08-20,114.860001,116.089996,112.349998,112.389999,9200200,110.933289
2015-08-21,110.540001,111.220001,105.330002,105.330002,22739400,103.964798
2015-08-24,97.309998,101.0,86.0,100.660004,25731800,99.355328
2015-08-25,105.43,107.900002,102.559998,102.559998,18482500,101.230696
2015-08-26,105.919998,107.099998,102.459999,106.959999,15627600,105.573668
2015-08-27,108.43,109.599998,105.669998,107.989998,14610300,106.590317
2015-08-28,106.959999,108.790001,106.779999,107.779999,10755900,106.38304
2015-08-31,107.419998,108.330002,104.629997,105.07,11736900,103.708165
2015-09-01,102.220001,104.639999,101.0,101.489998,13548000,100.174565
2015-09-02,103.440002,104.300003,101.019997,104.269997,11509300,102.918531
2015-09-03,104.919998,105.0,101.690002,101.910004,9928100,100.589127
2015-09-04,101.029999,103.239998,100.550003,102.059998,10336500,100.737177
2015-09-08,103.839996,104.949997,102.910004,104.900002,9992600,103.540371
2015-09-09,106.199997,106.449997,103.540001,103.82,7896500,102.474367
2015-09-10,104.0,108.5,103.870003,107.25,10368500,105.85991
2015-09-11,106.860001,109.690002,106.25,109.629997,9387600,108.20906
2015-09-14,109.470001,109.629997,108.400002,109.349998,7505800,108.357701
2015-09-15,109.459999,111.809998,108.849998,111.050003,7944100,110.042279
2015-09-16,110.720001,111.75,109.480003,111.029999,8116000,110.022456
2015-09-17,110.879997,113.309998,109.75,111.610001,9858400,110.597195
2015-09-18,109.620003,110.870003,108.209999,108.440002,13156900,107.455963
2015-09-21,109.120003,109.370003,104.589996,105.739998,15141600,104.780459
2015-09-22,103.989998,107.040001,102.860001,106.510002,14843500,105.543476
2015-09-23,106.470001,106.849998,104.699997,105.489998,7973100,104.532728
2015-09-24,104.389999,105.150002,101.510002,102.510002,13464100,101.579774
