Date,Open_GM,High_GM,Low_GM,Close_GM,Volume_GM,AdjClose_GM
2013-06-14,34.459999,34.619999,34.09,34.290001,10091600,30.994671
2013-06-17,34.5,34.560001,33.599998,33.73,10195000,30.488487
2013-06-18,33.799999,34.060001,33.439999,34.009998,9926100,30.741578
2013-06-19,34.02,34.25,33.650002,33.66,8428700,30.425215
2013-06-20,33.41,33.41,32.279999,32.560001,29107200,29.430928
2013-06-21,32.959999,32.970001,31.74,32.209999,18998000,29.114561
2013-06-24,31.76,31.84,31.129999,31.42,18970400,28.400483
2013-06-25,31.75,32.02,31.540001,31.82,9268300,28.762042
2013-06-26,32.18,32.700001,32.029999,32.549999,10374000,29.421887
2013-06-27,32.919998,33.5,32.779999,33.099998,11000300,29.91903
2013-06-28,33.02,33.720001,32.799999,33.310001,15813400,30.108852
2013-07-01,33.52,34.189999,33.41,34.0,10310800,30.73254
2013-07-02,34.040001,34.939999,33.82,34.099998,15171900,30.822929
2013-07-03,33.939999,34.400002,33.759998,34.139999,5715700,30.859085
2013-07-05,34.349998,34.830002,34.240002,34.669998,7107800,31.33815
2013-07-08,34.779999,35.02,34.540001,34.639999,11233600,31.311034
2013-07-09,34.900002,35.25,34.720001,34.919998,7243300,31.564125
2013-07-10,34.900002,35.34,34.84,35.330002,11820200,31.934726
2013-07-11,35.720001,36.200001,35.639999,36.139999,13246500,32.666882
2013-07-12,36.09,36.580002,35.91,36.400002,10744300,32.901897
2013-07-15,36.599998,36.720001,36.279999,36.5,8968200,32.992286
2013-07-16,36.869999,36.939999,35.759998,36.18,16273700,32.703039
2013-07-17,36.23,36.560001,36.080002,36.360001,10943400,32.865741
2013-07-18,36.5,36.990002,36.330002,36.84,10679400,33.299611
2013-07-19,36.889999,36.889999,36.060001,36.610001,11608300,33.091715
2013-07-22,36.619999,36.990002,36.48,36.759998,11260700,33.227298
2013-07-23,36.889999,36.950001,36.52,36.610001,9296600,33.091715
2013-07-24,37.110001,37.450001,36.869999,37.139999,15200600,33.57078
2013-07-25,37.470001,37.709999,36.509998,37.080002,18095900,33.516548
2013-07-26,36.93,37.0,36.459999,36.669998,15892800,33.145947
2013-07-29,36.57,36.669998,36.150002,36.380001,8407800,32.883819
2013-07-30,36.529999,36.779999,36.32,36.5,12244500,32.992286
2013-07-31,36.619999,36.720001,35.669998,35.869999,20696300,32.422829
2013-08-01,36.389999,36.860001,36.009998,36.470001,16148300,32.96517
2013-08-02,36.439999,37.18,36.34,36.950001,11913000,33.399041
2013-08-05,37.029999,37.049999,36.650002,36.75,7144300,33.21826
2013-08-06,36.439999,36.490002,35.959999,35.959999,13485100,32.50418
2013-08-07,36.009998,36.099998,35.43,35.48,19395100,32.070309
2013-08-08,35.610001,36.110001,35.57,36.009998,14457000,32.549374
