Date,Open_GPN,High_GPN,Low_GPN,Close_GPN,Volume_GPN,AdjClose_GPN
2013-06-14,48.509998,48.759998,48.150002,48.16,1255600,24.009533
2013-06-17,48.470001,48.599998,48.25,48.380001,1066200,24.119212
2013-06-18,48.509998,48.939999,48.349998,48.900002,885400,24.378452
2013-06-19,48.68,48.75,47.93,47.970001,1234200,23.914812
2013-06-20,47.560001,47.799999,46.720001,46.720001,904400,23.291641
2013-06-21,47.0,47.099998,45.779999,45.869999,2998200,22.867884
2013-06-24,45.650002,46.060001,44.84,45.810001,1999600,22.837973
2013-06-25,46.110001,46.27,45.91,46.009998,874600,22.937678
2013-06-26,46.450001,46.619999,46.0,46.32,761400,23.092226
2013-06-27,46.57,47.110001,46.400002,46.939999,823000,23.401318
2013-06-28,46.869999,46.889999,46.099998,46.32,2356400,23.092226
2013-07-01,46.5,47.110001,46.43,46.73,1386400,23.296626
2013-07-02,46.779999,47.110001,46.360001,46.59,1198200,23.226831
2013-07-03,46.529999,46.75,46.189999,46.459999,826200,23.16202
2013-07-05,46.77,47.029999,46.619999,47.009998,912200,23.436215
2013-07-08,47.240002,47.830002,47.220001,47.540001,1431200,23.700441
2013-07-09,47.75,47.98,47.59,47.73,1445600,23.795162
2013-07-10,47.73,47.970001,47.540001,47.740002,1472000,23.800149
2013-07-11,48.139999,48.5,47.849998,48.080002,1285400,23.969651
2013-07-12,48.060001,48.459999,47.889999,48.02,975600,23.939739
2013-07-15,47.990002,48.369999,47.91,47.990002,867200,23.924783
2013-07-16,48.0,48.060001,47.709999,47.810001,933000,23.835046
2013-07-17,48.0,48.099998,47.779999,47.939999,1965200,23.899855
2013-07-18,47.950001,48.610001,47.880001,48.279999,1310000,24.069357
2013-07-19,48.189999,48.5,48.119999,48.34,1400000,24.09927
2013-07-22,48.400002,49.259998,48.349998,48.990002,1592600,24.42332
2013-07-23,49.25,49.75,48.849998,49.41,1675000,24.632704
2013-07-24,49.639999,49.650002,48.830002,48.939999,2658400,24.398392
2013-07-25,48.810001,49.200001,48.580002,48.68,2784200,24.268773
2013-07-26,45.82,46.650002,44.959999,46.169998,6855200,23.017444
2013-07-29,46.040001,46.25,45.389999,45.889999,2564000,22.877855
2013-07-30,46.060001,46.939999,45.860001,46.849998,1755200,23.356449
2013-07-31,47.040001,47.470001,46.27,46.310001,2056400,23.087241
2013-08-01,47.209999,48.610001,47.16,48.5,3560400,24.179036
2013-08-02,48.549999,48.959999,48.099998,48.23,1148000,24.044431
2013-08-05,48.09,48.48,48.07,48.360001,623200,24.109241
2013-08-06,48.27,48.5,48.029999,48.459999,1025800,24.159094
2013-08-07,48.439999,48.439999,47.57,47.700001,1092400,23.780207
2013-08-08,47.939999,48.310001,47.73,47.939999,1177000,23.899855
2013-08-09,47.889999,48.16,47.66,47.73,544600,23.795162
2013-08-12,47.599998,47.98,47.450001,47.619999,637400,23.740323
2013-08-13,48.02,48.119999,47.299999,47.639999,1275600,23.750294
2013-08-14,46.869999,47.990002,46.810001,47.990002,1978400,23.934832
2013-08-15,47.459999,47.77,47.389999,47.720001,1317200,23.80017
2013-08-16,47.669998,48.009998,47.57,47.98,1159200,23.929843
2013-08-19,47.919998,48.150002,47.709999,47.919998,1500600,23.899918
2013-08-20,47.860001,48.48,47.540001,48.369999,1189000,24.124354
2013-08-21,48.200001,48.610001,48.0,48.380001,1012800,24.129342
2013-08-22,48.349998,48.990002,48.349998,48.889999,519800,24.383702
2013-08-23,48.990002,49.0,48.610001,48.959999,745600,24.418614
2013-08-26,49.0,49.360001,48.849998,49.009998,973400,24.443551
2013-08-27,48.650002,48.759998,47.93,48.0,661600,23.939818
2013-08-28,47.91,48.299999,47.77,48.16,538000,24.019618
2013-08-29,47.970001,48.240002,47.84,48.049999,1012400,23.964755
2013-08-30,48.099998,48.099998,47.549999,47.650002,880200,23.765258
2013-09-03,48.060001,48.080002,47.349998,47.849998,3013800,23.865006
2013-09-04,47.91,48.169998,47.880001,47.950001,573800,23.914881
2013-09-05,47.849998,48.060001,47.709999,47.779999,912200,23.830094
2013-09-06,48.029999,48.540001,47.68,48.27,760800,24.07448
2013-09-09,48.490002,49.189999,48.490002,49.02,737400,24.44854
2013-09-10,49.299999,49.509998,49.189999,49.279999,746400,24.578213
2013-09-11,49.290001,49.700001,49.189999,49.639999,631200,24.757762
2013-09-12,49.66,49.93,49.330002,49.369999,516000,24.6231
2013-09-13,49.580002,49.580002,49.049999,49.389999,597400,24.633075
2013-09-16,49.779999,50.27,49.66,49.919998,1063000,24.89741
2013-09-17,49.919998,50.18,49.709999,49.93,947400,24.902399
2013-09-18,49.77,50.25,49.580002,50.189999,935200,25.032072
2013-09-19,50.310001,50.419998,49.900002,49.919998,698800,24.89741
2013-09-20,50.189999,50.380001,49.669998,49.98,1841400,24.927336
2013-09-23,49.98,50.110001,49.43,49.52,910400,24.697913
2013-09-24,49.75,50.150002,49.369999,49.599998,710000,24.737812
2013-09-25,49.709999,50.290001,49.509998,49.939999,1045800,24.907385
2013-09-26,50.07,50.52,49.93,50.419998,960200,25.146783
2013-09-27,50.419998,50.75,50.040001,50.490002,1667400,25.181697
2013-09-30,50.349998,51.450001,50.119999,51.080002,2399800,25.475958
2013-10-01,50.900002,51.450001,50.490002,50.700001,4146200,25.286434
2013-10-02,54.259998,57.419998,54.0,56.490002,16312600,28.174175
2013-10-03,56.490002,57.110001,55.799999,57.02,3878400,28.438509
2013-10-04,56.939999,57.099998,56.490002,56.93,1867600,28.393622
2013-10-07,55.950001,56.43,54.759998,54.830002,2888400,27.346256
2013-10-08,54.93,55.330002,53.23,53.740002,2663800,26.802623
2013-10-09,54.529999,54.57,53.849998,54.299999,2292000,27.081919
2013-10-10,54.799999,55.529999,54.740002,55.18,1579800,27.520816
2013-10-11,55.32,55.619999,54.950001,55.25,979800,27.555728
2013-10-14,54.889999,55.490002,54.740002,55.490002,1089800,27.675428
2013-10-15,55.32,55.470001,55.0,55.349998,1495400,27.605602
2013-10-16,55.720001,56.400002,55.580002,56.369999,1847800,28.114324
2013-10-17,56.299999,56.34,55.759998,55.950001,1030200,27.904851
2013-10-18,56.290001,56.900002,56.07,56.84,1354400,28.348735
2013-10-21,56.939999,57.75,56.810001,57.619999,1376600,28.737756
2013-10-22,57.900002,59.220001,57.799999,59.189999,2887000,29.520788
2013-10-23,58.77,59.200001,58.450001,58.959999,2143600,29.406076
2013-10-24,59.209999,59.75,58.689999,59.639999,2306400,29.745224
2013-10-25,59.580002,59.720001,58.880001,59.700001,1818800,29.775149
2013-10-28,59.77,60.049999,59.299999,59.810001,1625400,29.830012
2013-10-29,60.040001,60.25,59.41,60.02,2394800,29.934748
2013-10-30,59.919998,60.279999,59.450001,59.790001,1289400,29.820037
2013-10-31,59.59,59.889999,59.240002,59.48,1585800,29.665425
2013-11-01,59.599998,59.849998,59.169998,59.700001,1206200,29.775149
2013-11-04,60.009998,60.16,59.77,60.040001,1155800,29.944723
2013-11-05,59.700001,60.259998,59.299999,59.810001,1447600,29.830012
2013-11-06,59.939999,60.580002,59.900002,60.52,1168800,30.184121
2013-11-07,60.68,60.77,59.919998,59.950001,1773600,29.899836
2013-11-08,59.970001,60.84,59.799999,60.82,1007200,30.333745
2013-11-11,60.639999,61.279999,60.419998,61.049999,697600,30.448456
2013-11-12,60.919998,61.52,60.77,61.459999,1063800,30.652942
2013-11-13,61.220001,62.310001,60.900002,62.299999,1646600,31.082002
2013-11-14,62.939999,63.09,62.220001,63.040001,2273000,31.451195
2013-11-15,63.0,63.52,62.720001,63.490002,904600,31.675705
2013-11-18,63.880001,64.410004,63.389999,63.709999,1462600,31.785463
2013-11-19,63.709999,63.939999,63.099998,63.419998,1528800,31.640779
2013-11-20,63.48,63.82,62.740002,62.810001,1009800,31.336447
2013-11-21,63.040001,63.73,62.869999,63.509998,900200,31.685681
2013-11-22,63.66,63.790001,62.959999,63.0,992400,31.431239
2013-11-25,63.259998,63.759998,62.970001,63.540001,1551800,31.70065
2013-11-26,63.799999,63.889999,63.43,63.470001,971000,31.665726
2013-11-27,63.5,63.52,62.650002,63.02,1629400,31.441217
2013-11-29,63.0,63.57,62.91,63.049999,428400,31.456184
2013-12-02,63.119999,63.529999,62.599998,62.669998,1185400,31.266598
2013-12-03,62.5,63.040001,62.5,62.900002,1305000,31.381349
2013-12-04,62.73,63.139999,62.119999,62.169998,955200,31.017144
2013-12-05,62.459999,62.740002,62.16,62.220001,1051600,31.042091
2013-12-06,62.700001,63.419998,62.34,63.369999,1071400,31.615834
2013-12-09,63.459999,63.830002,63.459999,63.549999,1087800,31.705638
2013-12-10,63.360001,63.709999,63.349998,63.5,902400,31.680693
2013-12-11,63.5,63.68,62.860001,63.200001,1116600,31.531021
2013-12-12,63.169998,63.25,62.549999,62.810001,1104600,31.336447
2013-12-13,63.0,63.220001,62.560001,62.779999,742000,31.321478
2013-12-16,63.080002,63.189999,62.689999,63.049999,1073000,31.456184
2013-12-17,63.150002,63.450001,62.709999,63.360001,972800,31.610846
2013-12-18,62.380001,62.849998,61.59,62.759998,1844200,31.3115
2013-12-19,62.939999,63.09,61.220001,61.509998,1739200,30.687864
2013-12-20,61.560001,63.549999,61.509998,63.490002,2247800,31.675705
2013-12-23,63.509998,63.82,63.09,63.599998,1164400,31.730583
2013-12-24,63.599998,63.849998,63.450001,63.630001,606800,31.745552
2013-12-26,64.010002,64.019997,63.57,63.779999,1259600,31.820387
2013-12-27,64.129997,64.150002,63.790001,63.84,611800,31.850322
2013-12-30,63.790001,64.669998,63.75,64.480003,657600,32.169625
2013-12-31,64.709999,65.129997,64.669998,64.989998,518800,32.424066
2014-01-02,64.889999,65.489998,64.889999,65.449997,1658600,32.653563
2014-01-03,66.339996,66.970001,65.809998,66.620003,2058800,33.237289
2014-01-06,67.0,67.220001,65.269997,65.290001,2298200,32.57374
2014-01-07,65.260002,65.699997,64.870003,64.889999,2357600,32.374175
2014-01-08,64.760002,64.949997,64.129997,64.410004,3379400,32.134702
2014-01-09,65.879997,68.449997,65.769997,67.040001,7755600,33.44683
2014-01-10,67.43,68.550003,67.239998,68.540001,3015000,34.195192
2014-01-13,68.75,69.32,68.550003,69.110001,2889400,34.47957
2014-01-14,69.339996,70.300003,69.120003,69.830002,1885200,34.838785
2014-01-15,69.800003,70.32,69.730003,69.75,1007200,34.798871
2014-01-16,69.300003,69.879997,69.300003,69.440002,1046600,34.644211
2014-01-17,69.529999,69.550003,69.010002,69.209999,892000,34.52946
2014-01-21,69.769997,69.779999,68.68,68.839996,1477200,34.344863
2014-01-22,69.050003,70.0,68.860001,69.849998,1315400,34.848761
2014-01-23,69.230003,69.639999,68.730003,68.800003,1195800,34.32491
2014-01-24,68.849998,68.849998,66.650002,66.910004,2450200,33.381973
2014-01-27,67.690002,67.690002,65.940002,66.519997,1594000,33.187395
2014-01-28,66.879997,68.389999,66.849998,67.459999,1965800,33.65637
2014-01-29,67.239998,67.720001,66.43,66.75,1140400,33.302146
2014-01-30,67.209999,67.790001,66.959999,67.669998,1033600,33.761141
2014-01-31,66.769997,67.099998,65.970001,66.089996,2056400,32.972864
2014-02-03,65.980003,66.309998,63.139999,63.610001,2508600,31.735573
2014-02-04,63.900002,64.300003,63.360001,64.099998,1592400,31.980037
2014-02-05,64.0,64.330002,63.439999,64.120003,1648600,31.990018
2014-02-06,64.089996,65.050003,64.089996,64.980003,836200,32.419079
2014-02-07,65.089996,66.160004,65.040001,65.959999,1128800,32.908007
2014-02-10,65.849998,66.550003,65.760002,66.489998,1020400,33.172428
2014-02-11,66.5,67.349998,66.190002,67.120003,1325400,33.486743
2014-02-12,66.959999,67.309998,66.639999,66.870003,806600,33.371961
2014-02-13,66.360001,67.269997,66.339996,67.199997,867800,33.536647
2014-02-14,67.0,67.040001,66.339996,67.010002,908200,33.441828
2014-02-18,67.169998,67.309998,66.629997,66.849998,1294400,33.361977
2014-02-19,66.730003,67.550003,66.440002,67.209999,1373000,33.541638
2014-02-20,67.18,67.68,66.75,67.480003,1028400,33.676386
2014-02-21,67.459999,68.919998,67.339996,68.720001,1279800,34.295216
2014-02-24,68.699997,69.529999,68.459999,68.839996,1115800,34.3551
2014-02-25,68.629997,69.339996,68.239998,68.309998,951400,34.0906
2014-02-26,68.599998,68.849998,68.139999,68.480003,764200,34.175443
2014-02-27,68.519997,69.860001,68.32,69.559998,1262200,34.714422
2014-02-28,69.639999,70.769997,69.459999,70.330002,1328200,35.098698
2014-03-03,71.410004,71.410004,69.57,70.080002,1246000,34.973934
2014-03-04,70.839996,71.489998,70.239998,71.209999,1183000,35.537867
2014-03-05,71.389999,71.870003,70.870003,71.620003,1076600,35.742483
2014-03-06,71.93,72.040001,71.25,71.68,1849000,35.772425
