Date,Open_GT,High_GT,Low_GT,Close_GT,Volume_GT,AdjClose_GT
2013-06-14,15.47,15.59,15.28,15.31,3587700,14.933294
2013-06-17,15.43,15.5,15.03,15.1,3602000,14.728461
2013-06-18,15.13,15.31,14.94,14.97,3550800,14.601659
2013-06-19,15.02,15.49,14.98,15.29,5686000,14.913785
2013-06-20,15.21,15.23,14.67,14.84,4716600,14.474858
2013-06-21,14.9,15.0,14.51,14.94,4643400,14.572397
2013-06-24,14.72,14.84,13.9,14.25,6173400,13.899375
2013-06-25,14.39,14.77,14.33,14.71,3590300,14.348056
2013-06-26,14.84,14.95,14.71,14.91,2411800,14.543135
2013-06-27,14.99,15.2,14.9,14.98,4596600,14.611413
2013-06-28,14.92,15.47,14.81,15.3,6640000,14.923539
2013-07-01,15.25,15.6,15.25,15.49,3159000,15.108864
2013-07-02,15.4,15.66,15.29,15.44,2682100,15.060094
2013-07-03,15.25,15.44,15.16,15.38,1465400,15.001571
2013-07-05,15.48,15.9,15.46,15.86,2734900,15.46976
2013-07-08,15.88,16.33,15.88,16.209999,5085800,15.811148
2013-07-09,16.360001,16.58,16.209999,16.4,3590100,15.996473
2013-07-10,16.309999,16.559999,16.24,16.41,3680900,16.006227
2013-07-11,16.620001,16.74,16.4,16.68,3732000,16.269584
2013-07-12,16.68,16.77,16.360001,16.6,2956600,16.191553
2013-07-15,16.68,16.790001,16.59,16.700001,2550900,16.289093
2013-07-16,16.799999,16.870001,16.41,16.51,3431000,16.103767
2013-07-17,16.629999,17.059999,16.57,17.049999,4827000,16.630479
2013-07-18,17.059999,17.639999,16.959999,17.299999,5396400,16.874328
2013-07-19,17.370001,17.370001,17.09,17.23,2132600,16.806051
2013-07-22,17.209999,17.52,17.190001,17.459999,3114200,17.030391
2013-07-23,17.43,17.440001,16.870001,17.16,5174200,16.737773
2013-07-24,17.24,17.299999,16.9,16.959999,3835500,16.542694
2013-07-25,16.83,16.879999,16.49,16.75,4865400,16.337862
2013-07-26,16.57,16.879999,16.51,16.780001,2462600,16.367124
2013-07-29,16.75,17.07,16.68,17.040001,3083200,16.620727
2013-07-30,18.139999,19.6,18.049999,18.559999,14378800,18.103326
2013-07-31,18.540001,18.959999,18.41,18.5,11399800,18.044802
2013-08-01,18.58,18.9,18.51,18.690001,4944100,18.230128
2013-08-02,18.620001,19.120001,18.549999,19.02,3770400,18.552008
2013-08-05,19.040001,19.18,18.75,18.799999,2875600,18.33742
2013-08-06,18.75,19.129999,18.65,19.040001,4199100,18.571516
2013-08-07,18.92,18.92,18.33,18.799999,4972000,18.33742
2013-08-08,18.9,19.17,18.780001,18.84,3740300,18.376437
2013-08-09,18.790001,19.15,18.75,19.049999,2222100,18.581269
2013-08-12,18.85,19.42,18.82,19.379999,3101600,18.903149
2013-08-13,19.360001,19.48,18.959999,19.209999,4722900,18.737332
2013-08-14,19.209999,19.75,19.17,19.25,2782100,18.776348
2013-08-15,19.08,19.08,18.639999,18.84,3127700,18.376437
2013-08-16,19.059999,19.09,18.610001,18.719999,2675000,18.259389
2013-08-19,18.74,18.75,18.280001,18.41,3207700,17.957017
2013-08-20,18.440001,18.870001,18.309999,18.83,4026200,18.366683
2013-08-21,18.73,19.0,18.51,18.58,2775300,18.122834
2013-08-22,18.639999,18.950001,18.620001,18.84,1916200,18.376437
2013-08-23,18.9,19.0,18.690001,18.84,2946000,18.376437
2013-08-26,18.74,19.0,18.620001,18.639999,2772300,18.181357
2013-08-27,18.450001,19.26,18.290001,19.01,6745300,18.542254
2013-08-28,19.0,19.84,18.84,19.84,6337300,19.351832
2013-08-29,19.9,20.459999,19.639999,20.309999,7511000,19.810266
2013-08-30,20.370001,20.370001,19.9,20.120001,3972100,19.624943
