Date,Open_HES,High_HES,Low_HES,Close_HES,Volume_HES,AdjClose_HES
2013-06-14,67.239998,67.25,65.769997,65.970001,3066400,63.366982
2013-06-17,66.589996,68.0,66.589996,67.510002,2269400,64.846218
2013-06-18,67.540001,67.75,67.139999,67.519997,3253500,64.855818
2013-06-19,67.330002,68.080002,66.25,66.379997,2678600,63.760801
2013-06-20,65.260002,65.660004,64.040001,64.279999,3407600,61.743663
2013-06-21,64.260002,64.440002,62.630001,64.019997,5992300,61.49392
2013-06-24,63.279999,63.459999,61.32,62.869999,5068300,60.389298
2013-06-25,63.68,64.260002,62.98,63.650002,2803200,61.138524
2013-06-26,64.120003,66.580002,64.059998,65.709999,3792100,63.117239
2013-06-27,66.260002,67.5,66.209999,67.050003,3390500,64.40437
2013-06-28,66.949997,67.07,66.199997,66.489998,2595500,63.866461
2013-07-01,66.82,67.470001,66.5,66.709999,2294300,64.077781
2013-07-02,66.720001,67.809998,66.510002,67.220001,3090000,64.56766
2013-07-03,67.050003,67.290001,66.230003,67.199997,1146200,64.548445
2013-07-05,67.860001,68.190002,66.980003,68.129997,1341100,65.44175
2013-07-08,68.5,68.709999,68.129997,68.529999,2648600,65.825968
2013-07-09,68.889999,68.980003,67.919998,68.57,2106600,65.864391
2013-07-10,68.559998,69.040001,68.419998,68.730003,1914700,66.018081
2013-07-11,69.940002,71.080002,69.830002,70.959999,4169200,68.160086
2013-07-12,70.800003,71.339996,70.730003,71.169998,2133400,68.361799
2013-07-15,71.639999,71.809998,70.809998,71.059998,1589500,68.256139
2013-07-16,71.050003,71.370003,70.199997,70.739998,1523200,67.948766
2013-07-17,70.919998,71.580002,70.82,71.279999,1854300,68.46746
2013-07-18,71.410004,72.389999,71.339996,72.160004,2654800,69.312742
2013-07-19,72.510002,74.0,72.230003,73.940002,3731000,71.022506
2013-07-22,74.300003,74.5,72.760002,73.269997,3083700,70.378937
2013-07-23,73.32,73.940002,73.129997,73.43,2002800,70.532627
2013-07-24,73.57,73.660004,72.040001,72.629997,2130800,69.76419
2013-07-25,72.230003,73.629997,72.230003,73.540001,2104100,70.638288
2013-07-26,72.989998,73.239998,72.330002,73.199997,1414500,70.311699
2013-07-29,72.779999,73.0,71.669998,72.029999,2721000,69.187867
2013-07-30,73.080002,73.720001,72.129997,73.190002,3670100,70.302099
2013-07-31,73.790001,75.800003,73.790001,74.459999,6142400,71.521985
2013-08-01,75.379997,76.339996,74.779999,76.040001,3595300,73.039644
2013-08-02,75.620003,75.660004,75.0,75.309998,2392200,72.338444
2013-08-05,74.980003,75.139999,74.349998,75.080002,2086500,72.117524
2013-08-06,75.050003,75.220001,73.099998,73.459999,4230100,70.561442
2013-08-07,73.040001,74.0,72.379997,73.559998,2475100,70.657495
2013-08-08,74.330002,74.830002,73.419998,74.360001,1893800,71.425932
2013-08-09,75.540001,75.639999,74.360001,74.889999,3408700,71.935018
2013-08-12,74.489998,75.32,74.349998,75.129997,2601800,72.165546
2013-08-13,75.160004,75.449997,74.599998,75.209999,2115800,72.242392
2013-08-14,75.599998,75.919998,75.169998,75.470001,1940500,72.492135
2013-08-15,74.660004,75.300003,74.339996,75.230003,2677400,72.261607
2013-08-16,74.870003,75.480003,74.489998,75.07,3008600,72.107916
2013-08-19,74.739998,75.32,73.279999,73.290001,2343700,70.398152
2013-08-20,73.699997,74.470001,72.849998,73.720001,2490200,70.811185
2013-08-21,73.580002,74.050003,72.620003,73.029999,2285800,70.148409
2013-08-22,73.43,74.919998,73.43,74.510002,1754500,71.570015
2013-08-23,74.690002,75.769997,74.360001,75.660004,1623000,72.67464
2013-08-26,75.75,76.379997,75.190002,75.410004,2415900,72.434504
2013-08-27,74.610001,76.379997,74.610001,75.449997,2661700,72.47292
2013-08-28,75.879997,77.050003,75.709999,76.480003,2550500,73.462285
2013-08-29,76.089996,76.150002,75.169998,75.82,1923000,72.828323
2013-08-30,75.839996,76.150002,74.809998,74.849998,3032400,71.896596
2013-09-03,75.919998,76.449997,75.349998,75.989998,1865300,72.991613
2013-09-04,75.790001,76.720001,75.57,76.150002,2919200,73.145304
2013-09-05,76.279999,77.029999,76.190002,76.529999,2543300,73.510307
2013-09-06,76.800003,78.199997,76.260002,77.300003,2537900,74.249929
2013-09-09,77.620003,78.339996,77.540001,78.330002,2159100,75.239286
2013-09-10,78.300003,78.32,77.019997,77.790001,2793100,74.720593
2013-09-11,77.870003,78.260002,76.980003,78.099998,2602200,75.018358
2013-09-12,77.699997,78.25,77.120003,77.25,3026700,74.440184
2013-09-13,77.139999,78.040001,77.139999,77.720001,2085900,74.89309
2013-09-16,78.370003,78.57,77.449997,77.919998,2264400,75.085813
2013-09-17,77.870003,78.220001,77.519997,77.790001,2968700,74.960544
2013-09-18,77.5,79.5,77.199997,79.220001,2601400,76.338531
2013-09-19,79.449997,80.349998,79.449997,79.639999,2643000,76.743252
2013-09-20,79.639999,80.410004,78.169998,78.629997,4256400,75.769987
2013-09-23,78.389999,78.849998,77.510002,78.529999,2324700,75.673626
2013-09-24,78.589996,79.349998,78.199997,78.510002,2877100,75.654356
2013-09-25,78.709999,79.32,78.559998,78.720001,1740400,75.856717
2013-09-26,79.059998,79.349998,78.099998,78.790001,1328500,75.924171
2013-09-27,78.029999,78.669998,77.879997,78.330002,1184400,75.480903
2013-09-30,77.510002,77.800003,76.620003,77.339996,1899500,74.526907
2013-10-01,76.970001,78.910004,76.830002,78.690002,2179000,75.827809
2013-10-02,78.260002,80.360001,78.260002,79.959999,2428500,77.051613
2013-10-03,79.940002,81.120003,79.540001,79.889999,3755600,76.984159
2013-10-04,79.769997,80.610001,79.760002,80.139999,3173000,77.225066
