Date,Open_HON,High_HON,Low_HON,Close_HON,Volume_HON,AdjClose_HON
2013-06-14,78.160004,78.650002,77.860001,78.18,2636900,73.529783
2013-06-17,78.830002,79.970001,78.720001,79.709999,3786500,74.968776
2013-06-18,79.870003,81.089996,79.709999,80.849998,3223200,76.040967
2013-06-19,80.830002,80.93,79.68,79.68,3056900,74.940562
2013-06-20,79.010002,79.290001,77.489998,77.669998,3398300,73.050116
2013-06-21,78.309998,78.5,77.290001,78.25,4407700,73.595619
2013-06-24,77.489998,77.540001,76.150002,76.650002,3581400,72.09079
2013-06-25,77.459999,77.989998,77.169998,77.650002,2424400,73.031309
2013-06-26,78.5,79.860001,78.440002,79.75,3634200,75.006398
2013-06-27,80.150002,81.0,80.150002,80.199997,3352000,75.429629
2013-06-28,80.0,80.199997,79.300003,79.339996,3475300,74.620782
2013-07-01,79.860001,81.089996,79.860001,80.32,2146600,75.542493
2013-07-02,79.239998,79.839996,77.629997,77.879997,8982700,73.247624
2013-07-03,77.360001,78.970001,77.32,78.510002,2581700,73.840156
2013-07-05,79.040001,80.080002,79.040001,80.059998,2101100,75.297956
2013-07-08,80.480003,81.040001,80.050003,80.669998,3859300,75.871674
2013-07-09,81.32,81.650002,81.139999,81.389999,2928700,76.548849
2013-07-10,81.25,81.75,80.93,81.209999,2433500,76.379555
2013-07-11,82.169998,82.669998,81.980003,82.57,2489200,77.658661
2013-07-12,82.559998,82.75,81.870003,82.370003,2675900,77.47056
2013-07-15,82.5,82.68,81.709999,82.300003,3386300,77.404724
2013-07-16,82.349998,82.639999,81.860001,82.029999,1890500,77.15078
2013-07-17,82.370003,82.949997,82.230003,82.440002,2249200,77.536396
2013-07-18,82.440002,83.290001,82.010002,82.970001,3721100,78.03487
2013-07-19,84.379997,84.849998,82.900002,83.57,3182800,78.59918
2013-07-22,83.050003,83.290001,82.75,83.040001,2593100,78.100706
2013-07-23,83.440002,83.589996,82.93,83.269997,2027700,78.317022
2013-07-24,83.410004,83.589996,82.839996,83.010002,1991500,78.072492
2013-07-25,82.790001,83.0,82.559998,82.849998,2573300,77.922006
2013-07-26,82.550003,82.949997,82.300003,82.879997,2534200,77.95022
2013-07-29,82.629997,83.120003,82.480003,82.760002,2265800,77.837362
2013-07-30,83.239998,83.739998,82.739998,83.0,2438800,78.063085
2013-07-31,83.300003,83.800003,82.93,82.980003,3018300,78.044278
2013-08-01,83.800003,84.709999,83.629997,84.559998,2238600,79.530292
2013-08-02,84.400002,84.779999,84.050003,84.68,2392500,79.643157
2013-08-05,84.279999,84.709999,84.010002,84.529999,1504000,79.502078
2013-08-06,84.459999,84.699997,83.910004,84.160004,2074300,79.15409
2013-08-07,83.989998,84.0,83.339996,83.650002,2438400,78.674424
2013-08-08,84.099998,84.389999,83.5,83.510002,2108400,78.542752
2013-08-09,83.529999,83.690002,83.110001,83.32,2265000,78.364051
2013-08-12,82.959999,83.550003,82.620003,83.43,2115200,78.467508
2013-08-13,83.480003,83.940002,83.160004,83.690002,1453400,78.712045
2013-08-14,83.790001,83.919998,83.220001,83.349998,1723500,78.392265
2013-08-15,82.599998,82.699997,81.779999,82.010002,2295300,77.131973
2013-08-16,81.650002,82.150002,81.519997,81.959999,3577600,77.472257
2013-08-19,81.690002,82.010002,81.400002,81.459999,2312300,76.999635
2013-08-20,81.489998,82.190002,81.400002,81.720001,1765000,77.2454
2013-08-21,81.599998,81.690002,80.519997,80.580002,2904100,76.167822
2013-08-22,80.57,81.080002,80.379997,80.769997,2637000,76.347414
2013-08-23,80.830002,81.580002,80.410004,81.400002,1805600,76.942922
2013-08-26,81.510002,81.669998,80.949997,81.050003,2047500,76.612088
2013-08-27,80.169998,80.5,79.089996,79.25,3043000,74.910645
2013-08-28,79.239998,79.739998,78.879997,79.449997,3046900,75.099691
2013-08-29,79.25,80.489998,79.089996,80.059998,1813100,75.676291
2013-08-30,80.360001,80.360001,79.260002,79.57,1968300,75.213123
2013-09-03,80.440002,81.029999,80.309998,80.980003,4027900,76.545921
2013-09-04,80.400002,81.089996,80.230003,80.959999,3338300,76.527012
2013-09-05,80.900002,81.910004,80.690002,81.389999,1815800,76.933468
2013-09-06,81.559998,82.230003,80.25,81.660004,2060100,77.188688
2013-09-09,81.839996,82.730003,81.769997,82.43,2270100,77.916523
2013-09-10,82.980003,84.279999,82.800003,84.129997,2362700,79.523436
2013-09-11,84.199997,84.400002,83.650002,84.029999,2512700,79.428913
2013-09-12,84.080002,84.419998,83.769997,83.779999,2016100,79.192602
2013-09-13,84.019997,84.089996,83.32,84.050003,1658800,79.447822
2013-09-16,85.110001,85.330002,84.440002,85.099998,2135200,80.440325
2013-09-17,85.139999,85.669998,85.010002,85.449997,1986500,80.771159
2013-09-18,85.419998,86.879997,84.900002,86.650002,2276500,81.905457
2013-09-19,86.919998,87.550003,86.669998,86.790001,2285300,82.037791
2013-09-20,86.610001,86.709999,85.480003,85.480003,3460700,80.799523
2013-09-23,85.209999,85.480003,83.980003,84.129997,3266900,79.523436
2013-09-24,84.099998,84.959999,83.739998,84.25,2279000,79.636868
2013-09-25,84.330002,84.669998,83.839996,83.839996,2248500,79.249315
2013-09-26,84.019997,84.43,83.720001,84.050003,1387500,79.447822
2013-09-27,83.550003,83.809998,83.150002,83.580002,1704500,79.003556
2013-09-30,82.800003,83.43,82.370003,83.040001,2489500,78.493123
2013-10-01,83.129997,83.519997,82.860001,83.220001,2447400,78.663268
2013-10-02,82.650002,82.879997,82.080002,82.839996,2930800,78.30407
2013-10-03,82.629997,82.800003,81.040001,81.449997,2633200,76.99018
2013-10-04,81.669998,82.489998,81.309998,82.239998,2536600,77.736925
2013-10-07,81.449997,83.400002,81.099998,82.910004,3575700,78.370244
2013-10-08,82.800003,83.349998,81.790001,81.82,3047300,77.339923
2013-10-09,82.0,82.5,81.449997,81.900002,2634400,77.415545
2013-10-10,82.849998,85.089996,82.800003,85.089996,3602600,80.430871
2013-10-11,85.010002,86.510002,84.900002,86.459999,3390900,81.725858
2013-10-14,85.68,86.139999,85.330002,85.980003,2850700,81.272145
2013-10-15,85.760002,86.0,84.970001,85.139999,1974300,80.478136
2013-10-16,85.790001,86.169998,85.010002,85.75,2419100,81.054736
2013-10-17,85.389999,86.779999,85.190002,86.739998,2679400,81.990526
2013-10-18,85.709999,85.940002,83.699997,84.580002,7040200,79.948801
2013-10-21,84.580002,84.839996,84.059998,84.650002,3512500,80.014968
2013-10-22,84.970001,86.480003,84.900002,86.160004,3334300,81.442289
2013-10-23,86.129997,86.690002,85.540001,86.690002,2698800,81.943268
2013-10-24,86.849998,87.43,86.720001,87.279999,2255900,82.500959
2013-10-25,87.199997,87.540001,86.650002,87.5,2747700,82.708914
2013-10-28,87.139999,87.550003,86.910004,87.330002,1941500,82.548224
2013-10-29,87.110001,87.519997,86.93,87.459999,1940800,82.671103
2013-10-30,87.519997,87.940002,86.57,86.720001,1827800,81.971624
2013-10-31,86.849998,87.650002,86.5,86.730003,2290000,81.981079
2013-11-01,86.769997,87.769997,86.540001,86.910004,3092500,82.151223
2013-11-04,87.0,87.0,85.900002,86.309998,3240400,81.58407
2013-11-05,86.050003,86.690002,85.419998,86.339996,1975300,81.612426
2013-11-06,86.82,87.190002,86.389999,86.720001,1793900,81.971624
2013-11-07,86.730003,86.989998,85.330002,85.459999,2392100,80.780614
2013-11-08,85.519997,87.459999,85.370003,87.440002,2741500,82.652201
2013-11-11,87.370003,87.669998,87.080002,87.419998,2042700,82.633293
2013-11-12,87.230003,87.400002,86.459999,86.589996,2438100,81.848738
2013-11-13,86.360001,87.510002,86.129997,87.510002,2659200,82.718368
2013-11-14,87.75,88.82,87.400002,88.669998,2799200,83.814848
2013-11-15,88.279999,88.769997,88.209999,88.620003,2572300,83.767591
2013-11-18,88.879997,89.519997,88.540001,88.68,2416600,83.824303
2013-11-19,88.019997,88.459999,87.699997,87.860001,1777700,83.472781
2013-11-20,88.150002,88.150002,87.099998,87.220001,1796600,82.86474
2013-11-21,87.410004,88.050003,87.360001,87.940002,1618200,83.548788
2013-11-22,87.870003,88.870003,87.68,88.800003,1914600,84.365845
2013-11-25,89.0,89.269997,88.480003,88.589996,1664900,84.166325
2013-11-26,88.650002,89.099998,88.419998,88.529999,1834000,84.109323
2013-11-27,88.989998,89.410004,88.690002,88.870003,1171000,84.43235
2013-11-29,88.830002,89.160004,88.389999,88.510002,1156200,84.090325
2013-12-02,88.480003,88.989998,88.0,88.139999,2052500,83.738798
2013-12-03,87.949997,87.949997,86.68,87.07,2317500,82.722228
2013-12-04,86.839996,87.290001,86.190002,86.830002,2423600,82.494214
2013-12-05,86.699997,87.300003,86.5,86.860001,1793400,82.522715
2013-12-06,88.080002,88.480003,87.720001,88.32,1653900,83.90981
2013-12-09,88.379997,88.519997,87.730003,87.870003,1805000,83.482284
2013-12-10,87.660004,88.279999,87.419998,87.839996,1770400,83.453776
2013-12-11,87.779999,87.800003,86.269997,86.449997,2887800,82.133185
2013-12-12,86.220001,86.699997,85.919998,86.290001,2926700,81.981178
2013-12-13,86.559998,87.379997,85.769997,86.610001,4191700,82.285199
2013-12-16,86.940002,87.730003,86.459999,87.370003,3131400,83.007251
2013-12-17,87.580002,87.980003,86.440002,86.480003,3656500,82.161693
2013-12-18,86.779999,88.480003,85.900002,88.449997,3583500,84.033316
2013-12-19,88.07,88.720001,87.970001,88.639999,2558000,84.213831
2013-12-20,88.82,90.0,88.610001,89.550003,3839700,85.078395
2013-12-23,90.0,90.209999,89.360001,89.720001,2298500,85.239904
2013-12-24,89.959999,90.610001,89.709999,90.449997,854300,85.933448
2013-12-26,90.580002,91.220001,90.550003,91.099998,2173300,86.550992
2013-12-27,91.330002,91.43,91.07,91.139999,1065900,86.588996
2013-12-30,91.32,91.440002,90.790001,91.0,1450300,86.455987
2013-12-31,90.870003,91.559998,90.730003,91.370003,1456500,86.807514
2014-01-02,90.959999,91.139999,90.050003,90.32,1744200,85.809942
2014-01-03,90.489998,90.959999,90.330002,90.519997,1472500,85.999952
2014-01-06,90.949997,91.260002,90.400002,90.43,1955800,85.91445
2014-01-07,90.57,91.139999,90.470001,90.800003,1573700,86.265977
2014-01-08,90.07,90.800003,89.919998,90.440002,2645300,85.923953
2014-01-09,90.889999,91.440002,90.25,90.470001,1812600,85.952453
2014-01-10,90.669998,90.809998,89.760002,90.160004,2998800,85.657935
2014-01-13,89.870003,90.449997,88.739998,88.870003,2477600,84.43235
2014-01-14,89.269997,89.489998,88.120003,89.389999,2901400,84.926381
2014-01-15,89.830002,90.160004,89.599998,89.910004,2471100,85.420419
2014-01-16,89.860001,90.260002,89.739998,90.050003,1638700,85.553427
2014-01-17,90.220001,90.449997,89.660004,89.949997,2600600,85.458415
2014-01-21,90.610001,91.029999,89.849998,90.589996,2502800,86.066457
