Date,Open_HPQ,High_HPQ,Low_HPQ,Close_HPQ,Volume_HPQ,AdjClose_HPQ
2015-06-08,32.769999,32.929999,32.399999,32.69,20899600,14.442243
2015-06-09,32.659999,32.849998,32.29,32.579998,18063700,14.393645
2015-06-10,32.659999,33.149998,32.659999,32.909999,14657000,14.539438
2015-06-11,32.939999,33.099998,32.469998,32.519999,19590500,14.367138
2015-06-12,32.479998,32.679999,32.199998,32.409999,11506300,14.318541
2015-06-15,32.269999,32.269999,31.649998,31.709999,26873000,14.009285
2015-06-16,31.719999,31.759998,31.48,31.649998,28651500,13.982777
2015-06-17,31.699999,32.309998,31.699999,32.209998,24212500,14.230182
2015-06-18,32.249999,32.56,32.02,32.079998,33620100,14.172749
2015-06-19,31.959999,32.099999,31.799998,31.799998,32953400,14.049046
2015-06-22,31.959999,31.999999,31.689999,31.699999,25077500,14.004867
2015-06-23,31.889998,31.899998,31.539998,31.629998,26198300,13.973941
2015-06-24,31.549999,31.769998,31.519998,31.539998,22556000,13.93418
2015-06-25,31.709999,31.709999,31.069999,31.21,21054900,13.788388
2015-06-26,30.579998,30.899999,30.27,30.529999,44779000,13.487968
2015-06-29,30.329998,30.41,29.899998,29.969999,36351100,13.240564
2015-06-30,30.069999,30.209999,29.519998,30.009998,42614000,13.258235
2015-07-01,30.329998,30.549998,29.949999,30.519999,40408700,13.48355
2015-07-02,30.699998,31.009999,30.639999,30.689998,34572900,13.558655
2015-07-06,30.379999,30.629999,29.719999,30.569998,25501800,13.50564
2015-07-07,30.519999,31.099998,30.209999,30.799999,39923400,13.607253
2015-07-08,30.489999,30.68,30.319998,30.449998,34055300,13.452624
2015-07-09,30.729998,30.839998,30.339999,30.389999,28691400,13.426117
2015-07-10,30.799999,30.879999,30.339999,30.649999,20429900,13.540984
2015-07-13,30.94,30.979998,30.519999,30.739999,14817300,13.580745
2015-07-14,30.67,30.729998,30.459998,30.509999,19164700,13.479132
2015-07-15,30.549998,30.689998,30.4,30.499999,26173900,13.474714
2015-07-16,30.629999,30.749999,30.339999,30.349999,23588000,13.408445
2015-07-17,30.339999,30.449998,29.949999,30.359999,27158400,13.412863
