Date,Open_HRS,High_HRS,Low_HRS,Close_HRS,Volume_HRS,AdjClose_HRS
2015-06-08,78.559998,78.720001,77.879997,78.0,1392400,76.047575
2015-06-09,78.110001,78.190002,77.830002,78.010002,667400,76.057327
2015-06-10,77.940002,79.360001,77.940002,78.910004,713700,76.9348
2015-06-11,78.889999,78.989998,78.519997,78.639999,590100,76.671555
2015-06-12,78.330002,78.730003,78.110001,78.25,515600,76.291317
2015-06-15,77.82,78.260002,77.470001,78.019997,729000,76.067071
2015-06-16,78.019997,78.660004,78.0,78.599998,449500,76.632555
2015-06-17,78.779999,79.059998,78.190002,78.599998,490200,76.632555
2015-06-18,78.599998,79.18,78.550003,79.029999,656400,77.051792
2015-06-19,79.029999,79.489998,78.860001,79.169998,1103700,77.188287
2015-06-22,80.0,80.669998,79.559998,80.18,657200,78.173008
2015-06-23,80.18,80.449997,79.330002,79.650002,469200,77.656275
2015-06-24,79.519997,79.589996,78.760002,78.970001,770000,76.993296
2015-06-25,79.080002,79.5,78.300003,78.400002,592900,76.437564
2015-06-26,78.360001,78.400002,77.75,78.269997,1322800,76.310813
2015-06-29,77.599998,78.160004,77.050003,77.110001,846500,75.179853
2015-06-30,77.389999,77.669998,76.349998,76.910004,1616400,74.984862
2015-07-01,77.529999,77.779999,77.190002,77.379997,830100,75.443092
2015-07-02,77.739998,77.839996,77.5,77.739998,661900,75.794081
2015-07-06,76.970001,77.120003,76.489998,76.669998,883500,74.750865
2015-07-07,76.699997,77.480003,75.660004,77.410004,1149100,75.472347
2015-07-08,76.919998,77.589996,76.800003,76.839996,1329800,74.916607
2015-07-09,78.150002,78.93,78.089996,78.489998,1271500,76.525308
2015-07-10,79.25,79.440002,78.769997,79.349998,761600,77.363782
2015-07-13,79.779999,80.290001,79.699997,80.260002,788500,78.251007
2015-07-14,80.389999,80.830002,80.099998,80.790001,841100,78.767739
2015-07-15,81.010002,82.150002,80.699997,82.099998,1250800,80.044946
2015-07-16,82.379997,82.419998,81.639999,82.32,943900,80.25944
2015-07-17,82.07,82.529999,81.589996,82.169998,594200,80.113194
2015-07-20,82.110001,82.410004,81.480003,81.550003,616300,79.508718
2015-07-21,81.769997,82.199997,80.93,81.290001,552500,79.255224
2015-07-22,81.150002,81.75,80.760002,81.610001,670500,79.567213
2015-07-23,81.620003,82.43,81.330002,82.089996,711400,80.035194
2015-07-24,82.0,82.410004,80.599998,81.040001,562700,79.011481
2015-07-27,80.790001,80.93,79.760002,79.910004,486200,77.909769
2015-07-28,79.93,80.540001,79.370003,80.5,760600,78.484997
2015-07-29,80.669998,81.830002,80.160004,81.779999,662000,79.732956
2015-07-30,81.690002,82.489998,81.379997,82.339996,620000,80.278936
2015-07-31,82.489998,83.330002,82.25,82.940002,908200,80.863924
2015-08-03,82.75,82.75,81.540001,82.290001,575900,80.230193
2015-08-04,82.18,82.760002,82.0,82.279999,414600,80.220441
2015-08-05,82.610001,83.82,82.160004,83.059998,564600,80.980915
2015-08-06,83.040001,83.220001,82.279999,82.940002,820800,80.863924
2015-08-07,82.879997,82.879997,78.610001,81.57,2539200,79.528214
2015-08-10,82.75,84.779999,82.239998,84.589996,1857800,82.472617
2015-08-11,84.059998,84.199997,82.379997,82.93,1128100,80.854172
2015-08-12,82.550003,83.470001,81.669998,83.410004,694000,81.32216
2015-08-13,83.529999,83.970001,82.540001,82.580002,666600,80.512934
2015-08-14,82.839996,83.019997,81.980003,82.870003,523800,80.795676
2015-08-17,82.269997,83.099998,81.830002,83.019997,579900,80.941916
2015-08-18,82.849998,83.220001,82.370003,82.629997,644900,80.561678
2015-08-19,82.339996,82.519997,81.239998,81.989998,667200,79.937699
2015-08-20,81.459999,81.660004,80.160004,80.209999,570700,78.202255
2015-08-21,79.599998,79.900002,78.260002,78.419998,1273800,76.45706
2015-08-24,74.029999,77.760002,72.489998,75.18,1575600,73.298163
2015-08-25,76.349998,77.080002,73.730003,73.760002,1754100,71.913709
2015-08-26,75.519997,75.93,73.510002,75.839996,1119400,73.941639
2015-08-27,76.5,77.099998,75.519997,77.059998,740300,75.131102
2015-08-28,76.650002,77.580002,76.5,77.540001,735000,75.59909
