Date,Open_HST,High_HST,Low_HST,Close_HST,Volume_HST,AdjClose_HST
2015-06-08,19.6,19.66,19.379999,19.4,4906100,18.502711
2015-06-09,19.469999,19.65,19.379999,19.43,5959100,18.531324
2015-06-10,19.440001,19.799999,19.440001,19.559999,8459800,18.65531
2015-06-11,19.690001,19.83,19.65,19.709999,4569400,18.798372
2015-06-12,20.09,20.299999,19.860001,19.92,7373800,18.99866
2015-06-15,19.75,19.889999,19.66,19.709999,7149300,18.798372
2015-06-16,19.74,19.950001,19.639999,19.950001,5386900,19.027273
2015-06-17,19.940001,20.139999,19.84,20.110001,11051200,19.179873
2015-06-18,20.18,20.59,20.02,20.52,10216700,19.570909
2015-06-19,20.450001,20.52,20.23,20.41,9368500,19.465996
2015-06-22,20.51,20.690001,20.459999,20.469999,11016400,19.523221
2015-06-23,20.41,20.469999,20.129999,20.290001,5965900,19.351548
2015-06-24,20.299999,20.879999,20.25,20.73,19191700,19.771195
2015-06-25,20.73,20.780001,20.299999,20.299999,9759200,19.361083
2015-06-26,20.120001,20.360001,19.959999,20.139999,8204000,19.399613
2015-06-29,20.049999,20.25,19.540001,19.559999,8334000,18.840935
2015-06-30,19.709999,19.889999,19.379999,19.83,9626400,19.101009
2015-07-01,20.639999,20.950001,19.84,20.4,9121100,19.650055
2015-07-02,20.530001,20.82,20.459999,20.51,7556800,19.756012
2015-07-06,20.4,20.76,20.27,20.559999,6887100,19.804173
2015-07-07,20.65,21.049999,20.6,20.940001,8606200,20.170204
2015-07-08,20.82,20.93,20.620001,20.65,5467000,19.890864
2015-07-09,20.83,20.91,20.540001,20.559999,4669500,19.804173
2015-07-10,20.74,20.860001,20.59,20.65,5088500,19.890864
2015-07-13,20.870001,21.0,20.620001,20.76,4552500,19.996821
2015-07-14,20.870001,20.99,20.639999,20.91,3654800,20.141306
2015-07-15,20.9,21.15,20.83,21.09,4414200,20.31469
2015-07-16,21.200001,21.4,21.110001,21.290001,5339600,20.507338
2015-07-17,21.290001,21.360001,21.1,21.200001,3375900,20.420646
2015-07-20,21.18,21.25,21.049999,21.129999,2717900,20.353218
2015-07-21,21.08,21.16,20.879999,20.93,4279100,20.160572
2015-07-22,20.959999,21.09,20.860001,20.9,4509500,20.131674
2015-07-23,20.83,20.83,20.040001,20.16,14570200,19.418878
2015-07-24,20.1,20.129999,19.459999,19.73,10741300,19.004685
2015-07-27,19.690001,19.889999,19.6,19.709999,10480700,18.98542
2015-07-28,19.82,20.16,19.76,20.059999,8593200,19.322554
2015-07-29,20.049999,20.440001,19.93,20.43,12468200,19.678953
2015-07-30,20.110001,20.15,19.459999,19.549999,11739600,18.831302
2015-07-31,19.42,19.450001,19.08,19.379999,7960600,18.667552
2015-08-03,19.309999,19.43,19.23,19.35,5851400,18.638656
2015-08-04,19.290001,19.42,19.15,19.190001,5730200,18.484538
2015-08-05,19.309999,19.34,18.74,18.83,8205100,18.137771
2015-08-06,18.83,19.01,18.450001,18.950001,8145700,18.253361
2015-08-07,18.870001,18.99,18.74,18.969999,6093600,18.272624
2015-08-10,19.139999,19.26,19.08,19.200001,5272800,18.49417
2015-08-11,19.049999,19.33,19.030001,19.16,4274000,18.45564
2015-08-12,18.9,19.139999,18.66,19.129999,6225800,18.426742
2015-08-13,19.049999,19.34,18.85,19.24,6991500,18.532699
2015-08-14,19.200001,19.290001,19.129999,19.27,7830000,18.561597
2015-08-17,19.219999,19.639999,19.129999,19.6,6273900,18.879465
