Date,Open_IPG,High_IPG,Low_IPG,Close_IPG,Volume_IPG,AdjClose_IPG
2013-06-14,14.69,14.81,14.49,14.51,2612900,13.594271
2013-06-17,14.62,14.78,14.54,14.64,2205600,13.716067
2013-06-18,14.64,14.9,14.64,14.79,2847300,13.8566
2013-06-19,14.79,14.87,14.58,14.58,3091600,13.659853
2013-06-20,14.42,14.47,14.19,14.28,4105300,13.378786
2013-06-21,14.42,14.52,14.19,14.27,7587000,13.369417
2013-06-24,14.15,14.3,13.96,14.18,3927000,13.285097
2013-06-25,14.33,14.42,14.19,14.32,3610700,13.416261
2013-06-26,14.47,14.59,14.45,14.47,4740300,13.556795
2013-06-27,14.62,14.72,14.53,14.65,3193100,13.725435
2013-06-28,14.62,14.78,14.53,14.55,5419800,13.631746
2013-07-01,14.67,14.8,14.61,14.71,2239700,13.781649
2013-07-02,14.68,14.9,14.59,14.69,2753100,13.76291
2013-07-03,14.63,14.94,14.6,14.87,2270200,13.931551
2013-07-05,14.96,15.05,14.83,15.04,2147600,14.090822
2013-07-08,15.11,15.31,15.08,15.25,3180400,14.287569
2013-07-09,15.41,15.47,15.26,15.36,3164500,14.390627
2013-07-10,15.31,15.44,15.24,15.42,2293000,14.44684
2013-07-11,15.66,15.72,15.49,15.59,3105300,14.606112
2013-07-12,15.57,15.72,15.57,15.71,2746500,14.718538
2013-07-15,15.69,15.74,15.6,15.62,2625900,14.634218
2013-07-16,15.68,15.79,15.47,15.64,3807200,14.652956
2013-07-17,15.73,15.8,15.48,15.64,6801400,14.652956
2013-07-18,15.64,15.97,15.62,15.79,5692800,14.793489
2013-07-19,15.5,15.71,15.17,15.58,11117800,14.596743
2013-07-22,15.68,15.83,15.45,15.64,6993700,14.652956
2013-07-23,15.66,15.83,15.54,15.78,3733900,14.78412
2013-07-24,15.84,15.9,15.68,15.76,2875600,14.765383
2013-07-25,15.7,15.84,15.65,15.67,3872900,14.681063
2013-07-26,15.6,15.88,15.51,15.87,3457000,14.868441
2013-07-29,16.84,17.43,16.41,16.610001,29257900,15.56174
2013-07-30,16.629999,16.83,16.620001,16.77,13964500,15.711642
2013-07-31,16.809999,16.860001,16.43,16.450001,7038100,15.411837
2013-08-01,16.59,16.73,16.43,16.5,6765700,15.458681
2013-08-02,16.48,16.6,16.34,16.4,4579700,15.364992
2013-08-05,16.34,16.540001,16.26,16.33,2617700,15.29941
2013-08-06,16.280001,16.370001,15.99,16.01,3679000,14.999605
2013-08-07,15.98,16.09,15.87,15.96,3801800,14.952761
2013-08-08,16.059999,16.09,15.93,16.01,2473700,14.999605
2013-08-09,15.96,16.219999,15.96,16.129999,2721900,15.112031
2013-08-12,16.02,16.379999,15.99,16.24,2665100,15.21509
2013-08-13,16.23,16.35,16.09,16.1,2387800,15.083926
2013-08-14,16.1,16.16,16.049999,16.07,2910700,15.055818
2013-08-15,15.94,16.040001,15.83,15.83,4007400,14.830965
2013-08-16,15.84,15.96,15.79,15.92,3183300,14.915285
2013-08-19,16.700001,16.700001,15.81,15.85,3350500,14.849703
2013-08-20,15.96,16.17,15.84,16.030001,2867200,15.018344
2013-08-21,16.0,16.129999,15.87,15.89,2433800,14.887179
2013-08-22,15.89,16.040001,15.87,16.0,1579000,14.990236
2013-08-23,16.0,16.030001,15.95,16.01,2691100,14.999605
2013-08-26,16.01,16.09,15.94,16.01,3605800,14.999605
2013-08-27,15.83,15.96,15.66,15.66,2496800,14.671694
2013-08-28,15.64,15.74,15.58,15.65,2598700,14.662325
2013-08-29,15.57,16.120001,15.52,15.89,3953100,14.958866
2013-08-30,15.88,15.9,15.6,15.72,3252000,14.798828
2013-09-03,15.96,16.209999,15.93,16.040001,3201400,15.100077
2013-09-04,16.02,16.18,15.99,16.17,2533800,15.222458
2013-09-05,16.120001,16.32,16.120001,16.139999,2037300,15.194215
2013-09-06,16.17,16.290001,15.97,16.16,2041600,15.213044
2013-09-09,16.190001,16.389999,16.15,16.299999,2409800,15.34484
2013-09-10,16.360001,16.65,16.360001,16.549999,1912000,15.58019
2013-09-11,16.540001,16.870001,16.540001,16.860001,3073600,15.872026
2013-09-12,16.82,16.950001,16.709999,16.73,2249400,15.749642
2013-09-13,16.799999,16.870001,16.68,16.860001,2365500,15.872026
2013-09-16,17.110001,17.129999,16.83,16.9,2439000,15.909681
2013-09-17,16.9,17.030001,16.82,16.92,1983000,15.928509
2013-09-18,16.969999,17.139999,16.91,17.02,3991200,16.02265
2013-09-19,17.120001,17.540001,17.09,17.51,7977400,16.483936
2013-09-20,17.52,17.549999,17.219999,17.280001,6409500,16.267414
2013-09-23,17.200001,17.24,16.91,17.07,4921100,16.069719
2013-09-24,17.049999,17.290001,17.049999,17.08,3461200,16.079133
2013-09-25,17.059999,17.290001,17.0,17.1,2499100,16.097962
2013-09-26,17.110001,17.280001,16.91,17.280001,2594600,16.267414
2013-09-27,17.219999,17.34,17.110001,17.15,2769800,16.145031
2013-09-30,17.0,17.23,16.92,17.18,2717600,16.173274
2013-10-01,16.83,17.25,16.83,17.15,2977100,16.145031
2013-10-02,17.049999,17.15,16.93,17.110001,3539200,16.107376
2013-10-03,17.040001,17.08,16.74,16.83,4251200,15.843783
2013-10-04,16.879999,17.049999,16.85,16.99,2523600,15.994407
2013-10-07,16.84,16.870001,16.73,16.74,2190400,15.759057
2013-10-08,16.77,16.780001,16.49,16.57,4365300,15.599018
2013-10-09,16.58,16.620001,16.27,16.4,4770200,15.43898
2013-10-10,16.540001,16.73,16.51,16.68,5106300,15.702573
2013-10-11,16.780001,16.940001,16.68,16.93,3705500,15.937923
2013-10-14,16.82,16.950001,16.559999,16.93,6345700,15.937923
2013-10-15,17.049999,17.23,16.790001,16.860001,7192300,15.872026
2013-10-16,16.940001,17.02,16.719999,17.01,5026300,16.013235
2013-10-17,16.940001,16.99,16.719999,16.889999,8194700,15.900266
2013-10-18,16.299999,16.42,15.82,16.040001,21954500,15.100077
2013-10-21,16.059999,16.059999,15.59,15.82,12691700,14.892967
2013-10-22,15.84,15.87,15.62,15.67,9918200,14.751758
2013-10-23,15.63,15.68,15.31,15.4,10634200,14.497579
2013-10-24,15.45,16.0,15.28,15.91,17054600,14.977694
2013-10-25,15.89,16.27,15.85,16.15,11803200,15.20363
2013-10-28,16.1,16.389999,16.09,16.34,7146000,15.382496
2013-10-29,16.34,16.690001,16.290001,16.620001,11113600,15.646089
2013-10-30,16.610001,16.700001,16.5,16.620001,6019000,15.646089
2013-10-31,16.610001,16.879999,16.52,16.799999,6716400,15.81554
2013-11-01,16.799999,16.98,16.790001,16.91,5141700,15.919095
2013-11-04,16.969999,17.0,16.84,16.889999,3782600,15.900266
2013-11-05,16.879999,16.889999,16.700001,16.74,4636800,15.759057
2013-11-06,16.85,17.1,16.83,17.0,5375100,16.003821
2013-11-07,17.049999,17.16,16.690001,16.700001,5105200,15.721401
2013-11-08,16.74,16.969999,16.68,16.940001,3392800,15.947338
2013-11-11,16.98,17.0,16.870001,16.940001,2399300,15.947338
2013-11-12,16.940001,17.02,16.82,16.85,2851100,15.862611
2013-11-13,16.74,17.049999,16.68,17.040001,3644200,16.041478
2013-11-14,17.059999,17.32,17.02,17.280001,4578300,16.267414
2013-11-15,16.85,17.190001,16.84,16.950001,6885200,15.956752
2013-11-18,17.030001,17.25,16.98,17.049999,4069000,16.05089
2013-11-19,17.01,17.26,16.99,17.030001,4402700,16.032064
2013-11-20,17.040001,17.17,16.93,16.959999,3006900,15.966164
2013-11-21,17.040001,17.299999,16.969999,17.299999,3259000,16.286241
2013-11-22,17.34,17.540001,17.299999,17.34,4262700,16.323898
2013-11-25,17.35,17.389999,17.059999,17.08,4215400,16.079133
2013-11-26,17.09,17.360001,17.059999,17.280001,4092700,16.267414
2013-11-27,17.290001,17.48,17.24,17.379999,3760900,16.432877
2013-11-29,17.33,17.52,17.290001,17.4,1460900,16.451787
2013-12-02,17.41,17.459999,17.200001,17.23,3201100,16.291051
2013-12-03,17.280001,17.280001,16.92,16.959999,4366500,16.035764
2013-12-04,16.85,17.15,16.719999,16.99,5499900,16.06413
2013-12-05,16.98,16.99,16.74,16.77,4453100,15.85612
2013-12-06,16.870001,16.969999,16.780001,16.879999,3685400,15.960124
2013-12-09,16.940001,17.120001,16.879999,17.110001,3540500,16.177592
2013-12-10,17.08,17.309999,17.030001,17.059999,3628100,16.130315
2013-12-11,17.059999,17.08,16.74,16.76,3183300,15.846664
2013-12-12,16.700001,16.879999,16.67,16.68,2955000,15.771024
2013-12-13,16.700001,16.809999,16.49,16.5,3619700,15.600833
2013-12-16,16.549999,16.67,16.43,16.43,4055800,15.534648
2013-12-17,16.43,16.58,16.309999,16.370001,3870700,15.477918
2013-12-18,16.42,16.84,16.299999,16.82,3959300,15.903394
2013-12-19,16.83,16.99,16.73,16.780001,3179000,15.865575
2013-12-20,16.85,16.969999,16.77,16.9,5970200,15.979035
2013-12-23,17.030001,17.049999,16.799999,17.0,3850700,16.073585
2013-12-24,16.959999,17.190001,16.959999,17.190001,855900,16.253232
2013-12-26,17.16,17.35,17.15,17.33,2314600,16.385602
2013-12-27,17.440001,17.49,17.32,17.42,1772500,16.470698
2013-12-30,17.379999,17.610001,17.370001,17.57,2531600,16.612523
2013-12-31,17.6,17.809999,17.559999,17.700001,3670800,16.73544
2014-01-02,17.6,17.67,17.469999,17.6,3238000,16.640889
2014-01-03,17.66,17.700001,17.6,17.620001,2434600,16.659799
2014-01-06,17.709999,17.709999,17.309999,17.370001,3587500,16.423423
2014-01-07,17.450001,17.57,17.379999,17.5,3100900,16.546338
2014-01-08,17.459999,17.540001,17.299999,17.52,4618000,16.565248
2014-01-09,17.530001,17.58,17.26,17.4,5339600,16.451787
2014-01-10,17.450001,17.639999,17.379999,17.629999,3907300,16.669253
2014-01-13,17.559999,17.610001,17.370001,17.41,4878800,16.461242
2014-01-14,17.440001,17.75,17.379999,17.74,3866800,16.773259
2014-01-15,17.719999,17.85,17.66,17.719999,2567400,16.754348
2014-01-16,17.67,17.700001,17.49,17.540001,3146500,16.584159
2014-01-17,17.549999,17.610001,17.41,17.459999,1582900,16.508517
2014-01-21,17.559999,17.73,17.450001,17.530001,2716300,16.574704
2014-01-22,17.530001,17.6,17.41,17.559999,2548400,16.603068
2014-01-23,17.42,17.42,17.18,17.209999,2734300,16.272141
2014-01-24,17.049999,17.08,16.67,16.790001,4154300,15.87503
2014-01-27,16.77,16.82,16.32,16.469999,5045900,15.572467
2014-01-28,16.559999,16.790001,16.549999,16.780001,3355400,15.865575
2014-01-29,16.629999,16.68,16.43,16.440001,3526200,15.544103
2014-01-30,16.6,16.700001,16.49,16.57,2757000,15.667018
2014-01-31,16.290001,16.49,16.209999,16.32,3920900,15.430642
2014-02-03,16.34,16.41,15.9,16.049999,5977800,15.175355
2014-02-04,16.08,16.530001,16.08,16.370001,5824900,15.477918
2014-02-05,16.280001,16.370001,16.120001,16.27,4887900,15.383367
2014-02-06,16.360001,16.700001,16.32,16.700001,5406500,15.789935
2014-02-07,16.74,16.809999,16.51,16.6,3535400,15.695384
2014-02-10,16.559999,16.73,16.4,16.6,3746800,15.695384
2014-02-11,16.690001,16.719999,16.49,16.549999,5358300,15.648107
2014-02-12,16.549999,16.969999,16.530001,16.959999,3212600,16.035764
2014-02-13,16.889999,17.139999,16.82,17.129999,3569300,16.1965
2014-02-14,17.0,17.049999,16.360001,16.48,9602000,15.581922
2014-02-18,16.540001,16.559999,16.290001,16.42,7921600,15.525193
2014-02-19,16.43,16.950001,16.4,16.700001,5617100,15.789935
2014-02-20,16.77,17.049999,16.719999,17.02,3963300,16.092496
2014-02-21,17.049999,17.08,16.83,16.84,2709700,15.922305
2014-02-24,16.889999,17.290001,16.85,17.17,3741600,16.234321
2014-02-25,17.139999,17.200001,16.98,17.190001,4005900,16.253232
2014-02-26,17.190001,17.23,17.040001,17.110001,3657100,16.177592
2014-02-27,17.059999,17.49,16.98,17.49,5977200,16.629213
2014-02-28,17.5,17.83,17.5,17.719999,4856200,16.847893
2014-03-03,17.5,17.5,17.049999,17.219999,4167300,16.372501
2014-03-04,17.450001,17.51,17.32,17.33,3017100,16.477088
2014-03-05,17.379999,17.43,17.200001,17.32,3566500,16.46758
2014-03-06,17.370001,17.65,17.35,17.59,4671600,16.724292
2014-03-07,17.639999,17.77,17.530001,17.75,2958500,16.876418
2014-03-10,17.700001,17.76,17.379999,17.459999,6234500,16.600689
2014-03-11,17.459999,17.6,17.309999,17.49,2962500,16.629213
2014-03-12,17.43,18.0,17.280001,17.459999,3058600,16.600689
2014-03-13,17.51,17.57,17.309999,17.389999,5290800,16.534135
2014-03-14,17.35,17.42,17.049999,17.1,3072400,16.258408
