Date,Open_IR,High_IR,Low_IR,Close_IR,Volume_IR,AdjClose_IR
2013-06-14,56.2,56.989998,56.030003,56.429993,2339100,42.769627
2013-06-17,57.06,57.119996,56.240004,56.6,2258100,42.898479
2013-06-18,56.680002,57.930001,56.500004,57.610004,2974800,43.663986
2013-06-19,57.689993,57.839993,56.570001,56.570001,2265600,42.875743
2013-06-20,56.289994,56.339999,54.929994,55.069993,2820800,41.738851
2013-06-21,55.450001,55.929993,54.730004,55.039995,2895600,41.716115
2013-06-24,54.529995,54.639996,53.389997,53.459999,3302700,40.518598
2013-06-25,54.090006,54.849992,53.949992,54.109998,2420200,41.011248
2013-06-26,54.669994,55.050001,54.370004,54.630004,2890400,41.405373
2013-06-27,55.130004,55.7,54.999996,55.490004,2642500,42.057188
2013-06-28,55.420003,55.710006,55.009997,55.520002,3430600,42.079924
2013-07-01,55.890004,56.699999,55.649996,56.229998,3009900,42.618046
2013-07-02,56.119997,56.329993,55.509997,55.689999,2848500,42.208768
2013-07-03,55.319993,56.210006,55.319993,55.969997,796000,42.420985
2013-07-05,56.739998,57.930001,56.619997,57.750003,2465800,43.770094
2013-07-08,57.940007,58.059994,57.180002,57.229997,2192200,43.375969
2013-07-09,57.67,58.370005,57.339998,58.029996,1242300,43.982307
2013-07-10,57.979992,58.409994,57.709999,57.989997,1234500,43.951991
2013-07-11,58.940001,59.489991,58.849997,59.020004,2346300,44.732658
2013-07-12,59.059993,59.410003,58.889996,59.090006,1603900,44.785714
2013-07-15,59.440001,59.58,58.910003,59.33,1644200,44.967611
2013-07-16,59.219999,59.33,57.989997,58.169995,2556300,44.088416
2013-07-17,58.409994,58.999997,58.409994,58.760003,1691400,44.535597
2013-07-18,58.969999,60.160002,58.879996,59.919994,2294400,45.414781
2013-07-19,61.920001,63.330001,60.639995,62.949994,4620000,47.71129
2013-07-22,63.349998,63.349998,61.500005,61.689994,3955900,46.756306
2013-07-23,61.970006,62.299994,60.710006,61.020002,3291200,46.248504
2013-07-24,61.439994,61.759996,60.490005,60.550001,3558800,45.892278
2013-07-25,60.329999,61.329993,60.279994,61.159996,2263700,46.354609
2013-07-26,60.7,61.179993,60.44,61.149995,2004300,46.347029
2013-07-29,60.95,61.35,60.859997,60.990004,1138900,46.225767
2013-07-30,61.460001,61.729998,60.969993,61.100005,1293100,46.30914
2013-07-31,61.269997,61.780002,60.999991,61.049995,1597500,46.271236
2013-08-01,61.780002,62.280002,61.719992,62.110005,2359200,47.074643
2013-08-02,61.710001,62.559995,61.339999,62.510005,2550000,47.377812
2013-08-05,62.239998,62.549994,61.799995,62.21,1538800,47.150431
2013-08-06,62.000004,62.000004,60.670002,60.880003,2321800,46.142395
2013-08-07,60.780003,61.549995,60.679994,61.310001,2307400,46.468301
2013-08-08,61.659996,61.759996,61.359991,61.579993,1777700,46.672934
2013-08-09,61.239999,61.369997,60.770002,61.009996,2510300,46.24092
2013-08-12,60.749996,61.680002,60.539995,61.369997,1893600,46.513773
2013-08-13,61.399995,62.089998,61.009996,62.019996,1836600,47.006423
2013-08-14,61.899995,62.199999,61.659996,61.970006,1556800,46.968534
2013-08-15,61.35,61.35,60.170003,60.240005,1629300,45.657325
2013-08-16,60.09,61.339999,60.09,60.929994,1950200,46.180284
2013-08-19,60.710006,61.009996,60.179994,60.240005,2252200,45.657325
2013-08-20,60.329999,60.44,59.889996,60.160002,2006200,45.596689
2013-08-21,59.969998,60.869997,59.880004,60.240005,2541600,45.657325
2013-08-22,60.530004,61.629998,60.389995,61.320002,1440100,46.475881
2013-08-23,61.519997,61.799995,61.079993,61.479998,1413800,46.597145
2013-08-26,61.479998,62.030002,61.140004,61.289994,1836800,46.453137
