Date,Open_KSS,High_KSS,Low_KSS,Close_KSS,Volume_KSS,AdjClose_KSS
2015-06-08,63.200001,63.310001,62.619999,62.709999,2402200,60.932178
2015-06-09,62.880001,63.040001,61.950001,62.049999,2320600,60.290889
2015-06-10,62.5,62.619999,61.700001,62.459999,2559500,60.689266
2015-06-11,62.900002,63.099998,62.32,62.41,1581800,60.640684
2015-06-12,62.09,62.869999,62.09,62.669998,1854800,60.893311
2015-06-15,62.25,62.990002,62.189999,62.599998,2225700,60.825296
2015-06-16,62.599998,62.970001,62.009998,62.080002,2282000,60.320041
2015-06-17,62.450001,63.189999,62.299999,62.759998,2701500,60.98076
2015-06-18,62.720001,63.349998,62.720001,63.200001,1301500,61.408289
2015-06-19,62.98,64.150002,62.98,63.810001,3551900,62.000996
2015-06-22,64.129997,64.470001,63.599998,63.650002,1649400,61.845532
2015-06-23,63.779999,64.589996,63.759998,63.900002,2112500,62.088444
2015-06-24,64.029999,64.559998,63.630001,63.990002,1690100,62.175893
2015-06-25,64.160004,64.5,63.34,63.360001,1420400,61.563752
2015-06-26,63.400002,63.849998,63.130001,63.369999,1957400,61.573467
2015-06-29,63.189999,63.450001,62.41,62.529999,2281100,60.757281
2015-06-30,62.990002,63.009998,62.43,62.610001,1652400,60.835015
2015-07-01,62.93,63.220001,62.0,62.82,2412000,61.03906
2015-07-02,63.110001,63.950001,62.959999,63.130001,1894800,61.340273
2015-07-06,62.5,63.16,62.459999,62.830002,2348200,61.048779
2015-07-07,63.150002,65.050003,62.959999,64.959999,3041200,63.118391
2015-07-08,64.449997,65.199997,64.25,64.589996,2726000,62.758878
2015-07-09,65.199997,65.199997,62.139999,62.68,4427500,60.90303
2015-07-10,63.709999,64.25,63.5,63.950001,1937100,62.137026
2015-07-13,64.349998,64.440002,63.73,64.07,1728400,62.253623
2015-07-14,63.889999,64.93,63.700001,64.769997,2574400,62.933775
2015-07-15,64.849998,64.849998,63.580002,64.0,2303300,62.185608
2015-07-16,64.169998,64.260002,63.650002,63.73,2263800,61.923262
2015-07-17,63.529999,63.73,62.25,62.259998,3069600,60.494935
2015-07-20,62.5,62.830002,62.259998,62.59,1995200,60.815581
2015-07-21,62.52,62.689999,61.990002,62.060001,2460200,60.300608
2015-07-22,62.119999,62.970001,62.119999,62.869999,1510800,61.087642
2015-07-23,62.740002,62.790001,61.77,61.869999,2169600,60.115992
2015-07-24,62.009998,62.119999,61.599998,61.880001,1740200,60.125711
2015-07-27,61.43,62.41,61.349998,61.779999,1685100,60.028543
2015-07-28,61.91,61.970001,61.200001,61.41,1609900,59.669034
2015-07-29,61.5,61.599998,60.560001,61.169998,3329100,59.435836
2015-07-30,61.150002,61.709999,61.049999,61.52,1768100,59.775916
2015-07-31,61.639999,62.0,61.119999,61.32,1457500,59.581585
2015-08-03,61.330002,61.470001,60.66,60.849998,1380300,59.124909
2015-08-04,61.110001,61.459999,60.849998,61.18,1414400,59.445555
2015-08-05,61.389999,62.02,60.740002,61.16,2382900,59.426121
2015-08-06,60.740002,60.990002,59.549999,60.349998,4066900,58.639083
2015-08-07,60.080002,60.77,59.139999,60.02,2252900,58.318441
2015-08-10,60.299999,61.73,60.299999,61.599998,2345100,59.853646
2015-08-11,61.27,61.59,60.790001,61.41,1907700,59.669034
2015-08-12,60.200001,64.18,59.07,61.5,5861900,59.756483
2015-08-13,56.93,57.66,54.52,56.110001,16453600,54.519289
2015-08-14,55.610001,55.950001,55.099998,55.540001,6049200,53.965449
2015-08-17,55.139999,55.799999,54.75,55.66,3121500,54.082046
2015-08-18,55.790001,55.900002,55.209999,55.450001,2688500,53.878
2015-08-19,55.25,55.560001,54.400002,54.740002,3448600,53.188129
2015-08-20,54.209999,54.41,53.549999,53.689999,5533400,52.167894
2015-08-21,53.23,53.790001,52.110001,52.299999,4478800,50.817301
2015-08-24,49.34,51.889999,49.27,50.43,6720300,49.000316
2015-08-25,51.34,51.400002,49.16,49.18,8454800,47.785753
2015-08-26,50.18,50.900002,49.09,50.860001,2779300,49.418126
2015-08-27,51.18,51.900002,50.439999,51.34,3155300,49.884517
2015-08-28,51.380001,52.07,51.18,51.720001,2671500,50.253746
2015-08-31,51.459999,51.91,50.77,51.029999,2713100,49.583305
2015-09-01,49.810001,51.32,49.810001,50.52,3185300,49.087765
2015-09-02,50.709999,50.990002,50.0,50.889999,2932600,49.447274
2015-09-03,51.099998,52.73,51.060001,51.540001,4513000,50.078848
2015-09-04,50.93,51.52,50.23,50.470001,2527300,49.471119
2015-09-08,51.110001,51.700001,50.73,51.66,2051000,50.637566
2015-09-09,51.84,52.330002,50.759998,50.860001,2227400,49.8534
2015-09-10,50.490002,51.259998,50.360001,50.84,1698700,49.833795
2015-09-11,50.34,50.759998,50.029999,50.740002,2120300,49.735776
2015-09-14,50.669998,51.119999,50.549999,50.740002,2057000,49.735776
2015-09-15,51.0,51.0,50.389999,50.470001,2609600,49.471119
2015-09-16,50.389999,51.950001,50.369999,51.849998,3417500,50.823804
2015-09-17,51.790001,52.220001,50.560001,50.669998,3213300,49.667158
2015-09-18,50.130001,50.57,49.009998,49.209999,6375700,48.236054
2015-09-21,49.669998,50.110001,49.080002,49.189999,3369100,48.21645
2015-09-22,48.91,49.049999,48.32,48.900002,1805400,47.932192
2015-09-23,49.080002,49.23,48.110001,48.52,2180700,47.559712
2015-09-24,48.169998,48.32,47.619999,47.84,2608500,46.89317
2015-09-25,48.330002,48.34,47.560001,47.700001,2947000,46.755941
2015-09-28,47.580002,47.93,46.09,46.110001,2849500,45.19741
2015-09-29,46.299999,47.529999,45.619999,46.27,5367000,45.354243
