Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2013-06-14,111.120003,112.449997,110.230003,110.599998,514600,106.690615
2013-06-17,111.599998,111.690002,109.080002,109.980003,581100,106.092535
2013-06-18,110.260002,112.410004,109.43,112.18,339900,108.214769
2013-06-19,112.089996,112.339996,110.410004,110.43,469400,106.526626
2013-06-20,109.139999,109.910004,107.830002,107.989998,909700,104.172871
2013-06-21,108.760002,108.959999,106.440002,107.07,1035600,103.285392
2013-06-24,104.959999,104.959999,102.029999,103.669998,936400,100.00557
2013-06-25,105.110001,107.099998,104.220001,106.739998,662700,102.967054
2013-06-26,107.489998,108.68,106.540001,107.870003,636700,104.057117
2013-06-27,108.709999,109.110001,106.959999,107.68,781000,103.873831
2013-06-28,107.419998,107.43,105.459999,105.959999,848200,102.214626
2013-07-01,108.290001,109.550003,107.449997,108.419998,722400,104.587672
2013-07-02,107.989998,110.080002,107.989998,109.989998,1133500,106.102177
2013-07-03,109.709999,110.68,109.050003,109.970001,575300,106.082887
2013-07-05,110.510002,113.07,110.510002,112.589996,657500,108.610273
2013-07-08,112.620003,113.309998,111.290001,112.510002,865300,108.533106
2013-07-09,112.949997,115.0,112.779999,114.949997,816400,110.886854
2013-07-10,114.459999,115.489998,111.449997,112.769997,1272500,108.783911
2013-07-11,114.199997,114.5,112.529999,113.269997,1141700,109.266237
2013-07-12,112.900002,115.199997,112.300003,113.809998,852200,109.787151
2013-07-15,114.010002,115.419998,113.919998,114.239998,821000,110.201952
2013-07-16,114.389999,115.419998,113.339996,113.779999,641400,109.758212
2013-07-17,114.480003,115.489998,113.540001,114.019997,506600,109.989727
2013-07-18,114.160004,116.93,113.900002,116.870003,728600,112.738994
2013-07-19,117.449997,118.300003,114.949997,118.300003,1111800,114.118448
2013-07-22,118.68,118.68,115.489998,115.82,718400,111.726105
2013-07-23,115.959999,116.309998,113.239998,113.25,1111000,109.246947
2013-07-24,113.32,113.57,110.629997,110.809998,1162900,106.893192
2013-07-25,110.599998,111.470001,108.800003,110.230003,1082700,106.333699
2013-07-26,110.129997,110.559998,108.540001,110.129997,1022500,106.237227
2013-07-29,109.739998,110.120003,108.019997,108.169998,769100,104.346508
2013-07-30,108.730003,108.860001,107.360001,107.889999,654600,104.076407
2013-07-31,108.040001,109.190002,107.190002,107.75,731100,103.941356
2013-08-01,109.470001,112.050003,109.32,110.709999,1082200,106.796728
2013-08-02,110.709999,111.57,109.580002,110.059998,923300,106.169702
2013-08-05,110.059998,110.82,108.459999,108.889999,818300,105.04106
