Date,Open_L,High_L,Low_L,Close_L,Volume_L,AdjClose_L
2013-06-14,44.919998,45.150002,44.509998,44.580002,574400,43.770796
2013-06-17,44.830002,45.099998,44.549999,44.869999,844800,44.055529
2013-06-18,44.950001,45.169998,44.880001,45.169998,734600,44.350083
2013-06-19,45.18,45.330002,44.650002,44.650002,659100,43.839525
2013-06-20,44.34,44.419998,43.470001,43.580002,1122900,42.788948
2013-06-21,43.900002,43.959999,43.119999,43.580002,1410100,42.788948
2013-06-24,43.240002,43.540001,42.849998,43.220001,931900,42.435482
2013-06-25,43.779999,43.98,43.369999,43.849998,1058800,43.054044
2013-06-26,44.09,44.32,43.82,43.970001,649500,43.171868
2013-06-27,44.32,44.580002,44.200001,44.509998,517000,43.702064
2013-06-28,44.349998,44.610001,44.110001,44.400002,1285400,43.594063
2013-07-01,44.830002,44.880001,44.529999,44.68,744500,43.86898
2013-07-02,44.599998,45.009998,44.400002,44.5,712800,43.692247
2013-07-03,44.209999,44.369999,44.029999,44.259998,503300,43.456601
2013-07-05,44.560001,44.880001,44.389999,44.869999,559200,44.055529
2013-07-08,44.990002,45.130001,44.869999,44.990002,1064100,44.173354
2013-07-09,45.299999,45.389999,45.049999,45.27,1387300,44.44827
2013-07-10,45.27,45.43,44.860001,45.0,997700,44.183171
2013-07-11,45.57,45.57,45.16,45.450001,909000,44.625003
2013-07-12,45.470001,45.709999,45.32,45.68,746300,44.850828
2013-07-15,45.669998,45.84,45.52,45.810001,621500,44.978469
2013-07-16,45.759998,45.919998,45.470001,45.66,600800,44.83119
2013-07-17,45.799999,46.040001,45.66,45.990002,744800,45.155202
2013-07-18,46.110001,46.360001,46.029999,46.34,969400,45.498848
2013-07-19,46.369999,46.529999,46.200001,46.509998,884700,45.66576
2013-07-22,46.52,46.790001,46.5,46.759998,494000,45.911222
2013-07-23,46.91,46.91,46.389999,46.43,652100,45.587214
2013-07-24,46.5,46.509998,46.029999,46.16,615700,45.322115
2013-07-25,46.0,46.209999,45.860001,46.119999,520900,45.28284
2013-07-26,45.889999,46.060001,45.540001,46.049999,700900,45.214111
2013-07-29,46.849998,47.0,45.720001,46.060001,704800,45.223931
2013-07-30,46.220001,46.290001,45.580002,45.75,681300,44.919557
2013-07-31,45.779999,45.939999,45.490002,45.549999,744500,44.723187
2013-08-01,45.880001,46.669998,45.830002,46.57,830700,45.724672
2013-08-02,46.389999,46.509998,46.02,46.290001,574700,45.449756
2013-08-05,46.209999,46.290001,45.939999,46.119999,580000,45.28284
2013-08-06,46.02,46.080002,45.68,45.919998,486200,45.086469
2013-08-07,45.799999,45.889999,45.5,45.650002,549900,44.821374
2013-08-08,45.880001,46.110001,45.630001,46.029999,724200,45.194473
2013-08-09,46.0,46.23,45.939999,46.18,581600,45.341752
2013-08-12,45.919998,46.470001,45.900002,46.419998,900000,45.577393
2013-08-13,46.630001,47.299999,46.529999,47.200001,1107500,46.343238
2013-08-14,47.07,47.709999,47.009998,47.529999,1137500,46.667246
2013-08-15,47.16,47.509998,46.939999,46.970001,805000,46.117413
2013-08-16,46.73,46.950001,46.290001,46.41,805600,45.567577
2013-08-19,46.34,46.439999,45.669998,45.669998,535700,44.841007
2013-08-20,45.639999,45.830002,45.369999,45.77,603700,44.939194
2013-08-21,45.639999,45.889999,45.34,45.560001,967900,44.733007
2013-08-22,45.630001,46.060001,45.619999,45.93,407200,45.09629
2013-08-23,45.970001,46.09,45.650002,45.950001,468000,45.115927
2013-08-26,45.950001,46.150002,45.790001,45.869999,930800,45.037378
2013-08-27,45.419998,45.560001,44.970001,45.07,697400,44.2519
2013-08-28,45.049999,45.310001,44.91,45.009998,690500,44.254848
2013-08-29,45.0,45.119999,44.450001,44.599998,837000,43.851727
2013-08-30,44.599998,44.68,44.23,44.459999,748400,43.714076
2013-09-03,44.93,45.119999,44.09,44.529999,636000,43.782901
2013-09-04,44.759998,45.130001,44.700001,44.970001,1022100,44.215522
2013-09-05,44.939999,45.02,44.349998,44.810001,826300,44.058206
2013-09-06,45.0,45.0,44.330002,44.689999,981100,43.940217
2013-09-09,44.860001,45.48,44.810001,45.48,556100,44.716964
2013-09-10,45.759998,45.84,45.43,45.73,677400,44.962769
2013-09-11,45.75,46.110001,45.73,46.110001,589300,45.336395
2013-09-12,46.07,46.119999,45.830002,46.02,552600,45.247905
2013-09-13,46.16,46.32,45.950001,46.23,766500,45.454381
2013-09-16,46.799999,47.02,46.459999,47.0,948300,46.211462
2013-09-17,47.130001,47.32,46.93,47.299999,755200,46.506428
2013-09-18,47.299999,47.549999,47.029999,47.419998,1368900,46.624414
2013-09-19,47.57,47.790001,47.48,47.599998,695300,46.801394
2013-09-20,47.709999,47.939999,47.310001,47.439999,1330400,46.644079
2013-09-23,47.150002,47.380001,47.040001,47.099998,822100,46.309783
2013-09-24,47.139999,47.48,47.110001,47.16,604700,46.368778
2013-09-25,47.16,47.310001,47.080002,47.16,682100,46.368778
2013-09-26,47.200001,47.490002,47.099998,47.34,469900,46.545758
2013-09-27,47.0,47.150002,46.849998,46.950001,516600,46.162302
2013-09-30,46.66,46.959999,46.610001,46.740002,804900,45.955826
2013-10-01,46.810001,47.220001,46.77,47.16,622500,46.368778
2013-10-02,46.790001,47.119999,46.580002,47.049999,792400,46.260623
2013-10-03,46.790001,46.970001,46.130001,46.209999,1311000,45.434716
2013-10-04,46.23,47.110001,46.23,47.060001,713800,46.270457
2013-10-07,46.639999,47.16,46.630001,46.860001,653500,46.073812
2013-10-08,46.84,47.040001,46.16,46.169998,821700,45.395386
2013-10-09,46.240002,46.650002,46.099998,46.490002,983400,45.710021
2013-10-10,47.099998,48.130001,47.02,48.130001,1281300,47.322505
2013-10-11,48.119999,48.619999,47.950001,48.330002,956700,47.51915
2013-10-14,48.0,48.66,47.939999,48.560001,415800,47.745291
2013-10-15,48.400002,48.52,47.98,48.060001,617500,47.25368
