Date,Open_LEG,High_LEG,Low_LEG,Close_LEG,Volume_LEG,AdjClose_LEG
2015-06-08,47.959999,48.34,47.799999,48.130001,1002700,46.805552
2015-06-09,48.23,48.419998,47.939999,48.0,820100,46.679129
2015-06-10,48.209999,49.389999,48.209999,49.27,1478600,47.914181
2015-06-11,49.200001,49.709999,49.0,49.25,2462200,48.197986
2015-06-12,49.040001,49.16,48.799999,48.880001,1040600,47.83589
2015-06-15,48.639999,48.689999,48.150002,48.189999,722200,47.160627
2015-06-16,48.259998,48.529999,48.07,48.220001,1083200,47.189988
2015-06-17,48.360001,48.66,48.169998,48.459999,1147900,47.42486
2015-06-18,48.619999,49.009998,48.330002,48.98,1213900,47.933753
2015-06-19,48.860001,49.310001,48.860001,49.09,1452400,48.041404
2015-06-22,49.369999,49.599998,49.200001,49.52,627800,48.462219
2015-06-23,49.549999,49.950001,49.34,49.43,672300,48.374141
2015-06-24,49.5,49.740002,49.16,49.209999,766200,48.158839
2015-06-25,49.32,49.610001,49.209999,49.209999,619300,48.158839
2015-06-26,49.41,49.810001,49.16,49.720001,1739100,48.657947
2015-06-29,49.360001,49.779999,48.75,48.779999,869700,47.738024
2015-06-30,49.060001,49.200001,48.52,48.68,925900,47.640162
2015-07-01,49.27,49.490002,49.060001,49.439999,1466200,48.383926
2015-07-02,49.560001,49.709999,48.91,49.200001,619200,48.149055
2015-07-06,48.939999,49.490002,48.73,49.18,860700,48.129481
2015-07-07,49.119999,49.5,48.68,49.459999,885200,48.403499
2015-07-08,49.060001,49.330002,48.529999,48.639999,497800,47.601015
2015-07-09,49.450001,49.68,49.060001,49.169998,902400,48.119693
2015-07-10,49.650002,50.18,49.419998,50.02,752900,48.951538
2015-07-13,50.529999,50.82,50.330002,50.75,727800,49.665945
2015-07-14,50.93,50.98,50.52,50.799999,486200,49.714876
2015-07-15,50.77,50.990002,50.470001,50.970001,846000,49.881247
2015-07-16,51.279999,51.279999,50.639999,51.0,763000,49.910605
2015-07-17,51.040001,51.130001,50.369999,50.639999,499000,49.558294
2015-07-20,50.75,50.799999,50.450001,50.630001,538900,49.548509
2015-07-21,50.59,50.66,50.040001,50.310001,528300,49.235345
2015-07-22,50.369999,51.060001,50.27,50.799999,575900,49.714876
2015-07-23,50.869999,50.970001,50.330002,50.380001,543400,49.303849
2015-07-24,50.27,50.490002,49.57,49.66,826600,48.599228
2015-07-27,49.560001,49.630001,48.630001,48.779999,967700,47.738024
2015-07-28,49.029999,49.52,48.720001,49.470001,1520000,48.413288
2015-07-29,49.419998,49.990002,49.369999,49.790001,703100,48.726452
2015-07-30,49.52,50.27,49.470001,50.220001,849900,49.147267
2015-07-31,50.049999,50.049999,47.259998,47.810001,3180800,46.788746
2015-08-03,47.740002,48.299999,47.599998,47.959999,1253800,46.93554
2015-08-04,51.009998,51.009998,47.5,47.669998,910700,46.651734
2015-08-05,48.110001,48.18,47.700001,47.959999,882400,46.93554
2015-08-06,47.790001,48.27,47.27,47.330002,699400,46.319
2015-08-07,47.360001,47.549999,47.009998,47.509998,725400,46.495152
2015-08-10,47.98,48.189999,47.82,48.040001,743800,47.013833
2015-08-11,47.52,48.029999,47.459999,47.689999,1202500,46.671307
2015-08-12,47.23,47.84,46.880001,47.73,1208900,46.710454
2015-08-13,47.880001,48.470001,47.66,48.099998,691400,47.072549
2015-08-14,47.990002,48.639999,47.91,48.59,609900,47.552084
2015-08-17,48.220001,48.709999,48.0,48.689999,617900,47.649946
2015-08-18,48.66,49.25,48.57,49.189999,697300,48.139266
2015-08-19,48.990002,49.599998,48.549999,49.419998,1005600,48.364353
2015-08-20,48.889999,48.93,47.970001,48.049999,933600,47.023618
2015-08-21,47.599998,48.189999,46.68,47.080002,3509800,46.07434
2015-08-24,44.639999,47.07,39.580002,45.32,2169600,44.351933
2015-08-25,46.43,46.43,44.02,44.02,1494100,43.079703
2015-08-26,44.709999,44.709999,42.740002,43.66,2817500,42.727392
2015-08-27,44.200001,44.299999,42.919998,43.75,2182100,42.81547
2015-08-28,43.869999,44.330002,43.509998,44.139999,965200,43.197138
2015-08-31,45.110001,45.110001,44.389999,44.419998,1137800,43.471156
2015-09-01,43.57,43.799999,43.049999,43.240002,952100,42.316365
2015-09-02,43.709999,43.93,43.099998,43.919998,1067700,42.981836
2015-09-03,44.049999,44.549999,43.77,43.860001,997000,42.92312
2015-09-04,43.299999,43.52,42.669998,42.950001,1646300,42.032559
2015-09-08,43.700001,44.240002,43.450001,44.18,1180800,43.236285
2015-09-09,44.650002,44.790001,43.849998,43.939999,1258800,43.00141
2015-09-10,43.939999,44.380001,43.540001,44.220001,1152200,43.275431
2015-09-11,43.970001,44.389999,43.73,44.060001,1067300,43.433153
2015-09-14,44.060001,44.200001,43.610001,43.799999,858100,43.17685
2015-09-15,43.93,44.27,43.549999,44.040001,1437300,43.413437
2015-09-16,44.02,44.139999,43.650002,44.080002,939500,43.452869
2015-09-17,44.099998,44.93,43.880001,44.259998,814100,43.630305
2015-09-18,43.740002,44.23,43.32,43.529999,1915700,42.910691
2015-09-21,43.860001,44.169998,43.470001,43.630001,510800,43.00927
2015-09-22,43.150002,43.27,42.5,42.720001,831000,42.112217
2015-09-23,42.880001,42.900002,42.360001,42.48,722300,41.87563
2015-09-24,42.099998,42.200001,40.740002,41.18,2068000,40.594126
2015-09-25,41.529999,42.209999,41.330002,41.700001,1069900,41.106729
2015-09-28,41.41,41.459999,40.529999,40.720001,1186200,40.140672
2015-09-29,40.700001,41.099998,40.330002,40.68,975900,40.10124
2015-09-30,41.130001,41.299999,40.689999,41.25,963400,40.66313
2015-10-01,41.209999,41.709999,40.830002,41.650002,1320500,41.057441
2015-10-02,41.259998,42.139999,40.990002,42.139999,997900,41.540467
2015-10-05,42.400002,42.880001,42.299999,42.68,1804600,42.072785
2015-10-06,42.689999,43.029999,42.349998,42.57,994900,41.96435
2015-10-07,42.860001,43.52,42.639999,43.419998,1268800,42.802255
2015-10-08,43.279999,43.950001,42.900002,43.869999,764900,43.245854
2015-10-09,44.02,44.02,43.509998,43.790001,901300,43.166994
2015-10-12,43.790001,44.369999,43.740002,44.299999,775800,43.669736
2015-10-13,44.0,44.209999,43.240002,43.369999,662500,42.752967
2015-10-14,43.419998,43.630001,42.77,42.93,556400,42.319229
2015-10-15,43.07,43.439999,42.540001,43.419998,635100,42.802255
2015-10-16,43.48,43.990002,43.330002,43.84,809400,43.216282
2015-10-19,43.77,43.91,43.5,43.75,607600,43.127562
2015-10-20,43.740002,44.099998,43.59,43.860001,543100,43.235998
2015-10-21,44.09,44.27,43.240002,43.34,699100,42.723395
2015-10-22,43.540001,44.400002,43.450001,44.310001,882800,43.679596
2015-10-23,44.529999,44.82,43.77,44.150002,1191100,43.521873
2015-10-26,44.18,44.830002,43.91,44.740002,671200,44.103479
2015-10-27,44.540001,44.73,44.029999,44.389999,603600,43.758456
2015-10-28,44.529999,45.060001,44.23,45.0,695000,44.359778
2015-10-29,44.73,44.880001,44.25,44.639999,902700,44.004899
2015-10-30,45.52,47.200001,44.290001,45.029999,2820300,44.38935
2015-11-02,45.189999,45.880001,45.009998,45.849998,815100,45.197684
2015-11-03,45.75,46.34,45.529999,46.209999,740300,45.552562
2015-11-04,46.880001,46.880001,45.790001,46.07,762400,45.414555
2015-11-05,46.16,46.380001,45.75,46.32,805600,45.660998
2015-11-06,46.139999,46.389999,45.720001,46.259998,951000,45.60185
2015-11-09,46.16,46.18,45.259998,45.650002,671900,45.000532
2015-11-10,45.5,46.080002,45.299999,46.040001,637000,45.384983
2015-11-11,46.150002,46.360001,45.860001,46.09,548600,45.434271
2015-11-12,45.549999,45.669998,45.080002,45.130001,779900,44.48793
2015-11-13,44.990002,45.080002,44.029999,44.099998,638200,43.472581
2015-11-16,44.110001,44.73,43.84,44.68,558400,44.044331
2015-11-17,44.900002,45.009998,44.299999,44.389999,794800,43.758456
2015-11-18,44.400002,45.139999,44.220001,45.049999,1184100,44.409066
