Date,Open_LM,High_LM,Low_LM,Close_LM,Volume_LM,AdjClose_LM
2013-06-14,33.34,33.360001,32.529999,32.619999,1037400,31.083622
2013-06-17,32.900002,33.869999,32.900002,33.18,2232300,31.617248
2013-06-18,33.290001,33.759998,33.130001,33.580002,1470100,31.99841
2013-06-19,33.599998,33.740002,32.23,32.259998,3235700,30.740577
2013-06-20,31.9,31.959999,30.620001,30.690001,3835500,29.244525
2013-06-21,30.950001,31.08,30.35,30.530001,3040500,29.092061
2013-06-24,30.09,30.32,29.280001,29.959999,2694900,28.548906
2013-06-25,30.370001,30.870001,30.200001,30.719999,1711500,29.273111
2013-06-26,30.969999,31.370001,30.85,30.85,1458500,29.396989
2013-06-27,31.08,31.49,30.870001,31.4,2056200,29.921084
2013-06-28,31.200001,31.200001,30.59,31.01,2652700,29.549453
2013-07-01,31.09,31.67,31.0,31.309999,2112100,29.835323
2013-07-02,31.290001,31.709999,31.139999,31.299999,1480000,29.825793
2013-07-03,31.08,31.35,30.9,30.969999,658600,29.511336
2013-07-05,31.32,31.32,30.280001,31.0,2077800,29.539924
2013-07-08,31.139999,31.35,30.559999,30.629999,1632300,29.18735
2013-07-09,30.92,31.9,30.610001,31.68,1938700,30.187897
2013-07-10,31.690001,31.799999,31.4,31.57,1231100,30.083077
2013-07-11,32.240002,33.23,32.220001,32.75,3397100,31.2075
2013-07-12,32.73,32.880001,32.400002,32.639999,1151800,31.10268
2013-07-15,32.650002,33.169998,32.450001,32.880001,1203400,31.331378
2013-07-16,32.889999,33.07,32.73,32.740002,1003500,31.197973
2013-07-17,32.849998,33.529999,32.75,33.380001,1513200,31.807829
2013-07-18,33.599998,33.93,33.549999,33.810001,1448700,32.217576
2013-07-19,33.759998,34.27,33.400002,34.18,1385300,32.570149
2013-07-22,34.16,34.650002,34.139999,34.619999,1364600,32.989424
2013-07-23,34.639999,35.0,34.549999,34.880001,1528300,33.23718
2013-07-24,34.75,34.939999,33.799999,34.029999,2215300,32.427212
2013-07-25,34.48,35.849998,34.48,34.900002,3365400,33.256238
2013-07-26,34.650002,35.040001,34.48,35.040001,1575900,33.389644
2013-07-29,34.869999,35.119999,34.549999,34.709999,1115600,33.075185
2013-07-30,34.939999,35.0,34.299999,34.470001,1725900,32.846491
2013-07-31,34.540001,34.869999,34.32,34.389999,1520800,32.770257
2013-08-01,34.869999,35.150002,34.75,34.950001,1303900,33.303883
2013-08-02,34.759998,34.970001,34.630001,34.75,790500,33.113302
2013-08-05,34.66,34.860001,34.529999,34.669998,808600,33.037068
2013-08-06,34.529999,34.869999,34.049999,34.099998,1015100,32.493915
2013-08-07,34.0,34.0,33.419998,33.540001,1742000,31.960293
2013-08-08,33.709999,33.799999,33.259998,33.459999,1276100,31.884059
2013-08-09,33.439999,33.790001,33.439999,33.59,791500,32.007937
2013-08-12,33.369999,33.779999,33.369999,33.529999,1111900,31.950762
2013-08-13,33.599998,34.060001,33.380001,33.740002,1057800,32.150873
2013-08-14,33.66,34.32,33.66,34.0,1531400,32.398626
2013-08-15,33.52,33.52,32.849998,33.029999,1828200,31.474311
2013-08-16,32.91,33.060001,32.470001,32.759998,1758800,31.217028
2013-08-19,32.599998,32.700001,32.18,32.259998,1570500,30.740577
2013-08-20,32.27,32.880001,32.110001,32.689999,947100,31.150325
2013-08-21,32.580002,33.009998,32.34,32.66,1397900,31.121739
2013-08-22,32.830002,33.450001,32.720001,33.299999,795700,31.731595
2013-08-23,33.389999,33.470001,33.0,33.389999,690700,31.817356
2013-08-26,33.419998,33.700001,33.299999,33.310001,829300,31.741126
2013-08-27,32.939999,33.07,32.540001,32.59,1406700,31.055036
2013-08-28,32.549999,32.889999,32.380001,32.549999,1131700,31.016919
2013-08-29,32.360001,33.419998,32.310001,33.040001,911900,31.483842
2013-08-30,33.09,33.139999,32.419998,32.52,721300,30.988333
2013-09-03,33.02,33.360001,32.509998,32.799999,673400,31.255144
2013-09-04,32.919998,33.799999,32.830002,33.349998,1398700,31.779239
2013-09-05,33.279999,33.630001,33.18,33.240002,815100,31.674423
2013-09-06,33.34,33.68,32.68,33.490002,1105300,31.912648
2013-09-09,33.610001,34.23,33.27,34.060001,1993900,32.455801
2013-09-10,34.299999,34.939999,34.299999,34.860001,1160400,33.218121
2013-09-11,34.84,34.93,34.139999,34.389999,1351300,32.770257
2013-09-12,34.5,34.57,33.860001,34.0,1568300,32.398626
2013-09-13,34.0,34.080002,33.639999,33.990002,771900,32.389099
2013-09-16,34.59,34.650002,34.150002,34.27,1205400,32.65591
2013-09-17,34.240002,34.830002,34.209999,34.52,1126100,32.894135
2013-09-18,34.459999,35.029999,34.32,34.84,1104300,33.199063
2013-09-19,34.939999,35.330002,34.91,34.919998,1232400,33.275293
2013-09-20,35.029999,35.259998,34.389999,34.549999,1800400,32.922721
2013-09-23,34.400002,34.509998,34.040001,34.139999,727800,32.532032
2013-09-24,34.200001,34.509998,33.959999,34.080002,788800,32.47486
2013-09-25,34.029999,34.299999,33.740002,34.080002,973300,32.47486
2013-09-26,34.09,34.369999,33.919998,34.16,575100,32.55109
2013-09-27,33.919998,33.970001,33.68,33.889999,833100,32.293806
2013-09-30,33.43,33.689999,33.259998,33.439999,1151000,31.865
2013-10-01,33.360001,33.849998,33.290001,33.799999,1106200,32.333744
2013-10-02,33.599998,33.970001,33.490002,33.959999,930600,32.486803
2013-10-03,33.919998,34.049999,33.209999,33.57,1377000,32.113722
2013-10-04,33.650002,34.119999,33.540001,34.060001,959100,32.582468
2013-10-07,33.68,34.02,33.459999,33.68,912100,32.218951
2013-10-08,33.619999,33.759998,32.59,32.599998,1193200,31.1858
2013-10-09,32.639999,33.110001,32.439999,32.990002,1168300,31.558885
2013-10-10,33.639999,34.490002,33.599998,34.419998,1690900,32.926848
2013-10-11,34.330002,34.939999,34.209999,34.689999,868100,33.185135
2013-10-14,34.400002,35.130001,34.25,35.040001,675400,33.519954
2013-10-15,35.150002,35.400002,34.849998,35.110001,1629400,33.586918
2013-10-16,35.349998,35.84,35.200001,35.549999,1290200,34.007829
2013-10-17,35.389999,36.310001,35.299999,36.240002,1153900,34.667899
2013-10-18,36.419998,36.91,36.330002,36.75,1239400,35.155773
2013-10-21,36.849998,37.040001,36.490002,36.560001,1724600,34.974017
2013-10-22,36.790001,37.060001,36.48,36.869999,822500,35.270567
2013-10-23,36.700001,36.82,36.310001,36.439999,972600,34.85922
2013-10-24,36.48,37.139999,36.279999,36.869999,1368200,35.270567
2013-10-25,36.91,38.360001,36.91,37.91,1977700,36.265452
2013-10-28,38.0,38.419998,37.720001,38.279999,1262600,36.6194
2013-10-29,38.41,39.02,38.369999,38.990002,1061400,37.298603
2013-10-30,39.0,39.389999,38.639999,38.709999,2020300,37.030747
2013-10-31,38.48,38.93,38.27,38.470001,1466300,36.80116
2013-11-01,38.560001,38.740002,38.209999,38.610001,937800,36.935086
2013-11-04,38.709999,39.07,38.630001,38.939999,968400,37.250769
2013-11-05,38.880001,39.139999,38.73,39.049999,837900,37.355998
2013-11-06,39.189999,39.450001,39.009998,39.32,777700,37.614286
2013-11-07,39.380001,39.5,38.470001,38.580002,1511000,36.906389
2013-11-08,38.779999,39.560001,38.689999,39.549999,1221500,37.834308
2013-11-11,39.470001,40.66,39.189999,40.060001,1666600,38.322186
2013-11-12,39.790001,40.130001,39.34,39.439999,1349700,37.729079
2013-11-13,39.290001,39.650002,39.23,39.599998,1110700,37.882138
2013-11-14,39.790001,39.990002,39.41,39.700001,1483400,37.977802
2013-11-15,39.639999,39.880001,39.490002,39.52,1120900,37.80561
2013-11-18,39.669998,39.959999,39.189999,39.299999,1456100,37.595153
2013-11-19,39.27,39.439999,38.919998,39.0,1150700,37.308168
2013-11-20,39.049999,39.189999,38.639999,38.73,1428600,37.04988
2013-11-21,38.959999,39.52,38.880001,39.290001,1760500,37.585588
2013-11-22,39.330002,39.41,38.959999,39.150002,1033600,37.451662
2013-11-25,39.23,39.389999,39.060001,39.169998,1031500,37.470791
2013-11-26,39.18,39.450001,38.93,38.959999,1335300,37.269902
2013-11-27,39.009998,39.369999,38.950001,39.32,1235400,37.614286
2013-11-29,39.349998,39.669998,39.099998,39.110001,666000,37.413396
2013-12-02,39.139999,40.060001,39.139999,39.860001,1585700,38.130861
2013-12-03,39.720001,39.919998,38.82,39.080002,952500,37.384699
2013-12-04,38.860001,39.459999,38.490002,38.889999,720000,37.202939
2013-12-05,38.709999,38.810001,38.150002,38.490002,1105800,36.820293
2013-12-06,39.09,40.07,39.060001,39.900002,1701200,38.169127
2013-12-09,39.880001,40.209999,39.52,40.200001,1618900,38.581816
2013-12-10,40.0,41.27,39.939999,40.799999,2889400,39.157663
2013-12-11,40.810001,41.34,40.52,40.599998,2677800,38.965713
2013-12-12,40.549999,40.900002,40.310001,40.630001,1582400,38.994508
2013-12-13,40.759998,41.509998,40.630001,41.380001,1226100,39.714318
2013-12-16,41.57,42.400002,41.540001,42.040001,1599900,40.34775
2013-12-17,42.099998,42.73,41.990002,42.509998,2269700,40.798829
2013-12-18,42.52,43.490002,42.470001,43.419998,3023900,41.672198
2013-12-19,43.290001,43.66,43.029999,43.369999,1878300,41.624212
2013-12-20,43.419998,43.759998,43.369999,43.470001,2043700,41.720188
2013-12-23,43.810001,44.080002,43.759998,43.889999,1092200,42.12328
2013-12-24,43.880001,44.0,43.799999,43.880001,282200,42.113684
2013-12-26,44.0,44.09,43.73,43.779999,700300,42.017708
2013-12-27,43.939999,43.990002,43.549999,43.68,652900,41.921734
2013-12-30,43.630001,43.939999,43.360001,43.470001,671300,41.720188
2013-12-31,43.450001,43.709999,43.349998,43.48,831600,41.729784
2014-01-02,43.43,43.5,42.68,43.07,863800,41.336288
2014-01-03,43.049999,43.68,43.049999,43.580002,1146300,41.825761
2014-01-06,43.900002,44.040001,43.380001,43.5,804500,41.74898
2014-01-07,43.98,44.27,43.73,44.080002,1493400,42.305634
2014-01-08,44.099998,44.220001,43.650002,43.740002,1235000,41.97932
2014-01-09,44.0,44.349998,43.860001,43.939999,2173200,42.171267
2014-01-10,44.110001,44.169998,43.459999,43.849998,1947300,42.08489
2014-01-13,44.310001,44.560001,43.099998,43.259998,2771900,41.518639
2014-01-14,43.459999,44.040001,43.400002,43.939999,4161700,42.171267
2014-01-15,44.099998,44.32,43.439999,43.860001,2930700,42.094489
2014-01-16,43.880001,44.25,43.759998,44.25,2087200,42.46879
2014-01-17,44.040001,44.200001,43.580002,43.91,2183800,42.142476
2014-01-21,44.189999,44.5,43.82,44.200001,1286300,42.420803
2014-01-22,44.43,45.75,44.43,45.5,2055900,43.668473
2014-01-23,45.060001,45.18,43.619999,43.939999,1335900,42.171267
2014-01-24,43.419998,43.470001,42.169998,42.23,1508500,40.530101
2014-01-27,42.330002,42.349998,40.950001,41.349998,1867200,39.685523
2014-01-28,41.580002,42.860001,41.52,42.860001,2110100,41.134742
2014-01-29,42.259998,42.900002,42.240002,42.57,1549000,40.856415
2014-01-30,43.110001,43.529999,42.810001,43.299999,1655100,41.55703
2014-01-31,42.27,42.720001,41.25,42.349998,1693200,40.64527
2014-02-03,42.189999,42.32,40.09,40.09,1827700,38.476244
2014-02-04,40.169998,40.75,39.889999,40.669998,1987300,39.032895
2014-02-05,40.349998,40.490002,39.599998,39.990002,1697000,38.38027
2014-02-06,40.259998,41.25,40.25,41.16,1123200,39.503172
2014-02-07,41.43,41.970001,41.360001,41.849998,1359900,40.165396
2014-02-10,42.0,42.57,41.869999,42.259998,1361800,40.558892
2014-02-11,42.34,42.73,42.16,42.43,1942500,40.722051
2014-02-12,42.66,44.099998,42.66,44.060001,2409600,42.286439
2014-02-13,43.619999,44.799999,43.5,44.66,1629300,42.862286
2014-02-14,44.610001,44.779999,44.049999,44.080002,759000,42.305634
2014-02-18,43.959999,44.57,43.959999,44.400002,722900,42.612753
2014-02-19,44.16,44.900002,43.860001,43.900002,1052900,42.13288
2014-02-20,43.93,44.32,43.529999,44.189999,951100,42.411204
2014-02-21,44.189999,44.48,43.880001,44.029999,858400,42.257644
2014-02-24,44.119999,45.380001,44.119999,44.919998,952300,43.111818
2014-02-25,44.889999,45.110001,44.290001,44.540001,727100,42.747117
2014-02-26,44.82,45.049999,44.07,44.279999,1065200,42.497581
