Date,Open_M,High_M,Low_M,Close_M,Volume_M,AdjClose_M
2013-06-14,48.509998,49.259998,48.349998,48.48,2194600,44.931854
2013-06-17,48.91,49.419998,48.52,48.810001,2853600,45.237703
2013-06-18,48.700001,49.48,48.639999,49.32,2530100,45.710376
2013-06-19,49.369999,49.459999,48.27,48.330002,3360100,44.792834
2013-06-20,47.98,48.259998,46.669998,46.82,4195200,43.393346
2013-06-21,47.200001,47.389999,46.130001,46.860001,5252700,43.430419
2013-06-24,46.369999,46.529999,45.720001,46.139999,3015600,42.763113
2013-06-25,46.450001,46.830002,46.279999,46.580002,2247500,43.170913
2013-06-26,47.0,47.799999,46.959999,47.73,2913800,44.236745
2013-06-27,48.16,48.68,48.029999,48.150002,4038200,44.626007
2013-06-28,48.240002,48.5,47.93,48.0,5577500,44.486984
2013-07-01,48.25,48.900002,48.200001,48.259998,3648000,44.727954
2013-07-02,48.25,48.68,48.009998,48.400002,3605300,44.857711
2013-07-03,48.040001,48.549999,47.790001,48.48,1999200,44.931854
2013-07-05,49.0,49.240002,48.470001,49.18,2018800,45.580623
2013-07-08,49.360001,50.470001,49.34,50.27,3733900,46.590848
2013-07-09,50.5,50.77,50.25,50.369999,2917600,46.683528
2013-07-10,50.25,50.490002,48.959999,49.470001,4714900,45.849399
2013-07-11,50.0,50.040001,49.18,49.689999,3675400,46.053296
2013-07-12,49.689999,50.049999,49.240002,49.43,3545900,45.812326
2013-07-15,49.709999,50.5,49.59,50.220001,3858500,46.544508
2013-07-16,50.259998,50.5,49.52,49.75,5493100,46.108906
2013-07-17,49.84,49.919998,49.470001,49.529999,1750600,45.905006
2013-07-18,49.59,49.619999,48.82,49.209999,3185000,45.608426
2013-07-19,49.25,49.25,48.23,49.029999,5931600,45.4416
2013-07-22,49.049999,49.540001,48.91,48.91,2952500,45.330383
2013-07-23,48.98,49.360001,48.599998,48.790001,2824500,45.219167
2013-07-24,48.860001,49.130001,48.150002,48.299999,4017500,44.765027
2013-07-25,48.209999,48.330002,47.650002,48.0,4021100,44.486984
2013-07-26,47.790001,48.220001,47.48,48.169998,2569100,44.644541
2013-07-29,48.080002,48.52,47.970001,48.27,1994000,44.737224
2013-07-30,48.529999,48.700001,47.900002,48.16,4140000,44.635274
2013-07-31,48.290001,48.959999,48.110001,48.34,4700600,44.802101
2013-08-01,48.919998,49.540001,48.630001,49.27,4130100,45.664036
2013-08-02,49.150002,49.490002,48.950001,49.459999,2143700,45.840129
