Date,Open_MCK,High_MCK,Low_MCK,Close_MCK,Volume_MCK,AdjClose_MCK
2013-06-14,113.629997,115.230003,113.480003,114.290001,1163100,112.391689
2013-06-17,115.010002,115.190002,113.720001,114.379997,1111700,112.48019
2013-06-18,114.830002,115.769997,114.389999,114.620003,1112800,112.716209
2013-06-19,114.790001,115.949997,113.919998,113.93,1159300,112.037668
2013-06-20,113.279999,113.43,110.419998,110.790001,1718100,108.949822
2013-06-21,111.839996,112.879997,110.529999,110.970001,2465100,109.126833
2013-06-24,110.57,111.970001,109.82,111.550003,1140900,109.697201
2013-06-25,112.040001,112.040001,110.559998,110.699997,1367000,108.861313
2013-06-26,111.510002,115.660004,110.800003,115.540001,2384800,113.620927
2013-06-27,115.830002,117.209999,115.370003,115.57,1215000,113.650427
2013-06-28,115.639999,115.989998,114.5,114.5,1513500,112.5982
2013-07-01,115.769997,116.779999,115.300003,116.18,1387400,114.250296
2013-07-02,115.980003,116.080002,113.82,114.279999,1159500,112.381853
2013-07-03,113.82,114.870003,113.260002,114.620003,761100,112.716209
2013-07-05,115.699997,115.779999,114.639999,115.730003,507700,113.807773
2013-07-08,116.0,117.050003,115.790001,115.940002,867400,114.014284
2013-07-09,116.5,117.25,115.919998,116.010002,954200,114.083121
2013-07-10,116.07,117.660004,114.720001,116.889999,956800,114.948502
2013-07-11,118.0,118.5,117.769997,118.230003,733800,116.266249
2013-07-12,118.459999,118.739998,117.550003,118.639999,727700,116.669435
2013-07-15,118.959999,119.529999,118.339996,119.510002,607600,117.524988
2013-07-16,119.400002,119.559998,117.970001,118.300003,809400,116.335086
2013-07-17,118.419998,118.620003,117.629997,118.059998,850300,116.099067
2013-07-18,118.389999,119.059998,118.010002,118.480003,714100,116.512097
2013-07-19,118.129997,118.940002,117.529999,118.650002,686600,116.679271
2013-07-22,118.699997,119.400002,118.32,118.559998,1275400,116.590762
2013-07-23,118.779999,118.779999,117.610001,118.120003,751400,116.158076
2013-07-24,118.589996,118.739998,117.739998,118.459999,895500,116.492425
