Date,Open_MKC,High_MKC,Low_MKC,Close_MKC,Volume_MKC,AdjClose_MKC
2015-06-08,76.599998,76.959999,76.160004,76.699997,407700,75.240892
2015-06-09,76.809998,77.019997,76.519997,76.529999,324200,75.074127
2015-06-10,76.660004,77.25,76.660004,77.110001,296300,75.643096
2015-06-11,77.199997,77.389999,77.010002,77.139999,313600,75.672524
2015-06-12,76.900002,77.209999,76.68,76.970001,252700,75.50576
2015-06-15,76.57,77.300003,76.230003,76.82,538900,75.358612
2015-06-16,77.0,78.230003,76.919998,78.199997,389700,76.712356
2015-06-17,78.279999,78.57,77.870003,78.269997,308500,76.781024
2015-06-18,78.510002,79.529999,78.260002,79.110001,484100,77.605049
2015-06-19,79.0,79.57,78.980003,79.239998,492400,77.732573
2015-06-22,79.489998,80.639999,79.43,80.209999,454100,78.684121
2015-06-23,80.260002,80.440002,80.010002,80.260002,697200,78.733173
2015-06-24,81.129997,82.260002,81.129997,81.419998,1380000,79.871102
2015-06-25,82.389999,82.389999,81.339996,81.550003,581900,79.998633
2015-06-26,81.790001,81.910004,81.239998,81.459999,667100,79.910342
2015-06-29,81.459999,81.459999,80.129997,80.160004,685300,78.635077
2015-06-30,80.5,81.360001,80.400002,80.949997,1182200,79.410042
2015-07-01,78.230003,79.660004,77.860001,79.57,2135900,78.056297
2015-07-02,79.580002,80.410004,79.220001,79.959999,1245000,78.438877
2015-07-06,79.720001,80.110001,78.989998,79.389999,986400,77.879721
2015-07-07,79.379997,80.610001,78.760002,80.580002,770200,79.047085
2015-07-08,80.18,80.540001,79.510002,79.629997,951800,78.115153
2015-07-09,80.080002,80.230003,79.330002,79.389999,987300,78.272904
2015-07-10,79.440002,80.449997,79.440002,80.0,680200,78.874321
2015-07-13,80.550003,80.639999,80.279999,80.599998,377100,79.465877
2015-07-14,80.620003,80.989998,80.519997,80.720001,399700,79.584191
2015-07-15,80.769997,80.769997,79.959999,80.029999,354300,78.903898
2015-07-16,80.510002,80.779999,80.230003,80.599998,464000,79.465877
2015-07-17,80.279999,80.589996,79.669998,80.010002,447700,78.884182
2015-07-20,80.010002,80.239998,79.699997,80.010002,403400,78.884182
2015-07-21,80.120003,80.459999,79.919998,80.18,781300,79.051789
2015-07-22,80.150002,80.68,80.0,80.459999,602000,79.327847
2015-07-23,80.459999,80.669998,80.0,80.099998,452000,78.972912
2015-07-24,79.910004,80.300003,79.519997,79.889999,602300,78.765868
2015-07-27,79.690002,80.019997,79.470001,79.82,796300,78.696853
2015-07-28,80.07,81.169998,79.739998,81.129997,789600,79.988418
2015-07-29,81.059998,81.470001,80.959999,81.400002,607900,80.254623
