Date,Open_MSI,High_MSI,Low_MSI,Close_MSI,Volume_MSI,AdjClose_MSI
2013-06-14,57.110001,57.529999,56.919998,56.93,1518500,53.391156
2013-06-17,57.169998,57.5,57.080002,57.330002,1618200,53.766293
2013-06-18,57.439999,57.630001,57.169998,57.349998,1119000,53.785046
2013-06-19,57.330002,57.419998,56.75,56.779999,2196700,53.250479
2013-06-20,56.529999,56.84,55.360001,55.5,2725500,52.050046
2013-06-21,55.970001,56.029999,55.169998,55.82,4309300,52.350154
2013-06-24,55.330002,55.799999,54.639999,55.59,2335500,52.134452
2013-06-25,55.98,56.419998,55.549999,56.349998,2740900,52.847208
2013-06-26,56.66,57.68,56.540001,57.490002,2791700,53.916347
2013-06-27,57.68,58.200001,57.419998,57.84,1510500,54.244589
2013-06-28,57.720001,58.330002,57.459999,57.73,4738700,54.141426
2013-07-01,57.810001,58.43,57.810001,57.98,1227500,54.375886
2013-07-02,57.75,57.880001,57.220001,57.490002,1890000,53.916347
2013-07-03,57.119999,57.630001,57.02,57.259998,894900,53.700641
2013-07-05,57.580002,57.970001,57.330002,57.93,1097400,54.328995
2013-07-08,58.040001,58.59,57.849998,57.860001,1180100,54.263346
2013-07-09,58.080002,58.459999,57.709999,58.029999,1134800,54.422777
2013-07-10,58.029999,58.529999,57.939999,58.43,2120700,54.797914
2013-07-11,58.91,59.43,58.849998,59.049999,1836100,55.379373
2013-07-12,59.049999,59.75,58.860001,59.540001,1353300,55.838915
2013-07-15,59.490002,59.619999,59.130001,59.169998,1353600,55.491913
2013-07-16,59.099998,59.580002,59.029999,59.32,1448700,55.63259
2013-07-17,59.330002,59.59,59.099998,59.419998,894100,55.726372
2013-07-18,59.369999,59.5,59.0,59.360001,1222700,55.670104
2013-07-19,59.459999,60.080002,59.240002,59.849998,2248800,56.129643
2013-07-22,59.73,59.950001,59.419998,59.869999,2566900,56.1484
2013-07-23,59.75,60.689999,59.75,59.98,2138100,56.251563
2013-07-24,56.41,56.880001,53.880001,56.040001,7396700,52.55648
2013-07-25,55.950001,55.98,54.189999,54.25,5029600,50.877748
2013-07-26,53.919998,54.34,53.619999,54.259998,3245000,50.887125
2013-07-29,54.02,54.459999,53.740002,54.009998,2143500,50.652665
2013-07-30,54.23,54.630001,53.900002,54.349998,2568400,50.97153
2013-07-31,54.560001,55.259998,54.130001,54.830002,2434000,51.421696
2013-08-01,55.07,55.400002,54.919998,55.32,1417200,51.881235
2013-08-02,55.32,56.130001,55.150002,56.02,1742500,52.537723
2013-08-05,55.799999,56.119999,55.639999,56.099998,1190600,52.612748
